time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004069950,-0.000178868,1.032200813
0.042000,-0.004294275,-0.000507519,1.026448131
0.062000,-0.004844331,0.000795801,1.020678997
0.082000,-0.005536906,0.002611535,1.019609928
0.102000,-0.005805556,0.004375013,1.020853162
0.122000,-0.005825561,0.006445879,1.022094488
0.142000,-0.005903750,0.008901564,1.022867441
0.162000,-0.006154051,0.011730862,1.023226738
0.182000,-0.006587407,0.014918634,1.023287296
0.202000,-0.007179383,0.018442918,1.023165584
0.222000,-0.007895101,0.022278395,1.022949696
0.242000,-0.008697693,0.026401587,1.022680163
0.262000,-0.009556262,0.030787533,1.022366762
0.282000,-0.010455324,0.035403881,1.021998405
0.302000,-0.011370677,0.040228378,1.021562815
0.322000,-0.012268126,0.045237571,1.021059513
0.342000,-0.013131386,0.050406512,1.020487666
0.362000,-0.013946667,0.055710610,1.019847751
0.382000,-0.014709392,0.061125588,1.019140959
0.402000,-0.015419636,0.066643365,1.018403530
0.422000,-0.016077323,0.072269425,1.017671347
0.442000,-0.016690433,0.078011855,1.016960144
0.462000,-0.017270735,0.083871253,1.016265392
0.482000,-0.017828234,0.089832604,1.015568733
0.502000,-0.018373877,0.095894046,1.014900208
0.522000,-0.018909769,0.102007903,1.014212728
0.542000,-0.019420484,0.108099781,1.013361454
0.562000,-0.019897614,0.114162073,1.012394190
0.582000,-0.020316077,0.120151304,1.011422157
0.602000,-0.020591121,0.126033738,1.010450244
0.622000,-0.020640820,0.131875306,1.009387136
0.642000,-0.020462021,0.137663811,1.008049965
0.662000,-0.020101350,0.143316969,1.006420016
0.682000,-0.019596824,0.148855045,1.004612207
0.702000,-0.019002674,0.154288828,1.002628803
0.722000,-0.018725298,0.160690933,1.001572967
0.742000,-0.018774852,0.168366745,1.001386166
0.762000,-0.018747114,0.177401617,1.001867652
0.782000,-0.018460838,0.187168673,1.002922297
0.802000,-0.018121911,0.197159186,1.004126787
0.822000,-0.017889241,0.207141116,1.004844427
0.842000,-0.017701214,0.216800213,1.004735947
0.862000,-0.017371731,0.226369813,1.002814531
0.882000,-0.017415479,0.236116931,0.999748707
0.902000,-0.018145833,0.244840667,0.999239743
0.922000,-0.018917328,0.252423942,1.000138521
0.942000,-0.019470097,0.258753538,1.002009630
0.962000,-0.019829590,0.264091402,1.004331946
0.982000,-0.020017395,0.268549323,1.006645560
1.002000,-0.019996546,0.272202313,1.008692026
1.022000,-0.019749517,0.275109261,1.010257483
1.042000,-0.019297520,0.277302951,1.011399269
1.062000,-0.018654685,0.278846294,1.012252450
1.082000,-0.017786771,0.279880404,1.012761712
1.102000,-0.016653145,0.280595958,1.012670398
1.122000,-0.015213567,0.281088442,1.011133075
1.142000,-0.013783596,0.282053053,1.008631468
1.162000,-0.012495088,0.284462452,1.007786155
1.182000,-0.011007443,0.288389534,1.008987546
1.202000,-0.009297491,0.293361396,1.011147618
1.222000,-0.007473575,0.299069315,1.013451934
1.242000,-0.005622070,0.305377990,1.015405536
1.262000,-0.003794208,0.312261909,1.016799569
1.282000,-0.001996500,0.319776177,1.017760992
1.302000,-0.000206845,0.327906340,1.018376589
1.322000,0.001637958,0.336472660,1.018431783
1.342000,0.003588113,0.345362097,1.017180800
1.362000,0.005392145,0.354805917,1.013760805
1.382000,0.006680182,0.363853723,1.011240125
1.402000,0.007895301,0.371956319,1.010863304
1.422000,0.009352430,0.379207402,1.012227654
1.442000,0.010947414,0.386025041,1.014110327
1.462000,0.012518278,0.392608196,1.015833497
1.482000,0.013973723,0.398981482,1.017097235
1.502000,0.015274802,0.405120850,1.017793298
1.522000,0.016417842,0.411017954,1.017978072
1.542000,0.017408503,0.416621298,1.017779469
1.562000,0.018277118,0.421893090,1.017360806
1.582000,0.019045219,0.426777869,1.016824603
1.602000,0.019744337,0.431286484,1.016246080
1.622000,0.020383257,0.435483754,1.015609741
1.642000,0.020937726,0.439448029,1.014790297
1.662000,0.021385593,0.443250239,1.013640523
1.682000,0.021705164,0.446958005,1.012037277
1.702000,0.021861035,0.450587511,1.009636402
1.722000,0.021737356,0.454291344,1.006310582
1.742000,0.021355376,0.458980352,1.004612446
1.762000,0.020959884,0.464755595,1.005243778
1.782000,0.020451931,0.471236408,1.007277131
1.802000,0.019902632,0.478337675,1.009898543
1.822000,0.019370513,0.485932887,1.012672782
1.842000,0.018809289,0.493884236,1.015179038
1.862000,0.018202411,0.502146125,1.017087221
1.882000,0.017567722,0.510735273,1.018089175
1.902000,0.016948225,0.519579649,1.018076777
1.922000,0.016441610,0.528599858,1.016821146
1.942000,0.016004290,0.538244665,1.013267159
1.962000,0.015142594,0.547567666,1.010410786
1.982000,0.014093033,0.556104541,1.009132981
2.002000,0.013223996,0.563772380,1.009028435
2.022000,0.012615000,0.570462048,1.009946823
2.042000,0.012174744,0.576486945,1.011235118
2.062000,0.011813384,0.581999600,1.012510777
2.082000,0.011496605,0.586976349,1.013622999
2.102000,0.011253642,0.591356993,1.014455676
2.122000,0.011128926,0.595210135,1.014928937
2.142000,0.011120846,0.598563969,1.015074968
2.162000,0.011201689,0.601470888,1.014999628
2.182000,0.011357176,0.604031622,1.014672399
2.202000,0.011586577,0.606372416,1.013961792
2.222000,0.011903764,0.608587325,1.012594581
2.242000,0.012305923,0.610681891,1.009821296
2.262000,0.012503818,0.613625884,1.007456779
2.282000,0.012677493,0.617619693,1.006195068
2.302000,0.013035229,0.622705102,1.006332278
2.322000,0.013579377,0.628643334,1.007350922
2.342000,0.014262469,0.635271668,1.008755445
