time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004069950,-0.000178868,1.032200813
0.042000,-0.004294275,-0.000507520,1.026448131
0.062000,-0.004844332,0.000795801,1.020678997
0.082000,-0.005536907,0.002611536,1.019609928
0.102000,-0.005805557,0.004375014,1.020853162
0.122000,-0.005825563,0.006445879,1.022094488
0.142000,-0.005903753,0.008901564,1.022867441
0.162000,-0.006154054,0.011730862,1.023226738
0.182000,-0.006587410,0.014918634,1.023287296
0.202000,-0.007179387,0.018442916,1.023165584
0.222000,-0.007895106,0.022278395,1.022949696
0.242000,-0.008697699,0.026401587,1.022680163
0.262000,-0.009556267,0.030787531,1.022366762
0.282000,-0.010455331,0.035403881,1.021998405
0.302000,-0.011370684,0.040228374,1.021562815
0.322000,-0.012268133,0.045237571,1.021059513
0.342000,-0.013131393,0.050406512,1.020487666
0.362000,-0.013946676,0.055710606,1.019847751
0.382000,-0.014709401,0.061125588,1.019140959
0.402000,-0.015419647,0.066643357,1.018403530
0.422000,-0.016077334,0.072269417,1.017671347
0.442000,-0.016690444,0.078011848,1.016960144
0.462000,-0.017270746,0.083871245,1.016265392
0.482000,-0.017828245,0.089832604,1.015568733
0.502000,-0.018373888,0.095894039,1.014900208
0.522000,-0.018909780,0.102007896,1.014212728
0.542000,-0.019420497,0.108099774,1.013361454
0.562000,-0.019897627,0.114162073,1.012394190
0.582000,-0.020316090,0.120151296,1.011422157
0.602000,-0.020591134,0.126033738,1.010450244
0.622000,-0.020640833,0.131875291,1.009387136
0.642000,-0.020462034,0.137663811,1.008049965
0.662000,-0.020101361,0.143316954,1.006420016
0.682000,-0.019596836,0.148855045,1.004612207
0.702000,-0.019002685,0.154288813,1.002628803
0.722000,-0.018725311,0.160690933,1.001572967
0.742000,-0.018774863,0.168366745,1.001386166
0.762000,-0.018747129,0.177401617,1.001867652
0.782000,-0.018460853,0.187168673,1.002922297
0.802000,-0.018121928,0.197159186,1.004126668
0.822000,-0.017889258,0.207141101,1.004844427
0.842000,-0.017701233,0.216800213,1.004735947
0.862000,-0.017371750,0.226369813,1.002814412
0.882000,-0.017415499,0.236116916,0.999748707
0.902000,-0.018145854,0.244840667,0.999239683
0.922000,-0.018917350,0.252423912,1.000138521
0.942000,-0.019470124,0.258753508,1.002009630
0.962000,-0.019829616,0.264091372,1.004331946
0.982000,-0.020017423,0.268549323,1.006645560
1.002000,-0.019996574,0.272202313,1.008692026
1.022000,-0.019749545,0.275109231,1.010257483
1.042000,-0.019297548,0.277302951,1.011399269
1.062000,-0.018654713,0.278846294,1.012252450
1.082000,-0.017786797,0.279880375,1.012761712
1.102000,-0.016653171,0.280595958,1.012670398
1.122000,-0.015213591,0.281088412,1.011133075
1.142000,-0.013783620,0.282053024,1.008631468
1.162000,-0.012495113,0.284462422,1.007786155
1.182000,-0.011007467,0.288389534,1.008987546
1.202000,-0.009297515,0.293361396,1.011147618
1.222000,-0.007473599,0.299069285,1.013451934
1.242000,-0.005622093,0.305377990,1.015405536
1.262000,-0.003794230,0.312261909,1.016799569
1.282000,-0.001996520,0.319776177,1.017760992
1.302000,-0.000206863,0.327906311,1.018376589
1.322000,0.001637942,0.336472631,1.018431783
1.342000,0.003588099,0.345362097,1.017180800
1.362000,0.005392135,0.354805917,1.013760805
1.382000,0.006680174,0.363853723,1.011240125
1.402000,0.007895296,0.371956289,1.010863304
1.422000,0.009352428,0.379207402,1.012227654
1.442000,0.010947416,0.386025012,1.014110327
1.462000,0.012518283,0.392608166,1.015833497
1.482000,0.013973732,0.398981452,1.017097235
1.502000,0.015274813,0.405120850,1.017793298
1.522000,0.016417855,0.411017925,1.017978072
1.542000,0.017408520,0.416621298,1.017779469
1.562000,0.018277137,0.421893090,1.017360806
1.582000,0.019045243,0.426777840,1.016824603
1.602000,0.019744363,0.431286454,1.016246080
1.622000,0.020383287,0.435483724,1.015609741
1.642000,0.020937759,0.439447999,1.014790297
1.662000,0.021385629,0.443250209,1.013640523
1.682000,0.021705203,0.446957976,1.012037277
1.702000,0.021861078,0.450587451,1.009636402
1.722000,0.021737402,0.454291314,1.006310582
1.742000,0.021355426,0.458980292,1.004612565
1.762000,0.020959940,0.464755535,1.005243778
1.782000,0.020451993,0.471236318,1.007277250
1.802000,0.019902699,0.478337616,1.009898543
1.822000,0.019370586,0.485932797,1.012672782
1.842000,0.018809367,0.493884146,1.015179157
1.862000,0.018202493,0.502146065,1.017087221
1.882000,0.017567808,0.510735214,1.018089175
1.902000,0.016948311,0.519579589,1.018076897
1.922000,0.016441695,0.528599739,1.016821265
1.942000,0.016004376,0.538244545,1.013267279
1.962000,0.015142680,0.547567487,1.010410905
1.982000,0.014093121,0.556104422,1.009132981
2.002000,0.013224084,0.563772261,1.009028435
2.022000,0.012615087,0.570461929,1.009946823
2.042000,0.012174830,0.576486826,1.011235237
2.062000,0.011813467,0.581999481,1.012510777
2.082000,0.011496685,0.586976230,1.013622999
2.102000,0.011253718,0.591356874,1.014455676
2.122000,0.011128996,0.595210016,1.014928937
2.142000,0.011120911,0.598563910,1.015074968
2.162000,0.011201747,0.601470768,1.014999628
2.182000,0.011357225,0.604031503,1.014672399
2.202000,0.011586618,0.606372297,1.013961792
2.222000,0.011903794,0.608587265,1.012594581
2.242000,0.012305943,0.610681832,1.009821415
2.262000,0.012503836,0.613625765,1.007456899
2.282000,0.012677511,0.617619574,1.006195188
2.302000,0.013035250,0.622704983,1.006332397
2.322000,0.013579399,0.628643155,1.007351041
2.342000,0.014262495,0.635271490,1.008755565
