time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004040060,-0.000044431,1.032181263
0.042000,-0.004185142,-0.000120212,1.026386619
0.062000,-0.004738929,0.000213818,1.019823909
0.082000,-0.005403493,0.000612614,1.019363403
0.102000,-0.005159365,0.000880231,1.020813942
0.122000,-0.004373479,0.001090004,1.022212148
0.142000,-0.003420584,0.001374416,1.023089886
0.162000,-0.002467065,0.001767909,1.023474336
0.182000,-0.001549463,0.002203578,1.023628592
0.202000,-0.000643649,0.002653948,1.023687482
0.222000,0.000273379,0.003119086,1.023707032
0.242000,0.001218487,0.003601338,1.023706555
0.262000,0.002207362,0.004100617,1.023694515
0.282000,0.003256252,0.004616791,1.023676753
0.302000,0.004374580,0.005148458,1.023657322
0.322000,0.005562576,0.005693017,1.023638368
0.342000,0.006815182,0.006248008,1.023620248
0.362000,0.008122611,0.006810842,1.023599982
0.382000,0.009477474,0.007379069,1.023577809
0.402000,0.010878408,0.007953226,1.023556590
0.422000,0.012318117,0.008535127,1.023535967
0.442000,0.013785234,0.009128028,1.023515105
0.462000,0.015267266,0.009734621,1.023493409
0.482000,0.016751654,0.010356535,1.023470402
0.502000,0.018224386,0.010993564,1.023444891
0.522000,0.019667814,0.011643986,1.023414969
0.542000,0.021065837,0.012305520,1.023382425
0.562000,0.022408150,0.012975729,1.023353696
0.582000,0.023690930,0.013654270,1.023336649
0.602000,0.024905091,0.014341815,1.023331881
0.622000,0.026038337,0.015039854,1.023336649
0.642000,0.027076852,0.015750291,1.023347735
0.662000,0.028007267,0.016475758,1.023362637
0.682000,0.028820688,0.017220024,1.023379326
0.702000,0.029509375,0.017986495,1.023397326
0.722000,0.030067055,0.018776674,1.023417234
0.742000,0.030489376,0.019591894,1.023438573
0.762000,0.030772991,0.020433255,1.023460984
0.782000,0.030915948,0.021301607,1.023483515
0.802000,0.030918093,0.022197774,1.023505449
0.822000,0.030781027,0.023122551,1.023525834
0.842000,0.030507928,0.024076674,1.023544192
0.862000,0.030103292,0.025060803,1.023559809
0.882000,0.029572688,0.026075561,1.023572326
0.902000,0.028922470,0.027121617,1.023581505
0.922000,0.028159697,0.028199481,1.023586512
0.942000,0.027292106,0.029309263,1.023587227
0.962000,0.026327983,0.030450635,1.023582697
0.982000,0.025276110,0.031622808,1.023572683
1.002000,0.024145667,0.032824568,1.023556590
1.022000,0.022946255,0.034054179,1.023533940
1.042000,0.021687830,0.035309400,1.023504496
1.062000,0.020380599,0.036587495,1.023468256
1.082000,0.019034559,0.037885223,1.023425221
1.102000,0.017659450,0.039198771,1.023375392
1.122000,0.016264834,0.040523749,1.023319006
1.142000,0.014860233,0.041855227,1.023256660
1.162000,0.013454827,0.043187823,1.023189068
1.182000,0.012057547,0.044515911,1.023116827
1.202000,0.010677462,0.045833822,1.023040533
1.222000,0.009323679,0.047135957,1.022960305
1.242000,0.008005369,0.048416089,1.022877932
1.262000,0.006732038,0.049665935,1.022797942
1.282000,0.005510962,0.050878398,1.022719502
1.302000,0.004346882,0.052046571,1.022641301
1.322000,0.003242979,0.053162634,1.022562981
1.342000,0.002200786,0.054223109,1.022466660
1.362000,0.001221034,0.055221938,1.022351146
1.382000,0.000320230,0.056156889,1.022238135
1.402000,-0.000500730,0.057025697,1.022127628
1.422000,-0.001240426,0.057820536,1.022026896
1.442000,-0.001895501,0.058544926,1.021925092
1.462000,-0.002461419,0.059198830,1.021841526
1.482000,-0.002939878,0.059784953,1.021766186
1.502000,-0.003330998,0.060303558,1.021711349
1.522000,-0.003639870,0.060755674,1.021667004
1.542000,-0.003872713,0.061132830,1.021624088
1.562000,-0.004025346,0.061441876,1.021606684
1.582000,-0.004098488,0.061690859,1.021588445
1.602000,-0.004093768,0.061884947,1.021582961
1.622000,-0.004016476,0.062024653,1.021591902
1.642000,-0.003876064,0.062108245,1.021613359
1.662000,-0.003681528,0.062141221,1.021640182
1.682000,-0.003444300,0.062123783,1.021670938
1.702000,-0.003173813,0.062051952,1.021706581
1.722000,-0.002876161,0.061928719,1.021758080
1.742000,-0.002557772,0.061760616,1.021810293
1.762000,-0.002224189,0.061562885,1.021844029
1.782000,-0.001877940,0.061335418,1.021902800
1.802000,-0.001527010,0.061085127,1.021969199
1.822000,-0.001182026,0.060821500,1.022029877
1.842000,-0.000848866,0.060548607,1.022081494
1.862000,-0.000528592,0.060271353,1.022125840
1.882000,-0.000221505,0.059994917,1.022165298
1.902000,0.000071474,0.059724119,1.022201300
1.922000,0.000349246,0.059463419,1.022233963
1.942000,0.000610292,0.059216406,1.022263169
1.962000,0.000852945,0.058985915,1.022288918
1.982000,0.001075526,0.058773987,1.022311449
2.002000,0.001275464,0.058580954,1.022331357
2.022000,0.001450973,0.058407009,1.022349358
2.042000,0.001600877,0.058252919,1.022365689
2.062000,0.001724457,0.058120180,1.022380233
2.082000,0.001821466,0.058010306,1.022392869
2.102000,0.001894199,0.057925869,1.022403240
2.122000,0.001943239,0.057867873,1.022411585
2.142000,0.001967364,0.057835605,1.022417665
2.162000,0.001966488,0.057828467,1.022421598
2.182000,0.001940904,0.057846047,1.022423983
2.202000,0.001890842,0.057887632,1.022425175
2.222000,0.001816789,0.057952076,1.022425532
2.242000,0.001719196,0.058038071,1.022425175
2.262000,0.001598621,0.058143694,1.022424340
2.282000,0.001455954,0.058266375,1.022423267
2.302000,0.001291690,0.058404423,1.022423625
2.322000,0.001105958,0.058556896,1.022426486
2.342000,0.000899010,0.058723014,1.022432089
2.362000,0.000671331,0.058901995,1.022440195
