time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003979340,0.000008641,1.032012701
0.042000,-0.003951371,0.000015828,1.026909351
0.062000,-0.004230361,0.000036947,1.023960829
0.082000,-0.003912309,0.000061572,1.023891568
0.102000,-0.002542918,0.000068716,1.025969028
0.122000,-0.000293861,0.000073221,1.028330922
0.142000,0.002307189,0.000084679,1.029437184
0.162000,0.004806208,0.000094021,1.028870583
0.182000,0.007181348,0.000095562,1.027428031
0.202000,0.009819928,0.000082711,1.026198268
0.222000,0.013042886,0.000046199,1.025664926
0.242000,0.016926244,-0.000016854,1.025582194
0.262000,0.021361955,-0.000116525,1.025418997
0.282000,0.026208268,-0.000261143,1.024776459
0.302000,0.031400573,-0.000444159,1.023620367
0.322000,0.037016600,-0.000656938,1.022205114
0.342000,0.043204848,-0.000915455,1.020809174
0.362000,0.050068870,-0.001227119,1.019522786
0.382000,0.057658218,-0.001561361,1.018406630
0.402000,0.065991826,-0.001937398,1.017689109
0.422000,0.074954465,-0.002329180,1.017062068
0.442000,0.084329814,-0.002725794,1.016307473
0.462000,0.093934223,-0.003137097,1.015330791
0.482000,0.103643954,-0.003575747,1.014097691
0.502000,0.113348857,-0.004005880,1.012903214
0.522000,0.122976303,-0.004464365,1.012390375
0.542000,0.132532507,-0.004989722,1.013091922
0.562000,0.142057449,-0.005620143,1.015024543
0.582000,0.151609465,-0.006406104,1.017642617
0.602000,0.161223650,-0.007354741,1.019773602
0.622000,0.170914501,-0.008252893,1.020047069
0.642000,0.180747315,-0.008857150,1.018281937
0.662000,0.190669283,-0.009010920,1.015221357
0.682000,0.200627804,-0.008582324,1.011544943
0.702000,0.210596308,-0.007580053,1.007809997
0.722000,0.220550090,-0.005852157,1.004168749
0.742000,0.230160564,-0.004049913,1.002320290
0.762000,0.239547834,-0.002694975,1.004395247
0.782000,0.248873606,-0.001722858,1.009711504
0.802000,0.258271188,-0.000829203,1.015662551
0.822000,0.267715424,-0.000038475,1.020197749
0.842000,0.277159214,0.000471119,1.023056030
0.862000,0.286557525,0.000571945,1.024731159
0.882000,0.295907289,0.000258106,1.025648475
0.902000,0.305218518,-0.000421646,1.026046157
0.922000,0.314480484,-0.001426642,1.025943637
0.942000,0.323657721,-0.002733562,1.025196910
0.962000,0.332739800,-0.004298660,1.023731947
0.982000,0.341810256,-0.006039540,1.021574140
1.002000,0.350977629,-0.007918210,1.018631339
1.022000,0.360233605,-0.010142798,1.014417171
1.042000,0.369366586,-0.012621908,1.009228587
1.062000,0.378225982,-0.014713689,1.006426692
1.082000,0.387031943,-0.016918015,1.006410718
1.102000,0.395916492,-0.019406660,1.008355260
1.122000,0.404931635,-0.022042574,1.011312962
1.142000,0.414088577,-0.024560388,1.014483452
1.162000,0.423375309,-0.026822265,1.017024875
1.182000,0.432802200,-0.028702311,1.018619061
1.202000,0.442420185,-0.030187011,1.019564748
1.222000,0.452266335,-0.031276736,1.020161271
1.242000,0.462324947,-0.031952243,1.020627260
1.262000,0.472571731,-0.032223620,1.021088243
1.282000,0.482972443,-0.032114878,1.021541595
1.302000,0.493486792,-0.031649183,1.021897912
1.322000,0.504087210,-0.030860931,1.022051811
1.342000,0.514757514,-0.029791063,1.021921992
1.362000,0.525499105,-0.028474597,1.021451712
1.382000,0.536364079,-0.026944431,1.020564198
1.402000,0.547390521,-0.025212592,1.019025326
1.422000,0.558518350,-0.023094067,1.016128182
1.442000,0.569421172,-0.021007359,1.012932062
1.462000,0.579934061,-0.019296199,1.011762023
1.482000,0.590167224,-0.017472802,1.012347341
1.502000,0.600217223,-0.015372565,1.014031410
1.522000,0.610176384,-0.013156164,1.016062498
1.542000,0.620126128,-0.011218374,1.018115759
1.562000,0.630143821,-0.009706551,1.019668698
1.582000,0.640252650,-0.008665197,1.020611286
1.602000,0.650465906,-0.008054391,1.021152139
1.622000,0.660782516,-0.007868605,1.021506310
1.642000,0.671191871,-0.008097452,1.021806121
1.662000,0.681675792,-0.008716586,1.022063613
1.682000,0.692209244,-0.009696159,1.022194266
1.702000,0.702772439,-0.010981671,1.022079945
1.722000,0.713364661,-0.012515881,1.021631002
1.742000,0.724016845,-0.014245214,1.020752788
1.762000,0.734774649,-0.016133083,1.019221663
1.782000,0.745634019,-0.018317254,1.016417503
1.802000,0.756281793,-0.020688580,1.012604713
1.822000,0.766369104,-0.022669660,1.010885835
1.842000,0.776142538,-0.024733506,1.011245966
1.862000,0.785774291,-0.027035013,1.012886763
1.882000,0.795371115,-0.029393541,1.015027046
1.902000,0.805023015,-0.031475812,1.017274141
1.922000,0.814786136,-0.033139061,1.019025326
1.942000,0.824680924,-0.034332573,1.020205975
1.962000,0.834735274,-0.035092793,1.020990491
1.982000,0.844952047,-0.035441276,1.021521568
2.002000,0.855305552,-0.035399254,1.021878242
2.022000,0.865771115,-0.034991886,1.022083998
2.042000,0.876312852,-0.034241579,1.022123814
2.062000,0.886901319,-0.033179242,1.021956086
2.082000,0.897522151,-0.031861674,1.021530390
2.102000,0.908179879,-0.030341947,1.020775914
2.122000,0.918911695,-0.028664725,1.019605041
2.142000,0.929766476,-0.026850676,1.017762899
2.162000,0.940677881,-0.024715574,1.014539361
2.182000,0.951282978,-0.022545364,1.011172175
2.202000,0.961447775,-0.020551099,1.010318398
2.222000,0.971384227,-0.018256295,1.011610389
2.242000,0.981221855,-0.015644545,1.013965845
2.262000,0.991044879,-0.012975436,1.016481161
2.282000,1.000922561,-0.010608388,1.018703103
2.302000,1.010893583,-0.008651431,1.020159125
