time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004070146,-0.000182530,1.032199383
0.042000,-0.004294780,-0.000530126,1.026422501
0.062000,-0.004833322,0.000714159,1.020509481
0.082000,-0.005605639,0.002468422,1.019667149
0.102000,-0.006045104,0.004222706,1.021004796
0.122000,-0.006342799,0.006289239,1.022240758
0.142000,-0.006777987,0.008727136,1.022973537
0.162000,-0.007436687,0.011528745,1.023287654
0.182000,-0.008314501,0.014681400,1.023312211
0.202000,-0.009376832,0.018164206,1.023167968
0.222000,-0.010583026,0.021952836,1.022937059
0.242000,-0.011894568,0.026025368,1.022655845
0.262000,-0.013280887,0.030357582,1.022328258
0.282000,-0.014716676,0.034914859,1.021941543
0.302000,-0.016166657,0.039671499,1.021486640
0.322000,-0.017595740,0.044603292,1.020958543
0.342000,-0.018979566,0.049684759,1.020356894
0.362000,-0.020305227,0.054890532,1.019682884
0.382000,-0.021568362,0.060206641,1.018962502
0.402000,-0.022764612,0.065638252,1.018235564
0.422000,-0.023893636,0.071197607,1.017520785
0.442000,-0.024963545,0.076885939,1.016812921
0.462000,-0.025984015,0.082687750,1.016086340
0.482000,-0.026961194,0.088576004,1.015308499
0.502000,-0.027904164,0.094533287,1.014496803
0.522000,-0.028818164,0.100503787,1.013607621
0.542000,-0.029687116,0.106365472,1.012467623
0.562000,-0.030471079,0.112105317,1.011209488
0.582000,-0.031089025,0.117707767,1.009886742
0.602000,-0.031476028,0.123257056,1.008469820
0.622000,-0.031610534,0.128762454,1.006818891
0.642000,-0.031521600,0.134172559,1.004842281
0.662000,-0.031249711,0.139441147,1.002672911
0.682000,-0.030826451,0.144578248,1.000458837
0.702000,-0.030637180,0.150679216,0.999469519
0.722000,-0.030669697,0.158065587,0.999542236
0.742000,-0.030576997,0.166793838,1.000390768
0.762000,-0.030193668,0.176289782,1.001939654
0.782000,-0.029720839,0.186047986,1.003754377
0.802000,-0.029340690,0.195841268,1.005142212
0.822000,-0.029037505,0.205391809,1.005683303
0.842000,-0.028643936,0.214759499,1.004717350
0.862000,-0.028510181,0.224568620,1.001659751
0.882000,-0.029175464,0.233524293,1.000788212
0.902000,-0.030028084,0.241450921,1.001447678
0.922000,-0.030709306,0.248161897,1.003254175
0.942000,-0.031240163,0.253956854,1.005552173
0.962000,-0.031706538,0.259021133,1.007831454
0.982000,-0.032104384,0.263336420,1.009789944
1.002000,-0.032363385,0.266896039,1.011265993
1.022000,-0.032447979,0.269772053,1.012221575
1.042000,-0.032361016,0.271982044,1.012802839
1.062000,-0.032103285,0.273594320,1.013146281
1.082000,-0.031636354,0.274766684,1.013162851
1.102000,-0.030928761,0.275674969,1.012533188
1.122000,-0.029974977,0.276381224,1.010332942
1.142000,-0.029152989,0.277901620,1.007941723
1.162000,-0.028395958,0.280706376,1.006997943
1.182000,-0.027441546,0.284919620,1.007881999
1.202000,-0.026301805,0.290127188,1.009689093
1.222000,-0.025079040,0.296064854,1.011671424
1.242000,-0.023841640,0.302594423,1.013382792
1.262000,-0.022635380,0.309729934,1.014775157
1.282000,-0.021477126,0.317498416,1.015938640
1.302000,-0.020339727,0.325818062,1.016755939
1.322000,-0.019179489,0.334468752,1.016859174
1.342000,-0.018023141,0.343543738,1.015204072
1.362000,-0.017199732,0.352953225,1.011999726
1.382000,-0.016805021,0.361830384,1.010091424
1.402000,-0.016368773,0.369697571,1.010378599
1.422000,-0.015717158,0.376805514,1.012001395
1.442000,-0.015006658,0.383531928,1.013901234
1.462000,-0.014377571,0.389995188,1.015509725
1.482000,-0.013905290,0.396195650,1.016575694
1.502000,-0.013606448,0.402117521,1.017077327
1.522000,-0.013478082,0.407705218,1.017120957
1.542000,-0.013493575,0.412913591,1.016883016
1.562000,-0.013629173,0.417679101,1.016434550
1.582000,-0.013819320,0.422037482,1.015890360
1.602000,-0.014043621,0.426052302,1.015276432
1.622000,-0.014324957,0.429808140,1.014498591
1.642000,-0.014692103,0.433381468,1.013395429
1.662000,-0.015172215,0.436848551,1.011801600
1.682000,-0.015766481,0.440216184,1.009325981
1.702000,-0.016606765,0.443662584,1.005826831
1.722000,-0.017752340,0.448132068,1.003841877
1.742000,-0.018909490,0.453775793,1.003909588
1.762000,-0.020112919,0.460240275,1.005219460
1.782000,-0.021290654,0.467384964,1.007279992
1.802000,-0.022413256,0.475097328,1.009815335
1.822000,-0.023530360,0.483229041,1.012460351
1.842000,-0.024663508,0.491715431,1.014634132
1.862000,-0.025829433,0.500551522,1.015919328
1.882000,-0.026991770,0.509615541,1.016173363
1.902000,-0.028063461,0.518852830,1.015040278
1.922000,-0.029192690,0.528721452,1.011444569
1.942000,-0.030821614,0.538036764,1.008879185
1.962000,-0.032588203,0.546494424,1.007822871
1.982000,-0.034077346,0.553872168,1.008330822
2.002000,-0.035284795,0.560367167,1.009615898
2.022000,-0.036340725,0.566274107,1.011073112
2.042000,-0.037312854,0.571627438,1.012441874
2.062000,-0.038200397,0.576410532,1.013593197
2.082000,-0.038971778,0.580636561,1.014374137
2.102000,-0.039610997,0.584366381,1.014739394
2.122000,-0.040140770,0.587636292,1.014792442
2.142000,-0.040583897,0.590527654,1.014578938
2.162000,-0.040956352,0.593153775,1.013992071
2.182000,-0.041269414,0.595631182,1.012862444
2.202000,-0.041479532,0.597988844,1.010563612
2.222000,-0.041829251,0.600702107,1.007567525
2.242000,-0.042409439,0.604506731,1.005797625
2.262000,-0.042958707,0.609455228,1.005383015
2.282000,-0.043371774,0.615374327,1.006044388
2.302000,-0.043667585,0.622056782,1.007286787
