time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004070941,0.000181532,1.032202482
0.042000,-0.004286320,0.000524905,1.026454329
0.062000,-0.004797354,-0.000732867,1.020638824
0.082000,-0.005567885,-0.002487587,1.019848347
0.102000,-0.006065257,-0.004253686,1.021169305
0.122000,-0.006457775,-0.006333226,1.022369623
0.142000,-0.007006928,-0.008781822,1.023068190
0.162000,-0.007793825,-0.011593743,1.023352742
0.182000,-0.008812988,-0.014757327,1.023355007
0.202000,-0.010028539,-0.018252647,1.023195982
0.222000,-0.011397497,-0.022056790,1.022954106
0.242000,-0.012879647,-0.026148960,1.022663116
0.262000,-0.014439854,-0.030507514,1.022326350
0.282000,-0.016048299,-0.035098415,1.021929502
0.302000,-0.017667551,-0.039893851,1.021463037
0.322000,-0.019262725,-0.044870254,1.020921946
0.342000,-0.020807795,-0.050003510,1.020306230
0.362000,-0.022285990,-0.055268753,1.019616246
0.382000,-0.023691555,-0.060649611,1.018872142
0.402000,-0.025022076,-0.066151187,1.018117785
0.422000,-0.026278220,-0.071785755,1.017377496
0.442000,-0.027469434,-0.077555336,1.016644478
0.462000,-0.028606856,-0.083443053,1.015893817
0.482000,-0.029699745,-0.089419276,1.015091896
0.502000,-0.030761128,-0.095470376,1.014270663
0.522000,-0.031793427,-0.101490751,1.013294101
0.542000,-0.032773010,-0.107396811,1.012079954
0.562000,-0.033640973,-0.113180615,1.010784149
0.582000,-0.034327209,-0.118842237,1.009440064
0.602000,-0.034772962,-0.124464646,1.007982135
0.622000,-0.034955550,-0.130049944,1.006257176
0.642000,-0.034910675,-0.135535404,1.004226446
0.662000,-0.034695432,-0.140884385,1.002068400
0.682000,-0.034355417,-0.146126226,0.999886215
0.702000,-0.034330733,-0.152553648,0.998958111
0.722000,-0.034524646,-0.160294622,0.998939037
0.742000,-0.034512252,-0.169295371,0.999801815
0.762000,-0.034212735,-0.178966850,1.001405716
0.782000,-0.033843182,-0.188845485,1.003227711
0.802000,-0.033538867,-0.198725984,1.004522324
0.822000,-0.033259816,-0.208321884,1.004939318
0.842000,-0.032876775,-0.217902541,1.003453732
0.862000,-0.032883674,-0.227670595,1.000737548
0.882000,-0.033581808,-0.236483023,1.000310659
0.902000,-0.034383606,-0.244245097,1.001132727
0.922000,-0.035011668,-0.250790149,1.002870440
0.942000,-0.035489917,-0.256410003,1.005011678
0.962000,-0.035873760,-0.261228263,1.007111311
0.982000,-0.036155093,-0.265290737,1.008958101
1.002000,-0.036285762,-0.268585443,1.010367393
1.022000,-0.036241800,-0.271174520,1.011341333
1.042000,-0.036024246,-0.273114562,1.012004972
1.062000,-0.035627622,-0.274504781,1.012385368
1.082000,-0.035001531,-0.275514066,1.012306929
1.102000,-0.034102954,-0.276296437,1.011261582
1.122000,-0.033053514,-0.277116448,1.008652568
1.142000,-0.032206215,-0.279194415,1.006817102
1.162000,-0.031282466,-0.282767981,1.006725669
1.182000,-0.030118898,-0.287595630,1.008051634
1.202000,-0.028765725,-0.293295354,1.009947777
1.222000,-0.027320288,-0.299649864,1.011840582
1.242000,-0.025851266,-0.306603342,1.013474822
1.262000,-0.024405980,-0.314185888,1.014879942
1.282000,-0.022992512,-0.322370261,1.016008615
1.302000,-0.021573542,-0.330977648,1.016603231
1.322000,-0.020118082,-0.339882851,1.015957475
1.342000,-0.018859230,-0.349382639,1.012915492
1.362000,-0.018180156,-0.358565897,1.010270715
1.382000,-0.017658148,-0.366929680,1.009427428
1.402000,-0.016891547,-0.374234140,1.010537267
1.422000,-0.015956579,-0.381016850,1.012374997
1.442000,-0.015043973,-0.387512028,1.014169812
1.462000,-0.014289529,-0.393759251,1.015544772
1.482000,-0.013736342,-0.399743259,1.016352057
1.502000,-0.013392922,-0.405426562,1.016630888
1.522000,-0.013242926,-0.410764933,1.016558409
1.542000,-0.013255582,-0.415707141,1.016283870
1.562000,-0.013390674,-0.420205235,1.015905976
1.582000,-0.013606070,-0.424333453,1.015463114
1.602000,-0.013903131,-0.428178996,1.014871001
1.622000,-0.014294107,-0.431810409,1.013989329
1.642000,-0.014812153,-0.435301811,1.012626171
1.662000,-0.015478823,-0.438689679,1.010555029
1.682000,-0.016316162,-0.441957951,1.007182837
1.702000,-0.017530005,-0.445943415,1.004266381
1.722000,-0.018846218,-0.451183975,1.003434181
1.742000,-0.020182451,-0.457325667,1.004282475
1.762000,-0.021518137,-0.464199603,1.006017923
1.782000,-0.022805911,-0.471689224,1.008353472
1.802000,-0.024076864,-0.479662508,1.011004210
1.822000,-0.025357803,-0.487996638,1.013474464
1.842000,-0.026671210,-0.496676773,1.015222311
1.862000,-0.028002081,-0.505657375,1.015946388
1.882000,-0.029271826,-0.514806032,1.015516520
1.902000,-0.030475663,-0.524354637,1.013067842
1.922000,-0.031922109,-0.534034491,1.009822011
1.942000,-0.033671893,-0.542898774,1.008374214
1.962000,-0.035335805,-0.550894380,1.008021832
1.982000,-0.036696471,-0.557780743,1.008768797
2.002000,-0.037835795,-0.563914359,1.010004282
2.022000,-0.038844924,-0.569422424,1.011370778
2.042000,-0.039735064,-0.574301660,1.012646675
2.062000,-0.040501799,-0.578610301,1.013624310
2.082000,-0.041150209,-0.582431734,1.014187336
2.102000,-0.041703369,-0.585808754,1.014407396
2.122000,-0.042180236,-0.588817000,1.014329195
2.142000,-0.042605478,-0.591559172,1.013844013
2.162000,-0.042984225,-0.594152093,1.012799382
2.182000,-0.043263037,-0.596642196,1.010646105
2.202000,-0.043655124,-0.599386632,1.007498741
