time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004049636,0.000004084,1.032189965
0.042000,-0.004203845,0.000007946,1.026410103
0.062000,-0.004768071,0.000020100,1.019915223
0.082000,-0.005426930,0.000015311,1.019563794
0.102000,-0.005164604,-0.000001541,1.021012783
0.122000,-0.004343142,-0.000021917,1.022308469
0.142000,-0.003339591,-0.000048195,1.023115516
0.162000,-0.002302670,-0.000084460,1.023533702
0.182000,-0.001270214,-0.000124841,1.023697972
0.202000,-0.000230322,-0.000167754,1.023740411
0.222000,0.000844759,-0.000203553,1.023743272
0.242000,0.001976836,-0.000229292,1.023728848
0.262000,0.003179312,-0.000247848,1.023704052
0.282000,0.004465536,-0.000260514,1.023674250
0.302000,0.005847726,-0.000267953,1.023643851
0.322000,0.007330760,-0.000270803,1.023616195
0.342000,0.008910912,-0.000269977,1.023591280
0.362000,0.010579603,-0.000266710,1.023568511
0.382000,0.012326076,-0.000262408,1.023546576
0.402000,0.014138819,-0.000258462,1.023525000
0.422000,0.016005564,-0.000255952,1.023503304
0.442000,0.017913971,-0.000255627,1.023481250
0.462000,0.019851446,-0.000257707,1.023458362
0.482000,0.021803904,-0.000262122,1.023433566
0.502000,0.023754681,-0.000268644,1.023404479
0.522000,0.025688423,-0.000277359,1.023369789
0.542000,0.027592454,-0.000288450,1.023330212
0.562000,0.029456055,-0.000302052,1.023286581
0.582000,0.031272773,-0.000318438,1.023242712
0.602000,0.033034846,-0.000337541,1.023200274
0.622000,0.034728199,-0.000359178,1.023158550
0.642000,0.036339249,-0.000382566,1.023117781
0.662000,0.037857253,-0.000407146,1.023079395
0.682000,0.039271455,-0.000432856,1.023044348
0.702000,0.040571325,-0.000459642,1.023012042
0.722000,0.041748375,-0.000487338,1.022982955
0.742000,0.042796582,-0.000515739,1.022957087
0.762000,0.043711927,-0.000544681,1.022935033
0.782000,0.044492103,-0.000574102,1.022917032
0.802000,0.045136288,-0.000604153,1.022903323
0.822000,0.045644946,-0.000634846,1.022894144
0.842000,0.046020061,-0.000665836,1.022889256
0.862000,0.046265088,-0.000696502,1.022888303
0.882000,0.046384629,-0.000726450,1.022891402
0.902000,0.046384063,-0.000755535,1.022898316
0.922000,0.046269488,-0.000783698,1.022909164
0.942000,0.046047479,-0.000810957,1.022923589
0.962000,0.045725096,-0.000837443,1.022941232
0.982000,0.045309935,-0.000863208,1.022961855
1.002000,0.044809900,-0.000888239,1.022984982
1.022000,0.044233035,-0.000912532,1.023010373
1.042000,0.043586455,-0.000936113,1.023038387
1.062000,0.042876322,-0.000959008,1.023068786
1.082000,0.042109292,-0.000981192,1.023101091
1.102000,0.041292205,-0.001002666,1.023134828
1.122000,0.040431723,-0.001023442,1.023169756
1.142000,0.039534196,-0.001043524,1.023205280
1.162000,0.038605668,-0.001062910,1.023241043
1.182000,0.037651900,-0.001081595,1.023276806
1.202000,0.036678407,-0.001099575,1.023312330
1.222000,0.035690501,-0.001116844,1.023347378
1.242000,0.034693316,-0.001133401,1.023381472
1.262000,0.033691816,-0.001149245,1.023414731
1.282000,0.032691099,-0.001164381,1.023446679
1.302000,0.031696457,-0.001178800,1.023477077
1.322000,0.030713355,-0.001192529,1.023505569
1.342000,0.029747032,-0.001205603,1.023531914
1.362000,0.028802322,-0.001218028,1.023556232
1.382000,0.027883610,-0.001229804,1.023578405
1.402000,0.026994821,-0.001240941,1.023598433
1.422000,0.026139451,-0.001251448,1.023616314
1.442000,0.025320571,-0.001261336,1.023632050
1.462000,0.024540856,-0.001270619,1.023645878
1.482000,0.023802606,-0.001279311,1.023657799
1.502000,0.023107775,-0.001287433,1.023668051
1.522000,0.022457985,-0.001295008,1.023676634
1.542000,0.021854568,-0.001302067,1.023683906
1.562000,0.021298546,-0.001308634,1.023689866
1.582000,0.020790586,-0.001314736,1.023694634
1.602000,0.020330995,-0.001320388,1.023698449
1.622000,0.019919731,-0.001325610,1.023701549
1.642000,0.019556474,-0.001330424,1.023703694
1.662000,0.019240675,-0.001334859,1.023705244
1.682000,0.018971581,-0.001338943,1.023706198
1.702000,0.018748235,-0.001342705,1.023706675
1.722000,0.018569129,-0.001346170,1.023706555
1.742000,0.018432466,-0.001349385,1.023705840
1.762000,0.018336605,-0.001352399,1.023704767
1.782000,0.018279871,-0.001355253,1.023703218
1.802000,0.018260514,-0.001357985,1.023701191
1.822000,0.018276697,-0.001360628,1.023698807
1.842000,0.018326504,-0.001363208,1.023696184
1.862000,0.018407946,-0.001365750,1.023693204
1.882000,0.018518981,-0.001368276,1.023689985
1.902000,0.018657804,-0.001370804,1.023686528
1.922000,0.018823005,-0.001373355,1.023682475
1.942000,0.019012928,-0.001375947,1.023678064
1.962000,0.019225704,-0.001378597,1.023673058
1.982000,0.019459346,-0.001381311,1.023667812
2.002000,0.019711794,-0.001384092,1.023661971
2.022000,0.019980943,-0.001386949,1.023655891
2.042000,0.020264693,-0.001389888,1.023649573
2.062000,0.020560972,-0.001392920,1.023642778
2.082000,0.020867757,-0.001396053,1.023635864
2.102000,0.021183070,-0.001399296,1.023628712
2.122000,0.021504989,-0.001402653,1.023621321
2.142000,0.021831691,-0.001406134,1.023613691
2.162000,0.022161549,-0.001409752,1.023606062
2.182000,0.022493159,-0.001413506,1.023598313
2.202000,0.022825107,-0.001417382,1.023590446
2.222000,0.023155866,-0.001421374,1.023582578
2.242000,0.023483906,-0.001425477,1.023574829
2.262000,0.023807742,-0.001429694,1.023566961
2.282000,0.024125969,-0.001434024,1.023559332
