time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004034135,0.000039534,1.032183170
0.042000,-0.004168628,0.000109041,1.026389718
0.062000,-0.004699535,-0.000136100,1.019692659
0.082000,-0.005376877,-0.000472052,1.019272804
0.102000,-0.005163677,-0.000689173,1.020776391
0.122000,-0.004416032,-0.000847308,1.022203565
0.142000,-0.003509231,-0.001066010,1.023091793
0.162000,-0.002602306,-0.001367539,1.023504019
0.182000,-0.001731178,-0.001701721,1.023666978
0.202000,-0.000870757,-0.002046320,1.023725152
0.222000,0.000009024,-0.002401411,1.023744583
0.242000,0.000928611,-0.002770130,1.023748875
0.262000,0.001903927,-0.003154085,1.023744941
0.282000,0.002950551,-0.003555601,1.023733139
0.302000,0.004079092,-0.003975123,1.023718476
0.322000,0.005291650,-0.004411981,1.023704052
0.342000,0.006584980,-0.004865464,1.023690701
0.362000,0.007951772,-0.005334774,1.023676872
0.382000,0.009380580,-0.005818663,1.023659825
0.402000,0.010864917,-0.006316641,1.023639917
0.422000,0.012401102,-0.006829378,1.023619652
0.442000,0.013979830,-0.007357345,1.023598909
0.462000,0.015589626,-0.007900625,1.023576975
0.482000,0.017217988,-0.008459456,1.023553371
0.502000,0.018850936,-0.009035101,1.023527265
0.522000,0.020473614,-0.009629267,1.023498178
0.542000,0.022066949,-0.010241092,1.023464203
0.562000,0.023614770,-0.010869844,1.023424983
0.582000,0.025104718,-0.011516403,1.023381233
0.602000,0.026528688,-0.012182763,1.023335934
0.622000,0.027877834,-0.012869161,1.023290634
0.642000,0.029141067,-0.013573658,1.023246169
0.662000,0.030306380,-0.014294312,1.023204207
0.682000,0.031362105,-0.015030694,1.023164988
0.702000,0.032300737,-0.015782239,1.023131371
0.722000,0.033116166,-0.016548315,1.023106813
0.742000,0.033802863,-0.017329440,1.023092031
0.762000,0.034356412,-0.018126875,1.023086429
0.782000,0.034774315,-0.018941985,1.023089051
0.802000,0.035053261,-0.019775532,1.023099184
0.822000,0.035191342,-0.020628048,1.023115516
0.842000,0.035188835,-0.021500405,1.023136497
0.862000,0.035047747,-0.022393715,1.023160815
0.882000,0.034771506,-0.023309221,1.023187160
0.902000,0.034364693,-0.024248220,1.023214579
0.922000,0.033832867,-0.025211956,1.023241997
0.942000,0.033182465,-0.026201557,1.023268700
0.962000,0.032420602,-0.027218027,1.023293614
0.982000,0.031554896,-0.028262204,1.023316026
1.002000,0.030593438,-0.029334694,1.023334861
1.022000,0.029544689,-0.030435827,1.023349404
1.042000,0.028417351,-0.031565633,1.023358703
1.062000,0.027220156,-0.032723803,1.023361921
1.082000,0.025961978,-0.033909652,1.023358703
1.102000,0.024651812,-0.035122108,1.023348331
1.122000,0.023298735,-0.036359724,1.023330212
1.142000,0.021911884,-0.037620604,1.023304224
1.162000,0.020500137,-0.038902339,1.023270249
1.182000,0.019071890,-0.040201925,1.023228407
1.202000,0.017635085,-0.041515868,1.023178697
1.222000,0.016197301,-0.042840265,1.023121476
1.242000,0.014765719,-0.044170823,1.023057103
1.262000,0.013347127,-0.045502838,1.022986054
1.282000,0.011948048,-0.046831138,1.022909522
1.302000,0.010574720,-0.048150301,1.022828460
1.322000,0.009233301,-0.049455073,1.022743583
1.342000,0.007929943,-0.050740249,1.022655129
1.362000,0.006670672,-0.052000616,1.022563577
1.382000,0.005461704,-0.053229783,1.022472262
1.402000,0.004308943,-0.054421343,1.022385359
1.422000,0.003217376,-0.055571340,1.022299170
1.442000,0.002189884,-0.056673236,1.022212386
1.462000,0.001228007,-0.057718445,1.022128820
1.482000,0.000332357,-0.058700435,1.022048116
1.502000,-0.000501959,-0.059624851,1.021921515
1.522000,-0.001268643,-0.060481083,1.021823525
1.542000,-0.001958575,-0.061268333,1.021724701
1.562000,-0.002574555,-0.061983343,1.021632791
1.582000,-0.003114088,-0.062626176,1.021519661
1.602000,-0.003565604,-0.063202724,1.021421790
1.622000,-0.003930059,-0.063713394,1.021329880
1.642000,-0.004208365,-0.064157344,1.021254659
1.662000,-0.004402230,-0.064536035,1.021193862
1.682000,-0.004515027,-0.064849392,1.021155596
1.702000,-0.004554599,-0.065098159,1.021129012
1.722000,-0.004527655,-0.065282598,1.021113038
1.742000,-0.004439847,-0.065404288,1.021100402
1.762000,-0.004295084,-0.065465339,1.021092296
1.782000,-0.004097987,-0.065467484,1.021087289
1.802000,-0.003852865,-0.065412559,1.021084070
1.822000,-0.003561131,-0.065302014,1.021092772
1.842000,-0.003229295,-0.065137520,1.021102309
1.862000,-0.002866469,-0.064931534,1.021093488
1.882000,-0.002470618,-0.064679064,1.021122098
1.902000,-0.002051197,-0.064387955,1.021151900
1.922000,-0.001617027,-0.064069010,1.021171570
1.942000,-0.001158706,-0.063724279,1.021219611
1.962000,-0.000685389,-0.063363619,1.021271348
1.982000,-0.000207451,-0.062992193,1.021318555
2.002000,0.000271899,-0.062614448,1.021360159
2.022000,0.000751291,-0.062234513,1.021397829
2.042000,0.001228789,-0.061856519,1.021433473
2.062000,0.001701788,-0.061484411,1.021467209
2.082000,0.002167254,-0.061121784,1.021499038
2.102000,0.002622165,-0.060771253,1.021528602
2.122000,0.003063672,-0.060434431,1.021556020
2.142000,0.003488284,-0.060111903,1.021582246
2.162000,0.003891201,-0.059803527,1.021606803
2.182000,0.004267873,-0.059509303,1.021628737
2.202000,0.004614939,-0.059229646,1.021647334
2.222000,0.004930088,-0.058965396,1.021662712
2.242000,0.005211834,-0.058717750,1.021675110
2.262000,0.005459489,-0.058487911,1.021685123
