time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.004049635,0.000004084,1.032189965
0.042000,-0.004203845,0.000007945,1.026410103
0.062000,-0.004768071,0.000020100,1.019915223
0.082000,-0.005426929,0.000015311,1.019563794
0.102000,-0.005164604,-0.000001541,1.021012783
0.122000,-0.004343143,-0.000021918,1.022308469
0.142000,-0.003339592,-0.000048196,1.023115516
0.162000,-0.002302671,-0.000084461,1.023533702
0.182000,-0.001270215,-0.000124842,1.023697972
0.202000,-0.000230324,-0.000167755,1.023740411
0.222000,0.000844756,-0.000203554,1.023743272
0.242000,0.001976833,-0.000229293,1.023728848
0.262000,0.003179308,-0.000247849,1.023704052
0.282000,0.004465531,-0.000260514,1.023674250
0.302000,0.005847721,-0.000267953,1.023643851
0.322000,0.007330756,-0.000270802,1.023616195
0.342000,0.008910907,-0.000269976,1.023591280
0.362000,0.010579599,-0.000266708,1.023568511
0.382000,0.012326073,-0.000262407,1.023546576
0.402000,0.014138816,-0.000258461,1.023525000
0.422000,0.016005561,-0.000255951,1.023503304
0.442000,0.017913969,-0.000255626,1.023481250
0.462000,0.019851444,-0.000257705,1.023458362
0.482000,0.021803902,-0.000262121,1.023433566
0.502000,0.023754679,-0.000268643,1.023404479
0.522000,0.025688421,-0.000277358,1.023369789
0.542000,0.027592452,-0.000288449,1.023330212
0.562000,0.029456055,-0.000302052,1.023286581
0.582000,0.031272773,-0.000318438,1.023242712
0.602000,0.033034846,-0.000337540,1.023200274
0.622000,0.034728199,-0.000359178,1.023158550
0.642000,0.036339253,-0.000382565,1.023117781
0.662000,0.037857257,-0.000407145,1.023079395
0.682000,0.039271455,-0.000432855,1.023044348
0.702000,0.040571325,-0.000459641,1.023012042
0.722000,0.041748375,-0.000487336,1.022982955
0.742000,0.042796586,-0.000515738,1.022957087
0.762000,0.043711931,-0.000544679,1.022935033
0.782000,0.044492107,-0.000574100,1.022917032
0.802000,0.045136288,-0.000604150,1.022903323
0.822000,0.045644946,-0.000634843,1.022894144
0.842000,0.046020061,-0.000665832,1.022889256
0.862000,0.046265088,-0.000696498,1.022888303
0.882000,0.046384625,-0.000726446,1.022891402
0.902000,0.046384063,-0.000755532,1.022898316
0.922000,0.046269484,-0.000783694,1.022909164
0.942000,0.046047479,-0.000810953,1.022923589
0.962000,0.045725092,-0.000837439,1.022941232
0.982000,0.045309931,-0.000863204,1.022961855
1.002000,0.044809893,-0.000888235,1.022984982
1.022000,0.044233028,-0.000912528,1.023010373
1.042000,0.043586448,-0.000936108,1.023038387
1.062000,0.042876311,-0.000959003,1.023068786
1.082000,0.042109281,-0.000981188,1.023101091
1.102000,0.041292194,-0.001002663,1.023134828
1.122000,0.040431708,-0.001023439,1.023169756
1.142000,0.039534185,-0.001043521,1.023205280
1.162000,0.038605656,-0.001062908,1.023241043
1.182000,0.037651885,-0.001081594,1.023276806
1.202000,0.036678392,-0.001099574,1.023312330
1.222000,0.035690486,-0.001116844,1.023347378
1.242000,0.034693301,-0.001133400,1.023381472
1.262000,0.033691797,-0.001149245,1.023414731
1.282000,0.032691080,-0.001164380,1.023446679
1.302000,0.031696439,-0.001178800,1.023477077
1.322000,0.030713338,-0.001192529,1.023505569
1.342000,0.029747015,-0.001205602,1.023531914
1.362000,0.028802305,-0.001218027,1.023556232
1.382000,0.027883591,-0.001229804,1.023578405
1.402000,0.026994804,-0.001240940,1.023598433
1.422000,0.026139434,-0.001251446,1.023616314
1.442000,0.025320556,-0.001261334,1.023632050
1.462000,0.024540842,-0.001270616,1.023645878
1.482000,0.023802593,-0.001279309,1.023657799
1.502000,0.023107762,-0.001287430,1.023668051
1.522000,0.022457974,-0.001295005,1.023676634
1.542000,0.021854559,-0.001302064,1.023683906
1.562000,0.021298537,-0.001308631,1.023689866
1.582000,0.020790571,-0.001314737,1.023694634
1.602000,0.020330964,-0.001320242,1.023698449
1.622000,0.019919671,-0.001324922,1.023701429
1.642000,0.019556327,-0.001328524,1.023703694
1.662000,0.019240344,-0.001330767,1.023705006
1.682000,0.018971035,-0.001331417,1.023705721
1.702000,0.018747412,-0.001330389,1.023705840
1.722000,0.018568236,-0.001327716,1.023705602
1.742000,0.018432030,-0.001323443,1.023704767
1.762000,0.018337047,-0.001317621,1.023703456
1.782000,0.018281601,-0.001310338,1.023701668
1.802000,0.018263947,-0.001301716,1.023699403
1.822000,0.018282255,-0.001291897,1.023696780
1.842000,0.018334601,-0.001281043,1.023693800
1.862000,0.018418984,-0.001269317,1.023690462
1.882000,0.018533338,-0.001256885,1.023686886
1.902000,0.018675592,-0.001243898,1.023682952
1.922000,0.018843973,-0.001230486,1.023678541
1.942000,0.019036787,-0.001216789,1.023673773
1.962000,0.019252183,-0.001202943,1.023668408
1.982000,0.019488227,-0.001189079,1.023662806
2.002000,0.019743070,-0.001175308,1.023656726
2.022000,0.020014871,-0.001161702,1.023650289
2.042000,0.020301687,-0.001148318,1.023643613
2.062000,0.020601531,-0.001135213,1.023636580
2.082000,0.020912411,-0.001122443,1.023629427
2.102000,0.021232350,-0.001110068,1.023621917
2.122000,0.021559445,-0.001098127,1.023614287
2.142000,0.021891888,-0.001086632,1.023606539
2.162000,0.022227939,-0.001075591,1.023598552
2.182000,0.022566054,-0.001065051,1.023590565
2.202000,0.022904849,-0.001055086,1.023582458
2.222000,0.023242824,-0.001045756,1.023574471
2.242000,0.023578424,-0.001037099,1.023566484
2.262000,0.023910103,-0.001029135,1.023558617
2.282000,0.024236327,-0.001021849,1.023550749
