pose_id,kind,source_time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
representative_pose_01,source,261.39582900,0.27744700,0.77759600,-0.22961800,-0.47545000,0.84738100,0.40014100,0.04635500,0.27819000,-0.77841100,0.22883900,-0.47379600,-0.84847100,0.40059700,-0.04655900
representative_pose_02,source,106.44788000,-0.42278000,0.97566000,-0.24162600,-0.55954300,0.43608200,0.22464400,-0.82740300,0.27862100,-0.77837500,0.22977400,-0.47607300,-0.84804000,0.40052500,-0.04663100
representative_pose_03,source,133.21484100,-0.70631400,0.55189800,-0.62701500,0.39597100,0.72042000,0.06354000,-0.34237700,0.27936400,-0.77835100,0.22977400,-0.47607300,-0.84801600,0.40058500,-0.04667900
representative_pose_04,source,240.07584800,0.27760300,0.77756000,-0.22959400,-0.47548600,0.84736900,0.40012900,0.04635500,-0.77140100,-0.48454600,0.69102200,0.48332400,-0.72112700,-0.03836200,0.31676700
representative_pose_05,source,285.33194200,0.27695500,0.77771600,-0.22959400,-0.47548600,0.84739300,0.40011700,0.04636700,-0.63907100,-0.99809400,0.24114700,-0.51847400,-0.49268300,0.48271300,1.02731200
representative_pose_06,source,135.83100800,-0.68899700,0.76329900,-0.44527400,-0.09015700,0.61175900,0.25395800,-0.73132500,0.27864500,-0.77836300,0.22973800,-0.47607300,-0.84802800,0.40058500,-0.04666700
synth_pose_01,synthesized,,-0.34488541,0.76838958,-0.36848763,-0.22734424,0.69565446,0.30600785,-0.45442463,0.27848299,-0.77838009,0.22941790,-0.47526225,-0.84818573,0.40058927,-0.04662855
synth_pose_02,synthesized,,-0.15919717,0.67754910,-0.40587946,-0.08893068,0.79107113,0.25082033,-0.12606958,-0.23167748,-0.90062181,0.23610224,-0.49966604,-0.65029934,0.44628319,0.55091795
synth_pose_03,synthesized,,0.27740033,0.77760879,-0.22959400,-0.47548600,0.84737651,0.40012525,0.04635875,-0.73001318,-0.64516438,0.55031812,0.16999949,-0.64967836,0.12461054,0.53899859
randomized_pose_01,randomized_bank,,0.27656331,0.77648754,-0.22907263,-0.47361267,0.84751888,0.39980467,0.04567174,0.24342602,-0.77285576,0.23985383,-0.44410184,-0.84330824,0.39447122,-0.03017786
randomized_pose_02,randomized_bank,,-0.03719396,1.04505346,-0.01541629,-0.89152589,0.68955197,0.72818320,-0.93562983,0.27904459,-0.77801805,0.22980795,-0.47602500,-0.84803795,0.40052603,-0.04662413
randomized_pose_03,randomized_bank,,-0.71492096,0.69057610,-0.48411484,0.16645596,0.66620857,0.24703983,-0.59028058,0.27902406,-0.77822409,0.22974929,-0.47601847,-0.84804618,0.40061730,-0.04664953
randomized_pose_04,randomized_bank,,0.27775740,0.77754998,-0.22966510,-0.47558668,0.84735740,0.40012751,0.04645155,-0.67622799,-0.51701683,0.64488939,0.37814162,-0.72484048,0.01150769,0.31061063
randomized_pose_05,randomized_bank,,0.27668245,0.77767228,-0.22960922,-0.47554029,0.84738320,0.40012139,0.04636802,-0.63077452,-0.95122195,0.30736147,-0.39197473,-0.63343311,0.54475324,0.97491478
randomized_pose_06,randomized_bank,,-0.25804023,0.75699148,0.07129407,0.24650683,0.86443425,-0.15520732,-0.16082035,0.27916120,-0.77838521,0.22979122,-0.47605205,-0.84802979,0.40050458,-0.04664605
randomized_pose_07,randomized_bank,,-0.16367175,0.90304919,-0.23711575,-0.52873176,0.58839470,0.28955773,-0.50392943,0.14771040,-0.77214312,0.15672542,-0.30066494,-0.85215312,0.26649489,0.00400113
randomized_pose_08,randomized_bank,,0.27753161,0.77758616,-0.22961554,-0.47548138,0.84739762,0.40011700,0.04636700,-0.43622848,-0.69897836,0.04247138,0.39589081,-0.83718471,-0.20819107,0.22208044
