time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,-0.16367175,0.90304919,-0.23711575,-0.52873176,0.58839470,0.28955773,-0.50392943,0.14771040,-0.77214312,0.15672542,-0.30066494,-0.85215312,0.26649489,0.00400113
0.02000000,-0.16367147,0.90304911,-0.23711575,-0.52873172,0.58839487,0.28955780,-0.50392908,0.14771003,-0.77214307,0.15672534,-0.30066449,-0.85215311,0.26649459,0.00400127
0.04000000,-0.16366952,0.90304855,-0.23711571,-0.52873149,0.58839601,0.28955829,-0.50392665,0.14770745,-0.77214275,0.15672484,-0.30066141,-0.85215304,0.26649249,0.00400224
0.06000000,-0.16366426,0.90304706,-0.23711562,-0.52873085,0.58839910,0.28955960,-0.50392009,0.14770049,-0.77214188,0.15672348,-0.30065312,-0.85215286,0.26648683,0.00400484
0.08000000,-0.16365411,0.90304417,-0.23711545,-0.52872963,0.58840506,0.28956215,-0.50390743,0.14768705,-0.77214020,0.15672085,-0.30063709,-0.85215252,0.26647591,0.00400985
0.10000000,-0.16363750,0.90303945,-0.23711517,-0.52872762,0.58841480,0.28956631,-0.50388672,0.14766508,-0.77213744,0.15671655,-0.30061087,-0.85215196,0.26645804,0.00401806
0.12000000,-0.16361293,0.90303246,-0.23711475,-0.52872466,0.58842923,0.28957247,-0.50385607,0.14763256,-0.77213337,0.15671019,-0.30057208,-0.85215112,0.26643161,0.00403021
0.14000000,-0.16357892,0.90302279,-0.23711417,-0.52872055,0.58844920,0.28958099,-0.50381365,0.14758754,-0.77212773,0.15670138,-0.30051838,-0.85214997,0.26639501,0.00404702
0.16000000,-0.16353403,0.90301003,-0.23711341,-0.52871513,0.58847555,0.28959224,-0.50375766,0.14752812,-0.77212028,0.15668975,-0.30044751,-0.85214845,0.26634671,0.00406921
0.18000000,-0.16347686,0.90299377,-0.23711244,-0.52870823,0.58850911,0.28960656,-0.50368635,0.14745246,-0.77211080,0.15667495,-0.30035725,-0.85214651,0.26628521,0.00409747
0.20000000,-0.16340605,0.90297363,-0.23711123,-0.52869969,0.58855068,0.28962431,-0.50359804,0.14735875,-0.77209906,0.15665661,-0.30024546,-0.85214410,0.26620903,0.00413247
0.22000000,-0.16332028,0.90294924,-0.23710978,-0.52868934,0.58860102,0.28964580,-0.50349106,0.14724523,-0.77208484,0.15663440,-0.30011006,-0.85214119,0.26611675,0.00417486
0.24000000,-0.16321827,0.90292024,-0.23710804,-0.52867702,0.58866091,0.28967136,-0.50336383,0.14711022,-0.77206792,0.15660798,-0.29994900,-0.85213773,0.26600700,0.00422528
0.26000000,-0.16309876,0.90288625,-0.23710601,-0.52866260,0.58873106,0.28970131,-0.50321477,0.14695205,-0.77204810,0.15657704,-0.29976033,-0.85213368,0.26587842,0.00428435
0.28000000,-0.16296055,0.90284695,-0.23710366,-0.52864592,0.58881220,0.28973594,-0.50304238,0.14676912,-0.77202518,0.15654125,-0.29954213,-0.85212899,0.26572972,0.00435267
0.30000000,-0.16280246,0.90280199,-0.23710097,-0.52862684,0.58890501,0.28977556,-0.50284520,0.14655989,-0.77199897,0.15650031,-0.29929254,-0.85212363,0.26555963,0.00443081
0.32000000,-0.16262335,0.90275106,-0.23709793,-0.52860522,0.58901015,0.28982044,-0.50262180,0.14632283,-0.77196927,0.15645392,-0.29900977,-0.85211755,0.26536693,0.00451934
0.34000000,-0.16242212,0.90269384,-0.23709451,-0.52858093,0.58912828,0.28987087,-0.50237082,0.14605650,-0.77193589,0.15640181,-0.29869207,-0.85211072,0.26515042,0.00461881
0.36000000,-0.16219770,0.90263002,-0.23709069,-0.52855385,0.58926003,0.28992710,-0.50209090,0.14575947,-0.77189868,0.15634370,-0.29833776,-0.85210311,0.26490897,0.00472973
0.38000000,-0.16194905,0.90255931,-0.23708647,-0.52852384,0.58940599,0.28998941,-0.50178078,0.14543039,-0.77185745,0.15627931,-0.29794521,-0.85209467,0.26464146,0.00485263
0.40000000,-0.16167519,0.90248144,-0.23708181,-0.52849079,0.58956676,0.29005804,-0.50143920,0.14506793,-0.77181203,0.15620839,-0.29751284,-0.85208538,0.26434681,0.00498800
0.42000000,-0.16137514,0.90239611,-0.23707671,-0.52845457,0.58974290,0.29013322,-0.50106496,0.14467081,-0.77176227,0.15613069,-0.29703914,-0.85207520,0.26402399,0.00513631
0.44000000,-0.16104798,0.90230308,-0.23707115,-0.52841509,0.58993495,0.29021521,-0.50065691,0.14423781,-0.77170802,0.15604597,-0.29652263,-0.85206410,0.26367201,0.00529802
0.46000000,-0.16069282,0.90220208,-0.23706511,-0.52837222,0.59014345,0.29030420,-0.50021392,0.14376774,-0.77164912,0.15595399,-0.29596191,-0.85205205,0.26328989,0.00547357
0.48000000,-0.16030878,0.90209288,-0.23705858,-0.52832587,0.59036889,0.29040044,-0.49973493,0.14325947,-0.77158544,0.15585454,-0.29535561,-0.85203902,0.26287671,0.00566339
0.50000000,-0.15989505,0.90197523,-0.23705155,-0.52827593,0.59061177,0.29050411,-0.49921890,0.14271189,-0.77151683,0.15574740,-0.29470242,-0.85202499,0.26243158,0.00586789
0.52000000,-0.15945082,0.90184890,-0.23704400,-0.52822232,0.59087254,0.29061543,-0.49866483,0.14212395,-0.77144316,0.15563237,-0.29400109,-0.85200992,0.26195364,0.00608747
0.54000000,-0.15897534,0.90171369,-0.23703591,-0.52816493,0.59115167,0.29073458,-0.49807178,0.14149464,-0.77136432,0.15550923,-0.29325042,-0.85199379,0.26144207,0.00632249
0.56000000,-0.15846787,0.90156939,-0.23702729,-0.52810368,0.59144957,0.29086174,-0.49743883,0.14082299,-0.77128016,0.15537782,-0.29244924,-0.85197657,0.26089609,0.00657332
0.58000000,-0.15792771,0.90141578,-0.23701811,-0.52803849,0.59176667,0.29099710,-0.49676511,0.14010809,-0.77119059,0.15523794,-0.29159646,-0.85195824,0.26031494,0.00684031
0.60000000,-0.15735420,0.90125270,-0.23700836,-0.52796927,0.59210334,0.29114081,-0.49604979,0.13934904,-0.77109548,0.15508942,-0.29069103,-0.85193879,0.25969791,0.00712379
0.62000000,-0.15674670,0.90107994,-0.23699803,-0.52789595,0.59245996,0.29129304,-0.49529208,0.13854500,-0.77099474,0.15493211,-0.28973193,-0.85191818,0.25904430,0.00742407
0.64000000,-0.15610461,0.90089735,-0.23698711,-0.52781845,0.59283690,0.29145395,-0.49449122,0.13769518,-0.77088826,0.15476583,-0.28871821,-0.85189639,0.25835348,0.00774144
0.66000000,-0.15542734,0.90070476,-0.23697560,-0.52773671,0.59323448,0.29162366,-0.49364649,0.13679881,-0.77077595,0.15459044,-0.28764896,-0.85187341,0.25762482,0.00807621
0.68000000,-0.15471436,0.90050202,-0.23696348,-0.52765066,0.59365303,0.29180232,-0.49275721,0.13585517,-0.77065772,0.15440581,-0.28652333,-0.85184923,0.25685773,0.00842862
0.70000000,-0.15396515,0.90028897,-0.23695074,-0.52756023,0.59409284,0.29199006,-0.49182275,0.13486358,-0.77053347,0.15421179,-0.28534051,-0.85182381,0.25605166,0.00879894
0.72000000,-0.15317922,0.90006548,-0.23693738,-0.52746538,0.59455421,0.29218701,-0.49084249,0.13382339,-0.77040314,0.15400827,-0.28409971,-0.85179714,0.25520609,0.00918741
0.74000000,-0.15235612,0.89983141,-0.23692339,-0.52736603,0.59503740,0.29239326,-0.48981587,0.13273401,-0.77026665,0.15379512,-0.28280024,-0.85176922,0.25432053,0.00959426
0.76000000,-0.15149543,0.89958666,-0.23690876,-0.52726215,0.59554266,0.29260894,-0.48874236,0.13159487,-0.77012392,0.15357224,-0.28144141,-0.85174002,0.25339452,0.01001968
0.78000000,-0.15059674,0.89933111,-0.23689348,-0.52715369,0.59607022,0.29283414,-0.48762146,0.13040544,-0.76997489,0.15333951,-0.28002259,-0.85170953,0.25242762,0.01046389
0.80000000,-0.14965968,0.89906464,-0.23687755,-0.52704059,0.59662031,0.29306895,-0.48645271,0.12916524,-0.76981950,0.15309685,-0.27854320,-0.85167774,0.25141946,0.01092706
0.82000000,-0.14868392,0.89878717,-0.23686097,-0.52692282,0.59719312,0.29331346,-0.48523568,0.12787380,-0.76965769,0.15284417,-0.27700270,-0.85164464,0.25036965,0.01140936
0.84000000,-0.14766914,0.89849860,-0.23684372,-0.52680035,0.59778883,0.29356775,-0.48396998,0.12653072,-0.76948941,0.15258138,-0.27540060,-0.85161021,0.24927785,0.01191095
0.86000000,-0.14661505,0.89819885,-0.23682580,-0.52667312,0.59840763,0.29383189,-0.48265525,0.12513562,-0.76931461,0.15230841,-0.27373644,-0.85157445,0.24814376,0.01243197
0.88000000,-0.14552139,0.89788785,-0.23680721,-0.52654113,0.59904965,0.29410595,-0.48129116,0.12368814,-0.76913325,0.15202520,-0.27200981,-0.85153734,0.24696711,0.01297255
0.90000000,-0.14438792,0.89756553,-0.23678794,-0.52640432,0.59971503,0.29438998,-0.47987744,0.12218799,-0.76894528,0.15173168,-0.27022034,-0.85149889,0.24574763,0.01353280
0.92000000,-0.14321445,0.89723184,-0.23676799,-0.52626269,0.60040390,0.29468403,-0.47841381,0.12063488,-0.76875069,0.15142779,-0.26836771,-0.85145908,0.24448510,0.01411283
0.94000000,-0.14200079,0.89688672,-0.23674736,-0.52611621,0.60111637,0.29498816,-0.47690006,0.11902859,-0.76854943,0.15111351,-0.26645162,-0.85141790,0.24317934,0.01471272
0.96000000,-0.14074679,0.89653012,-0.23672604,-0.52596486,0.60185251,0.29530240,-0.47533599,0.11736889,-0.76834147,0.15078877,-0.26447185,-0.85137536,0.24183017,0.01533255
0.98000000,-0.13945231,0.89616201,-0.23670403,-0.52580863,0.60261242,0.29562677,-0.47372143,0.11565563,-0.76812681,0.15045355,-0.26242817,-0.85133144,0.24043745,0.01597239
1.00000000,-0.13811725,0.89578237,-0.23668134,-0.52564750,0.60339615,0.29596132,-0.47205626,0.11388866,-0.76790542,0.15010782,-0.26032043,-0.85128615,0.23900108,0.01663229
1.02000000,-0.13674153,0.89539116,-0.23665795,-0.52548146,0.60420375,0.29630606,-0.47034038,0.11206788,-0.76767728,0.14975157,-0.25814850,-0.85123947,0.23752096,0.01731228
1.04000000,-0.13532510,0.89498838,-0.23663387,-0.52531050,0.60503525,0.29666099,-0.46857372,0.11019321,-0.76744240,0.14938477,-0.25591228,-0.85119142,0.23599703,0.01801240
1.06000000,-0.13386792,0.89457401,-0.23660910,-0.52513463,0.60589067,0.29702614,-0.46675623,0.10826462,-0.76720075,0.14900742,-0.25361174,-0.85114198,0.23442927,0.01873266
1.08000000,-0.13236999,0.89414805,-0.23658364,-0.52495384,0.60677001,0.29740150,-0.46488792,0.10628208,-0.76695235,0.14861951,-0.25124686,-0.85109116,0.23281766,0.01947306
1.10000000,-0.13083132,0.89371050,-0.23655748,-0.52476813,0.60767327,0.29778707,-0.46296879,0.10424562,-0.76669719,0.14822106,-0.24881766,-0.85103896,0.23116222,0.02023360
1.12000000,-0.12925194,0.89326138,-0.23653063,-0.52457751,0.60860042,0.29818284,-0.46099890,0.10215530,-0.76643528,0.14781206,-0.24632421,-0.85098538,0.22946299,0.02101426
1.14000000,-0.12763193,0.89280071,-0.23650309,-0.52438199,0.60955142,0.29858879,-0.45897832,0.10001120,-0.76616664,0.14739254,-0.24376659,-0.85093042,0.22772004,0.02181500
1.16000000,-0.12597137,0.89232850,-0.23647487,-0.52418157,0.61052624,0.29900491,-0.45690716,0.09781341,-0.76589127,0.14696252,-0.24114495,-0.85087408,0.22593345,0.02263579
1.18000000,-0.12427035,0.89184479,-0.23644595,-0.52397626,0.61152480,0.29943116,-0.45478555,0.09556210,-0.76560919,0.14652203,-0.23845945,-0.85081637,0.22410335,0.02347657
1.20000000,-0.12252902,0.89134961,-0.23641635,-0.52376610,0.61254703,0.29986751,-0.45261364,0.09325742,-0.76532042,0.14607109,-0.23571030,-0.85075730,0.22222986,0.02433729
1.22000000,-0.12074751,0.89084302,-0.23638606,-0.52355108,0.61359284,0.30031393,-0.45039164,0.09089957,-0.76502499,0.14560975,-0.23289772,-0.85069686,0.22031316,0.02521785
1.24000000,-0.11892600,0.89032504,-0.23635510,-0.52333124,0.61466213,0.30077037,-0.44811974,0.08848878,-0.76472293,0.14513806,-0.23002199,-0.85063506,0.21835342,0.02611819
1.26000000,-0.11706469,0.88979575,-0.23632346,-0.52310659,0.61575480,0.30123679,-0.44579819,0.08602529,-0.76441427,0.14465605,-0.22708341,-0.85057191,0.21635085,0.02703821
1.28000000,-0.11516377,0.88925519,-0.23629114,-0.52287716,0.61687070,0.30171314,-0.44342725,0.08350941,-0.76409904,0.14416379,-0.22408231,-0.85050742,0.21430567,0.02797780
1.30000000,-0.11322349,0.88870344,-0.23625816,-0.52264298,0.61800972,0.30219934,-0.44100720,0.08094141,-0.76377728,0.14366133,-0.22101906,-0.85044159,0.21221814,0.02893685
1.32000000,-0.11124409,0.88814057,-0.23622451,-0.52240408,0.61917170,0.30269535,-0.43853838,0.07832165,-0.76344904,0.14314875,-0.21789406,-0.85037444,0.21008853,0.02991523
1.34000000,-0.10922585,0.88756665,-0.23619020,-0.52216049,0.62035649,0.30320109,-0.43602110,0.07565049,-0.76311436,0.14262610,-0.21470774,-0.85030597,0.20791713,0.03091282
1.36000000,-0.10716906,0.88698177,-0.23615524,-0.52191225,0.62156390,0.30371650,-0.43345574,0.07292829,-0.76277328,0.14209348,-0.21146055,-0.85023619,0.20570425,0.03192945
1.38000000,-0.10507402,0.88638601,-0.23611962,-0.52165939,0.62279377,0.30424148,-0.43084268,0.07015548,-0.76242586,0.14155095,-0.20815298,-0.85016511,0.20345022,0.03296499
1.40000000,-0.10294107,0.88577948,-0.23608336,-0.52140196,0.62404589,0.30477597,-0.42818233,0.06733249,-0.76207215,0.14099860,-0.20478556,-0.85009275,0.20115540,0.03401928
1.42000000,-0.10077055,0.88516225,-0.23604647,-0.52113999,0.62532007,0.30531987,-0.42547512,0.06445977,-0.76171221,0.14043652,-0.20135882,-0.85001911,0.19882016,0.03509213
1.44000000,-0.09856282,0.88453445,-0.23600894,-0.52087353,0.62661608,0.30587310,-0.42272150,0.06153781,-0.76134611,0.13986481,-0.19787334,-0.84994421,0.19644489,0.03618337
1.46000000,-0.09631827,0.88389618,-0.23597078,-0.52060263,0.62793372,0.30643555,-0.41992196,0.05856712,-0.76097389,0.13928356,-0.19432972,-0.84986806,0.19403000,0.03729281
1.48000000,-0.09403729,0.88324755,-0.23593200,-0.52032733,0.62927274,0.30700713,-0.41707698,0.05554821,-0.76059564,0.13869288,-0.19072860,-0.84979068,0.19157592,0.03842026
1.50000000,-0.09172031,0.88258868,-0.23589262,-0.52004769,0.63063290,0.30758773,-0.41418709,0.05248165,-0.76021141,0.13809287,-0.18707063,-0.84971207,0.18908310,0.03956551
1.52000000,-0.08936774,0.88191969,-0.23585262,-0.51976375,0.63201394,0.30817725,-0.41125283,0.04936800,-0.75982129,0.13748365,-0.18335648,-0.84963226,0.18655200,0.04072834
1.54000000,-0.08698005,0.88124071,-0.23581203,-0.51947557,0.63341560,0.30877557,-0.40827475,0.04620785,-0.75942533,0.13686533,-0.17958688,-0.84955125,0.18398311,0.04190853
1.56000000,-0.08455769,0.88055188,-0.23577086,-0.51918321,0.63483762,0.30938258,-0.40525343,0.04300183,-0.75902364,0.13623804,-0.17576256,-0.84946907,0.18137692,0.04310586
1.58000000,-0.08210115,0.87985332,-0.23572910,-0.51888672,0.63627970,0.30999816,-0.40218948,0.03975057,-0.75861627,0.13560189,-0.17188426,-0.84938573,0.17873396,0.04432009
1.60000000,-0.07961093,0.87914519,-0.23568676,-0.51858616,0.63774156,0.31062217,-0.39908351,0.03645471,-0.75820331,0.13495702,-0.16795278,-0.84930124,0.17605475,0.04555097
1.62000000,-0.07708752,0.87842762,-0.23564387,-0.51828160,0.63922289,0.31125450,-0.39593616,0.03311495,-0.75778486,0.13430356,-0.16396891,-0.84921563,0.17333984,0.04679825
1.64000000,-0.07453146,0.87770076,-0.23560042,-0.51797310,0.64072340,0.31189501,-0.39274808,0.02973196,-0.75736098,0.13364164,-0.15993350,-0.84912892,0.17058980,0.04806166
1.66000000,-0.07194328,0.87696477,-0.23555642,-0.51766073,0.64224275,0.31254357,-0.38951995,0.02630648,-0.75693179,0.13297141,-0.15584738,-0.84904111,0.16780521,0.04934095
1.68000000,-0.06932355,0.87621981,-0.23551188,-0.51734454,0.64378064,0.31320004,-0.38625245,0.02283922,-0.75649736,0.13229300,-0.15171144,-0.84895223,0.16498667,0.05063585
1.70000000,-0.06667282,0.87546603,-0.23546682,-0.51702462,0.64533671,0.31386428,-0.38294629,0.01933094,-0.75605779,0.13160657,-0.14752656,-0.84886230,0.16213477,0.05194606
1.72000000,-0.06399167,0.87470361,-0.23542125,-0.51670102,0.64691065,0.31453613,-0.37960220,0.01578241,-0.75561317,0.13091226,-0.14329367,-0.84877134,0.15925016,0.05327130
1.74000000,-0.06128071,0.87393271,-0.23537516,-0.51637382,0.64850208,0.31521546,-0.37622092,0.01219441,-0.75516361,0.13021023,-0.13901370,-0.84867937,0.15633346,0.05461128
1.76000000,-0.05854053,0.87315349,-0.23532858,-0.51604310,0.65011067,0.31590211,-0.37280320,0.00856775,-0.75470921,0.12950063,-0.13468761,-0.84858640,0.15338534,0.05596571
1.78000000,-0.05577176,0.87236615,-0.23528151,-0.51570893,0.65173604,0.31659593,-0.36934981,0.00490323,-0.75425006,0.12878363,-0.13031637,-0.84849247,0.15040644,0.05733426
1.80000000,-0.05297502,0.87157085,-0.23523397,-0.51537138,0.65337784,0.31729675,-0.36586154,0.00120171,-0.75378628,0.12805939,-0.12590098,-0.84839758,0.14739746,0.05871664
1.82000000,-0.05015095,0.87076779,-0.23518596,-0.51503054,0.65503567,0.31800442,-0.36233919,-0.00253598,-0.75331796,0.12732807,-0.12144245,-0.84830177,0.14435908,0.06011253
1.84000000,-0.04730022,0.86995714,-0.23513750,-0.51468647,0.65670915,0.31871877,-0.35878358,-0.00630896,-0.75284523,0.12658984,-0.11694182,-0.84820506,0.14129201,0.06152160
1.86000000,-0.04442348,0.86913909,-0.23508860,-0.51433927,0.65839791,0.31943964,-0.35519553,-0.01011637,-0.75236818,0.12584488,-0.11240013,-0.84810746,0.13819696,0.06294352
1.88000000,-0.04152141,0.86831384,-0.23503926,-0.51398901,0.66010153,0.32016686,-0.35157589,-0.01395729,-0.75188693,0.12509336,-0.10781845,-0.84800901,0.13507465,0.06437796
1.90000000,-0.03859470,0.86748159,-0.23498951,-0.51363577,0.66181962,0.32090025,-0.34792551,-0.01783084,-0.75140159,0.12433546,-0.10319786,-0.84790971,0.13192583,0.06582459
1.92000000,-0.03564404,0.86664252,-0.23493935,-0.51327965,0.66355177,0.32163965,-0.34424526,-0.02173608,-0.75091228,0.12357136,-0.09853946,-0.84780961,0.12875125,0.06728305
1.94000000,-0.03267014,0.86579684,-0.23488880,-0.51292071,0.66529756,0.32238486,-0.34053602,-0.02567209,-0.75041912,0.12280123,-0.09384437,-0.84770871,0.12555165,0.06875300
1.96000000,-0.02967370,0.86494476,-0.23483786,-0.51255906,0.66705658,0.32313573,-0.33679868,-0.02963791,-0.74992222,0.12202528,-0.08911371,-0.84760706,0.12232782,0.07023409
1.98000000,-0.02665547,0.86408648,-0.23478655,-0.51219478,0.66882840,0.32389206,-0.33303415,-0.03363259,-0.74942171,0.12124368,-0.08434863,-0.84750466,0.11908054,0.07172595
2.00000000,-0.02361616,0.86322220,-0.23473488,-0.51182796,0.67061259,0.32465366,-0.32924333,-0.03765516,-0.74891770,0.12045662,-0.07955028,-0.84740155,0.11581058,0.07322823
2.02000000,-0.02055652,0.86235215,-0.23468287,-0.51145868,0.67240871,0.32542036,-0.32542716,-0.04170463,-0.74841032,0.11966429,-0.07471983,-0.84729774,0.11251874,0.07474056
2.04000000,-0.01747730,0.86147653,-0.23463053,-0.51108704,0.67421633,0.32619197,-0.32158657,-0.04578002,-0.74789969,0.11886690,-0.06985848,-0.84719328,0.10920585,0.07626256
