time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,0.24318400,0.32195600,-0.10706700,0.73631100,0.06639300,0.04969900,0.00659100,0.25242400,-0.31495700,0.11346700,0.69877600,-0.06790300,0.05015400,-0.00154600
0.02000000,0.24318401,0.32195609,-0.10706702,0.73631077,0.06639315,0.04969907,0.00659101,0.25242400,-0.31495709,0.11346702,0.69877578,-0.06790315,0.05015407,-0.00154601
0.04000000,0.24318405,0.32195669,-0.10706718,0.73630918,0.06639418,0.04969953,0.00659106,0.25242404,-0.31495770,0.11346717,0.69877424,-0.06790417,0.05015453,-0.00154607
0.06000000,0.24318417,0.32195830,-0.10706762,0.73630487,0.06639695,0.04970077,0.00659120,0.25242413,-0.31495934,0.11346758,0.69877007,-0.06790695,0.05015577,-0.00154623
0.08000000,0.24318441,0.32196144,-0.10706846,0.73629653,0.06640233,0.04970319,0.00659147,0.25242431,-0.31496254,0.11346838,0.69876200,-0.06791232,0.05015819,-0.00154654
0.10000000,0.24318480,0.32196659,-0.10706985,0.73628285,0.06641114,0.04970714,0.00659192,0.25242460,-0.31496777,0.11346968,0.69874876,-0.06792113,0.05016214,-0.00154705
0.12000000,0.24318537,0.32197422,-0.10707190,0.73626255,0.06642423,0.04971301,0.00659259,0.25242503,-0.31497553,0.11347161,0.69872912,-0.06793421,0.05016801,-0.00154780
0.14000000,0.24318617,0.32198481,-0.10707475,0.73623437,0.06644239,0.04972116,0.00659351,0.25242563,-0.31498631,0.11347430,0.69870185,-0.06795236,0.05017616,-0.00154885
0.16000000,0.24318722,0.32199883,-0.10707852,0.73619708,0.06646642,0.04973195,0.00659474,0.25242642,-0.31500057,0.11347785,0.69866577,-0.06797638,0.05018695,-0.00155023
0.18000000,0.24318857,0.32201674,-0.10708334,0.73614946,0.06649711,0.04974572,0.00659630,0.25242743,-0.31501878,0.11348238,0.69861968,-0.06800706,0.05020072,-0.00155200
0.20000000,0.24319024,0.32203898,-0.10708932,0.73609031,0.06653524,0.04976282,0.00659824,0.25242869,-0.31504141,0.11348801,0.69856244,-0.06804516,0.05021782,-0.00155420
0.22000000,0.24319227,0.32206600,-0.10709659,0.73601845,0.06658155,0.04978360,0.00660060,0.25243022,-0.31506889,0.11349485,0.69849292,-0.06809145,0.05023860,-0.00155687
