time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,-0.16367175,0.90304919,-0.23711575,-0.52873176,0.58839470,0.28955773,-0.50392943,0.14771040,-0.77214312,0.15672542,-0.30066494,-0.85215312,0.26649489,0.00400113
0.02000000,-0.16367181,0.90304910,-0.23711555,-0.52873126,0.58839488,0.28955744,-0.50392921,0.14771049,-0.77214312,0.15672546,-0.30066505,-0.85215311,0.26649497,0.00400110
0.04000000,-0.16367223,0.90304845,-0.23711419,-0.52872784,0.58839610,0.28955548,-0.50392770,0.14771107,-0.77214315,0.15672579,-0.30066583,-0.85215310,0.26649557,0.00400088
0.06000000,-0.16367335,0.90304671,-0.23711052,-0.52871860,0.58839939,0.28955018,-0.50392361,0.14771263,-0.77214323,0.15672666,-0.30066791,-0.85215305,0.26649716,0.00400028
0.08000000,-0.16367552,0.90304335,-0.23710342,-0.52870076,0.58840574,0.28953994,-0.50391571,0.14771566,-0.77214337,0.15672834,-0.30067195,-0.85215295,0.26650025,0.00399911
0.10000000,-0.16367907,0.90303785,-0.23709181,-0.52867158,0.58841613,0.28952320,-0.50390280,0.14772061,-0.77214361,0.15673109,-0.30067855,-0.85215280,0.26650529,0.00399720
0.12000000,-0.16368433,0.90302972,-0.23707464,-0.52862841,0.58843150,0.28949843,-0.50388369,0.14772793,-0.77214395,0.15673516,-0.30068832,-0.85215257,0.26651275,0.00399438
0.14000000,-0.16369161,0.90301846,-0.23705086,-0.52856864,0.58845278,0.28946415,-0.50385724,0.14773806,-0.77214443,0.15674079,-0.30070184,-0.85215225,0.26652308,0.00399048
0.16000000,-0.16370121,0.90300360,-0.23701948,-0.52848976,0.58848087,0.28941889,-0.50382233,0.14775144,-0.77214507,0.15674822,-0.30071969,-0.85215183,0.26653672,0.00398532
0.18000000,-0.16371344,0.90298467,-0.23697952,-0.52838931,0.58851664,0.28936126,-0.50377787,0.14776847,-0.77214588,0.15675769,-0.30074241,-0.85215130,0.26655408,0.00397876
0.20000000,-0.16372858,0.90296123,-0.23693002,-0.52826490,0.58856094,0.28928988,-0.50372281,0.14778956,-0.77214688,0.15676942,-0.30077056,-0.85215063,0.26657559,0.00397063
0.22000000,-0.16374692,0.90293284,-0.23687007,-0.52811420,0.58861460,0.28920342,-0.50365611,0.14781512,-0.77214809,0.15678362,-0.30080465,-0.85214983,0.26660164,0.00396079
0.24000000,-0.16376874,0.90289907,-0.23679876,-0.52793495,0.58867842,0.28910059,-0.50357678,0.14784551,-0.77214954,0.15680052,-0.30084520,-0.85214888,0.26663263,0.00394908
0.26000000,-0.16379431,0.90285951,-0.23671522,-0.52772496,0.58875319,0.28898012,-0.50348384,0.14788112,-0.77215123,0.15682031,-0.30089271,-0.85214776,0.26666892,0.00393536
0.28000000,-0.16382387,0.90281375,-0.23661861,-0.52748211,0.58883966,0.28884079,-0.50337636,0.14792229,-0.77215318,0.15684319,-0.30094765,-0.85214647,0.26671090,0.00391949
0.30000000,-0.16385768,0.90276142,-0.23650810,-0.52720433,0.58893857,0.28868142,-0.50325342,0.14796940,-0.77215542,0.15686938,-0.30101050,-0.85214499,0.26675892,0.00390135
0.32000000,-0.16389599,0.90270212,-0.23638290,-0.52688962,0.58905063,0.28850087,-0.50311413,0.14802276,-0.77215795,0.15689904,-0.30108170,-0.85214332,0.26681333,0.00388079
0.34000000,-0.16393903,0.90263551,-0.23624223,-0.52653603,0.58917653,0.28829801,-0.50295764,0.14808271,-0.77216080,0.15693236,-0.30116169,-0.85214144,0.26687445,0.00385769
0.36000000,-0.16398703,0.90256121,-0.23608536,-0.52614170,0.58931694,0.28807177,-0.50278311,0.14814958,-0.77216398,0.15696953,-0.30125090,-0.85213934,0.26694261,0.00383192
0.38000000,-0.16404022,0.90247890,-0.23591155,-0.52570481,0.58947251,0.28782112,-0.50258975,0.14822366,-0.77216749,0.15701071,-0.30134974,-0.85213702,0.26701813,0.00380338
0.40000000,-0.16409879,0.90238824,-0.23572012,-0.52522360,0.58964385,0.28754505,-0.50237677,0.14830525,-0.77217137,0.15705606,-0.30145861,-0.85213446,0.26710132,0.00377194
0.42000000,-0.16416297,0.90228891,-0.23551038,-0.52469639,0.58983158,0.28724258,-0.50214344,0.14839465,-0.77217561,0.15710575,-0.30157789,-0.85213165,0.26719245,0.00373750
0.44000000,-0.16423294,0.90218061,-0.23528169,-0.52412154,0.59003626,0.28691278,-0.50188902,0.14849212,-0.77218024,0.15715993,-0.30170794,-0.85212860,0.26729182,0.00369994
0.46000000,-0.16430891,0.90206303,-0.23503342,-0.52349747,0.59025847,0.28655475,-0.50161282,0.14859794,-0.77218527,0.15721875,-0.30184912,-0.85212528,0.26739970,0.00365917
0.48000000,-0.16439105,0.90193590,-0.23476497,-0.52282268,0.59049875,0.28616761,-0.50131417,0.14871236,-0.77219070,0.15728234,-0.30200178,-0.85212169,0.26751635,0.00361509
