time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,0.00988991,1.04326463,-0.00073090,-0.92963741,0.69397586,0.71548688,-0.87259149,0.27902390,-0.77804000,0.22981467,-0.47601990,-0.84802110,0.40053190,-0.04662590
0.02000000,0.01133775,1.04185773,-0.00240243,-0.92827858,0.69509775,0.71355744,-0.86673220,0.27902215,-0.77804000,0.22981628,-0.47601815,-0.84802285,0.40054385,-0.04662415
0.04000000,0.01249351,1.04019938,-0.00411805,-0.92656399,0.69639544,0.71150810,-0.86132401,0.27901700,-0.77805352,0.22981480,-0.47601976,-0.84802800,0.40053548,-0.04661900
0.06000000,0.01381753,1.03848403,-0.00562983,-0.92442170,0.69781618,0.70935861,-0.85615612,0.27901033,-0.77805065,0.22981612,-0.47602500,-0.84802800,0.40050498,-0.04661900
0.08000000,0.01550690,1.03689148,-0.00708024,-0.92175998,0.69899951,0.70739478,-0.85005845,0.27901161,-0.77802677,0.22981494,-0.47601839,-0.84803461,0.40049561,-0.04662561
0.10000000,0.01743048,1.03535454,-0.00848846,-0.91877407,0.69989598,0.70560503,-0.84337467,0.27901700,-0.77802900,0.22981596,-0.47601950,-0.84802700,0.40051400,-0.04662450
0.12000000,0.01935157,1.03376914,-0.00998414,-0.91553846,0.70079441,0.70379479,-0.83740638,0.27901064,-0.77804636,0.22981517,-0.47602500,-0.84800964,0.40052500,-0.04661900
0.14000000,0.02134462,1.03189514,-0.01162270,-0.91191000,0.70173752,0.70186979,-0.83164177,0.27901748,-0.77804576,0.22981572,-0.47602500,-0.84802896,0.40052500,-0.04662524
0.16000000,0.02334752,1.02973824,-0.01330159,-0.90856247,0.70267784,0.69976424,-0.82498591,0.27903516,-0.77804000,0.22981535,-0.47601267,-0.84802119,0.40055581,-0.04662484
0.18000000,0.02528665,1.02765957,-0.01503228,-0.90561439,0.70371184,0.69721560,-0.81790115,0.27902878,-0.77804000,0.22981560,-0.47601933,-0.84801644,0.40055445,-0.04661900
0.20000000,0.02719381,1.02567343,-0.01693611,-0.90255480,0.70481509,0.69455307,-0.81122099,0.27901095,-0.77804605,0.22981545,-0.47603095,-0.84803395,0.40050685,-0.04661900
0.22000000,0.02894093,1.02354395,-0.01895170,-0.89927473,0.70593625,0.69210857,-0.80443367,0.27901698,-0.77804601,0.22981549,-0.47601901,-0.84801602,0.40053694,-0.04663098
0.24000000,0.03062849,1.02110062,-0.02077788,-0.89573308,0.70726474,0.68937973,-0.79711206,0.27902900,-0.77803407,0.22982100,-0.47601893,-0.84799807,0.40055533,-0.04663113
0.26000000,0.03231000,1.01863221,-0.02265035,-0.89224920,0.70848804,0.68665892,-0.78955324,0.27901734,-0.77802800,0.22981566,-0.47601917,-0.84801532,0.40049002,-0.04661900
0.28000000,0.03426579,1.01647401,-0.02469269,-0.88917898,0.70937403,0.68427968,-0.78179824,0.27900500,-0.77803941,0.22981000,-0.47602441,-0.84802859,0.40048154,-0.04662471
0.30000000,0.03652582,1.01427978,-0.02650724,-0.88631153,0.71027502,0.68189241,-0.77456662,0.27901063,-0.77805200,0.22981516,-0.47603137,-0.84801600,0.40050737,-0.04662537
0.32000000,0.03877066,1.01202819,-0.02821614,-0.88289502,0.71126197,0.67948995,-0.76764203,0.27901700,-0.77805200,0.22981597,-0.47602500,-0.84802149,0.40050649,-0.04661900
0.34000000,0.04125325,1.00981305,-0.03013499,-0.87854983,0.71231353,0.67695450,-0.75956454,0.27901169,-0.77804138,0.22981487,-0.47601969,-0.84802800,0.40050769,-0.04661900
0.36000000,0.04393294,1.00768193,-0.03201192,-0.87381623,0.71347463,0.67444900,-0.75142039,0.27901023,-0.77803323,0.22982100,-0.47601823,-0.84802800,0.40049054,-0.04662423
0.38000000,0.04704181,1.00578528,-0.03381775,-0.86904970,0.71483548,0.67210872,-0.74361889,0.27902217,-0.77804517,0.22981626,-0.47602500,-0.84802800,0.40050286,-0.04662583
