time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,-0.30137945,0.82242391,-0.32051369,-0.37550957,0.70736815,0.37489447,-0.62972951,0.27920514,-0.77815561,0.22979506,-0.47603982,-0.84802453,0.40052836,-0.04666307
0.02000000,-0.30062971,0.82149463,-0.32152334,-0.37491068,0.70787492,0.37373953,-0.62670069,0.27919302,-0.77815572,0.22979024,-0.47604447,-0.84801967,0.40056305,-0.04667301
0.04000000,-0.30003121,0.82047999,-0.32254947,-0.37412636,0.70850025,0.37259095,-0.62391151,0.27919572,-0.77816834,0.22978934,-0.47604543,-0.84802784,0.40053124,-0.04666544
0.06000000,-0.29934004,0.81944311,-0.32341387,-0.37304164,0.70921248,0.37143661,-0.62123570,0.27920352,-0.77816702,0.22979002,-0.47604814,-0.84802245,0.40052573,-0.04665974
0.08000000,-0.29846498,0.81850729,-0.32432296,-0.37173605,0.70978563,0.37035171,-0.61807258,0.27919914,-0.77814913,0.22980046,-0.47604472,-0.84802564,0.40054345,-0.04665740
0.10000000,-0.29746888,0.81751980,-0.32519662,-0.37025376,0.71022097,0.36932272,-0.61461671,0.27919617,-0.77815553,0.22979051,-0.47604530,-0.84801619,0.40054301,-0.04666207
0.12000000,-0.29647406,0.81647000,-0.32613164,-0.36859780,0.71068482,0.36833638,-0.61152639,0.27919807,-0.77816480,0.22978953,-0.47604814,-0.84801240,0.40052622,-0.04666498
0.14000000,-0.29543111,0.81531920,-0.32704853,-0.36673064,0.71115688,0.36728860,-0.60855214,0.27919648,-0.77815905,0.22979526,-0.47604814,-0.84802271,0.40052500,-0.04666308
0.16000000,-0.29440406,0.81411038,-0.32795376,-0.36501951,0.71163195,0.36617894,-0.60508995,0.27921070,-0.77816113,0.22980082,-0.47604176,-0.84800786,0.40054637,-0.04666252
0.18000000,-0.29338989,0.81300142,-0.32887913,-0.36349438,0.71215587,0.36484726,-0.60140391,0.27921316,-0.77815612,0.22979594,-0.47603982,-0.84802621,0.40054065,-0.04665950
0.20000000,-0.29240684,0.81195486,-0.32985093,-0.36197428,0.71273173,0.36347306,-0.59796490,0.27920968,-0.77816421,0.22980082,-0.47605079,-0.84803151,0.40052096,-0.04665950
0.22000000,-0.29151853,0.81088279,-0.33088274,-0.36035012,0.71333936,0.36220231,-0.59445190,0.27921323,-0.77815929,0.22979062,-0.47604504,-0.84802179,0.40056359,-0.04666038
0.24000000,-0.29063543,0.80962031,-0.33183278,-0.35844259,0.71402961,0.36079936,-0.59065520,0.27921945,-0.77815265,0.22979255,-0.47604500,-0.84801250,0.40059133,-0.04666530
0.26000000,-0.28976896,0.80835258,-0.33278757,-0.35661024,0.71467884,0.35940715,-0.58675098,0.27921867,-0.77815476,0.22978979,-0.47604513,-0.84801618,0.40055371,-0.04665425
0.28000000,-0.28876194,0.80724650,-0.33384362,-0.35501823,0.71510266,0.35817146,-0.58271532,0.27921281,-0.77816120,0.22978686,-0.47603216,-0.84801207,0.40055401,-0.04666190
0.30000000,-0.28759217,0.80610098,-0.33478326,-0.35354375,0.71557569,0.35693469,-0.57896828,0.27920534,-0.77816252,0.22978953,-0.47604448,-0.84801482,0.40056794,-0.04665240
0.32000000,-0.28642454,0.80491834,-0.33568326,-0.35183258,0.71607245,0.35568027,-0.57539797,0.27920745,-0.77816193,0.22978995,-0.47604753,-0.84802918,0.40055198,-0.04666817
0.34000000,-0.28513835,0.80373855,-0.33668386,-0.34965571,0.71659970,0.35435065,-0.57121186,0.27920471,-0.77816158,0.22978938,-0.47604025,-0.84803379,0.40055075,-0.04665559
0.36000000,-0.28375070,0.80259016,-0.33766669,-0.34729980,0.71717344,0.35301033,-0.56698875,0.27920395,-0.77815800,0.22979255,-0.47604397,-0.84801843,0.40052651,-0.04665642
0.38000000,-0.28214082,0.80154184,-0.33860825,-0.34487858,0.71786459,0.35176759,-0.56296349,0.27921013,-0.77815908,0.22979010,-0.47604814,-0.84803174,0.40052579,-0.04665215
0.40000000,-0.28042685,0.80041504,-0.33961355,-0.34255559,0.71866215,0.35033127,-0.55870220,0.27919844,-0.77817209,0.22978686,-0.47604043,-0.84802100,0.40055635,-0.04666316
0.42000000,-0.27915286,0.79912635,-0.34055706,-0.34053902,0.71956101,0.34871702,-0.55479080,0.27920627,-0.77816341,0.22979191,-0.47603109,-0.84800836,0.40058687,-0.04666529
0.44000000,-0.27804628,0.79779423,-0.34149757,-0.33871317,0.72051126,0.34713571,-0.55059679,0.27919883,-0.77815937,0.22979499,-0.47604046,-0.84801667,0.40055334,-0.04666031
0.46000000,-0.27688043,0.79664905,-0.34247275,-0.33695172,0.72129340,0.34564874,-0.54597442,0.27919662,-0.77816066,0.22979108,-0.47604846,-0.84802843,0.40053678,-0.04665950
0.48000000,-0.27569532,0.79554491,-0.34349714,-0.33504724,0.72215200,0.34416431,-0.54138038,0.27919423,-0.77816159,0.22979176,-0.47603952,-0.84803084,0.40056020,-0.04664969
0.50000000,-0.27460596,0.79418734,-0.34468223,-0.33304058,0.72298949,0.34267411,-0.53680169,0.27919921,-0.77816569,0.22979000,-0.47604725,-0.84803045,0.40055784,-0.04666260
0.52000000,-0.27356433,0.79282086,-0.34598036,-0.33080873,0.72369029,0.34116372,-0.53241503,0.27920032,-0.77816680,0.22979035,-0.47604568,-0.84802454,0.40052295,-0.04666042
0.54000000,-0.27225749,0.79161920,-0.34724272,-0.32821758,0.72434554,0.33940224,-0.52781327,0.27919639,-0.77816052,0.22979171,-0.47605108,-0.84802320,0.40049006,-0.04666435
0.56000000,-0.27070467,0.79027999,-0.34852308,-0.32532614,0.72500655,0.33752612,-0.52283897,0.27919774,-0.77815826,0.22978781,-0.47604103,-0.84802571,0.40052416,-0.04666529
0.58000000,-0.26930107,0.78868273,-0.34973791,-0.32275537,0.72563728,0.33607034,-0.51858496,0.27920870,-0.77815272,0.22978686,-0.47604574,-0.84802882,0.40053811,-0.04665569
