time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.00000000,-0.63567900,0.58524364,-0.66395656,0.21961707,0.72175131,0.00910231,-0.36889865,0.27939978,-0.77827978,0.22977400,-0.47606122,-0.84802822,0.40052456,-0.04670300
0.02000000,-0.63567900,0.58514104,-0.66403126,0.21956113,0.72171399,0.00902120,-0.36890077,0.27939446,-0.77828000,0.22977123,-0.47606377,-0.84802523,0.40053885,-0.04670831
0.04000000,-0.63567900,0.58503646,-0.66410596,0.21950735,0.72167514,0.00894053,-0.36890376,0.27938848,-0.77828000,0.22976824,-0.47606676,-0.84802224,0.40055379,-0.04671404
0.06000000,-0.63567900,0.58493188,-0.66418065,0.21945357,0.72163630,0.00885985,-0.36890675,0.27938251,-0.77828000,0.22976525,-0.47606975,-0.84801925,0.40056873,-0.04671976
0.08000000,-0.63567900,0.58482731,-0.66425535,0.21939979,0.72159746,0.00877918,-0.36890973,0.27937653,-0.77828000,0.22976227,-0.47607273,-0.84801627,0.40058367,-0.04672549
0.10000000,-0.63567900,0.58474486,-0.66432699,0.21934609,0.72157226,0.00873147,-0.36891543,0.27937872,-0.77828272,0.22976200,-0.47607300,-0.84801872,0.40057141,-0.04672351
0.12000000,-0.63567900,0.58466458,-0.66439832,0.21929240,0.72154840,0.00868698,-0.36892140,0.27938170,-0.77828570,0.22976200,-0.47607300,-0.84802170,0.40055650,-0.04672078
0.14000000,-0.63567900,0.58458429,-0.66446966,0.21923871,0.72152454,0.00864248,-0.36892737,0.27938468,-0.77828868,0.22976200,-0.47607300,-0.84802468,0.40054159,-0.04671804
0.16000000,-0.63567900,0.58450401,-0.66454100,0.21918502,0.72150068,0.00859799,-0.36893333,0.27938767,-0.77829167,0.22976200,-0.47607300,-0.84802767,0.40052667,-0.04671531
0.18000000,-0.63567637,0.58442667,-0.66458579,0.21916871,0.72148749,0.00857460,-0.36893400,0.27939326,-0.77829200,0.22976200,-0.47607300,-0.84802537,0.40053026,-0.04671237
