time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
675025.401335,0.277051,0.774696,-0.22782,-0.470429,0.841484,0.396774,0.046103,0.27831,-0.774337,0.227437,-0.468691,-0.841736,0.397205,-0.046762
675025.421422,0.27354,0.777045,-0.227808,-0.479453,0.845547,0.397421,0.047194,0.275134,-0.777776,0.227497,-0.477631,-0.846446,0.397325,-0.047721
675025.441505,0.271239,0.777009,-0.227904,-0.481886,0.846961,0.397613,0.047745,0.272222,-0.777884,0.227473,-0.479836,-0.848064,0.39784,-0.048093
675025.461604,0.270256,0.777045,-0.22764,-0.48149,0.847309,0.39838,0.047757,0.272198,-0.777896,0.227473,-0.479681,-0.848267,0.398775,-0.047985
675025.481706,0.272593,0.777453,-0.227209,-0.48046,0.847369,0.39953,0.047757,0.274786,-0.777908,0.227521,-0.479273,-0.848243,0.39959,-0.047757
675025.501783,0.276212,0.777513,-0.228216,-0.477943,0.847141,0.399974,0.047637,0.277531,-0.777836,0.228108,-0.478362,-0.848148,0.399997,-0.04741
675025.521869,0.278777,0.777489,-0.229498,-0.477128,0.846817,0.400069,0.047505,0.279532,-0.777788,0.228695,-0.476864,-0.848004,0.400693,-0.046978
675025.542132,0.280191,0.777429,-0.230181,-0.476732,0.846817,0.400093,0.04741,0.280742,-0.7778,0.229162,-0.475678,-0.847932,0.401052,-0.046583
675025.562473,0.280335,0.777393,-0.230397,-0.476493,0.846793,0.400081,0.047398,0.28079,-0.777776,0.229798,-0.47563,-0.847932,0.400824,-0.046511
675025.582603,0.280143,0.777405,-0.230385,-0.476553,0.846829,0.400045,0.047398,0.280719,-0.777812,0.229953,-0.475678,-0.847932,0.400417,-0.046511
675025.602686,0.279664,0.777429,-0.230277,-0.476601,0.846841,0.400045,0.047398,0.280479,-0.777824,0.229833,-0.475774,-0.84798,0.400429,-0.046559
675025.622775,0.279376,0.777453,-0.230085,-0.476637,0.846913,0.400045,0.04741,0.280299,-0.777824,0.229738,-0.475774,-0.848004,0.400621,-0.046583
675025.642872,0.279376,0.777441,-0.230073,-0.476613,0.846961,0.400045,0.04741,0.280323,-0.777824,0.229738,-0.475762,-0.84798,0.400597,-0.046607
675025.662975,0.279436,0.777405,-0.230121,-0.476601,0.846937,0.400045,0.04741,0.280407,-0.777812,0.229857,-0.47575,-0.847956,0.400549,-0.046571
675025.68308,0.279508,0.777417,-0.230157,-0.476577,0.846937,0.400045,0.047422,0.280431,-0.777812,0.229893,-0.47575,-0.847956,0.400513,-0.046583
675025.703172,0.279496,0.777429,-0.230121,-0.476577,0.846961,0.400033,0.047398,0.280395,-0.777812,0.229857,-0.47575,-0.847956,0.400525,-0.046583
675025.723258,0.27946,0.777429,-0.230097,-0.476589,0.846961,0.400033,0.047422,0.280371,-0.777824,0.229845,-0.47575,-0.847956,0.400537,-0.046583
675025.74336,0.279448,0.777429,-0.230097,-0.476577,0.846997,0.400045,0.047398,0.280395,-0.777788,0.229833,-0.47575,-0.847956,0.400525,-0.046595
675025.763458,0.279472,0.777429,-0.230145,-0.476589,0.846973,0.400033,0.04741,0.280395,-0.777812,0.229857,-0.47575,-0.847956,0.400537,-0.046583
675025.78355,0.279484,0.777429,-0.230121,-0.476577,0.847009,0.400033,0.04741,0.280407,-0.777824,0.229833,-0.475762,-0.848004,0.400525,-0.046583
675025.803639,0.279496,0.777417,-0.230121,-0.476565,0.847057,0.400033,0.047422,0.280383,-0.777812,0.229857,-0.47575,-0.847968,0.400525,-0.046571
675025.823719,0.27946,0.777429,-0.230121,-0.476577,0.847105,0.400033,0.04741,0.280383,-0.7778,0.229833,-0.475774,-0.847944,0.400513,-0.046607
675025.843811,0.279472,0.777429,-0.230109,-0.476589,0.847153,0.400033,0.04741,0.280371,-0.777824,0.229833,-0.475762,-0.847968,0.400537,-0.046595
675025.863898,0.279484,0.777429,-0.230109,-0.476565,0.847165,0.400033,0.047422,0.280407,-0.777788,0.229857,-0.475762,-0.847968,0.400501,-0.046583
675025.883978,0.279496,0.777405,-0.230121,-0.476565,0.847165,0.400045,0.047386,0.280371,-0.777812,0.229833,-0.475762,-0.847968,0.400525,-0.046583
675025.904081,0.279496,0.777441,-0.230133,-0.476553,0.847165,0.400033,0.04741,0.280383,-0.777812,0.229833,-0.47575,-0.847956,0.400525,-0.046583
675025.924175,0.279472,0.777429,-0.230097,-0.476565,0.847177,0.400045,0.04741,0.280371,-0.777824,0.229833,-0.47575,-0.847968,0.400525,-0.046595
675025.944251,0.279472,0.777429,-0.230109,-0.476553,0.847177,0.400045,0.04741,0.280383,-0.777812,0.229833,-0.47575,-0.847968,0.400537,-0.046583
675025.964414,0.279472,0.777429,-0.230133,-0.476553,0.847177,0.400033,0.047398,0.280395,-0.777836,0.229857,-0.475738,-0.847968,0.400537,-0.046595
675025.984496,0.279484,0.777405,-0.230121,-0.476553,0.847165,0.400045,0.047398,0.280407,-0.7778,0.229833,-0.475762,-0.847956,0.400573,-0.046583
675026.004579,0.279484,0.777429,-0.230109,-0.476541,0.847177,0.400009,0.04741,0.280395,-0.7778,0.229833,-0.47575,-0.84798,0.400513,-0.046583
675026.024676,0.27946,0.777405,-0.230133,-0.476541,0.847141,0.400033,0.04741,0.280371,-0.777824,0.229833,-0.47575,-0.847968,0.400549,-0.046595
675026.044784,0.279472,0.777429,-0.230121,-0.476529,0.847165,0.400033,0.047422,0.280407,-0.777824,0.229833,-0.475738,-0.847956,0.400537,-0.046607
675026.064872,0.279448,0.777429,-0.230097,-0.476529,0.847141,0.399985,0.04741,0.280395,-0.7778,0.229857,-0.475762,-0.847992,0.400549,-0.046595
675026.084964,0.279484,0.777429,-0.230121,-0.476517,0.847153,0.400021,0.04741,0.280407,-0.777812,0.229857,-0.475762,-0.847956,0.400525,-0.046583
675026.105127,0.279484,0.777429,-0.230109,-0.476529,0.847129,0.399997,0.04741,0.280395,-0.777824,0.229833,-0.47575,-0.847968,0.400513,-0.046595
675026.125229,0.279496,0.777429,-0.230133,-0.476517,0.847141,0.400021,0.04741,0.280395,-0.777812,0.229833,-0.475762,-0.847968,0.400537,-0.046583
675026.145312,0.279484,0.777429,-0.230109,-0.476505,0.847129,0.399997,0.04741,0.280383,-0.7778,0.229857,-0.47575,-0.847968,0.400549,-0.046583
675026.165403,0.279472,0.777429,-0.230097,-0.476505,0.847141,0.400033,0.04741,0.280383,-0.7778,0.229833,-0.475762,-0.847968,0.400525,-0.046583
675026.185495,0.279472,0.777429,-0.230121,-0.476529,0.847129,0.400009,0.04741,0.280395,-0.7778,0.229833,-0.475738,-0.847968,0.400477,-0.046583
675026.205591,0.279484,0.777429,-0.230097,-0.476517,0.847141,0.400033,0.047422,0.280371,-0.777824,0.229857,-0.47575,-0.847944,0.400525,-0.046595
675026.225677,0.279508,0.777429,-0.230121,-0.476505,0.847129,0.400033,0.04741,0.280383,-0.777812,0.229833,-0.475762,-0.847968,0.400513,-0.046583
675026.245754,0.279484,0.777429,-0.230121,-0.476493,0.847105,0.400033,0.047398,0.280383,-0.777812,0.229833,-0.475738,-0.847968,0.400525,-0.046583
675026.265838,0.279472,0.777429,-0.230121,-0.476505,0.847141,0.400033,0.04741,0.280383,-0.777824,0.229857,-0.475762,-0.847968,0.400537,-0.046583
675026.286154,0.279472,0.777429,-0.230133,-0.476505,0.847141,0.400033,0.04741,0.280395,-0.777824,0.229833,-0.47575,-0.847956,0.400525,-0.046595
675026.306358,0.279484,0.777405,-0.230133,-0.476493,0.847129,0.400021,0.047398,0.280407,-0.777824,0.229833,-0.475762,-0.847968,0.400537,-0.046571
675026.326435,0.279472,0.777429,-0.230109,-0.476493,0.847117,0.400021,0.047398,0.280395,-0.777824,0.229833,-0.475738,-0.847968,0.400549,-0.046595
675026.346518,0.279484,0.777429,-0.230121,-0.476493,0.847117,0.400033,0.047398,0.280383,-0.7778,0.229833,-0.47575,-0.84798,0.400549,-0.046559
