time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805913,-0.000001249,1.032115936
0.042000,-0.003212495,-0.000013562,1.026692986
0.062000,-0.002802473,0.000011100,1.022377133
0.082000,-0.002257630,0.000161586,1.020787120
0.102000,-0.001004400,0.000466113,1.021394491
0.122000,0.001057512,0.000917725,1.022251606
0.142000,0.003655429,0.001631863,1.022408843
0.162000,0.006500721,0.002704289,1.022098422
0.182000,0.009399448,0.004108508,1.021869659
0.202000,0.012254401,0.005889557,1.021670103
0.222000,0.014993010,0.008113977,1.021416664
0.242000,0.017565882,0.010828674,1.021085620
0.262000,0.019952456,0.014034195,1.020697951
0.282000,0.022178322,0.017695963,1.020284534
0.302000,0.024251724,0.021734927,1.019894004
0.322000,0.026170501,0.026001096,1.019603014
0.342000,0.027926628,0.030346533,1.019406557
0.362000,0.029454436,0.034651227,1.019718528
0.382000,0.030775199,0.038941789,1.020446181
0.402000,0.031905308,0.043291580,1.021420479
0.422000,0.032875922,0.047683649,1.022434950
0.442000,0.033770517,0.052007467,1.023235202
0.462000,0.034700833,0.056089163,1.023572683
0.482000,0.035819035,0.059769157,1.023368239
0.502000,0.037216343,0.063059501,1.022776365
0.522000,0.038866848,0.065984689,1.021780133
0.542000,0.040709931,0.068550766,1.020314574
0.562000,0.042702813,0.070713460,1.018231034
0.582000,0.044676002,0.072468974,1.015718222
0.602000,0.046307646,0.075036332,1.016426444
0.622000,0.047794167,0.078329712,1.018895149
0.642000,0.049041066,0.082069159,1.021432638
0.662000,0.049984679,0.086321853,1.023272038
0.682000,0.050697990,0.091187619,1.024141669
0.702000,0.051323622,0.096597821,1.024137259
0.722000,0.051912423,0.102487244,1.023335814
0.742000,0.052478559,0.108831629,1.021697640
0.762000,0.053077448,0.115661025,1.018961549
0.782000,0.053711250,0.123006873,1.015004158
0.802000,0.054085787,0.130286008,1.012746930
0.822000,0.054431215,0.136623561,1.013753057
0.842000,0.055156991,0.142266661,1.016177893
0.862000,0.056274273,0.147432894,1.018808603
0.882000,0.057757244,0.152188957,1.021233916
0.902000,0.059563059,0.156557053,1.023224592
0.922000,0.061581887,0.160531431,1.024550319
0.942000,0.063691333,0.164120004,1.025100350
0.962000,0.065806285,0.167332232,1.024865627
0.982000,0.067866787,0.170170754,1.023852110
1.002000,0.069847204,0.172598317,1.022025228
1.022000,0.071747087,0.174460754,1.019133568
1.042000,0.073278405,0.176109254,1.016787529
1.062000,0.074343503,0.178904861,1.018272519
1.082000,0.075297050,0.182308808,1.020690322
1.102000,0.076160751,0.186115235,1.022779346
1.122000,0.077032760,0.190346822,1.024114370
1.142000,0.078023419,0.195000172,1.024745226
1.162000,0.079091370,0.200063616,1.024659157
1.182000,0.080187127,0.205543920,1.023903251
1.202000,0.081315108,0.211503118,1.022462726
1.222000,0.082492270,0.218054175,1.020071626
1.242000,0.083624735,0.225240722,1.016645908
1.262000,0.084401116,0.232225597,1.015174270
1.282000,0.085150108,0.238415733,1.016437054
1.302000,0.086174384,0.244185850,1.018444180
1.322000,0.087395810,0.249707684,1.020241499
1.342000,0.088730738,0.254924268,1.021611214
1.362000,0.090242445,0.259701550,1.022667885
1.382000,0.091954172,0.264042974,1.023414612
1.402000,0.093799494,0.267952085,1.023705244
1.422000,0.095704943,0.271443158,1.023431540
1.442000,0.097621307,0.274535686,1.022525907
1.462000,0.099512666,0.277214885,1.020884156
1.482000,0.101356506,0.279404968,1.018162727
1.502000,0.102840938,0.281563640,1.016214967
1.522000,0.103928976,0.284870416,1.017995715
1.542000,0.104875535,0.288740784,1.020655632
1.562000,0.105685420,0.293019980,1.022944331
1.582000,0.106464691,0.297754109,1.024399519
1.602000,0.107321396,0.302924842,1.025062680
1.622000,0.108225264,0.308518499,1.024943233
1.642000,0.109143645,0.314553916,1.024091244
1.662000,0.110094093,0.321097881,1.022477865
1.682000,0.111111984,0.328258544,1.019779205
1.702000,0.112022795,0.335959166,1.016316772
1.722000,0.112612441,0.343213826,1.015296102
1.742000,0.113304906,0.349663675,1.016617417
1.762000,0.114292614,0.355711401,1.018551350
1.782000,0.115472600,0.361476690,1.020322919
1.802000,0.116800480,0.366875470,1.021756887
1.822000,0.118323177,0.371838450,1.022920847
1.842000,0.120012537,0.376368970,1.023704886
1.862000,0.121783361,0.380473465,1.023953795
1.882000,0.123569064,0.384169757,1.023590565
1.902000,0.125314817,0.387475044,1.022543192
1.922000,0.126992255,0.390363514,1.020705223
1.942000,0.128586203,0.392705351,1.017749190
1.962000,0.129739016,0.395254850,1.016434312
1.982000,0.130569726,0.398865044,1.018441319
2.002000,0.131261289,0.402972907,1.020987272
2.022000,0.131822154,0.407475084,1.023055196
2.042000,0.132387489,0.412427545,1.024298191
2.062000,0.133048043,0.417801648,1.024782896
2.082000,0.133762449,0.423589736,1.024508715
2.102000,0.134502247,0.429814965,1.023534060
2.122000,0.135286599,0.436547995,1.021800876
2.142000,0.136167273,0.443905085,1.018916607
2.162000,0.136900142,0.451717228,1.015537858
2.182000,0.137319937,0.458959728,1.014926672
2.202000,0.137927562,0.465407401,1.016450286
2.222000,0.138872683,0.471435934,1.018462420
2.242000,0.140039042,0.477145404,1.020285726
2.262000,0.141408339,0.482454538,1.021814466
2.282000,0.143000558,0.487333328,1.023046970
2.302000,0.144753620,0.491779536,1.023822308
2.322000,0.146575689,0.495802969,1.024006009
2.342000,0.148400947,0.499423057,1.023536563
2.362000,0.150174752,0.502654195,1.022347450
2.382000,0.151873589,0.505459726,1.020309091
