time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805942,0.000001704,1.032115936
0.042000,-0.003213319,0.000016624,1.026693821
0.062000,-0.002803726,0.000013551,1.022369981
0.082000,-0.002265130,-0.000133957,1.020824671
0.102000,-0.001016423,-0.000431226,1.021428466
0.122000,0.001032813,-0.000875778,1.022249222
0.142000,0.003612481,-0.001616315,1.022386193
0.162000,0.006436754,-0.002733405,1.022160053
0.182000,0.009318277,-0.004221661,1.021966934
0.202000,0.012166117,-0.006159114,1.021735430
0.222000,0.014905943,-0.008623608,1.021410584
0.242000,0.017494822,-0.011641731,1.021025062
0.262000,0.019944927,-0.015254832,1.020424247
0.282000,0.022269387,-0.019406894,1.019741654
0.302000,0.024488481,-0.023921469,1.019196630
0.322000,0.026601234,-0.028583838,1.018895745
0.342000,0.028556155,-0.033236537,1.019019604
0.362000,0.030294312,-0.037760511,1.019832850
0.382000,0.031822260,-0.042304073,1.021079183
0.402000,0.033159275,-0.046878599,1.022451162
0.422000,0.034377996,-0.051389188,1.023602843
0.442000,0.035605602,-0.055669539,1.024219394
0.462000,0.036980778,-0.059570733,1.024208665
0.482000,0.038598020,-0.063101716,1.023741841
0.502000,0.040439393,-0.066280879,1.022817373
0.522000,0.042455625,-0.069107354,1.021402001
0.542000,0.044613972,-0.071547776,1.019381166
0.562000,0.046813302,-0.073478065,1.016524196
0.582000,0.048651926,-0.075849660,1.016109228
0.602000,0.050276350,-0.079089664,1.018257737
0.622000,0.051674914,-0.082786612,1.020800591
0.642000,0.052752133,-0.086923487,1.022870183
0.662000,0.053558905,-0.091625981,1.024054527
0.682000,0.054249689,-0.096880980,1.024265289
0.702000,0.054895476,-0.102619059,1.023646832
0.722000,0.055507537,-0.108811013,1.022227168
0.742000,0.056123771,-0.115472510,1.019881010
0.762000,0.056809302,-0.122672893,1.016188860
0.782000,0.057292279,-0.130104601,1.012983561
0.802000,0.057619397,-0.136760592,1.013047695
0.822000,0.058290619,-0.142587498,1.015146017
0.842000,0.059398189,-0.147901028,1.017777681
0.862000,0.060891408,-0.152814448,1.020313621
0.882000,0.062723428,-0.157350138,1.022478700
0.902000,0.064801671,-0.161501020,1.024038196
0.922000,0.067001469,-0.165269986,1.024829626
0.942000,0.069217809,-0.168663993,1.024811149
0.962000,0.071385093,-0.171683758,1.023985982
0.982000,0.073466815,-0.174298018,1.022340178
1.002000,0.075455487,-0.176417559,1.019642949
1.022000,0.077149086,-0.178044170,1.016716123
1.042000,0.078250594,-0.180766463,1.017770767
1.062000,0.079141274,-0.184124663,1.020284653
1.082000,0.079864636,-0.187859461,1.022634864
1.102000,0.080486931,-0.191994473,1.024216890
1.122000,0.081161752,-0.196553141,1.024992943
1.142000,0.081900366,-0.201518863,1.025020957
1.162000,0.082660057,-0.206892654,1.024362087
1.182000,0.083439708,-0.212721810,1.023064852
1.202000,0.084241524,-0.219103292,1.020969748
1.222000,0.085097663,-0.226169005,1.017611146
1.242000,0.085657351,-0.233379424,1.015065193
1.262000,0.086018801,-0.239855021,1.015651941
1.282000,0.086664364,-0.245760873,1.017591357
1.302000,0.087604113,-0.251366854,1.019517660
1.322000,0.088722371,-0.256701410,1.021049857
1.342000,0.090033963,-0.261638075,1.022230983
1.362000,0.091569044,-0.266143918,1.023116827
1.382000,0.093276367,-0.270222634,1.023592472
1.402000,0.095075548,-0.273887575,1.023528457
1.422000,0.096906841,-0.277156115,1.022858143
1.442000,0.098731242,-0.280018985,1.021478534
1.462000,0.100522362,-0.282426864,1.019168258
1.482000,0.102139995,-0.284416974,1.016344547
1.502000,0.103231996,-0.287480652,1.017254114
1.522000,0.104147397,-0.291256279,1.019812822
1.542000,0.104921594,-0.295467824,1.022280931
1.562000,0.105599649,-0.300113916,1.023986578
1.582000,0.106326364,-0.305206627,1.024872661
1.602000,0.107112728,-0.310722530,1.024970412
1.622000,0.107919663,-0.316672266,1.024319887
1.642000,0.108748816,-0.323106408,1.022948146
1.662000,0.109614126,-0.330117583,1.020662069
1.682000,0.110499904,-0.337766707,1.017185926
1.702000,0.111117192,-0.345355451,1.014968038
1.722000,0.111642621,-0.352075547,1.015767574
1.742000,0.112458616,-0.358269244,1.017713070
1.762000,0.113536075,-0.364156187,1.019659042
1.782000,0.114786386,-0.369708329,1.021266222
1.802000,0.116249435,-0.374832898,1.022599459
1.822000,0.117913373,-0.379530817,1.023591042
1.842000,0.119688295,-0.383801669,1.024065137
1.862000,0.121491991,-0.387660712,1.023924708
1.882000,0.123264104,-0.391122907,1.023108006
1.902000,0.124979451,-0.394172281,1.021539927
1.922000,0.126628339,-0.396738917,1.018951774
1.942000,0.128015012,-0.398880929,1.016142249
1.962000,0.128870755,-0.402142793,1.017287016
1.982000,0.129567295,-0.406076312,1.019875646
2.002000,0.130135417,-0.410418391,1.022274613
2.022000,0.130629495,-0.415180236,1.023877859
2.042000,0.131195590,-0.420360804,1.024674177
2.062000,0.131834745,-0.425939083,1.024690509
2.082000,0.132505015,-0.431925863,1.023975134
2.102000,0.133213744,-0.438377410,1.022551656
2.122000,0.133974493,-0.445392281,1.020208478
2.142000,0.134765342,-0.453030795,1.016664863
2.162000,0.135268345,-0.460562259,1.014548302
2.182000,0.135699004,-0.467217118,1.015522480
2.202000,0.136461928,-0.473324835,1.017593265
2.222000,0.137518048,-0.479110450,1.019616842
2.242000,0.138783574,-0.484534651,1.021273494
2.262000,0.140295088,-0.489531934,1.022638917
2.282000,0.142021403,-0.494101137,1.023625612
2.302000,0.143863916,-0.498242348,1.024069786
