time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805931,0.000000288,1.032115936
0.042000,-0.003213013,0.000001292,1.026694298
0.062000,-0.002803170,0.000012313,1.022375107
0.082000,-0.002260212,0.000025729,1.020823598
0.102000,-0.001003549,0.000038835,1.021425247
0.122000,0.001060951,0.000052680,1.022255898
0.142000,0.003670224,0.000049249,1.022325397
0.162000,0.006527329,0.000018545,1.022097111
0.182000,0.009486767,-0.000034266,1.021890521
0.202000,0.012432205,-0.000106388,1.021711469
0.222000,0.015269994,-0.000188904,1.021544218
0.242000,0.017925432,-0.000274403,1.021389365
0.262000,0.020357015,-0.000358563,1.021257639
0.282000,0.022562740,-0.000437270,1.021163464
0.302000,0.024543773,-0.000509558,1.021112800
0.322000,0.026305895,-0.000574727,1.021100521
0.342000,0.027866894,-0.000625599,1.021118402
0.362000,0.029259045,-0.000661358,1.021159530
0.382000,0.030506473,-0.000683800,1.021220326
0.402000,0.031621888,-0.000695616,1.021293402
0.422000,0.032611590,-0.000701308,1.021371841
0.442000,0.033474252,-0.000705246,1.021447778
0.462000,0.034208737,-0.000711497,1.021519184
0.482000,0.034808509,-0.000722723,1.021581888
0.502000,0.035250556,-0.000740225,1.021628976
0.522000,0.035510000,-0.000764771,1.021655679
0.542000,0.035588916,-0.000796924,1.021664143
0.562000,0.035486564,-0.000836480,1.021668434
0.582000,0.035199713,-0.000881806,1.021670103
0.602000,0.034730040,-0.000930767,1.021669865
0.622000,0.034084026,-0.000981858,1.021669030
0.642000,0.033268735,-0.001034516,1.021668196
0.662000,0.032290511,-0.001088756,1.021666884
0.682000,0.031157600,-0.001144572,1.021665215
0.702000,0.029881597,-0.001201940,1.021664023
0.722000,0.028476603,-0.001260882,1.021664143
0.742000,0.026957987,-0.001321094,1.021665692
0.762000,0.025342749,-0.001381991,1.021669149
0.782000,0.023653140,-0.001443215,1.021676302
0.802000,0.021906359,-0.001504186,1.021684408
0.822000,0.020116180,-0.001564488,1.021690845
0.842000,0.018296238,-0.001623838,1.021694541
0.862000,0.016459564,-0.001681973,1.021694541
0.882000,0.014618153,-0.001738692,1.021690011
0.902000,0.012782775,-0.001793850,1.021680355
0.922000,0.010962896,-0.001847088,1.021665573
0.942000,0.009166766,-0.001898141,1.021645427
0.962000,0.007401513,-0.001946950,1.021619797
0.982000,0.005673314,-0.001993573,1.021588564
1.002000,0.003987559,-0.002038125,1.021551847
1.022000,0.002349043,-0.002080766,1.021510124
1.042000,0.000762342,-0.002121674,1.021463990
1.062000,-0.000768118,-0.002161046,1.021414042
1.082000,-0.002238439,-0.002199244,1.021361113
1.102000,-0.003645339,-0.002236667,1.021306038
1.122000,-0.004986054,-0.002273563,1.021249294
1.142000,-0.006258362,-0.002309964,1.021191359
1.162000,-0.007460540,-0.002345782,1.021132708
1.182000,-0.008591298,-0.002380862,1.021074176
1.202000,-0.009649737,-0.002415003,1.021016240
1.222000,-0.010635303,-0.002447962,1.020959616
1.242000,-0.011547743,-0.002479496,1.020904899
1.262000,-0.012387070,-0.002509394,1.020852685
1.282000,-0.013153401,-0.002537518,1.020803332
1.302000,-0.013846186,-0.002563800,1.020757794
1.322000,-0.014465585,-0.002588216,1.020716310
1.342000,-0.015012523,-0.002610801,1.020678759
1.362000,-0.015488092,-0.002631655,1.020645499
1.382000,-0.015893485,-0.002650894,1.020616889
1.402000,-0.016230442,-0.002668611,1.020592928
1.422000,-0.016501222,-0.002684929,1.020573616
1.442000,-0.016708480,-0.002699984,1.020559072
1.462000,-0.016855186,-0.002713923,1.020548820
1.482000,-0.016945029,-0.002726791,1.020542264
1.502000,-0.016982228,-0.002738697,1.020537853
1.522000,-0.016970107,-0.002749847,1.020535111
1.542000,-0.016911725,-0.002760463,1.020533800
1.562000,-0.016810173,-0.002770772,1.020533800
1.582000,-0.016668573,-0.002780994,1.020534992
1.602000,-0.016490035,-0.002791316,1.020537257
1.622000,-0.016277652,-0.002801892,1.020540476
1.642000,-0.016034499,-0.002812842,1.020544767
1.662000,-0.015763432,-0.002824313,1.020550013
1.682000,-0.015466956,-0.002836663,1.020556450
1.702000,-0.015148060,-0.002850352,1.020564198
1.722000,-0.014809984,-0.002865406,1.020573378
1.742000,-0.014455617,-0.002881890,1.020584464
1.762000,-0.014087094,-0.002899891,1.020596981
1.782000,-0.013706300,-0.002918418,1.020609617
1.802000,-0.013315195,-0.002936749,1.020622134
1.822000,-0.012915756,-0.002954333,1.020634890
1.842000,-0.012509978,-0.002970790,1.020647764
1.862000,-0.012099895,-0.002985900,1.020660877
1.882000,-0.011687563,-0.002999590,1.020673990
1.902000,-0.011275039,-0.003011926,1.020687103
1.922000,-0.010864349,-0.003023082,1.020700216
1.942000,-0.010457460,-0.003033319,1.020713210
1.962000,-0.010056257,-0.003042948,1.020725965
1.982000,-0.009662537,-0.003052308,1.020738602
2.002000,-0.009277996,-0.003061729,1.020750880
2.022000,-0.008904225,-0.003071513,1.020762801
2.042000,-0.008542708,-0.003081913,1.020774364
2.062000,-0.008194812,-0.003093127,1.020785570
2.082000,-0.007861784,-0.003105285,1.020796299
2.102000,-0.007544790,-0.003118455,1.020806670
2.122000,-0.007245001,-0.003132642,1.020816803
2.142000,-0.006963553,-0.003147796,1.020826697
2.162000,-0.006701442,-0.003163822,1.020836353
2.182000,-0.006459475,-0.003180598,1.020845890
2.202000,-0.006238248,-0.003197988,1.020855188
2.222000,-0.006038134,-0.003215858,1.020864248
2.242000,-0.005859307,-0.003234091,1.020872831
