time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805956,-0.000000014,1.032115936
0.042000,-0.003213208,0.000000915,1.026693583
0.062000,-0.002803722,0.000034349,1.022371292
0.082000,-0.002262105,0.000093601,1.020818472
0.102000,-0.001007755,0.000172878,1.021425128
0.122000,0.001039668,0.000298673,1.022140741
0.142000,0.003579754,0.000416771,1.022182226
0.162000,0.006325318,0.000547277,1.021995902
0.182000,0.009112079,0.000703097,1.021806002
0.202000,0.011813561,0.000879974,1.021622777
0.222000,0.014333768,0.001076607,1.021441221
0.242000,0.016598349,0.001286986,1.021268368
0.262000,0.018568680,0.001498498,1.021128535
0.282000,0.020245835,0.001715290,1.021039605
0.302000,0.021633288,0.001938902,1.021012902
0.322000,0.022742981,0.002164011,1.021048665
0.342000,0.023595737,0.002381268,1.021131754
0.362000,0.024224227,0.002579840,1.021242499
0.382000,0.024668140,0.002748481,1.021378398
0.402000,0.024945417,0.002876180,1.021525383
0.422000,0.025062913,0.002951706,1.021672010
0.442000,0.025020473,0.002966237,1.021807194
0.462000,0.024817722,0.002910970,1.021923661
0.482000,0.024462754,0.002776004,1.022019863
0.502000,0.023939963,0.002550608,1.022085428
0.522000,0.023243785,0.002231620,1.022114992
0.542000,0.022385541,0.001806823,1.022112727
0.562000,0.021361353,0.001267873,1.022078872
0.582000,0.020166919,0.000609383,1.022007346
0.602000,0.018808382,-0.000171561,1.021898389
0.622000,0.017297087,-0.001076194,1.021754503
0.642000,0.015649348,-0.002103758,1.021579981
0.662000,0.013886170,-0.003249930,1.021381974
0.682000,0.012033942,-0.004504903,1.021170259
0.702000,0.010114686,-0.005854714,1.020955682
0.722000,0.008147857,-0.007279485,1.020747542
0.742000,0.006152220,-0.008753899,1.020554423
0.762000,0.004144093,-0.010252382,1.020383835
0.782000,0.002144428,-0.011749054,1.020241499
0.802000,0.000161656,-0.013219259,1.020118356
0.822000,-0.001807809,-0.014639204,1.020005345
0.842000,-0.003767042,-0.015992412,1.019900203
0.862000,-0.005714715,-0.017273644,1.019799352
0.882000,-0.007647762,-0.018482981,1.019708872
0.902000,-0.009570993,-0.019632015,1.019621253
0.922000,-0.011476179,-0.020746887,1.019525528
0.942000,-0.013349236,-0.021875065,1.019396067
0.962000,-0.015171555,-0.023088466,1.019193769
0.982000,-0.016918160,-0.024497176,1.018852592
1.002000,-0.018558009,-0.026246790,1.018275738
1.022000,-0.020053582,-0.028478049,1.017432690
1.042000,-0.021372212,-0.031256277,1.016338110
1.062000,-0.022492282,-0.034571599,1.015030146
1.082000,-0.023414811,-0.038366109,1.013601303
1.102000,-0.024144534,-0.042487528,1.012244701
1.122000,-0.024690971,-0.046674453,1.011269331
1.142000,-0.025089584,-0.050423410,1.011242867
1.162000,-0.025374042,-0.053374276,1.012487769
1.182000,-0.025583083,-0.055578973,1.014705539
1.202000,-0.025696605,-0.057079501,1.017831802
1.222000,-0.025601940,-0.058079690,1.021150112
1.242000,-0.025354849,-0.058629803,1.024000883
1.262000,-0.025035763,-0.058747329,1.026050091
1.282000,-0.024716046,-0.058421325,1.027232766
1.302000,-0.024438487,-0.057614364,1.027613044
1.322000,-0.024227662,-0.056285333,1.027293801
1.342000,-0.024117369,-0.054409161,1.026361942
1.362000,-0.024114590,-0.051942375,1.024782300
1.382000,-0.024274420,-0.048788536,1.022191405
1.402000,-0.024803141,-0.045320909,1.019403458
1.422000,-0.025714781,-0.042684175,1.019937277
1.442000,-0.026604721,-0.040431790,1.021749258
1.462000,-0.027434539,-0.038429681,1.023450255
1.482000,-0.028279953,-0.036776565,1.024721026
1.502000,-0.029098071,-0.035606604,1.025473475
1.522000,-0.029775547,-0.035011370,1.025727630
1.542000,-0.030254783,-0.034959991,1.025665283
1.562000,-0.030536955,-0.035408884,1.025359273
1.582000,-0.030623473,-0.036332399,1.024799228
1.602000,-0.030489122,-0.037730578,1.023929834
1.622000,-0.030101229,-0.039606977,1.022667408
1.642000,-0.029431354,-0.041973189,1.020876169
1.662000,-0.028459301,-0.044808257,1.018348932
1.682000,-0.027621638,-0.047634628,1.016935229
1.702000,-0.027115244,-0.049898867,1.018033266
1.722000,-0.026677253,-0.051507421,1.020062923
1.742000,-0.026230065,-0.052584875,1.022101998
1.762000,-0.025742868,-0.053155620,1.023775220
1.782000,-0.025220741,-0.053225838,1.024984598
1.802000,-0.024719218,-0.052819408,1.025680661
1.822000,-0.024294546,-0.051961761,1.025850892
1.842000,-0.024005521,-0.050657474,1.025503159
1.862000,-0.023905478,-0.048876788,1.024634004
1.882000,-0.024063552,-0.046590433,1.023151636
1.902000,-0.024570568,-0.043696124,1.020624995
1.922000,-0.025447845,-0.040868144,1.018690705
1.942000,-0.026351554,-0.038757768,1.019891739
1.962000,-0.027191246,-0.036889892,1.021964908
1.982000,-0.028035715,-0.035239100,1.023972869
2.002000,-0.028839141,-0.033946618,1.025539160
2.022000,-0.029459074,-0.033139583,1.026528239
2.042000,-0.029780792,-0.032795247,1.027048826
2.062000,-0.029804429,-0.032865558,1.027176023
2.082000,-0.029545801,-0.033327576,1.026926994
2.102000,-0.029002097,-0.034153141,1.026308656
2.122000,-0.028142169,-0.035326209,1.025297284
2.142000,-0.026952300,-0.036840871,1.023844957
2.162000,-0.025393579,-0.038706351,1.021839738
2.182000,-0.023436373,-0.040933575,1.019069433
2.202000,-0.021657743,-0.043217197,1.017718673
2.222000,-0.020372823,-0.045059089,1.019014597
2.242000,-0.019314194,-0.046401933,1.020993829
2.262000,-0.018443940,-0.047345497,1.022812247
