time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805903,0.000000589,1.032115936
0.042000,-0.003212762,0.000001496,1.026694655
0.062000,-0.002802286,-0.000012397,1.022377372
0.082000,-0.002258250,-0.000048333,1.020825863
0.102000,-0.001000906,-0.000106631,1.021431684
0.122000,0.001050347,-0.000220091,1.022154093
0.142000,0.003595598,-0.000356426,1.022194386
0.162000,0.006347851,-0.000539782,1.021996379
0.182000,0.009143028,-0.000768477,1.021797538
0.202000,0.011858233,-0.001028780,1.021609545
0.222000,0.014399694,-0.001309865,1.021424413
0.242000,0.016694006,-0.001597555,1.021247625
0.262000,0.018702248,-0.001875525,1.021101594
0.282000,0.020424742,-0.002130450,1.021019340
0.302000,0.021865370,-0.002376891,1.021014929
0.322000,0.023038272,-0.002616361,1.021093369
0.342000,0.023965025,-0.002831463,1.021227121
0.362000,0.024674667,-0.003001380,1.021380663
0.382000,0.025201514,-0.003107948,1.021541953
0.402000,0.025565106,-0.003138174,1.021699190
0.422000,0.025773941,-0.003082652,1.021839142
0.442000,0.025829686,-0.002937227,1.021949887
0.462000,0.025742400,-0.002703591,1.022032499
0.482000,0.025518108,-0.002385501,1.022086859
0.502000,0.025139658,-0.001989269,1.022108793
0.522000,0.024598196,-0.001530648,1.022097468
0.542000,0.023898352,-0.001016809,1.022065282
0.562000,0.023035306,-0.000460606,1.022024512
0.582000,0.022006003,0.000123651,1.021977663
0.602000,0.020812303,0.000728473,1.021924019
0.622000,0.019458206,0.001349498,1.021864414
0.642000,0.017950827,0.001984847,1.021801114
0.662000,0.016299246,0.002636279,1.021734476
0.682000,0.014515364,0.003310701,1.021662593
0.702000,0.012613320,0.004021526,1.021580935
0.722000,0.010608765,0.004790137,1.021481276
0.742000,0.008522649,0.005649412,1.021355987
0.762000,0.006383292,0.006643270,1.021186233
0.782000,0.004218847,0.007828516,1.020934224
0.802000,0.002062855,0.009279028,1.020547628
0.822000,-0.000036460,0.011084661,1.019976020
0.842000,-0.002025756,0.013327044,1.019180179
0.862000,-0.003858458,0.016045269,1.018212080
0.882000,-0.005491344,0.019254563,1.017110467
0.902000,-0.006906313,0.022849713,1.016010165
0.922000,-0.008113264,0.026582643,1.015183926
0.942000,-0.009119733,0.030145034,1.014965296
0.962000,-0.009924918,0.033227555,1.015336633
0.982000,-0.010542822,0.035688482,1.016017437
1.002000,-0.011124089,0.037523117,1.017148733
1.022000,-0.011660989,0.038708400,1.018886209
1.042000,-0.012033957,0.039333116,1.020812154
1.062000,-0.012248438,0.039403226,1.022555590
1.082000,-0.012351053,0.038910072,1.023876667
1.102000,-0.012383181,0.037862338,1.024628282
1.122000,-0.012387454,0.036248896,1.024741650
1.142000,-0.012419402,0.034049999,1.024179101
1.162000,-0.012529302,0.031231279,1.022842169
1.182000,-0.012768373,0.027693750,1.020272851
1.202000,-0.013441967,0.024250746,1.018457413
1.222000,-0.014441185,0.021616561,1.019655466
1.242000,-0.015477200,0.019351700,1.021681428
1.262000,-0.016580880,0.017397692,1.023613691
1.282000,-0.017735763,0.015879944,1.025084615
1.302000,-0.018849419,0.014932348,1.025984764
1.322000,-0.019821910,0.014565121,1.026459932
1.342000,-0.020647222,0.014738950,1.026585817
1.362000,-0.021336503,0.015427264,1.026378036
1.382000,-0.021884456,0.016605996,1.025837302
1.402000,-0.022252513,0.018274086,1.024922729
1.422000,-0.022423893,0.020436976,1.023575187
1.442000,-0.022370825,0.023096563,1.021723747
1.462000,-0.022013819,0.026271136,1.019115806
1.482000,-0.021675192,0.029655816,1.016838551
1.502000,-0.021556543,0.032691240,1.017030835
1.522000,-0.021453723,0.035041399,1.018787622
1.542000,-0.021234848,0.036783274,1.020796657
1.562000,-0.020867875,0.037984908,1.022630572
1.582000,-0.020341834,0.038666468,1.024178743
1.602000,-0.019722935,0.038843159,1.025310874
1.622000,-0.019082433,0.038549621,1.025947213
1.642000,-0.018489264,0.037800722,1.026065469
1.662000,-0.018004578,0.036572680,1.025675774
1.682000,-0.017699640,0.034852467,1.024760962
1.702000,-0.017638246,0.032592438,1.023202419
1.722000,-0.017922563,0.029685318,1.020537376
1.742000,-0.018566573,0.027009794,1.019001842
1.762000,-0.019249655,0.025060387,1.020370126
1.782000,-0.019930242,0.023358028,1.022405386
1.802000,-0.020679569,0.021880427,1.024327159
1.822000,-0.021458093,0.020775666,1.025783300
1.842000,-0.022130379,0.020173348,1.026654363
1.862000,-0.022542439,0.020096155,1.026964426
1.882000,-0.022662103,0.020490330,1.026889205
1.902000,-0.022495732,0.021319712,1.026489854
1.922000,-0.022042675,0.022548994,1.025761485
1.942000,-0.021272013,0.024157871,1.024652243
1.962000,-0.020163700,0.026141968,1.023086071
1.982000,-0.018666061,0.028508028,1.020884633
2.002000,-0.016871912,0.031203093,1.018193603
2.022000,-0.015399162,0.033737123,1.017732024
2.042000,-0.014304479,0.035692599,1.019387603
2.062000,-0.013389716,0.037116386,1.021453261
2.082000,-0.012614470,0.038108509,1.023304343
2.102000,-0.011935885,0.038666435,1.024722934
2.122000,-0.011352256,0.038792968,1.025686264
2.142000,-0.010898496,0.038531654,1.026141167
2.162000,-0.010615563,0.037911229,1.026095033
2.182000,-0.010548854,0.036936387,1.025579691
2.202000,-0.010742968,0.035583049,1.024604201
2.222000,-0.011264138,0.033823326,1.023083925
2.242000,-0.012235106,0.031577688,1.020617843
2.262000,-0.013551472,0.029428480,1.018844724
2.282000,-0.014735973,0.027870221,1.020119905
2.302000,-0.015798496,0.026470250,1.022166252
