time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749566,0.000002746,1.032246947
0.042000,-0.003288073,0.000008114,1.026530862
0.062000,-0.003197610,0.000017815,1.020968437
0.082000,-0.002949140,0.000039662,1.020976424
0.102000,-0.001645902,0.000069128,1.022329926
0.122000,0.000327649,0.000113893,1.023281336
0.142000,0.002515058,0.000181537,1.023767352
0.162000,0.004676913,0.000274293,1.023978829
0.182000,0.006682742,0.000389954,1.024021029
0.202000,0.008457065,0.000530466,1.023965359
0.222000,0.009942853,0.000692986,1.023866057
0.242000,0.011104563,0.000869428,1.023758769
0.262000,0.011928870,0.001053053,1.023664117
0.282000,0.012408727,0.001240129,1.023591995
0.302000,0.012527977,0.001425657,1.023536682
0.322000,0.012292811,0.001606347,1.023496628
0.342000,0.011713464,0.001779841,1.023468852
0.362000,0.010811486,0.001940860,1.023444653
0.382000,0.009630466,0.002084274,1.023428917
0.402000,0.008203959,0.002208157,1.023422003
0.422000,0.006552596,0.002310921,1.023417592
0.442000,0.004695621,0.002391308,1.023410201
0.462000,0.002656750,0.002448844,1.023397803
0.482000,0.000466317,0.002483576,1.023381352
0.502000,-0.001849742,0.002495136,1.023357868
0.522000,-0.004268989,0.002483465,1.023324966
0.542000,-0.006769660,0.002451225,1.023291588
0.562000,-0.009328487,0.002395450,1.023262501
0.582000,-0.011926993,0.002310973,1.023238897
0.602000,-0.014550521,0.002184430,1.023220301
0.622000,-0.017187474,0.001984782,1.023208618
0.642000,-0.019831290,0.001659528,1.023186207
0.662000,-0.022472294,0.001118543,1.023102641
0.682000,-0.025086695,0.000216587,1.022867560
0.702000,-0.027647424,-0.001167701,1.022495151
0.722000,-0.030062571,-0.003185896,1.021947265
0.742000,-0.032252651,-0.005866012,1.021317720
0.762000,-0.034219164,-0.009186982,1.020567060
0.782000,-0.035927277,-0.013088290,1.019534707
0.802000,-0.037342012,-0.017540421,1.017967820
0.822000,-0.038622908,-0.022203511,1.016244888
0.842000,-0.039753433,-0.026498578,1.015428066
0.862000,-0.040784538,-0.029939370,1.015952229
0.882000,-0.041792437,-0.032266598,1.018066525
0.902000,-0.042537402,-0.033759944,1.020962358
0.922000,-0.042970810,-0.034598872,1.023985267
0.942000,-0.043222073,-0.034868676,1.026475072
0.962000,-0.043453727,-0.034581751,1.028105855
0.982000,-0.043753311,-0.033750638,1.028817058
1.002000,-0.044170797,-0.032387406,1.028700709
1.022000,-0.044730086,-0.030484756,1.027907968
1.042000,-0.045458149,-0.028037742,1.026545763
1.062000,-0.046349913,-0.025005383,1.024527192
1.082000,-0.047456350,-0.021367472,1.021466732
1.102000,-0.049038902,-0.018189413,1.019838810
1.122000,-0.050823957,-0.015993701,1.020955086
1.142000,-0.052517470,-0.014240340,1.022693872
1.162000,-0.054150786,-0.012907594,1.024193406
1.182000,-0.055760257,-0.012105112,1.025301337
1.202000,-0.057234306,-0.011916773,1.025994301
1.222000,-0.058475152,-0.012348277,1.026309133
1.242000,-0.059451357,-0.013395403,1.026255250
1.262000,-0.060146887,-0.015046795,1.025856137
1.282000,-0.060539674,-0.017272301,1.025137067
1.302000,-0.060624227,-0.020033827,1.024092436
1.322000,-0.060414173,-0.023305029,1.022681952
1.342000,-0.059883915,-0.027059868,1.020783901
1.362000,-0.059010956,-0.031255901,1.018228292
1.382000,-0.058270250,-0.035196751,1.017037034
1.402000,-0.057695150,-0.038387984,1.018429875
1.422000,-0.056878969,-0.040883034,1.020955563
1.442000,-0.055762898,-0.042719208,1.023702145
1.462000,-0.054412190,-0.043917701,1.026161909
1.482000,-0.052992009,-0.044543795,1.027937174
1.502000,-0.051650878,-0.044647638,1.028885126
1.522000,-0.050474681,-0.044244114,1.029066205
1.542000,-0.049519438,-0.043353815,1.028625369
1.562000,-0.048813567,-0.041996289,1.027704120
1.582000,-0.048401695,-0.040190063,1.026373744
1.602000,-0.048339915,-0.037903875,1.024527311
1.622000,-0.048757605,-0.035078336,1.021699190
1.642000,-0.049553759,-0.032697469,1.020524025
1.662000,-0.050457403,-0.030981207,1.021926403
1.682000,-0.051577475,-0.029403476,1.023800611
1.702000,-0.052946132,-0.028030513,1.025501013
1.722000,-0.054448705,-0.027054779,1.026703000
1.742000,-0.055907376,-0.026590722,1.027276874
1.762000,-0.057125214,-0.026646346,1.027291417
1.782000,-0.057997227,-0.027159249,1.026961327
1.802000,-0.058471575,-0.028076459,1.026408911
1.822000,-0.058526691,-0.029351743,1.025684595
1.842000,-0.058168441,-0.030958965,1.024765134
1.862000,-0.057384472,-0.032878060,1.023590446
1.882000,-0.056154404,-0.035112232,1.022029400
1.902000,-0.054468386,-0.037679084,1.019826770
1.922000,-0.052913506,-0.040121749,1.018921018
1.942000,-0.051740114,-0.042045832,1.020501852
1.962000,-0.050650474,-0.043517973,1.022796512
1.982000,-0.049680680,-0.044579141,1.024969220
2.002000,-0.048866075,-0.045192808,1.026618719
2.022000,-0.048209403,-0.045354676,1.027629972
2.042000,-0.047768641,-0.045091957,1.027966976
2.062000,-0.047598831,-0.044433072,1.027694702
2.082000,-0.047725085,-0.043407924,1.026932597
2.102000,-0.048152968,-0.042027112,1.025773048
2.122000,-0.048926897,-0.040305953,1.024206161
2.142000,-0.050141234,-0.038199257,1.021920681
2.162000,-0.051694393,-0.036143590,1.020046830
2.182000,-0.053074934,-0.034722075,1.021016121
2.202000,-0.054345079,-0.033508152,1.022862673
2.222000,-0.055585857,-0.032533292,1.024596691
2.242000,-0.056716211,-0.031939376,1.025904775
