time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749546,0.000003277,1.032246947
0.042000,-0.003287312,0.000012083,1.026530743
0.062000,-0.003194466,-0.000010274,1.020953894
0.082000,-0.002946406,-0.000059316,1.020963669
0.102000,-0.001643444,-0.000132668,1.022322536
0.122000,0.000330955,-0.000244209,1.023278832
0.142000,0.002517595,-0.000402488,1.023764729
0.162000,0.004677986,-0.000604792,1.023974299
0.182000,0.006684154,-0.000839909,1.024015546
0.202000,0.008461881,-0.001102779,1.023959398
0.222000,0.009954710,-0.001383649,1.023860335
0.242000,0.011126901,-0.001669212,1.023754239
0.262000,0.011965205,-0.001947997,1.023661375
0.282000,0.012462391,-0.002211582,1.023588777
0.302000,0.012604639,-0.002461552,1.023532271
0.322000,0.012393045,-0.002698682,1.023489833
0.342000,0.011841728,-0.002919009,1.023459077
0.362000,0.010973814,-0.003119081,1.023431063
0.382000,0.009833615,-0.003297505,1.023409843
0.402000,0.008457611,-0.003456628,1.023397565
0.422000,0.006869565,-0.003598537,1.023390293
0.442000,0.005090328,-0.003724263,1.023384213
0.462000,0.003138958,-0.003833702,1.023374677
0.482000,0.001034661,-0.003925541,1.023356676
0.502000,-0.001199077,-0.003997614,1.023328424
0.522000,-0.003534614,-0.004047481,1.023290634
0.542000,-0.005946741,-0.004073434,1.023251295
0.562000,-0.008411886,-0.004071630,1.023220539
0.582000,-0.010911919,-0.004033035,1.023201823
0.602000,-0.013435123,-0.003936744,1.023193359
0.622000,-0.015972169,-0.003739207,1.023190379
0.642000,-0.018518431,-0.003370059,1.023161650
0.662000,-0.021060817,-0.002714717,1.023034811
0.682000,-0.023571350,-0.001632777,1.022773862
0.702000,-0.025993202,0.000004146,1.022356033
0.722000,-0.028221656,0.002294889,1.021826029
0.742000,-0.030237110,0.005247328,1.021230936
0.762000,-0.032022648,0.008804848,1.020473957
0.782000,-0.033555232,0.012925107,1.019374251
0.802000,-0.034796927,0.017554710,1.017638564
0.822000,-0.035952475,0.022197533,1.016072750
0.842000,-0.036918756,0.026379045,1.015571713
0.862000,-0.037840210,0.029537041,1.016719818
0.882000,-0.038652442,0.031705294,1.019156814
0.902000,-0.039165683,0.033141948,1.022161126
0.922000,-0.039393723,0.033966351,1.025080204
0.942000,-0.039486397,0.034230486,1.027326345
0.962000,-0.039583940,0.033936523,1.028669715
0.982000,-0.039753329,0.033091679,1.029140234
1.002000,-0.040032819,0.031711642,1.028847456
1.022000,-0.040440857,0.029795313,1.027933240
1.042000,-0.041002195,0.027342925,1.026491284
1.062000,-0.041718192,0.024310710,1.024389625
1.082000,-0.042668127,0.020730512,1.021353960
1.102000,-0.044079468,0.017738473,1.020084262
1.122000,-0.045642611,0.015620772,1.021304131
1.142000,-0.047136296,0.013893945,1.023006916
1.162000,-0.048611499,0.012580226,1.024438977
1.182000,-0.050098732,0.011796881,1.025469184
1.202000,-0.051487684,0.011640679,1.026051402
1.222000,-0.052646875,0.012119439,1.026254654
1.242000,-0.053529255,0.013223203,1.026126027
1.262000,-0.054118272,0.014942386,1.025690436
1.282000,-0.054391712,0.017245809,1.024975061
1.302000,-0.054341633,0.020092485,1.023964524
1.322000,-0.053982396,0.023454780,1.022597432
1.342000,-0.053292695,0.027309183,1.020743847
1.362000,-0.052250441,0.031609539,1.018226027
1.382000,-0.051339168,0.035659373,1.017057776
1.402000,-0.050609183,0.038952325,1.018468142
1.422000,-0.049648196,0.041542634,1.021028757
1.442000,-0.048393436,0.043471076,1.023829222
1.462000,-0.046918742,0.044758294,1.026336074
1.482000,-0.045393314,0.045471285,1.028136492
1.502000,-0.043963835,0.045660298,1.029082537
1.522000,-0.042710867,0.045341153,1.029240251
1.542000,-0.041686293,0.044534523,1.028767824
1.562000,-0.040915247,0.043261163,1.027816057
1.582000,-0.040438153,0.041541882,1.026461244
1.602000,-0.040308494,0.039348550,1.024607897
1.622000,-0.040649995,0.036620542,1.021805525
1.642000,-0.041393749,0.034257188,1.020406246
1.662000,-0.042231821,0.032570593,1.021741271
1.682000,-0.043242604,0.031006360,1.023633718
1.702000,-0.044479635,0.029618148,1.025382876
1.722000,-0.045851417,0.028605198,1.026659369
1.742000,-0.047190759,0.028093392,1.027324319
1.762000,-0.048305564,0.028104819,1.027408719
1.782000,-0.049082711,0.028589195,1.027114987
1.802000,-0.049468242,0.029493105,1.026580572
1.822000,-0.049435634,0.030767353,1.025867701
1.842000,-0.048987288,0.032383796,1.024965167
1.862000,-0.048111852,0.034322280,1.023816943
1.882000,-0.046792265,0.036583930,1.022303462
1.902000,-0.044995278,0.039193884,1.020124912
1.922000,-0.043244410,0.041762296,1.018938780
1.942000,-0.041910287,0.043821380,1.020387888
1.962000,-0.040672790,0.045411073,1.022679448
1.982000,-0.039546274,0.046583198,1.024896145
2.002000,-0.038579054,0.047316663,1.026603699
2.022000,-0.037771996,0.047603533,1.027669191
2.042000,-0.037180834,0.047467388,1.028043985
2.062000,-0.036859639,0.046933506,1.027787685
2.082000,-0.036831535,0.046030540,1.027029991
2.102000,-0.037099794,0.044770077,1.025875330
2.122000,-0.037707962,0.043173816,1.024329424
2.142000,-0.038742766,0.041203346,1.022134662
2.162000,-0.040160790,0.039184343,1.020035028
2.182000,-0.041428603,0.037808347,1.020793676
2.202000,-0.042585716,0.036652654,1.022627473
2.222000,-0.043730769,0.035713874,1.024424195
2.242000,-0.044798009,0.035143573,1.025816321
2.262000,-0.045625679,0.035019368,1.026649714
2.282000,-0.046085060,0.035296764,1.027002335
