time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003772139,-0.000000057,1.032332778
0.042000,-0.003522587,0.000001580,1.026616573
0.062000,-0.003653289,0.000058743,1.021361351
0.082000,-0.003527268,0.000092985,1.021568418
0.102000,-0.002390360,0.000102299,1.022645831
0.122000,-0.000324988,0.000102220,1.023299456
0.142000,0.002484462,0.000089989,1.023511052
0.162000,0.005889539,0.000064284,1.023453116
0.182000,0.009754897,0.000018192,1.023311615
0.202000,0.013987169,-0.000056899,1.023140192
0.222000,0.018516874,-0.000163012,1.022830486
0.242000,0.023277368,-0.000298528,1.022244930
0.262000,0.028223321,-0.000435483,1.021437764
0.282000,0.033415321,-0.000558838,1.020782232
0.302000,0.038923126,-0.000700658,1.020199060
0.322000,0.044717718,-0.000851784,1.019572854
0.342000,0.050787821,-0.001001056,1.018875957
0.362000,0.057140864,-0.001143353,1.018132687
0.382000,0.063758709,-0.001275371,1.017353296
0.402000,0.070602298,-0.001388745,1.016553879
0.422000,0.077615768,-0.001478297,1.015704751
0.442000,0.084721394,-0.001541119,1.014821768
0.462000,0.091810994,-0.001627518,1.014118075
0.482000,0.098821685,-0.001819599,1.014041424
0.502000,0.105777092,-0.002199083,1.014869094
0.522000,0.112746485,-0.002829179,1.016222000
0.542000,0.119865865,-0.003164065,1.017473698
0.562000,0.127347201,-0.002897661,1.017701387
0.582000,0.135147825,-0.002057036,1.016676068
0.602000,0.143141329,-0.000687856,1.014469147
0.622000,0.151260242,0.001256789,1.011121750
0.642000,0.159336910,0.003897066,1.007069707
0.662000,0.167175442,0.005742459,1.007153273
0.682000,0.174801543,0.006976165,1.011792779
0.702000,0.182495698,0.008012425,1.017894864
0.722000,0.190360174,0.008681354,1.022904634
0.742000,0.198282599,0.008973385,1.026177526
0.762000,0.206104785,0.008965608,1.027904391
0.782000,0.213740900,0.008689625,1.028454542
0.802000,0.221226349,0.008177801,1.028153658
0.822000,0.228695437,0.007456086,1.027168036
0.842000,0.236318097,0.006512444,1.025582194
0.862000,0.244234517,0.005305336,1.023474932
0.882000,0.252547920,0.003771206,1.020849109
0.902000,0.261291742,0.001815616,1.017542839
0.922000,0.270431340,-0.000678218,1.013146639
0.942000,0.279720217,-0.003311134,1.009189248
0.962000,0.288852721,-0.005536059,1.008041263
0.982000,0.297765702,-0.007644381,1.010098815
1.002000,0.306717694,-0.009916038,1.013772964
1.022000,0.315808266,-0.012140414,1.017330170
1.042000,0.325002789,-0.014119118,1.019956708
1.062000,0.334215760,-0.015846543,1.021788001
1.082000,0.343416840,-0.017347569,1.023065805
1.102000,0.352627248,-0.018621027,1.023912191
1.122000,0.361922055,-0.019664632,1.024356723
1.142000,0.371366948,-0.020470973,1.024373293
1.162000,0.381023705,-0.021016885,1.023945570
1.182000,0.390951604,-0.021271968,1.023101091
1.202000,0.401194543,-0.021201111,1.021875858
1.222000,0.411784291,-0.020761721,1.020242810
1.242000,0.422728747,-0.019900868,1.018097997
1.262000,0.434006333,-0.018530205,1.015126586
1.282000,0.445435971,-0.016674472,1.011325598
1.302000,0.456578046,-0.014978967,1.009236336
1.322000,0.467262238,-0.013482993,1.010361791
1.342000,0.477763325,-0.011742252,1.013566971
1.362000,0.488291055,-0.009938499,1.017116427
1.382000,0.498912007,-0.008375444,1.019746780
1.402000,0.509527683,-0.007143733,1.021368384
1.422000,0.520095587,-0.006182477,1.022366762
1.442000,0.530629277,-0.005482110,1.022935867
1.462000,0.541186929,-0.005039244,1.023138642
1.482000,0.551844358,-0.004849765,1.022943020
1.502000,0.562642694,-0.004930453,1.022325635
1.522000,0.573636472,-0.005324678,1.021268845
1.542000,0.584880173,-0.006088653,1.019724846
1.562000,0.596398413,-0.007301172,1.017550349
1.582000,0.608180702,-0.009086981,1.014303803
1.602000,0.619950712,-0.011317634,1.010190964
1.622000,0.631205797,-0.013118455,1.008789659
1.642000,0.642060339,-0.014824045,1.010805249
1.662000,0.652867317,-0.016722895,1.014561176
1.682000,0.663780212,-0.018562244,1.018218517
1.702000,0.674760997,-0.020092910,1.020854592
1.722000,0.685712099,-0.021298239,1.022607327
1.742000,0.696594715,-0.022212347,1.023733020
1.762000,0.707409799,-0.022837451,1.024353862
1.782000,0.718221605,-0.023178667,1.024488211
1.802000,0.729097009,-0.023243917,1.024102926
1.822000,0.740096450,-0.023017278,1.023191690
1.842000,0.751293540,-0.022452738,1.021768451
1.862000,0.762743056,-0.021486428,1.019795895
1.882000,0.774455905,-0.020040214,1.017082095
1.902000,0.786382139,-0.017972663,1.013092995
1.922000,0.798118889,-0.015655335,1.008875847
1.942000,0.809202433,-0.013875512,1.008372903
1.962000,0.819964111,-0.011987047,1.011109352
1.982000,0.830738127,-0.009924093,1.015116930
2.002000,0.841640770,-0.008004333,1.018603563
2.022000,0.852586448,-0.006398551,1.021028161
2.042000,0.863477886,-0.005079480,1.022694468
2.062000,0.874280155,-0.004029955,1.023787737
2.082000,0.885001600,-0.003251497,1.024404407
2.102000,0.895718038,-0.002742302,1.024537921
2.122000,0.906491160,-0.002499057,1.024165630
2.142000,0.917380393,-0.002545241,1.023292184
2.162000,0.928460240,-0.002934000,1.021947503
2.182000,0.939788640,-0.003718775,1.020092010
2.202000,0.951382875,-0.004973309,1.017565012
2.222000,0.963206291,-0.006826460,1.013918638
2.242000,0.974956572,-0.009129985,1.009473205
2.262000,0.986107051,-0.010962644,1.008183241
2.282000,0.996857762,-0.012820119,1.010399580
2.302000,1.007568479,-0.014918142,1.014259577
