time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771004,-0.000001398,1.032333374
0.042000,-0.003508731,-0.000014222,1.026624322
0.062000,-0.003603093,0.000068481,1.021307230
0.082000,-0.003497780,0.000262833,1.021678448
0.102000,-0.002610800,0.000611427,1.022912264
0.122000,-0.001126446,0.001143192,1.023750901
0.142000,0.000674439,0.001879546,1.024193525
0.162000,0.002574151,0.002839088,1.024381638
0.182000,0.004364712,0.004047190,1.024409771
0.202000,0.005908968,0.005519658,1.024343371
0.222000,0.007121613,0.007259058,1.024228215
0.242000,0.007944707,0.009253963,1.024098396
0.262000,0.008381903,0.011487282,1.023974895
0.282000,0.008451620,0.013943691,1.023856401
0.302000,0.008141746,0.016614445,1.023744106
0.322000,0.007479697,0.019493496,1.023632050
0.342000,0.006513298,0.022567896,1.023508668
0.362000,0.005296377,0.025824832,1.023362398
0.382000,0.003886507,0.029252857,1.023195744
0.402000,0.002322892,0.032839246,1.023005962
0.422000,0.000631739,0.036568426,1.022787690
0.442000,-0.001166128,0.040415969,1.022535920
0.462000,-0.003052817,0.044349287,1.022246718
0.482000,-0.005011143,0.048341304,1.021919250
0.502000,-0.007021140,0.052363016,1.021554470
0.522000,-0.009066553,0.056382731,1.021153450
0.542000,-0.011136269,0.060368124,1.020718694
0.562000,-0.013175344,0.064291283,1.020261645
0.582000,-0.015134687,0.068114981,1.019801021
0.602000,-0.016989177,0.071801960,1.019359350
0.622000,-0.018724952,0.075317115,1.018931150
0.642000,-0.020332247,0.078628071,1.018478751
0.662000,-0.021798557,0.081739590,1.018055081
0.682000,-0.023087844,0.084571175,1.017644048
0.702000,-0.024174880,0.087105364,1.017341256
0.722000,-0.025047339,0.089355439,1.017167330
0.742000,-0.025712457,0.091329567,1.017030239
0.762000,-0.026204897,0.093032666,1.016760588
0.782000,-0.026595343,0.094482191,1.016269803
0.802000,-0.027028542,0.095987499,1.016613841
0.822000,-0.027395671,0.097510695,1.018284678
0.842000,-0.027593803,0.099434473,1.021101952
0.862000,-0.027632071,0.101833083,1.023726821
0.882000,-0.027555387,0.104685463,1.025567174
0.902000,-0.027388338,0.107999474,1.026589870
0.922000,-0.027211128,0.111764587,1.026828170
0.942000,-0.027028885,0.115942873,1.026327968
0.962000,-0.026803041,0.120534338,1.025058985
0.982000,-0.026510866,0.125619486,1.022835612
1.002000,-0.026247494,0.131384194,1.019510508
1.022000,-0.026337946,0.137104124,1.017987490
1.042000,-0.026502183,0.141924068,1.019524455
1.062000,-0.026451869,0.146376476,1.021952629
1.082000,-0.026303388,0.150705621,1.024092913
1.102000,-0.026200121,0.154867753,1.025460005
1.122000,-0.026220381,0.158738062,1.026035190
1.142000,-0.026344810,0.162194178,1.026031256
1.162000,-0.026479637,0.165183187,1.025731802
1.182000,-0.026571268,0.167730123,1.025228620
1.202000,-0.026635535,0.169853777,1.024434328
1.222000,-0.026675772,0.171565861,1.023208618
1.242000,-0.026687639,0.172851235,1.021290541
1.262000,-0.026743142,0.173958018,1.018976092
1.282000,-0.026935924,0.175987616,1.019775867
1.302000,-0.026965577,0.178760216,1.021960020
1.322000,-0.026806599,0.182080522,1.023951769
1.342000,-0.026445806,0.185934663,1.025324821
1.362000,-0.025928693,0.190318957,1.026037455
1.382000,-0.025398146,0.195247650,1.026081681
1.402000,-0.024926601,0.200727552,1.025484800
1.422000,-0.024523182,0.206782669,1.024234653
1.442000,-0.024145426,0.213469014,1.022141337
1.462000,-0.023824098,0.220808402,1.019002080
1.482000,-0.023804339,0.227977574,1.017589569
1.502000,-0.023770744,0.234263837,1.018737435
1.522000,-0.023433123,0.240148365,1.020550013
1.542000,-0.022876156,0.245779678,1.022254944
1.562000,-0.022160327,0.251075476,1.023647785
1.582000,-0.021300877,0.255978018,1.024726391
1.602000,-0.020368509,0.260494977,1.025417328
1.622000,-0.019434461,0.264633179,1.025608063
1.642000,-0.018548736,0.268409342,1.025236249
1.662000,-0.017728470,0.271830887,1.024240136
1.682000,-0.016975328,0.274855673,1.022456288
1.702000,-0.016336609,0.277303606,1.019747257
1.722000,-0.016050197,0.280379623,1.019905806
1.742000,-0.015870878,0.284199923,1.022274017
1.762000,-0.015743490,0.288338214,1.024538755
1.782000,-0.015664291,0.292807162,1.026078463
1.802000,-0.015532442,0.297662705,1.026766300
1.822000,-0.015388644,0.302905917,1.026730657
1.842000,-0.015297531,0.308547616,1.026077271
1.862000,-0.015242107,0.314621896,1.024869204
1.882000,-0.015185392,0.321198821,1.022986770
1.902000,-0.015071318,0.328397304,1.019971490
1.922000,-0.015165915,0.335826486,1.017618179
1.942000,-0.015346254,0.342481285,1.018278003
1.962000,-0.015163478,0.348549664,1.020058632
1.982000,-0.014627108,0.354315341,1.021815419
2.002000,-0.013871859,0.359752715,1.023217678
2.022000,-0.012942093,0.364828676,1.024321556
2.042000,-0.011909350,0.369513303,1.025088072
2.062000,-0.010842461,0.373819321,1.025408745
2.082000,-0.009791599,0.377765447,1.025216222
2.102000,-0.008772803,0.381367803,1.024455190
2.122000,-0.007807235,0.384608239,1.023027539
2.142000,-0.006923535,0.387364537,1.020614505
2.162000,-0.006326663,0.390083432,1.019148588
2.182000,-0.005975561,0.393787801,1.021154165
2.202000,-0.005637901,0.397896111,1.023662448
2.222000,-0.005335469,0.402311862,1.025609016
2.242000,-0.004974560,0.407113850,1.026646256
2.262000,-0.004561912,0.412308663,1.026903391
2.282000,-0.004186618,0.417904764,1.026484966
2.302000,-0.003857885,0.423925191,1.025467515
