time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771030,0.000001194,1.032333374
0.042000,-0.003509254,0.000016111,1.026624322
0.062000,-0.003603441,-0.000019386,1.021434784
0.082000,-0.003499833,-0.000180835,1.021800399
0.102000,-0.002648063,-0.000501602,1.022988439
0.122000,-0.001223145,-0.001005611,1.023799419
0.142000,0.000508866,-0.001721727,1.024225116
0.162000,0.002334831,-0.002670464,1.024403214
0.182000,0.004047998,-0.003880026,1.024420619
0.202000,0.005512203,-0.005369517,1.024343729
0.222000,0.006643370,-0.007140012,1.024228811
0.242000,0.007387843,-0.009182108,1.024099827
0.262000,0.007749364,-0.011480224,1.023969769
0.282000,0.007747767,-0.014014019,1.023843765
0.302000,0.007373650,-0.016774131,1.023724198
0.322000,0.006655143,-0.019754874,1.023604155
0.342000,0.005639493,-0.022943012,1.023470998
0.362000,0.004379484,-0.026325934,1.023310900
0.382000,0.002935855,-0.029892515,1.023127437
0.402000,0.001347486,-0.033630416,1.022916913
0.422000,-0.000360898,-0.037524246,1.022674203
0.442000,-0.002169324,-0.041549068,1.022394776
0.462000,-0.004060705,-0.045671098,1.022075534
0.482000,-0.006018549,-0.049861867,1.021716118
0.502000,-0.008023186,-0.054090232,1.021317840
0.522000,-0.010057981,-0.058321454,1.020881772
0.542000,-0.012110176,-0.062521994,1.020416617
0.562000,-0.014126847,-0.066662878,1.019936800
0.582000,-0.016059387,-0.070699371,1.019461751
0.602000,-0.017884668,-0.074598491,1.019013166
0.622000,-0.019588023,-0.078311302,1.018546581
0.642000,-0.021147480,-0.081821665,1.018066764
0.662000,-0.022531293,-0.085070848,1.017601967
0.682000,-0.023700558,-0.088024773,1.017244220
0.702000,-0.024641372,-0.090705343,1.017048478
0.722000,-0.025372066,-0.093123354,1.016943216
0.742000,-0.025933249,-0.095285468,1.016757011
0.762000,-0.026378360,-0.097180121,1.016316414
0.782000,-0.026816523,-0.098968148,1.016074300
0.802000,-0.027288022,-0.100765616,1.017321944
0.822000,-0.027626626,-0.102864467,1.020187855
0.842000,-0.027759291,-0.105450928,1.023180485
0.862000,-0.027791614,-0.108472370,1.025438666
0.882000,-0.027702726,-0.111908890,1.026819944
0.902000,-0.027591957,-0.115766600,1.027340889
0.922000,-0.027511034,-0.120019771,1.027063489
0.942000,-0.027408807,-0.124649599,1.026027679
0.962000,-0.027256504,-0.129726827,1.024165154
0.982000,-0.027053745,-0.135422513,1.021181703
1.002000,-0.027096368,-0.141591683,1.018279433
1.022000,-0.027401527,-0.147022128,1.018710017
1.042000,-0.027495887,-0.151829585,1.020888567
1.062000,-0.027369577,-0.156438634,1.023191333
1.082000,-0.027189221,-0.160925195,1.024905682
1.102000,-0.027098315,-0.165188164,1.025817633
1.122000,-0.027134551,-0.169113398,1.026049733
1.142000,-0.027235372,-0.172580793,1.025831223
1.162000,-0.027313564,-0.175599173,1.025379658
1.182000,-0.027359150,-0.178189859,1.024695396
1.202000,-0.027387040,-0.180366978,1.023663759
1.222000,-0.027382350,-0.182133406,1.022099257
1.242000,-0.027379164,-0.183492750,1.019725680
1.262000,-0.027533650,-0.185465172,1.019297838
1.282000,-0.027657751,-0.188343108,1.021246910
1.302000,-0.027661150,-0.191793039,1.023366094
1.322000,-0.027556464,-0.195762143,1.024969697
1.342000,-0.027303901,-0.200263470,1.025875926
1.362000,-0.026998958,-0.205306470,1.026088834
1.382000,-0.026728854,-0.210901707,1.025636673
1.402000,-0.026511028,-0.217062280,1.024544239
1.422000,-0.026317706,-0.223835632,1.022719979
1.442000,-0.026104499,-0.231292322,1.019778132
1.462000,-0.026129434,-0.238943875,1.017406225
1.482000,-0.026289891,-0.245726272,1.017977357
1.502000,-0.026150381,-0.251953542,1.019689560
1.522000,-0.025738044,-0.257880092,1.021528482
1.542000,-0.025126535,-0.263462335,1.023137450
1.562000,-0.024339320,-0.268649518,1.024436355
1.582000,-0.023467172,-0.273449302,1.025321603
1.602000,-0.022600390,-0.277869225,1.025673628
1.622000,-0.021798739,-0.281930238,1.025429845
1.642000,-0.021086480,-0.285647482,1.024542093
1.662000,-0.020459229,-0.288997769,1.022907972
1.682000,-0.019925164,-0.291798085,1.020261288
1.702000,-0.019711398,-0.294905961,1.019517660
1.722000,-0.019665236,-0.298893064,1.021636605
1.742000,-0.019648114,-0.303234458,1.023881555
1.762000,-0.019662147,-0.307884783,1.025506735
1.782000,-0.019595146,-0.312907815,1.026311278
1.802000,-0.019478511,-0.318307966,1.026399136
1.822000,-0.019396421,-0.324097723,1.025863051
1.842000,-0.019348383,-0.330309540,1.024780393
1.862000,-0.019300604,-0.337010682,1.023064494
1.882000,-0.019186724,-0.344318151,1.020260692
1.902000,-0.019239610,-0.351940155,1.017673612
1.922000,-0.019422809,-0.358846784,1.018043041
1.942000,-0.019280512,-0.365105450,1.019763350
1.962000,-0.018784164,-0.371043652,1.021571279
1.982000,-0.018074594,-0.376665115,1.023062825
2.002000,-0.017194912,-0.381892204,1.024232864
2.022000,-0.016204748,-0.386724442,1.025068164
2.042000,-0.015185555,-0.391173303,1.025441527
2.062000,-0.014190707,-0.395255685,1.025280595
2.082000,-0.013244404,-0.398989260,1.024531603
2.102000,-0.012360033,-0.402359486,1.023099184
2.122000,-0.011565439,-0.405265868,1.020671368
2.142000,-0.011061889,-0.408050746,1.018965125
2.162000,-0.010864592,-0.411864161,1.020950556
2.182000,-0.010718849,-0.416076362,1.023533225
2.202000,-0.010634305,-0.420584142,1.025581956
2.222000,-0.010520400,-0.425469667,1.026698947
