time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771017,-0.000000105,1.032333374
0.042000,-0.003508943,0.000001024,1.026624441
0.062000,-0.003602913,-0.000015200,1.021428227
0.082000,-0.003499973,-0.000034551,1.021799564
0.102000,-0.002647006,-0.000070773,1.022998691
0.122000,-0.001218552,-0.000113563,1.023824930
0.142000,0.000519590,-0.000158397,1.024269700
0.162000,0.002354165,-0.000202556,1.024469137
0.182000,0.004102464,-0.000247567,1.024529338
0.202000,0.005621739,-0.000295088,1.024513125
0.222000,0.006822208,-0.000344876,1.024458766
0.242000,0.007657096,-0.000395429,1.024391770
0.262000,0.008125953,-0.000446093,1.024329662
0.282000,0.008253681,-0.000497710,1.024278879
0.302000,0.008033936,-0.000551689,1.024244189
0.322000,0.007505575,-0.000609307,1.024224639
0.342000,0.006723208,-0.000671088,1.024212360
0.362000,0.005754004,-0.000736646,1.024210334
0.382000,0.004644621,-0.000805124,1.024219394
0.402000,0.003420159,-0.000875538,1.024234414
0.422000,0.002098453,-0.000946943,1.024250269
0.442000,0.000693348,-0.001018538,1.024262786
0.462000,-0.000784289,-0.001089733,1.024269581
0.482000,-0.002325209,-0.001160161,1.024269819
0.502000,-0.003921215,-0.001229596,1.024263382
0.522000,-0.005566274,-0.001298094,1.024249077
0.542000,-0.007264582,-0.001365932,1.024227977
0.562000,-0.008981346,-0.001433178,1.024203300
0.582000,-0.010680581,-0.001499336,1.024181962
0.602000,-0.012350067,-0.001563369,1.024172068
0.622000,-0.014012831,-0.001624745,1.024169564
0.642000,-0.015691992,-0.001683259,1.024163485
0.662000,-0.017387995,-0.001738408,1.024151564
0.682000,-0.019092401,-0.001789635,1.024134040
0.702000,-0.020793233,-0.001836647,1.024111390
0.722000,-0.022478843,-0.001879350,1.024083495
0.742000,-0.024140442,-0.001917734,1.024049878
0.762000,-0.025772650,-0.001951830,1.024010301
0.782000,-0.027372636,-0.001981722,1.023964882
0.802000,-0.028938696,-0.002007589,1.023914099
0.822000,-0.030469406,-0.002029593,1.023858905
0.842000,-0.031962369,-0.002047815,1.023801565
0.862000,-0.033405013,-0.002063050,1.023743987
0.882000,-0.034792121,-0.002075706,1.023684978
0.902000,-0.036116883,-0.002086061,1.023624897
0.922000,-0.037370674,-0.002094337,1.023565531
0.942000,-0.038545806,-0.002100750,1.023507953
0.962000,-0.039637513,-0.002105557,1.023452044
0.982000,-0.040640309,-0.002108974,1.023398399
1.002000,-0.041548606,-0.002111170,1.023348331
1.022000,-0.042358715,-0.002112306,1.023302794
1.042000,-0.043069042,-0.002112547,1.023262262
1.062000,-0.043679811,-0.002112052,1.023227215
1.082000,-0.044192661,-0.002110974,1.023197651
1.102000,-0.044609897,-0.002109444,1.023173571
1.122000,-0.044935185,-0.002107596,1.023155093
1.142000,-0.045173790,-0.002105548,1.023141861
1.162000,-0.045330539,-0.002103403,1.023133755
1.182000,-0.045412116,-0.002101183,1.023129821
1.202000,-0.045424975,-0.002098980,1.023129225
1.222000,-0.045374390,-0.002096915,1.023131967
1.242000,-0.045265190,-0.002095104,1.023137450
1.262000,-0.045102026,-0.002093656,1.023145676
1.282000,-0.044889465,-0.002092664,1.023156285
1.302000,-0.044631686,-0.002092271,1.023169160
1.322000,-0.044331610,-0.002092661,1.023184538
1.342000,-0.043992445,-0.002093964,1.023202419
1.362000,-0.043619268,-0.002096280,1.023222446
1.382000,-0.043217856,-0.002099650,1.023243546
1.402000,-0.042793341,-0.002104050,1.023265243
1.422000,-0.042349476,-0.002109408,1.023287177
1.442000,-0.041889105,-0.002115622,1.023308992
1.462000,-0.041414630,-0.002122583,1.023330927
1.482000,-0.040928341,-0.002130195,1.023352861
1.502000,-0.040432610,-0.002138385,1.023374915
1.522000,-0.039929923,-0.002147112,1.023396850
1.542000,-0.039422859,-0.002156362,1.023418784
1.562000,-0.038914055,-0.002166148,1.023440599
1.582000,-0.038406149,-0.002176498,1.023462057
1.602000,-0.037901759,-0.002187447,1.023483038
1.622000,-0.037403461,-0.002199035,1.023503542
1.642000,-0.036913779,-0.002211292,1.023523450
1.662000,-0.036435157,-0.002224238,1.023542643
1.682000,-0.035969954,-0.002237879,1.023561120
1.702000,-0.035520412,-0.002252206,1.023578763
1.722000,-0.035088621,-0.002267194,1.023595452
1.742000,-0.034676507,-0.002282806,1.023611307
1.762000,-0.034285806,-0.002298993,1.023626089
1.782000,-0.033918038,-0.002315698,1.023639917
1.802000,-0.033574529,-0.002332861,1.023652673
1.822000,-0.033256385,-0.002350417,1.023664355
1.842000,-0.032964461,-0.002368305,1.023675203
1.862000,-0.032699384,-0.002386461,1.023684859
1.882000,-0.032461591,-0.002404827,1.023693681
1.902000,-0.032251377,-0.002423350,1.023701429
1.922000,-0.032068916,-0.002441981,1.023708344
1.942000,-0.031914223,-0.002460675,1.023714185
1.962000,-0.031787187,-0.002479388,1.023719072
1.982000,-0.031687517,-0.002498075,1.023722887
2.002000,-0.031614710,-0.002516697,1.023725510
2.022000,-0.031567760,-0.002535202,1.023727179
2.042000,-0.031545062,-0.002553537,1.023727894
2.062000,-0.031545043,-0.002571655,1.023727775
2.082000,-0.031566184,-0.002589520,1.023727059
2.102000,-0.031606961,-0.002607098,1.023725629
2.122000,-0.031665813,-0.002624363,1.023723483
2.142000,-0.031741165,-0.002641293,1.023720860
2.162000,-0.031831432,-0.002657873,1.023717761
2.182000,-0.031935018,-0.002674086,1.023714066
2.202000,-0.032050349,-0.002689921,1.023710012
2.222000,-0.032175858,-0.002705369,1.023705602
