time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771035,-0.000000459,1.032333374
0.042000,-0.003509311,-0.000002547,1.026624441
0.062000,-0.003602693,0.000003089,1.021460414
0.082000,-0.003484375,0.000029074,1.021801949
0.102000,-0.002604524,0.000063453,1.022988319
0.122000,-0.001170424,0.000110871,1.023804426
0.142000,0.000534689,0.000180943,1.024252534
0.162000,0.002289040,0.000273873,1.024465919
0.182000,0.003900351,0.000392404,1.024538159
0.202000,0.005218572,0.000538058,1.024524927
0.222000,0.006149387,0.000707810,1.024466276
0.242000,0.006643094,0.000894916,1.024391174
0.262000,0.006701156,0.001092244,1.024320722
0.282000,0.006347571,0.001291998,1.024262667
0.302000,0.005582953,0.001488096,1.024223328
0.322000,0.004446966,0.001671684,1.024201989
0.342000,0.002995608,0.001837222,1.024191856
0.362000,0.001293614,0.001981658,1.024186850
0.382000,-0.000598807,0.002102742,1.024190426
0.402000,-0.002646787,0.002198352,1.024196625
0.422000,-0.004824736,0.002266875,1.024199486
0.442000,-0.007111095,0.002307256,1.024193406
0.462000,-0.009487849,0.002318992,1.024174690
0.482000,-0.011941011,0.002301655,1.024139643
0.502000,-0.014456531,0.002254690,1.024086356
0.522000,-0.017021902,0.002176563,1.024015307
0.542000,-0.019632589,0.002068941,1.023928046
0.562000,-0.022242313,0.001939793,1.023839474
0.582000,-0.024810458,0.001791037,1.023764133
0.602000,-0.027329214,0.001617355,1.023705006
0.622000,-0.029825330,0.001405674,1.023651719
0.642000,-0.032320440,0.001136165,1.023590207
0.662000,-0.034812599,0.000780536,1.023510098
0.682000,-0.037289653,0.000293477,1.023401380
0.702000,-0.039732650,-0.000392183,1.023229480
0.722000,-0.042117719,-0.001372644,1.022933245
0.742000,-0.044412613,-0.002766469,1.022444487
0.762000,-0.046597913,-0.004654692,1.021820903
0.782000,-0.048642222,-0.007079561,1.021090388
0.802000,-0.050511669,-0.010066759,1.020200133
0.822000,-0.052187171,-0.013591210,1.019168735
0.842000,-0.053666480,-0.017543960,1.018169641
0.862000,-0.054940026,-0.021687813,1.017409801
0.882000,-0.055970836,-0.025723606,1.017023683
0.902000,-0.056806762,-0.029243590,1.017268896
0.922000,-0.057554107,-0.031896885,1.018572450
0.942000,-0.058163945,-0.033779748,1.020634651
0.962000,-0.058500621,-0.035047051,1.022868276
0.982000,-0.058595859,-0.035773132,1.024857879
1.002000,-0.058589261,-0.035978369,1.026312113
1.022000,-0.058579296,-0.035665862,1.027117848
1.042000,-0.058621407,-0.034837201,1.027264476
1.062000,-0.058738191,-0.033479344,1.026795268
1.082000,-0.058970071,-0.031570256,1.025710106
1.102000,-0.059342068,-0.029045688,1.023730278
1.122000,-0.059986789,-0.025972420,1.020723939
1.142000,-0.060957782,-0.023750568,1.020531535
1.162000,-0.061872035,-0.022154290,1.022149801
1.182000,-0.062659137,-0.020838598,1.023833632
1.202000,-0.063419543,-0.019848906,1.025153041
1.222000,-0.064200766,-0.019311056,1.025986552
1.242000,-0.064964913,-0.019336559,1.026342869
1.262000,-0.065633766,-0.019939505,1.026390553
1.282000,-0.066179879,-0.021089472,1.026205778
1.302000,-0.066600136,-0.022766063,1.025751114
1.322000,-0.066875219,-0.024943912,1.024974465
1.342000,-0.066948660,-0.027596828,1.023813486
1.362000,-0.066782147,-0.030713651,1.022163391
1.382000,-0.066357441,-0.034303162,1.019805551
1.402000,-0.066016607,-0.037801251,1.018388867
1.422000,-0.065832600,-0.040687267,1.019385695
1.442000,-0.065468304,-0.042902056,1.021475077
1.462000,-0.064826608,-0.044514626,1.023682714
1.482000,-0.063939437,-0.045551453,1.025630713
1.502000,-0.062942103,-0.046094827,1.027081966
1.522000,-0.061990425,-0.046211910,1.027920008
1.542000,-0.061184797,-0.045932032,1.028164744
1.562000,-0.060575485,-0.045265019,1.027881622
1.582000,-0.060167596,-0.044184759,1.027127862
1.602000,-0.059993029,-0.042664967,1.025902510
1.622000,-0.060117852,-0.040630586,1.023937345
1.642000,-0.060661502,-0.038142029,1.021150708
1.662000,-0.061252952,-0.036399845,1.021489739
1.682000,-0.061818399,-0.034977049,1.023208499
1.702000,-0.062446903,-0.033640951,1.024964809
1.722000,-0.063168243,-0.032532535,1.026334047
1.742000,-0.063926816,-0.031832125,1.027131557
1.762000,-0.064612545,-0.031624008,1.027360320
1.782000,-0.065100864,-0.031890847,1.027207971
1.802000,-0.065353155,-0.032577559,1.026853919
1.822000,-0.065350488,-0.033647303,1.026304722
1.842000,-0.065066099,-0.035067290,1.025516748
1.862000,-0.064456828,-0.036811754,1.024414182
1.882000,-0.063477233,-0.038894694,1.022835851
1.902000,-0.062170543,-0.041325890,1.020686507
1.922000,-0.061052047,-0.043591801,1.020449042
1.942000,-0.060169097,-0.045376807,1.022114873
1.962000,-0.059321892,-0.046716303,1.024019599
1.982000,-0.058553021,-0.047645111,1.025576830
2.002000,-0.057887834,-0.048158374,1.026578784
2.022000,-0.057349991,-0.048291296,1.027089119
2.042000,-0.056998678,-0.048094444,1.027155280
2.062000,-0.056864586,-0.047586698,1.026814222
2.082000,-0.056967083,-0.046770751,1.026103377
2.102000,-0.057318464,-0.045615468,1.025026202
2.122000,-0.057989620,-0.044080984,1.023433208
2.142000,-0.059109956,-0.042159013,1.020992517
2.162000,-0.060227420,-0.040645719,1.020869136
2.182000,-0.061174262,-0.039386164,1.022563934
2.202000,-0.062063392,-0.038188122,1.024376512
2.222000,-0.062941723,-0.037213586,1.025820017
2.242000,-0.063729271,-0.036635488,1.026716232
