time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771000,0.000000250,1.032333374
0.042000,-0.003508975,0.000004677,1.026624560
0.062000,-0.003604790,-0.000040696,1.021512866
0.082000,-0.003494807,-0.000069082,1.021881819
0.102000,-0.002633832,-0.000105771,1.023046970
0.122000,-0.001227296,-0.000167051,1.023842812
0.142000,0.000448479,-0.000260818,1.024274230
0.162000,0.002177150,-0.000384123,1.024476647
0.182000,0.003770368,-0.000535400,1.024542928
0.202000,0.005080943,-0.000710866,1.024526834
0.222000,0.006016337,-0.000902331,1.024466872
0.242000,0.006527697,-0.001103975,1.024391651
0.262000,0.006616351,-0.001314538,1.024321675
0.282000,0.006308291,-0.001530565,1.024264574
0.302000,0.005601714,-0.001749206,1.024225831
0.322000,0.004535462,-0.001964390,1.024204850
0.342000,0.003165988,-0.002171776,1.024195075
0.362000,0.001556760,-0.002368495,1.024190307
0.382000,-0.000232364,-0.002551991,1.024194360
0.402000,-0.002167041,-0.002719427,1.024201870
0.422000,-0.004222480,-0.002868052,1.024206758
0.442000,-0.006377896,-0.002995407,1.024203777
0.462000,-0.008615720,-0.003099542,1.024189115
0.482000,-0.010922686,-0.003178496,1.024159193
0.502000,-0.013285571,-0.003230115,1.024111986
0.522000,-0.015691405,-0.003251712,1.024048805
0.542000,-0.018136036,-0.003246263,1.023979545
0.562000,-0.020576719,-0.003219676,1.023916006
0.582000,-0.022973742,-0.003166803,1.023865581
0.602000,-0.025320012,-0.003075783,1.023827076
0.622000,-0.027643165,-0.002927634,1.023790002
0.642000,-0.029964572,-0.002696854,1.023741007
0.662000,-0.032282874,-0.002347961,1.023670435
0.682000,-0.034587525,-0.001828386,1.023562789
0.702000,-0.036860500,-0.001064460,1.023377061
0.722000,-0.039074410,0.000043629,1.023046374
0.742000,-0.041195508,0.001603616,1.022519827
0.762000,-0.043201908,0.003684150,1.021862745
0.782000,-0.045061905,0.006306451,1.021120071
0.802000,-0.046747841,0.009486514,1.020222425
0.822000,-0.048250049,0.013177499,1.019234419
0.842000,-0.049549047,0.017243402,1.018324494
0.862000,-0.050635900,0.021424029,1.017699838
0.882000,-0.051469706,0.025383100,1.017455697
0.902000,-0.052125782,0.028678417,1.018018365
0.922000,-0.052681152,0.031114291,1.019592881
0.942000,-0.053014312,0.032851368,1.021618724
0.962000,-0.053057089,0.034003824,1.023686767
0.982000,-0.052895475,0.034620386,1.025427699
1.002000,-0.052667450,0.034710731,1.026605368
1.022000,-0.052455828,0.034281101,1.027137756
1.042000,-0.052312754,0.033337452,1.027031898
1.062000,-0.052256532,0.031860102,1.026318192
1.082000,-0.052320082,0.029818004,1.024923682
1.102000,-0.052555714,0.027119065,1.022350192
1.122000,-0.053154744,0.024443982,1.020295143
1.142000,-0.053900257,0.022724457,1.021378636
1.162000,-0.054537416,0.021389948,1.023189783
1.182000,-0.055151723,0.020324178,1.024856687
1.202000,-0.055798911,0.019641001,1.026054621
1.222000,-0.056486525,0.019468667,1.026700377
1.242000,-0.057146151,0.019883806,1.026866794
1.262000,-0.057734881,0.020871148,1.026731491
1.282000,-0.058234416,0.022402583,1.026345372
1.302000,-0.058620568,0.024450487,1.025671721
1.322000,-0.058850616,0.026986919,1.024661541
1.342000,-0.058858588,0.029990047,1.023231387
1.362000,-0.058597501,0.033465385,1.021192551
1.382000,-0.058227789,0.037195370,1.019154072
1.402000,-0.057955988,0.040514201,1.019067645
1.422000,-0.057654336,0.043127377,1.020657778
1.442000,-0.057122674,0.045139644,1.022734046
1.462000,-0.056337502,0.046564110,1.024730563
1.482000,-0.055373006,0.047458034,1.026376367
1.502000,-0.054378256,0.047900815,1.027462363
1.522000,-0.053476669,0.047942415,1.027947187
1.542000,-0.052742254,0.047603559,1.027879119
1.562000,-0.052184958,0.046869062,1.027327299
1.582000,-0.051834565,0.045724466,1.026338339
1.602000,-0.051732559,0.044116408,1.024812579
1.622000,-0.051985167,0.041951753,1.022300482
1.642000,-0.052533548,0.039873932,1.020720005
1.662000,-0.053034939,0.038456962,1.022085309
1.682000,-0.053564403,0.037154052,1.023981571
1.702000,-0.054196227,0.035978291,1.025675178
1.722000,-0.054912698,0.035132810,1.026837111
1.742000,-0.055622611,0.034749888,1.027381539
1.762000,-0.056196041,0.034861632,1.027382851
1.782000,-0.056560922,0.035419654,1.027088761
1.802000,-0.056697059,0.036380745,1.026608229
1.822000,-0.056578856,0.037707832,1.025921702
1.842000,-0.056163587,0.039365806,1.024970293
1.862000,-0.055409148,0.041348670,1.023665667
1.882000,-0.054269366,0.043693319,1.021736026
1.902000,-0.053026821,0.046153508,1.020212054
1.922000,-0.052060977,0.048221402,1.021203041
1.942000,-0.051150475,0.049838610,1.023069620
1.962000,-0.050272185,0.051031813,1.024815202
1.982000,-0.049495839,0.051818747,1.026058912
2.002000,-0.048820782,0.052205678,1.026775599
2.022000,-0.048291262,0.052237332,1.027034521
2.042000,-0.047954757,0.051949378,1.026860476
2.062000,-0.047833767,0.051351454,1.026295185
2.082000,-0.047935281,0.050419684,1.025375128
2.102000,-0.048312407,0.049137671,1.024055839
2.122000,-0.049075961,0.047441948,1.022002459
2.142000,-0.050147746,0.045690868,1.020295978
2.162000,-0.051042426,0.044436928,1.021528602
2.182000,-0.051859520,0.043289863,1.023483634
2.202000,-0.052689753,0.042279415,1.025268435
2.222000,-0.053495537,0.041622702,1.026529193
2.242000,-0.054161269,0.041425925,1.027164817
2.262000,-0.054560121,0.041669004,1.027278066
2.282000,-0.054663390,0.042271353,1.027102470
