time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749582,0.000001593,1.032246947
0.042000,-0.003287892,-0.000007047,1.026530862
0.062000,-0.003189027,0.000048799,1.020822525
0.082000,-0.002950596,0.000239934,1.020761251
0.102000,-0.001623192,0.000557326,1.022177696
0.122000,0.000460219,0.001074212,1.023202419
0.142000,0.002817293,0.001835883,1.023704171
0.162000,0.005185785,0.002865376,1.023890376
0.182000,0.007404472,0.004181398,1.023876667
0.202000,0.009408594,0.005798900,1.023746014
0.222000,0.011161847,0.007717624,1.023569345
0.242000,0.012636729,0.009920915,1.023383617
0.262000,0.013819450,0.012377289,1.023204803
0.282000,0.014704829,0.014998500,1.023087502
0.302000,0.015285293,0.017745249,1.023017764
0.322000,0.015523545,0.020605965,1.022954226
0.342000,0.015414563,0.023570554,1.022874594
0.362000,0.014973577,0.026639253,1.022762775
0.382000,0.014235550,0.029816817,1.022613287
0.402000,0.013237981,0.033106476,1.022421479
0.422000,0.012009543,0.036515038,1.022182941
0.442000,0.010577818,0.040052075,1.021903038
0.462000,0.008969790,0.043729872,1.021604300
0.482000,0.007212251,0.047540352,1.021276951
0.502000,0.005333349,0.051462989,1.020914674
0.522000,0.003366667,0.055461664,1.020516872
0.542000,0.001349165,0.059482887,1.020079017
0.562000,-0.000686955,0.063470691,1.019613862
0.582000,-0.002720611,0.067400753,1.019208074
0.602000,-0.004713297,0.071203746,1.018873215
0.622000,-0.006610524,0.074829429,1.018671393
0.642000,-0.008329097,0.078201011,1.018702865
0.662000,-0.009769829,0.081278317,1.018959165
0.682000,-0.010931666,0.084069185,1.019225597
0.702000,-0.011863215,0.086588271,1.019271255
0.722000,-0.012664551,0.088835493,1.019021749
0.742000,-0.013382973,0.090812750,1.018431187
0.762000,-0.013983024,0.092431620,1.017320037
0.782000,-0.014685884,0.093798570,1.016981721
0.802000,-0.015485226,0.095680170,1.019025087
0.822000,-0.016233083,0.098309897,1.021909714
0.842000,-0.016949244,0.101424560,1.024333477
0.862000,-0.017575832,0.104900420,1.026027918
0.882000,-0.018141489,0.108751327,1.026928544
0.902000,-0.018716132,0.112991437,1.027038932
0.922000,-0.019309783,0.117623270,1.026480675
0.942000,-0.019897263,0.122684710,1.025324225
0.962000,-0.020471206,0.128265172,1.023580790
0.982000,-0.020987364,0.134513155,1.020932078
1.002000,-0.021799089,0.141144902,1.018359542
1.022000,-0.022974595,0.147230402,1.018047571
1.042000,-0.024054900,0.152531862,1.019693732
1.062000,-0.024844624,0.157415524,1.021610260
1.082000,-0.025474232,0.161912352,1.023112655
1.102000,-0.026008597,0.165928289,1.024079323
1.122000,-0.026367268,0.169364110,1.024631619
1.142000,-0.026488887,0.172188342,1.024848104
1.162000,-0.026388049,0.174403787,1.024718523
1.182000,-0.026101530,0.176041842,1.024193168
1.202000,-0.025664415,0.177158922,1.023171663
1.222000,-0.025107741,0.177801087,1.021456599
1.242000,-0.024471296,0.178045526,1.018653989
1.262000,-0.024164023,0.179075733,1.017938495
1.282000,-0.024013910,0.181223094,1.020025253
1.302000,-0.023835242,0.184017241,1.022725821
1.322000,-0.023592418,0.187371954,1.025208712
1.342000,-0.023239171,0.191267803,1.027088761
1.362000,-0.022855418,0.195715815,1.028081775
1.382000,-0.022520710,0.200752884,1.028157353
1.402000,-0.022233050,0.206414267,1.027436733
1.422000,-0.021975163,0.212729305,1.025998950
1.442000,-0.021737164,0.219736800,1.023777008
1.462000,-0.021506399,0.227497652,1.020300269
1.482000,-0.021657631,0.235272527,1.017762661
1.502000,-0.022054339,0.242036119,1.018353105
1.522000,-0.022153841,0.248228133,1.020046473
1.542000,-0.021965696,0.254084408,1.021870971
1.562000,-0.021573555,0.259510517,1.023503900
1.582000,-0.020979512,0.264446944,1.024829507
1.602000,-0.020239040,0.268891126,1.025677800
1.622000,-0.019423684,0.272850513,1.025928378
1.642000,-0.018582074,0.276353806,1.025567055
1.662000,-0.017746424,0.279435128,1.024599195
1.682000,-0.016939061,0.282107472,1.022985339
1.702000,-0.016160464,0.284300596,1.020409822
1.722000,-0.015640019,0.286406219,1.018010736
1.742000,-0.015566465,0.289643258,1.019538641
1.762000,-0.015594651,0.293356150,1.022156477
1.782000,-0.015752178,0.297405779,1.024514556
1.802000,-0.015941370,0.301872611,1.026144266
1.822000,-0.016073849,0.306768984,1.026979804
1.842000,-0.016196046,0.312124610,1.027005553
1.862000,-0.016318737,0.317979544,1.026326180
1.882000,-0.016418794,0.324378788,1.025035858
1.902000,-0.016477786,0.331358075,1.023052931
1.922000,-0.016459044,0.338972777,1.019850135
1.942000,-0.016695790,0.346765101,1.017208099
1.962000,-0.017127993,0.353581190,1.017647266
1.982000,-0.017233545,0.359668285,1.019442677
2.002000,-0.016971191,0.365330935,1.021494150
2.022000,-0.016423339,0.370532781,1.023398161
2.042000,-0.015646121,0.375245094,1.024939060
2.062000,-0.014728423,0.379470617,1.025920391
2.082000,-0.013754150,0.383227229,1.026235104
2.102000,-0.012769008,0.386551142,1.025893807
2.122000,-0.011815802,0.389486313,1.024909377
2.142000,-0.010916938,0.392057508,1.023265243
2.162000,-0.010070482,0.394205481,1.020720601
2.182000,-0.009454733,0.396162868,1.018007994
2.202000,-0.009337551,0.399291426,1.019253969
2.222000,-0.009365851,0.402976036,1.021863222
2.242000,-0.009557835,0.407024950,1.024290323
2.262000,-0.009841554,0.411508262,1.026005030
2.282000,-0.010083740,0.416435152,1.026919484
2.302000,-0.010311814,0.421829492,1.027013302
2.322000,-0.010539298,0.427729070,1.026383996
