time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749543,0.000004557,1.032246947
0.042000,-0.003287554,0.000027702,1.026530147
0.062000,-0.003195199,0.000004727,1.020947695
0.082000,-0.002949139,-0.000166627,1.020955443
0.102000,-0.001651219,-0.000506743,1.022308111
0.122000,0.000354942,-0.001054793,1.023269773
0.142000,0.002617275,-0.001856501,1.023741126
0.162000,0.004892793,-0.002933790,1.023920178
0.182000,0.007019120,-0.004308742,1.023902416
0.202000,0.008933119,-0.005997810,1.023766041
0.222000,0.010602482,-0.007998574,1.023582339
0.242000,0.011999103,-0.010289211,1.023388147
0.262000,0.013108482,-0.012825927,1.023207188
0.282000,0.013928771,-0.015499558,1.023101687
0.302000,0.014445617,-0.018297169,1.023041964
0.322000,0.014624404,-0.021208460,1.022975326
0.342000,0.014468377,-0.024226476,1.022882819
0.362000,0.013991717,-0.027357921,1.022753358
0.382000,0.013228331,-0.030609084,1.022573709
0.402000,0.012221870,-0.033985116,1.022342443
0.422000,0.011001999,-0.037497055,1.022061229
0.442000,0.009593329,-0.041159023,1.021743178
0.462000,0.008020028,-0.044984702,1.021412253
0.482000,0.006304715,-0.048962187,1.021050334
0.502000,0.004474728,-0.053066783,1.020652294
0.522000,0.002563885,-0.057255451,1.020217657
0.542000,0.000606425,-0.061467163,1.019740820
0.562000,-0.001370131,-0.065644264,1.019241571
0.582000,-0.003345601,-0.069764346,1.018827558
0.602000,-0.005275962,-0.073748641,1.018499374
0.622000,-0.007103422,-0.077521905,1.018271685
0.642000,-0.008724730,-0.081039138,1.018320680
0.662000,-0.010065408,-0.084273204,1.018617153
0.682000,-0.011150730,-0.087232634,1.018909812
0.702000,-0.012041761,-0.089927487,1.018972993
0.722000,-0.012848360,-0.092361391,1.018749356
0.742000,-0.013567752,-0.094536707,1.018163919
0.762000,-0.014174350,-0.096278787,1.017105818
0.782000,-0.014926004,-0.097909980,1.017160654
0.802000,-0.015760669,-0.100114428,1.019415617
0.822000,-0.016568042,-0.103011101,1.022237539
0.842000,-0.017370349,-0.106353469,1.024560094
0.862000,-0.018090138,-0.110049531,1.026188374
0.882000,-0.018747598,-0.114099376,1.027018547
0.902000,-0.019400889,-0.118518353,1.027052164
0.922000,-0.020051217,-0.123305939,1.026394486
0.942000,-0.020667657,-0.128518894,1.025120735
0.962000,-0.021254025,-0.134243101,1.023232937
0.982000,-0.021767706,-0.140654251,1.020397663
1.002000,-0.022607069,-0.147327930,1.018040657
1.022000,-0.023744257,-0.153345093,1.018013716
1.042000,-0.024731150,-0.158587754,1.019745231
1.062000,-0.025419496,-0.163383439,1.021667600
1.082000,-0.025930921,-0.167754441,1.023177743
1.102000,-0.026308244,-0.171602890,1.024154782
1.122000,-0.026474310,-0.174855620,1.024740934
1.142000,-0.026397131,-0.177483097,1.024985075
1.162000,-0.026101707,-0.179492593,1.024867415
1.182000,-0.025628634,-0.180922776,1.024325013
1.202000,-0.025011767,-0.181829214,1.023240328
1.222000,-0.024298629,-0.182257369,1.021386981
1.242000,-0.023544924,-0.182347298,1.018352985
1.262000,-0.023214702,-0.183415160,1.017928720
1.282000,-0.023034398,-0.185577452,1.020162582
1.302000,-0.022840569,-0.188381121,1.022944689
1.322000,-0.022598075,-0.191742390,1.025474310
1.342000,-0.022264186,-0.195642799,1.027348280
1.362000,-0.021914016,-0.200100526,1.028291702
1.382000,-0.021613240,-0.205158994,1.028301597
1.402000,-0.021353170,-0.210851297,1.027514696
1.422000,-0.021106508,-0.217201978,1.026018739
1.442000,-0.020868575,-0.224244684,1.023746729
1.462000,-0.020628573,-0.232037798,1.020247817
1.482000,-0.020760080,-0.239811063,1.017741919
1.502000,-0.021101505,-0.246564671,1.018314838
1.522000,-0.021126006,-0.252731204,1.019999981
1.542000,-0.020843079,-0.258536071,1.021839619
1.562000,-0.020328218,-0.263896376,1.023515224
1.582000,-0.019593893,-0.268765211,1.024878383
1.602000,-0.018704822,-0.273141176,1.025747657
1.622000,-0.017737975,-0.277034551,1.026006222
1.642000,-0.016743429,-0.280474097,1.025640845
1.662000,-0.015752817,-0.283493191,1.024644494
1.682000,-0.014789793,-0.286097825,1.022992611
1.702000,-0.013858628,-0.288217515,1.020359755
1.722000,-0.013200986,-0.290254861,1.017912865
1.742000,-0.013018017,-0.293461561,1.019474149
1.762000,-0.012953043,-0.297153890,1.022140980
1.782000,-0.013025019,-0.301177174,1.024558425
1.802000,-0.013137863,-0.305609256,1.026244760
1.822000,-0.013206067,-0.310464710,1.027122974
1.842000,-0.013269810,-0.315777898,1.027175665
1.862000,-0.013334982,-0.321586907,1.026511312
1.882000,-0.013375527,-0.327935636,1.025236011
1.902000,-0.013377101,-0.334862232,1.023293257
1.922000,-0.013290153,-0.342431247,1.020141244
1.942000,-0.013450004,-0.350245744,1.017280459
1.962000,-0.013851540,-0.357123435,1.017503500
1.982000,-0.013935976,-0.363220632,1.019253731
2.002000,-0.013631108,-0.368893743,1.021324635
2.022000,-0.013041055,-0.374121100,1.023255944
2.042000,-0.012213515,-0.378853977,1.024841666
2.062000,-0.011224486,-0.383095175,1.025897384
2.082000,-0.010167092,-0.386861682,1.026295066
2.102000,-0.009095515,-0.390185714,1.026032567
2.122000,-0.008052643,-0.393108249,1.025134087
2.142000,-0.007063350,-0.395660698,1.023584127
2.162000,-0.006129169,-0.397803009,1.021189690
2.182000,-0.005374704,-0.399664104,1.018203735
2.202000,-0.005135968,-0.402653903,1.019027352
2.222000,-0.005055141,-0.406277269,1.021559477
