time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003808066,0.000000315,1.032114983
0.042000,-0.003234312,0.000001278,1.026725411
0.062000,-0.002890596,0.000011997,1.022972107
0.082000,-0.002341784,0.000027655,1.021975279
0.102000,-0.001047401,0.000037936,1.023046374
0.122000,0.001117797,0.000033267,1.024580359
0.142000,0.003905529,0.000002266,1.025241137
0.162000,0.006978908,-0.000062566,1.024760962
0.182000,0.010116785,-0.000185611,1.023812771
0.202000,0.013335051,-0.000379270,1.023174286
0.222000,0.016715767,-0.000651064,1.022998095
0.242000,0.020266814,-0.000989596,1.022821546
0.262000,0.023901142,-0.001373136,1.022242308
0.282000,0.027562492,-0.001786795,1.021274567
0.302000,0.031312287,-0.002225074,1.020201087
0.322000,0.035276785,-0.002686148,1.019257545
0.342000,0.039585222,-0.003146145,1.018409371
0.362000,0.044322263,-0.003572114,1.017450929
0.382000,0.049514681,-0.003941209,1.016256928
0.402000,0.055175614,-0.004205557,1.014995456
0.422000,0.061391413,-0.004365349,1.014125228
0.442000,0.068237305,-0.004415041,1.013451934
0.462000,0.075630568,-0.004307006,1.012755632
0.482000,0.083449259,-0.003980682,1.011971116
0.502000,0.091564313,-0.003404224,1.011232138
0.522000,0.099866048,-0.002633965,1.010824800
0.542000,0.108342268,-0.001655355,1.010890722
0.562000,0.117125578,-0.000258284,1.011036277
0.582000,0.126412272,0.001725876,1.010784030
0.602000,0.136222392,0.004292810,1.009876728
0.622000,0.146436632,0.007410869,1.008059978
0.642000,0.156918451,0.011117958,1.005179763
0.662000,0.167451441,0.015460541,1.001353979
0.682000,0.177517787,0.019244285,1.001216531
0.702000,0.187300369,0.022427896,1.005628943
0.722000,0.197103932,0.025154129,1.011650920
0.742000,0.206997663,0.027345238,1.016983390
0.762000,0.216954082,0.029093869,1.020908594
0.782000,0.226929531,0.030484507,1.023263454
0.802000,0.236868545,0.031535253,1.024170995
0.822000,0.246767908,0.032248370,1.023854017
0.842000,0.256687790,0.032630414,1.022519350
0.862000,0.266727149,0.032688830,1.020347238
0.882000,0.277002573,0.032406185,1.017414451
0.902000,0.287595540,0.031734556,1.013680458
0.922000,0.298510343,0.030550994,1.008864522
0.942000,0.309547096,0.028852614,1.003299117
0.962000,0.320274621,0.027447818,1.000409603
0.982000,0.330442995,0.026327832,1.001816154
1.002000,0.340257555,0.025054386,1.005922675
1.022000,0.350003958,0.023794347,1.010494113
1.042000,0.359785765,0.022810608,1.013900518
1.062000,0.369586140,0.022116398,1.016032100
1.082000,0.379447371,0.021666663,1.017329931
1.102000,0.389395446,0.021451222,1.018083215
1.122000,0.399445027,0.021472784,1.018440604
1.142000,0.409618318,0.021736616,1.018453479
1.162000,0.419944763,0.022254562,1.018115401
1.182000,0.430474937,0.023039373,1.017408133
1.202000,0.441251993,0.024128072,1.016321659
1.222000,0.452315003,0.025575414,1.014816880
1.242000,0.463701606,0.027445743,1.012799144
1.262000,0.475417703,0.029799247,1.010026693
1.282000,0.487400502,0.032673124,1.006144404
1.302000,0.499160409,0.035502102,1.003139257
1.322000,0.510261953,0.037853785,1.003431559
1.342000,0.520881414,0.040217388,1.006396890
1.362000,0.531317770,0.042547319,1.010395885
1.382000,0.541776180,0.044605739,1.013865471
1.402000,0.552291214,0.046293188,1.016267776
1.422000,0.562893867,0.047629945,1.017894030
1.442000,0.573615789,0.048624001,1.018952370
1.462000,0.584472120,0.049277961,1.019556642
1.482000,0.595469952,0.049597092,1.019730806
1.502000,0.606620729,0.049591344,1.019447565
1.522000,0.617952824,0.049260862,1.018657684
1.542000,0.629500449,0.048589073,1.017358303
1.562000,0.641301811,0.047532573,1.015532017
1.582000,0.653384387,0.046031736,1.013062477
1.602000,0.665748417,0.044011764,1.009658456
1.622000,0.678228676,0.041476727,1.005108953
1.642000,0.690134585,0.039235026,1.002628446
1.662000,0.701329768,0.037268128,1.003939867
1.682000,0.712213397,0.035209492,1.007537365
1.702000,0.723069727,0.033255804,1.011495829
1.722000,0.733976483,0.031627160,1.014578104
1.742000,0.744940698,0.030334579,1.016744375
1.762000,0.755995810,0.029348059,1.018221259
1.782000,0.767147243,0.028663134,1.019132972
1.802000,0.778393447,0.028272051,1.019531846
1.822000,0.789724708,0.028168712,1.019418359
1.842000,0.801157176,0.028349411,1.018779874
1.862000,0.812730670,0.028831456,1.017601132
1.882000,0.824495435,0.029649243,1.015887856
1.902000,0.836490333,0.030865949,1.013585925
1.922000,0.848731339,0.032563321,1.010506511
1.942000,0.861158848,0.034843110,1.006199479
1.962000,0.873255610,0.037233219,1.002513885
1.982000,0.884566844,0.039160594,1.002796888
2.002000,0.895425439,0.041162383,1.006029367
2.022000,0.906156301,0.043169279,1.010216236
2.042000,0.916939259,0.044909932,1.013682842
2.062000,0.927766383,0.046300691,1.015992165
2.082000,0.938666821,0.047401451,1.017501831
2.102000,0.949668467,0.048214938,1.018426776
2.122000,0.960773766,0.048745546,1.018879771
2.142000,0.971989095,0.049000122,1.018884540
2.162000,0.983330250,0.048985973,1.018427134
2.182000,0.994828105,0.048684098,1.017490745
2.202000,1.006528020,0.048061967,1.016061068
2.222000,1.018468261,0.047062527,1.014081955
2.242000,1.030676603,0.045608416,1.011404634
2.262000,1.043139577,0.043599211,1.007630706
2.282000,1.055520415,0.041214570,1.003282428
2.302000,1.067173600,0.039279979,1.002114892
2.322000,1.078215003,0.037387434,1.004448056
2.342000,1.089021564,0.035407785,1.008509755
2.362000,1.099840522,0.033598516,1.012401104
2.382000,1.110699177,0.032120883,1.015196562
