time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805913,-0.000001249,1.032115936
0.042000,-0.003212495,-0.000013562,1.026692986
0.062000,-0.002802473,0.000011100,1.022377133
0.082000,-0.002257630,0.000161586,1.020787120
0.102000,-0.001004400,0.000466113,1.021394491
0.122000,0.001057512,0.000917725,1.022251606
0.142000,0.003655429,0.001631863,1.022408843
0.162000,0.006500721,0.002704289,1.022098422
0.182000,0.009392352,0.004110442,1.021853447
0.202000,0.012235943,0.005898460,1.021627307
0.222000,0.014962894,0.008135363,1.021347523
0.242000,0.017523939,0.010869099,1.020994782
0.262000,0.019897822,0.014097838,1.020586133
0.282000,0.022109149,0.017787369,1.020152688
0.302000,0.024165010,0.021855107,1.019748330
0.322000,0.026061540,0.026145760,1.019453764
0.342000,0.027785020,0.030509070,1.019279361
0.362000,0.029271092,0.034813546,1.019642949
0.382000,0.030543262,0.039113954,1.020401120
0.402000,0.031615399,0.043480031,1.021383762
0.422000,0.032521635,0.047883619,1.022374988
0.442000,0.033349611,0.052204609,1.023113012
0.462000,0.034217026,0.056265846,1.023356915
0.482000,0.035280515,0.059919938,1.023061514
0.502000,0.036616996,0.063189298,1.022368312
0.522000,0.038192905,0.066094123,1.021255732
0.542000,0.039948277,0.068630822,1.019660115
0.562000,0.041834667,0.070732638,1.017327905
0.582000,0.043566551,0.072696671,1.015470505
0.602000,0.045022622,0.075644158,1.016949773
0.622000,0.046339583,0.079204649,1.019460917
0.642000,0.047386631,0.083207771,1.021745324
0.662000,0.048145398,0.087779090,1.023245096
0.682000,0.048761401,0.092953451,1.023763657
0.702000,0.049327143,0.098656341,1.023462653
0.722000,0.049850136,0.104852453,1.022351623
0.742000,0.050353263,0.111537322,1.020305037
0.762000,0.050911918,0.118769497,1.016895890
0.782000,0.051273778,0.126295447,1.013228178
0.802000,0.051365867,0.133174360,1.012771964
0.822000,0.051725600,0.139167845,1.014630556
0.842000,0.052490782,0.144607887,1.017202139
0.862000,0.053619608,0.149611577,1.019744873
0.882000,0.055078987,0.154210374,1.021970510
0.902000,0.056796368,0.158404961,1.023637652
0.922000,0.058652367,0.162201077,1.024549127
0.942000,0.060539439,0.165609270,1.024640322
0.962000,0.062393527,0.168637052,1.023910403
0.982000,0.064167365,0.171260700,1.022337437
1.002000,0.065852970,0.173397779,1.019674778
1.022000,0.067271180,0.174988866,1.016463995
1.042000,0.068044193,0.177697375,1.017225862
1.062000,0.068633690,0.181157246,1.019636631
1.082000,0.069098994,0.185053274,1.021868825
1.102000,0.069485754,0.189373121,1.023364663
1.122000,0.069943726,0.194135979,1.024110913
1.142000,0.070485413,0.199331984,1.024144769
1.162000,0.071062103,0.204959795,1.023485780
1.182000,0.071670353,0.211064398,1.022155046
1.202000,0.072316691,0.217740640,1.019975543
1.222000,0.073015384,0.225073144,1.016621709
1.242000,0.073429443,0.232413426,1.014381289
1.262000,0.073712170,0.238943070,1.015083432
1.282000,0.074309416,0.244884461,1.016960740
1.302000,0.075219959,0.250474185,1.018861890
1.322000,0.076362453,0.255704343,1.020464063
1.342000,0.077773973,0.260521680,1.021808028
1.362000,0.079430118,0.264916897,1.022787690
1.382000,0.081237562,0.268891960,1.023223042
1.402000,0.083108038,0.272462547,1.023012638
1.422000,0.084987938,0.275643200,1.022090912
1.442000,0.086821325,0.278409541,1.020346642
1.462000,0.088585876,0.280654430,1.017403007
1.482000,0.089871362,0.283127755,1.016082048
1.502000,0.090792529,0.286700219,1.018168688
1.522000,0.091576591,0.290799260,1.020823002
1.542000,0.092237353,0.295302868,1.022970915
1.562000,0.092918098,0.300255030,1.024279356
1.582000,0.093689084,0.305637836,1.024806976
1.602000,0.094497286,0.311454564,1.024541259
1.622000,0.095312566,0.317738146,1.023539782
1.642000,0.096146993,0.324566305,1.021720409
1.662000,0.097058423,0.332061619,1.018623233
1.682000,0.097730957,0.339952081,1.015260220
1.702000,0.098063052,0.347150326,1.014887929
1.722000,0.098606981,0.353590548,1.016471982
1.742000,0.099476337,0.359659970,1.018431425
1.762000,0.100544147,0.365436703,1.020145655
1.782000,0.101791672,0.370830745,1.021558881
1.802000,0.103241354,0.375786901,1.022692561
1.822000,0.104841873,0.380302995,1.023400187
1.842000,0.106506251,0.384388626,1.023531675
1.862000,0.108168602,0.388061404,1.023007631
1.882000,0.109773926,0.391331136,1.021735549
1.902000,0.111295745,0.394151390,1.019518137
1.922000,0.112656333,0.396390200,1.016308308
1.942000,0.113418750,0.399576873,1.016553283
1.962000,0.113958709,0.403613955,1.018987179
1.982000,0.114342064,0.408108413,1.021445990
2.002000,0.114604548,0.413033277,1.023203850
2.022000,0.114909127,0.418419391,1.024129868
2.042000,0.115294881,0.424239397,1.024275541
2.062000,0.115718909,0.430496246,1.023661852
2.082000,0.116172209,0.437231272,1.022322774
2.102000,0.116684102,0.444530219,1.020097613
2.122000,0.117284492,0.452463895,1.016640306
2.142000,0.117649309,0.460397720,1.014173031
2.162000,0.117901094,0.467433661,1.014711022
2.182000,0.118489310,0.473804504,1.016562939
2.202000,0.119420849,0.479764909,1.018575072
2.222000,0.120632634,0.485341161,1.020411253
2.242000,0.122125000,0.490502924,1.021991611
2.262000,0.123837024,0.495239854,1.023144007
2.282000,0.125659853,0.499558777,1.023685932
2.302000,0.127502888,0.503477156,1.023528337
2.322000,0.129296020,0.507007122,1.022610903
2.342000,0.130997792,0.510120511,1.020845532
2.362000,0.132591546,0.512682199,1.017925382
2.382000,0.133719400,0.515305698,1.016156197
