time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805942,0.000001704,1.032115936
0.042000,-0.003213319,0.000016624,1.026693821
0.062000,-0.002803726,0.000013551,1.022369981
0.082000,-0.002265130,-0.000133957,1.020824671
0.102000,-0.001016423,-0.000431226,1.021428466
0.122000,0.001032813,-0.000875778,1.022249222
0.142000,0.003612481,-0.001616315,1.022386193
0.162000,0.006436754,-0.002733405,1.022160053
0.182000,0.009311220,-0.004224126,1.021948457
0.202000,0.012147409,-0.006167971,1.021685362
0.222000,0.014874364,-0.008640599,1.021335602
0.242000,0.017451087,-0.011668032,1.020930171
0.262000,0.019887291,-0.015294104,1.020305514
0.282000,0.022196172,-0.019452311,1.019618511
0.302000,0.024397716,-0.023969227,1.019068003
0.322000,0.026484214,-0.028626194,1.018767118
0.342000,0.028394293,-0.033253226,1.018952727
0.362000,0.030080413,-0.037758939,1.019818068
0.382000,0.031549748,-0.042296089,1.021082640
0.402000,0.032823496,-0.046860419,1.022429824
0.422000,0.033978168,-0.051347781,1.023509026
0.442000,0.035143681,-0.055588383,1.024021149
0.462000,0.036464982,-0.059444249,1.023910403
0.482000,0.038024098,-0.062934950,1.023336053
0.502000,0.039795730,-0.066073343,1.022300720
0.522000,0.041730579,-0.068854943,1.020757079
0.542000,0.043789793,-0.071223386,1.018528581
0.562000,0.045799259,-0.073143117,1.015845418
0.582000,0.047432072,-0.075913467,1.016451597
0.602000,0.048912834,-0.079403885,1.018786550
0.622000,0.050151713,-0.083327875,1.021204948
0.642000,0.051071513,-0.087788470,1.023005724
0.662000,0.051753998,-0.092862420,1.023853302
0.682000,0.052343626,-0.098467022,1.023778796
0.702000,0.052891739,-0.104541473,1.022859097
0.722000,0.053418308,-0.111066841,1.021061540
0.742000,0.053968437,-0.118087068,1.018114924
0.762000,0.054518510,-0.125561640,1.014011502
0.782000,0.054778595,-0.132814199,1.011899829
0.802000,0.055060916,-0.139062539,1.013042808
0.822000,0.055744521,-0.144644499,1.015581250
0.842000,0.056842014,-0.149748236,1.018351674
0.862000,0.058328081,-0.154474497,1.020921946
0.882000,0.060125861,-0.158833191,1.022985220
0.902000,0.062107258,-0.162820041,1.024295568
0.922000,0.064145476,-0.166441962,1.024760485
0.942000,0.066154286,-0.169702813,1.024383545
0.962000,0.068083078,-0.172587752,1.023172021
0.982000,0.069913946,-0.175044641,1.021041274
1.002000,0.071612410,-0.176819012,1.017865896
1.022000,0.072775535,-0.178975210,1.016814470
1.042000,0.073603392,-0.182224706,1.018764496
1.062000,0.074303970,-0.185993612,1.021058202
1.082000,0.074904136,-0.190162674,1.022845149
1.102000,0.075551435,-0.194759697,1.023853183
1.122000,0.076309271,-0.199786395,1.024156809
1.142000,0.077120289,-0.205237374,1.023753166
1.162000,0.077954501,-0.211139008,1.022702217
1.182000,0.078817397,-0.217570618,1.020902276
1.202000,0.079763740,-0.224662393,1.017873764
1.222000,0.080467321,-0.232066318,1.014901757
1.242000,0.080882810,-0.238754153,1.014943957
1.262000,0.081525221,-0.244751513,1.016689062
1.282000,0.082461335,-0.250397921,1.018671274
1.302000,0.083581857,-0.255757093,1.020352244
1.322000,0.084888436,-0.260724992,1.021694303
1.342000,0.086407609,-0.265257090,1.022722960
1.362000,0.088087223,-0.269353837,1.023299456
1.382000,0.089842789,-0.273026526,1.023283005
1.402000,0.091609202,-0.276290476,1.022601366
1.422000,0.093340240,-0.279135078,1.021141768
1.442000,0.095005393,-0.281502903,1.018638730
1.462000,0.096393034,-0.283571184,1.015901804
1.482000,0.097223103,-0.286845386,1.017056465
1.502000,0.097858317,-0.290797114,1.019631147
1.522000,0.098335057,-0.295179874,1.022032499
1.542000,0.098709807,-0.300011784,1.023620725
1.562000,0.099124491,-0.305294335,1.024382114
1.582000,0.099585854,-0.311010331,1.024347067
1.602000,0.100061484,-0.317176819,1.023555040
1.622000,0.100565180,-0.323853344,1.022005081
1.642000,0.101124413,-0.331135958,1.019431949
1.662000,0.101639874,-0.338971049,1.015916228
1.682000,0.101871505,-0.346470505,1.014338851
1.702000,0.102147616,-0.353056133,1.015439034
1.722000,0.102766320,-0.359127343,1.017364502
1.742000,0.103657164,-0.364843071,1.019251347
1.762000,0.104793824,-0.370183647,1.020922184
1.782000,0.106180146,-0.375104755,1.022315025
1.802000,0.107751921,-0.379601210,1.023258328
1.822000,0.109409794,-0.383683920,1.023595095
1.842000,0.111075781,-0.387369663,1.023247600
1.862000,0.112688847,-0.390666395,1.022138953
1.882000,0.114223696,-0.393530577,1.020135641
1.902000,0.115647562,-0.395781845,1.016984344
1.922000,0.116520733,-0.398523152,1.016180515
1.942000,0.117081150,-0.402320534,1.018359661
1.962000,0.117506988,-0.406622022,1.020843744
1.982000,0.117819481,-0.411330432,1.022766352
2.002000,0.118168645,-0.416477740,1.023880363
2.022000,0.118612356,-0.422047585,1.024229407
2.042000,0.119103320,-0.428042710,1.023809671
2.062000,0.119622037,-0.434497565,1.022680879
2.082000,0.120184913,-0.441494435,1.020735502
2.102000,0.120855853,-0.449161649,1.017465830
2.122000,0.121263951,-0.457080990,1.014405131
2.142000,0.121400923,-0.464197576,1.014506936
2.162000,0.121823490,-0.470569879,1.016333461
2.182000,0.122604281,-0.476531953,1.018406272
2.202000,0.123638615,-0.482128680,1.020219922
2.222000,0.124948889,-0.487303823,1.021780014
2.242000,0.126511440,-0.492047489,1.022998691
2.262000,0.128224373,-0.496357441,1.023672819
2.282000,0.129986644,-0.500248432,1.023688555
2.302000,0.131730571,-0.503738940,1.022989750
