time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805956,-0.000000014,1.032115936
0.042000,-0.003213208,0.000000915,1.026693583
0.062000,-0.002803722,0.000034349,1.022371292
0.082000,-0.002262105,0.000093601,1.020818472
0.102000,-0.001007755,0.000172878,1.021425128
0.122000,0.001034535,0.000297841,1.022156835
0.142000,0.003567460,0.000416642,1.022210240
0.162000,0.006307056,0.000545363,1.022022009
0.182000,0.009087089,0.000692217,1.021825075
0.202000,0.011782918,0.000854772,1.021640897
0.222000,0.014300765,0.001031493,1.021463752
0.242000,0.016566820,0.001216575,1.021296263
0.262000,0.018540859,0.001398926,1.021166563
0.282000,0.020223225,0.001582186,1.021099567
0.302000,0.021618610,0.001765791,1.021099925
0.322000,0.022738911,0.001940091,1.021160960
0.342000,0.023604868,0.002093252,1.021265030
0.362000,0.024251308,0.002212970,1.021392465
0.382000,0.024712916,0.002286783,1.021535635
0.402000,0.025005855,0.002303579,1.021682620
0.422000,0.025138626,0.002253737,1.021825194
0.442000,0.025110563,0.002129886,1.021950841
0.462000,0.024924003,0.001926245,1.022053957
0.482000,0.024586864,0.001636996,1.022133589
0.502000,0.024082903,0.001256858,1.022181392
0.522000,0.023407264,0.000789298,1.022194505
0.542000,0.022568610,0.000229258,1.022179723
0.562000,0.021559615,-0.000424510,1.022137761
0.582000,0.020376850,-0.001168498,1.022068739
0.602000,0.019025505,-0.001997897,1.021977425
0.622000,0.017516384,-0.002907828,1.021867752
0.642000,0.015865164,-0.003892716,1.021743298
0.662000,0.014089942,-0.004947149,1.021605968
0.682000,0.012207285,-0.006066939,1.021456242
0.702000,0.010232714,-0.007250146,1.021293879
0.722000,0.008183484,-0.008498436,1.021119475
0.742000,0.006079300,-0.009816790,1.020929933
0.762000,0.003941006,-0.011215533,1.020719647
0.782000,0.001791532,-0.012705272,1.020483971
0.802000,-0.000343212,-0.014292868,1.020220757
0.822000,-0.002440590,-0.015988030,1.019925952
0.842000,-0.004480259,-0.017800180,1.019598484
0.862000,-0.006442701,-0.019733427,1.019244075
0.882000,-0.008309848,-0.021782184,1.018877268
0.902000,-0.010065707,-0.023925446,1.018525124
0.922000,-0.011699015,-0.026122838,1.018225193
0.942000,-0.013197513,-0.028319720,1.018008947
0.962000,-0.014575281,-0.030465582,1.017856956
0.982000,-0.015853496,-0.032497704,1.017785072
1.002000,-0.017047143,-0.034354731,1.017811179
1.022000,-0.018175237,-0.036001053,1.017923355
1.042000,-0.019250724,-0.037413411,1.018056631
1.062000,-0.020286383,-0.038575049,1.018174410
1.082000,-0.021298535,-0.039491542,1.018280506
1.102000,-0.022299200,-0.040176172,1.018371344
1.122000,-0.023292251,-0.040665843,1.018462777
1.142000,-0.024285810,-0.041004475,1.018572092
1.162000,-0.025293350,-0.041258633,1.018719554
1.182000,-0.026309300,-0.041533507,1.018858552
1.202000,-0.027325774,-0.041988641,1.018863440
1.222000,-0.028316025,-0.042860065,1.018512130
1.242000,-0.029243255,-0.044372369,1.017687678
1.262000,-0.030051488,-0.046616796,1.016408563
1.282000,-0.030660588,-0.049586203,1.014721274
1.302000,-0.031095490,-0.053138498,1.012787223
1.322000,-0.031406790,-0.057122279,1.011049986
1.342000,-0.031542603,-0.061270170,1.009930015
1.362000,-0.031449802,-0.065076113,1.009646893
1.382000,-0.031306118,-0.068015032,1.010892153
1.402000,-0.031116005,-0.070085615,1.013519645
1.422000,-0.030779609,-0.071419254,1.017278314
1.442000,-0.030175192,-0.072261617,1.021251321
1.462000,-0.029376471,-0.072697006,1.024632573
1.482000,-0.028495166,-0.072761022,1.027006388
1.502000,-0.027634157,-0.072449841,1.028288126
1.522000,-0.026867568,-0.071709700,1.028628349
1.542000,-0.026226718,-0.070479661,1.028245568
1.562000,-0.025722774,-0.068734862,1.027269721
1.582000,-0.025365168,-0.066429071,1.025722146
1.602000,-0.025203992,-0.063483894,1.023351908
1.622000,-0.025383973,-0.059938926,1.020109177
1.642000,-0.026011331,-0.057058167,1.019684553
1.662000,-0.026701935,-0.054734547,1.021392107
1.682000,-0.027346205,-0.052602541,1.023201942
1.702000,-0.028005574,-0.050730564,1.024624944
1.722000,-0.028649848,-0.049287219,1.025505304
1.742000,-0.029170921,-0.048383262,1.025839686
1.762000,-0.029473640,-0.048007559,1.025794983
1.782000,-0.029554091,-0.048106778,1.025515914
1.802000,-0.029417561,-0.048648655,1.025015831
1.822000,-0.029043637,-0.049624193,1.024256587
1.842000,-0.028391445,-0.051035468,1.023152828
1.862000,-0.027436068,-0.052894447,1.021577239
1.882000,-0.026132163,-0.055211794,1.019266963
1.902000,-0.024861462,-0.057635494,1.017648578
1.922000,-0.023956923,-0.059605531,1.018559098
1.942000,-0.023211386,-0.061003443,1.020521283
1.962000,-0.022560362,-0.061933700,1.022481561
1.982000,-0.022009067,-0.062422190,1.023966312
2.002000,-0.021517234,-0.062436786,1.024937510
2.022000,-0.021086864,-0.061989922,1.025426984
2.042000,-0.020759404,-0.061107866,1.025436401
2.062000,-0.020581560,-0.059800450,1.024977446
2.082000,-0.020598041,-0.058039751,1.024035096
2.102000,-0.020882718,-0.055793684,1.022478104
2.122000,-0.021533143,-0.053008735,1.019946814
2.142000,-0.022447472,-0.050479453,1.018823147
2.162000,-0.023269918,-0.048536766,1.020272017
2.182000,-0.024002343,-0.046839613,1.022316456
2.202000,-0.024712360,-0.045407087,1.024219751
2.222000,-0.025312079,-0.044373319,1.025654554
2.242000,-0.025645604,-0.043807145,1.026554227
2.262000,-0.025671916,-0.043658629,1.027018547
