time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003805903,0.000000589,1.032115936
0.042000,-0.003212762,0.000001496,1.026694655
0.062000,-0.002802286,-0.000012397,1.022377372
0.082000,-0.002258250,-0.000048333,1.020825863
0.102000,-0.001000906,-0.000106631,1.021431684
0.122000,0.001045103,-0.000222501,1.022170901
0.142000,0.003583380,-0.000362242,1.022222877
0.162000,0.006329594,-0.000549429,1.022023559
0.182000,0.009117824,-0.000784071,1.021817803
0.202000,0.011826744,-0.001054981,1.021628976
0.222000,0.014364730,-0.001352063,1.021447897
0.242000,0.016658856,-0.001661275,1.021276832
0.262000,0.018669935,-0.001967076,1.021134496
0.282000,0.020396834,-0.002258297,1.021060944
0.302000,0.021844182,-0.002546681,1.021068811
0.322000,0.023026394,-0.002828580,1.021158099
0.342000,0.023964174,-0.003085256,1.021299720
0.362000,0.024686558,-0.003294546,1.021460056
0.382000,0.025226615,-0.003436388,1.021627545
0.402000,0.025602154,-0.003495177,1.021788478
0.422000,0.025818950,-0.003459338,1.021926999
0.442000,0.025885573,-0.003322738,1.022035480
0.462000,0.025814742,-0.003084726,1.022115111
0.482000,0.025608361,-0.002748135,1.022162914
0.502000,0.025247980,-0.002319976,1.022175789
0.522000,0.024726145,-0.001816942,1.022153139
0.542000,0.024047157,-0.001248815,1.022108912
0.562000,0.023207368,-0.000634137,1.022060156
0.582000,0.022205083,0.000008779,1.022011280
0.602000,0.021040795,0.000669650,1.021958709
0.622000,0.019714320,0.001343469,1.021896601
0.642000,0.018226795,0.002026878,1.021823645
0.662000,0.016586935,0.002717916,1.021744847
0.682000,0.014811988,0.003419209,1.021664739
0.702000,0.012919321,0.004141175,1.021580219
0.722000,0.010925947,0.004902551,1.021483898
0.742000,0.008848669,0.005733685,1.021366835
0.762000,0.006713860,0.006676836,1.021212101
0.782000,0.004551776,0.007787954,1.020986795
0.802000,0.002393784,0.009142185,1.020636201
0.822000,0.000285956,0.010835863,1.020104170
0.842000,-0.001717699,0.012964226,1.019337654
0.862000,-0.003566879,0.015584479,1.018368125
0.882000,-0.005217315,0.018723402,1.017231226
0.902000,-0.006642301,0.022300368,1.016046047
0.922000,-0.007830335,0.026147459,1.014988065
0.942000,-0.008836795,0.029883416,1.014524341
0.962000,-0.009637106,0.033176694,1.014812708
0.982000,-0.010235417,0.035836849,1.015580297
1.002000,-0.010741778,0.037861161,1.016745567
1.022000,-0.011203316,0.039182797,1.018607140
1.042000,-0.011495083,0.039930116,1.020712733
1.062000,-0.011624383,0.040129293,1.022623658
1.082000,-0.011646655,0.039771210,1.024087787
1.102000,-0.011603529,0.038869437,1.024952769
1.122000,-0.011536069,0.037414555,1.025156617
1.142000,-0.011492549,0.035381030,1.024684787
1.162000,-0.011528993,0.032739621,1.023468733
1.182000,-0.011681828,0.029388938,1.021113992
1.202000,-0.012202350,0.025831062,1.018672585
1.222000,-0.013134565,0.023088049,1.019428372
1.242000,-0.014122642,0.020755261,1.021326065
1.262000,-0.015171762,0.018719081,1.023253679
1.282000,-0.016283982,0.017090969,1.024773002
1.302000,-0.017385047,0.016009921,1.025747538
1.322000,-0.018355379,0.015523976,1.026253581
1.342000,-0.019176872,0.015589974,1.026407599
1.362000,-0.019858716,0.016175915,1.026235700
1.382000,-0.020397481,0.017253565,1.025746226
1.402000,-0.020758351,0.018815080,1.024899006
1.422000,-0.020915437,0.020864656,1.023632884
1.442000,-0.020846594,0.023401108,1.021881700
1.462000,-0.020480148,0.026439158,1.019438624
1.482000,-0.020027438,0.029759491,1.017017722
1.502000,-0.019769790,0.032790553,1.016875625
1.522000,-0.019589486,0.035136823,1.018507838
1.542000,-0.019315282,0.036843460,1.020510674
1.562000,-0.018907510,0.037986744,1.022367120
1.582000,-0.018350961,0.038596295,1.023964047
1.602000,-0.017705895,0.038690958,1.025169253
1.622000,-0.017043227,0.038305104,1.025891900
1.642000,-0.016429462,0.037457738,1.026100874
1.662000,-0.015928648,0.036131389,1.025798202
1.682000,-0.015604664,0.034307476,1.024967432
1.702000,-0.015522328,0.031946719,1.023503423
1.722000,-0.015777776,0.028938917,1.020958543
1.742000,-0.016415903,0.026009422,1.019052982
1.762000,-0.017112378,0.023848945,1.020237923
1.782000,-0.017794868,0.021958683,1.022243142
1.802000,-0.018533973,0.020296030,1.024191022
1.822000,-0.019298628,0.018998336,1.025703669
1.842000,-0.019957004,0.018203305,1.026643991
1.862000,-0.020351898,0.017940240,1.027023673
1.882000,-0.020452892,0.018154891,1.027010918
1.902000,-0.020268444,0.018810859,1.026663303
1.922000,-0.019798702,0.019871308,1.025977731
1.942000,-0.019018115,0.021314116,1.024907112
1.962000,-0.017896133,0.023127023,1.023384929
1.982000,-0.016388416,0.025313972,1.021256447
2.002000,-0.014538648,0.027845589,1.018520951
2.022000,-0.012963681,0.030277245,1.017728567
2.042000,-0.011814392,0.032152195,1.019249797
2.062000,-0.010864668,0.033486828,1.021278620
2.082000,-0.010071129,0.034389455,1.023136616
2.102000,-0.009397952,0.034862746,1.024562597
2.122000,-0.008836892,0.034905374,1.025548816
2.142000,-0.008416140,0.034556706,1.026047826
2.162000,-0.008173198,0.033846345,1.026057720
2.182000,-0.008151117,0.032781735,1.025602460
2.202000,-0.008394782,0.031337649,1.024687171
2.222000,-0.008968540,0.029488754,1.023228288
2.242000,-0.009990354,0.027156293,1.020832300
2.262000,-0.011386584,0.024851607,1.018906116
2.282000,-0.012652284,0.023143640,1.020056605
2.302000,-0.013759234,0.021602167,1.022071838
