time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003751285,0.000003050,1.032246232
0.042000,-0.003311667,0.000010343,1.026618838
0.062000,-0.003191999,0.000002372,1.021339059
0.082000,-0.002852424,-0.000020189,1.020876527
0.102000,-0.001320476,-0.000069461,1.022859454
0.122000,0.001360712,-0.000144710,1.025194526
0.142000,0.004663507,-0.000238290,1.026051998
0.162000,0.008023877,-0.000354581,1.025102973
0.182000,0.011260905,-0.000496393,1.023616791
0.202000,0.014669394,-0.000662060,1.022929192
0.222000,0.018593114,-0.000849466,1.023155570
0.242000,0.023108685,-0.001043845,1.023329616
0.262000,0.027965717,-0.001230440,1.022652149
0.282000,0.032933135,-0.001402073,1.021193504
0.302000,0.038026281,-0.001518299,1.019862652
0.322000,0.043534704,-0.001611239,1.019091845
0.342000,0.049581222,-0.001672797,1.018410683
0.362000,0.056082103,-0.001694703,1.017647266
0.382000,0.062923029,-0.001675161,1.016773343
0.402000,0.070011131,-0.001612926,1.015821934
0.422000,0.077273272,-0.001500749,1.014817238
0.442000,0.084641166,-0.001339778,1.013765454
0.462000,0.092029467,-0.001134011,1.012641191
0.482000,0.099345073,-0.000885893,1.011471152
0.502000,0.106488816,-0.000675824,1.010506868
0.522000,0.113416888,-0.000593510,1.010128498
0.542000,0.120132513,-0.000648164,1.010660887
0.562000,0.126798704,-0.000620687,1.011933446
0.582000,0.133806169,-0.000078529,1.012804508
0.602000,0.141294464,0.001082790,1.012540817
0.622000,0.149208024,0.002775118,1.011091232
0.642000,0.157452956,0.005029854,1.008473158
0.662000,0.165936083,0.007968039,1.004641175
0.682000,0.174331382,0.011231030,1.001407743
0.702000,0.182433665,0.013552421,1.003424287
0.722000,0.190327525,0.015432296,1.009049177
0.742000,0.198204324,0.017010506,1.015434504
0.762000,0.206076518,0.018197397,1.020715356
0.782000,0.213904500,0.019005971,1.024390817
0.802000,0.221677601,0.019464275,1.026504874
0.822000,0.229431868,0.019660298,1.027179837
0.842000,0.237170190,0.019678229,1.026770234
0.862000,0.245062277,0.019451052,1.025682211
0.882000,0.253270119,0.018959733,1.024080634
0.902000,0.261879086,0.018186398,1.022086740
0.922000,0.270944536,0.017095504,1.019774437
0.942000,0.280487865,0.015641328,1.017145395
0.962000,0.290504038,0.013762387,1.014095306
0.982000,0.300936699,0.011368545,1.010344625
1.002000,0.311516613,0.008775949,1.006688237
1.022000,0.321824580,0.006347472,1.005149722
1.042000,0.331546009,0.003937588,1.006796122
1.062000,0.340891331,0.001283526,1.010440826
1.082000,0.350084573,-0.001358015,1.014328241
1.102000,0.359209538,-0.003734263,1.017277956
1.122000,0.368280798,-0.005815781,1.019271135
1.142000,0.377376258,-0.007628109,1.020591617
1.162000,0.386594504,-0.009170166,1.021402001
1.182000,0.396012187,-0.010454297,1.021779776
1.202000,0.405691326,-0.011511556,1.021752954
1.222000,0.415657133,-0.012319127,1.021363974
1.242000,0.425934970,-0.012850236,1.020645976
1.262000,0.436549455,-0.013076390,1.019616961
1.282000,0.447519362,-0.012961304,1.018272281
1.302000,0.458859652,-0.012466343,1.016584158
1.322000,0.470582038,-0.011541592,1.014468670
1.342000,0.482655615,-0.010105189,1.011673689
1.362000,0.494895101,-0.008156482,1.008026361
1.382000,0.506684244,-0.006359412,1.006161094
1.402000,0.517812371,-0.004590165,1.007677913
1.422000,0.528589487,-0.002518876,1.011346698
1.442000,0.539223909,-0.000405009,1.015346169
1.462000,0.549777806,0.001442205,1.018300533
1.482000,0.560256422,0.002970802,1.020145655
1.502000,0.570733905,0.004196242,1.021213293
1.522000,0.581297636,0.005103560,1.021713257
1.542000,0.592016339,0.005698704,1.021773458
1.562000,0.602932096,0.005988122,1.021448135
1.582000,0.614070177,0.005969566,1.020759821
1.602000,0.625446022,0.005618074,1.019701242
1.622000,0.637075126,0.004892223,1.018266201
1.642000,0.648974419,0.003744310,1.016385078
1.662000,0.661150634,0.002108261,1.013922691
1.682000,0.673562706,-0.000115929,1.010525465
1.702000,0.685898066,-0.002725306,1.006554008
1.722000,0.697545528,-0.004905029,1.005427599
1.742000,0.708534479,-0.007105626,1.007727861
1.762000,0.719221354,-0.009502676,1.011843562
1.782000,0.729797125,-0.011812124,1.015879035
1.802000,0.740298390,-0.013803218,1.018785357
1.822000,0.750739694,-0.015471915,1.020708442
1.842000,0.761207402,-0.016833186,1.021862388
1.862000,0.771759212,-0.017944179,1.022367239
1.882000,0.782437325,-0.018766586,1.022392750
1.902000,0.793312073,-0.019277336,1.021980882
1.922000,0.804423094,-0.019470077,1.021143198
1.942000,0.815791070,-0.019322505,1.019895434
1.962000,0.827445030,-0.018794367,1.018245459
1.982000,0.839401424,-0.017833319,1.016116381
2.002000,0.851662576,-0.016367892,1.013352156
2.022000,0.864170849,-0.014288967,1.009524941
2.042000,0.876489997,-0.011978085,1.005772352
2.062000,0.888032973,-0.010126898,1.005567431
2.082000,0.899063170,-0.008140572,1.008489847
2.102000,0.909892440,-0.006007049,1.012758613
2.122000,0.920634389,-0.004035343,1.016593575
2.142000,0.931271613,-0.002401130,1.019285321
2.162000,0.941844165,-0.001072612,1.021100998
2.182000,0.952440202,-0.000007962,1.022148252
2.202000,0.963083684,0.000792398,1.022609711
2.222000,0.973853350,0.001284483,1.022615433
2.242000,0.984809220,0.001448792,1.022188783
2.262000,0.995975733,0.001279892,1.021341681
2.282000,1.007371902,0.000747642,1.020098209
2.302000,1.019025803,-0.000190033,1.018432021
2.322000,1.030949950,-0.001589932,1.016276002
