time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749582,0.000001593,1.032246947
0.042000,-0.003287892,-0.000007047,1.026530862
0.062000,-0.003189027,0.000048799,1.020822525
0.082000,-0.002950596,0.000239934,1.020761251
0.102000,-0.001623192,0.000557326,1.022177696
0.122000,0.000460219,0.001074212,1.023202419
0.142000,0.002817293,0.001835883,1.023704171
0.162000,0.005185785,0.002865376,1.023890376
0.182000,0.007395806,0.004182941,1.023870468
0.202000,0.009386560,0.005805519,1.023730636
0.222000,0.011127032,0.007733135,1.023546576
0.242000,0.012589617,0.009948900,1.023356557
0.262000,0.013758513,0.012421202,1.023175359
0.282000,0.014625773,0.015059584,1.023056984
0.302000,0.015182320,0.017826026,1.022986889
0.322000,0.015390072,0.020709246,1.022922277
0.342000,0.015243042,0.023699092,1.022839546
0.362000,0.014755335,0.026795430,1.022722363
0.382000,0.013960449,0.030002942,1.022564173
0.402000,0.012897511,0.033325184,1.022361636
0.422000,0.011596113,0.036769979,1.022111773
0.442000,0.010083873,0.040350262,1.021826267
0.462000,0.008389391,0.044076324,1.021520376
0.482000,0.006537889,0.047939751,1.021181345
0.502000,0.004558402,0.051920410,1.020805717
0.522000,0.002487144,0.055982038,1.020394564
0.542000,0.000362003,0.060069941,1.019942641
0.562000,-0.001783815,0.064124011,1.019458055
0.582000,-0.003929481,0.068121448,1.019031167
0.602000,-0.006034980,0.071988590,1.018667102
0.622000,-0.008040677,0.075659364,1.018394470
0.642000,-0.009870857,0.079085693,1.018350005
0.662000,-0.011429045,0.082218453,1.018529415
0.682000,-0.012709539,0.085067853,1.018730044
0.702000,-0.013759774,0.087648623,1.018725395
0.722000,-0.014669981,0.089958720,1.018430114
0.742000,-0.015498360,0.091989510,1.017807126
0.762000,-0.016220124,0.093602695,1.016750813
0.782000,-0.017085761,0.095128380,1.017016411
0.802000,-0.017987980,0.097264118,1.019443035
0.822000,-0.018829999,0.100114614,1.022363782
0.842000,-0.019625530,0.103428856,1.024741530
0.862000,-0.020327847,0.107140213,1.026364326
0.882000,-0.020982297,0.111252211,1.027155995
0.902000,-0.021647315,0.115770981,1.027133703
0.922000,-0.022322716,0.120705456,1.026413441
0.942000,-0.022975504,0.126114160,1.025050759
0.962000,-0.023604393,0.132069558,1.022965908
0.982000,-0.024211766,0.138736650,1.019779801
1.002000,-0.025229895,0.145536736,1.017512441
1.022000,-0.026576934,0.151484743,1.017874479
1.042000,-0.027724313,0.156697348,1.019669652
1.062000,-0.028591186,0.161487371,1.021525264
1.082000,-0.029315418,0.165841118,1.022927523
1.102000,-0.029917600,0.169659287,1.023857355
1.122000,-0.030327337,0.172858998,1.024407983
1.142000,-0.030519476,0.175432995,1.024595261
1.162000,-0.030524274,0.177390411,1.024375200
1.182000,-0.030378306,0.178779706,1.023669243
1.202000,-0.030108731,0.179651260,1.022343874
1.222000,-0.029739702,0.180064276,1.020021439
1.242000,-0.029478431,0.180540681,1.017425776
1.262000,-0.029591357,0.182310328,1.018460393
1.282000,-0.029644525,0.184962958,1.020987511
1.302000,-0.029613256,0.188220724,1.023636222
1.322000,-0.029445430,0.192034066,1.025882840
1.342000,-0.029184731,0.196395561,1.027352214
1.362000,-0.028936891,0.201335639,1.027868032
1.382000,-0.028731031,0.206898540,1.027490020
1.402000,-0.028555453,0.213116691,1.026336432
1.422000,-0.028398894,0.220034510,1.024423361
1.442000,-0.028209435,0.227720410,1.021345615
1.462000,-0.028292060,0.235832781,1.017953992
1.482000,-0.028843528,0.243055955,1.017634511
1.502000,-0.029214643,0.249481857,1.019030452
1.522000,-0.029271467,0.255505860,1.020829320
1.542000,-0.029118814,0.261087537,1.022549510
1.562000,-0.028756719,0.266168386,1.024045587
1.582000,-0.028227150,0.270747989,1.025117397
1.602000,-0.027612837,0.274833322,1.025592804
1.622000,-0.026967319,0.278448403,1.025421619
1.642000,-0.026318761,0.281632930,1.024592519
1.662000,-0.025702626,0.284408420,1.023081183
1.682000,-0.025109656,0.286722034,1.020649791
1.702000,-0.024704607,0.288849741,1.017889857
1.722000,-0.024774907,0.292151004,1.019049644
1.742000,-0.024913240,0.296048552,1.021575809
1.762000,-0.025129195,0.300341249,1.023910403
1.782000,-0.025343107,0.305072308,1.025576711
1.802000,-0.025479533,0.310250103,1.026490688
1.822000,-0.025596587,0.315903455,1.026592612
1.842000,-0.025715625,0.322075754,1.025961876
1.862000,-0.025818611,0.328818858,1.024692893
1.882000,-0.025886931,0.336173296,1.022713661
1.902000,-0.025876720,0.344172150,1.019460082
1.922000,-0.026156234,0.352302015,1.016748786
1.942000,-0.026673391,0.359387487,1.017171979
1.962000,-0.026856948,0.365689695,1.018973947
1.982000,-0.026652036,0.371526092,1.021073461
2.002000,-0.026128864,0.376864851,1.023072004
2.022000,-0.025360145,0.381708801,1.024709821
2.042000,-0.024462802,0.386057496,1.025740147
2.062000,-0.023527928,0.389931828,1.026049376
2.082000,-0.022607010,0.393373698,1.025655627
2.102000,-0.021743275,0.396424264,1.024567246
2.122000,-0.020953706,0.399096608,1.022741675
2.142000,-0.020234112,0.401301295,1.019800067
2.162000,-0.019915326,0.403822690,1.018113494
2.182000,-0.019952174,0.407445610,1.019995928
2.202000,-0.020114651,0.411530286,1.022505522
2.222000,-0.020445637,0.416010797,1.024652958
2.242000,-0.020791143,0.420954823,1.026050210
2.262000,-0.021082753,0.426369756,1.026652217
2.282000,-0.021367745,0.432290852,1.026459813
2.302000,-0.021644320,0.438761592,1.025592923
2.322000,-0.021876583,0.445823073,1.024109125
