time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749564,0.000003012,1.032246947
0.042000,-0.003287727,0.000010674,1.026530862
0.062000,-0.003196678,0.000007574,1.020969272
0.082000,-0.002947360,-0.000009550,1.020977974
0.102000,-0.001642617,-0.000038850,1.022331357
0.122000,0.000372456,-0.000077718,1.023305893
0.142000,0.002650157,-0.000126575,1.023815751
0.162000,0.004947284,-0.000183893,1.024043083
0.182000,0.007136492,-0.000242851,1.024097443
0.202000,0.009144940,-0.000297523,1.024053097
0.222000,0.010916451,-0.000345451,1.023964047
0.242000,0.012417706,-0.000386712,1.023863792
0.262000,0.013636836,-0.000422790,1.023771167
0.282000,0.014574011,-0.000456180,1.023697495
0.302000,0.015212728,-0.000488585,1.023640275
0.322000,0.015553561,-0.000521206,1.023598194
0.342000,0.015606139,-0.000554851,1.023566008
0.362000,0.015396979,-0.000590036,1.023542643
0.382000,0.014961199,-0.000626847,1.023534179
0.402000,0.014320948,-0.000665171,1.023538232
0.422000,0.013494089,-0.000704936,1.023551583
0.442000,0.012497811,-0.000746094,1.023571610
0.462000,0.011349031,-0.000788117,1.023596525
0.482000,0.010063411,-0.000830517,1.023622632
0.502000,0.008656569,-0.000872817,1.023645759
0.522000,0.007147476,-0.000914555,1.023664236
0.542000,0.005557151,-0.000955313,1.023677230
0.562000,0.003911146,-0.000994970,1.023686051
0.582000,0.002235939,-0.001033389,1.023693919
0.602000,0.000538265,-0.001070271,1.023699045
0.622000,-0.001170379,-0.001105613,1.023706794
0.642000,-0.002887581,-0.001139381,1.023718238
0.662000,-0.004623938,-0.001171675,1.023723722
0.682000,-0.006379534,-0.001202627,1.023720264
0.702000,-0.008149326,-0.001232371,1.023708820
0.722000,-0.009928431,-0.001261048,1.023689985
0.742000,-0.011714452,-0.001288810,1.023664474
0.762000,-0.013502828,-0.001315770,1.023632288
0.782000,-0.015287577,-0.001342062,1.023593426
0.802000,-0.017063074,-0.001367794,1.023548484
0.822000,-0.018824853,-0.001392973,1.023497701
0.842000,-0.020570140,-0.001417521,1.023441792
0.862000,-0.022296926,-0.001441272,1.023380995
0.882000,-0.024002967,-0.001464056,1.023315668
0.902000,-0.025685953,-0.001485687,1.023246646
0.922000,-0.027343407,-0.001505975,1.023174763
0.942000,-0.028972434,-0.001524778,1.023100853
0.962000,-0.030569827,-0.001542050,1.023025751
0.982000,-0.032129794,-0.001557773,1.022951961
1.002000,-0.033644021,-0.001571951,1.022881031
1.022000,-0.035107683,-0.001584721,1.022811651
1.042000,-0.036513589,-0.001598039,1.022745371
1.062000,-0.037852783,-0.001613477,1.022683620
1.082000,-0.039116997,-0.001630125,1.022626638
1.102000,-0.040299781,-0.001646661,1.022573471
1.122000,-0.041395258,-0.001662919,1.022523761
1.142000,-0.042398848,-0.001678857,1.022477508
1.162000,-0.043308247,-0.001692196,1.022432446
1.182000,-0.044123251,-0.001698130,1.022387505
1.202000,-0.044844609,-0.001699720,1.022347808
1.222000,-0.045473389,-0.001696760,1.022313237
1.242000,-0.046011336,-0.001688993,1.022283196
1.262000,-0.046461195,-0.001676459,1.022257566
1.282000,-0.046826806,-0.001659442,1.022236109
1.302000,-0.047111768,-0.001638416,1.022219062
1.322000,-0.047319561,-0.001613745,1.022205710
1.342000,-0.047453701,-0.001586465,1.022196531
1.362000,-0.047518570,-0.001557268,1.022190690
1.382000,-0.047519039,-0.001527944,1.022188187
1.402000,-0.047459390,-0.001498788,1.022187829
1.422000,-0.047343601,-0.001470966,1.022189617
1.442000,-0.047175400,-0.001444636,1.022192955
1.462000,-0.046958409,-0.001420456,1.022197962
1.482000,-0.046696283,-0.001399431,1.022205114
1.502000,-0.046392705,-0.001381677,1.022215128
1.522000,-0.046050999,-0.001366968,1.022228241
1.542000,-0.045675237,-0.001355636,1.022244334
1.562000,-0.045270033,-0.001348590,1.022263050
1.582000,-0.044839930,-0.001346899,1.022284389
1.602000,-0.044389311,-0.001350793,1.022307396
1.622000,-0.043921899,-0.001359667,1.022331834
1.642000,-0.043441806,-0.001372205,1.022356868
1.662000,-0.042953223,-0.001386803,1.022382140
1.682000,-0.042459052,-0.001401801,1.022407293
1.702000,-0.041961320,-0.001415616,1.022432208
1.722000,-0.041461688,-0.001426951,1.022456884
1.742000,-0.040961761,-0.001434932,1.022481203
1.762000,-0.040463235,-0.001439181,1.022505164
1.782000,-0.039967880,-0.001439822,1.022528768
1.802000,-0.039477665,-0.001437422,1.022552252
1.822000,-0.038994994,-0.001432902,1.022575498
1.842000,-0.038522396,-0.001427406,1.022598386
1.862000,-0.038062226,-0.001422158,1.022620797
1.882000,-0.037616592,-0.001418324,1.022642732
1.902000,-0.037187368,-0.001416895,1.022663832
1.922000,-0.036776155,-0.001418600,1.022684216
1.942000,-0.036384311,-0.001423854,1.022703648
1.962000,-0.036012970,-0.001432744,1.022722125
1.982000,-0.035663109,-0.001445062,1.022739530
2.002000,-0.035335544,-0.001460353,1.022755742
2.022000,-0.035030864,-0.001477977,1.022770882
2.042000,-0.034749471,-0.001497178,1.022784948
2.062000,-0.034491658,-0.001517174,1.022797823
2.082000,-0.034257580,-0.001537235,1.022809625
2.102000,-0.034047235,-0.001556748,1.022820354
2.122000,-0.033860538,-0.001575259,1.022829890
2.142000,-0.033697352,-0.001592502,1.022838235
2.162000,-0.033557300,-0.001608391,1.022845268
2.182000,-0.033439644,-0.001622998,1.022850871
2.202000,-0.033343289,-0.001636539,1.022855520
2.222000,-0.033267029,-0.001649285,1.022859216
