time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749546,0.000003277,1.032246947
0.042000,-0.003287312,0.000012083,1.026530743
0.062000,-0.003194466,-0.000010274,1.020953894
0.082000,-0.002946406,-0.000059316,1.020963669
0.102000,-0.001643444,-0.000132668,1.022322536
0.122000,0.000326217,-0.000244858,1.023278236
0.142000,0.002504996,-0.000405491,1.023760915
0.162000,0.004658103,-0.000612394,1.023967028
0.182000,0.006659170,-0.000855097,1.024006248
0.202000,0.008434147,-0.001129147,1.023949981
0.222000,0.009926271,-0.001425271,1.023851633
0.242000,0.011099542,-0.001730449,1.023746371
0.262000,0.011940096,-0.002033396,1.023653746
0.282000,0.012440266,-0.002325793,1.023581266
0.302000,0.012585710,-0.002608380,1.023524761
0.322000,0.012376793,-0.002881036,1.023481965
0.342000,0.011826759,-0.003138769,1.023450375
0.362000,0.010958769,-0.003376874,1.023421168
0.382000,0.009817118,-0.003592869,1.023398638
0.402000,0.008437366,-0.003788136,1.023385406
0.422000,0.006842980,-0.003963745,1.023377776
0.442000,0.005054080,-0.004119324,1.023370385
0.462000,0.003090151,-0.004253495,1.023357153
0.482000,0.000973055,-0.004364262,1.023334384
0.502000,-0.001268802,-0.004449782,1.023302674
0.522000,-0.003609072,-0.004509337,1.023269296
0.542000,-0.006024476,-0.004540657,1.023241878
0.562000,-0.008492106,-0.004535241,1.023223042
0.582000,-0.010995604,-0.004478036,1.023210168
0.602000,-0.013524189,-0.004341214,1.023198843
0.622000,-0.016068630,-0.004069452,1.023180127
0.642000,-0.018622139,-0.003576616,1.023108244
0.662000,-0.021161215,-0.002731692,1.022911787
0.682000,-0.023651952,-0.001413757,1.022603750
0.702000,-0.026009848,0.000515799,1.022107959
0.722000,-0.028146992,0.003101850,1.021528125
0.742000,-0.030067604,0.006332838,1.020861626
0.762000,-0.031741686,0.010141033,1.019958854
0.782000,-0.033140555,0.014495973,1.018590331
0.802000,-0.034313388,0.019197972,1.016749263
0.822000,-0.035360396,0.023652883,1.015675306
0.842000,-0.036268353,0.027389809,1.015856385
0.862000,-0.037183177,0.029994130,1.017728806
0.882000,-0.037873197,0.031733111,1.020487428
0.902000,-0.038259722,0.032803681,1.023506045
0.922000,-0.038450535,0.033284035,1.026126027
0.942000,-0.038601909,0.033199027,1.027921200
0.962000,-0.038817242,0.032550674,1.028821349
0.982000,-0.039140727,0.031358596,1.028894305
1.002000,-0.039595764,0.029625472,1.028276920
1.022000,-0.040207379,0.027354466,1.027083397
1.042000,-0.040981885,0.024523122,1.025303602
1.062000,-0.041932628,0.021047046,1.022518873
1.082000,-0.043300092,0.017623670,1.020131588
1.102000,-0.044983413,0.015186091,1.020640612
1.122000,-0.046607595,0.013246087,1.022287488
1.142000,-0.048145194,0.011714211,1.023823500
1.162000,-0.049662076,0.010685750,1.025002241
1.182000,-0.051093590,0.010276334,1.025741100
1.202000,-0.052310407,0.010507978,1.026104689
1.222000,-0.053262569,0.011370419,1.026133180
1.242000,-0.053938713,0.012857238,1.025838852
1.262000,-0.054319251,0.014944665,1.025248170
1.282000,-0.054389995,0.017593831,1.024359345
1.302000,-0.054153055,0.020768860,1.023123741
1.322000,-0.053598754,0.024442982,1.021455050
1.342000,-0.052669983,0.028608251,1.019084215
1.362000,-0.051688459,0.032843787,1.017213106
1.382000,-0.050913081,0.036422424,1.017895460
1.402000,-0.049965948,0.039239705,1.020116210
1.422000,-0.048722811,0.041372541,1.022788882
1.442000,-0.047223099,0.042831656,1.025375843
1.462000,-0.045611009,0.043681055,1.027419925
1.482000,-0.044054195,0.043987110,1.028661132
1.502000,-0.042655703,0.043778628,1.029094815
1.522000,-0.041474544,0.043073971,1.028859973
1.542000,-0.040542677,0.041891869,1.028105617
1.562000,-0.039892606,0.040256504,1.026928544
1.582000,-0.039571345,0.038157109,1.025297523
1.602000,-0.039681986,0.035533868,1.022855759
1.622000,-0.040305819,0.032817937,1.020496488
1.642000,-0.041085448,0.030926410,1.021292925
1.662000,-0.042025946,0.029243443,1.023085833
1.682000,-0.043222792,0.027700489,1.024923682
1.702000,-0.044618957,0.026484992,1.026386499
1.722000,-0.046054918,0.025753735,1.027251601
1.742000,-0.047333747,0.025569502,1.027456045
1.762000,-0.048311662,0.025887717,1.027215600
1.782000,-0.048920423,0.026641319,1.026709914
1.802000,-0.049122918,0.027774712,1.026022673
1.822000,-0.048913721,0.029249975,1.025161505
1.842000,-0.048281800,0.031039787,1.024083972
1.862000,-0.047215719,0.033139553,1.022701144
1.882000,-0.045662008,0.035574149,1.020737767
1.902000,-0.043909047,0.038172379,1.018956184
1.922000,-0.042539623,0.040326435,1.019801021
1.942000,-0.041316010,0.041953709,1.021897912
1.962000,-0.040195782,0.043137860,1.024111986
1.982000,-0.039251626,0.043896340,1.025941491
2.002000,-0.038475171,0.044199437,1.027185798
2.022000,-0.037896547,0.044062853,1.027777314
2.042000,-0.037575070,0.043516092,1.027721882
2.062000,-0.037544940,0.042585135,1.027134061
2.082000,-0.037815899,0.041289508,1.026125908
2.102000,-0.038409743,0.039643019,1.024725795
2.122000,-0.039396014,0.037625760,1.022762656
2.142000,-0.040846247,0.035342112,1.020238042
2.162000,-0.042254496,0.033700481,1.020236135
2.182000,-0.043510117,0.032405756,1.021950364
2.202000,-0.044723250,0.031304214,1.023819804
2.222000,-0.045879789,0.030546175,1.025356293
2.242000,-0.046834730,0.030233029,1.026377797
2.262000,-0.047433969,0.030343136,1.026894927
2.282000,-0.047633301,0.030819194,1.027024031
