time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771004,-0.000001398,1.032333374
0.042000,-0.003508731,-0.000014222,1.026624322
0.062000,-0.003603093,0.000068481,1.021307230
0.082000,-0.003497780,0.000262833,1.021678448
0.102000,-0.002610800,0.000611427,1.022912264
0.122000,-0.001126446,0.001143192,1.023750901
0.142000,0.000674439,0.001879546,1.024193525
0.162000,0.002574151,0.002839088,1.024381638
0.182000,0.004356818,0.004048075,1.024405718
0.202000,0.005890607,0.005523889,1.024332643
0.222000,0.007094454,0.007269159,1.024212480
0.242000,0.007908895,0.009272099,1.024080396
0.262000,0.008336270,0.011517134,1.023952723
0.282000,0.008391172,0.013988776,1.023829937
0.302000,0.008059709,0.016678048,1.023713946
0.322000,0.007367728,0.019579040,1.023598433
0.342000,0.006362133,0.022678707,1.023472309
0.362000,0.005094915,0.025963929,1.023321986
0.382000,0.003623616,0.029422957,1.023150206
0.402000,0.001988469,0.033042811,1.022954702
0.422000,0.000216368,0.036807686,1.022730470
0.442000,-0.001671243,0.040693436,1.022472262
0.462000,-0.003655684,0.044666685,1.022175908
0.482000,-0.005718958,0.048699807,1.021840215
0.502000,-0.007839919,0.052763436,1.021465778
0.522000,-0.010001942,0.056825515,1.021053314
0.542000,-0.012192517,0.060853262,1.020604730
0.562000,-0.014355133,0.064817011,1.020127892
0.582000,-0.016438913,0.068678662,1.019641995
0.602000,-0.018417267,0.072408877,1.019188881
0.622000,-0.020273890,0.075969912,1.018758774
0.642000,-0.021999775,0.079334922,1.018321753
0.662000,-0.023583816,0.082509428,1.017894149
0.682000,-0.025008198,0.085465916,1.017483354
0.702000,-0.026257142,0.088180706,1.017197728
0.722000,-0.027304245,0.090615906,1.017050385
0.742000,-0.028138995,0.092770599,1.017001867
0.762000,-0.028774887,0.094649933,1.016918182
0.782000,-0.029259227,0.096248977,1.016632676
0.802000,-0.029699244,0.097686611,1.016399741
0.822000,-0.030175619,0.099163368,1.017378092
0.842000,-0.030546360,0.100780368,1.019641042
0.862000,-0.030757163,0.103001989,1.022354007
0.882000,-0.030856157,0.105788454,1.024537086
0.902000,-0.030808099,0.109067596,1.025922298
0.922000,-0.030693907,0.112839155,1.026523709
0.942000,-0.030589707,0.117072351,1.026346326
0.962000,-0.030461047,0.121732719,1.025386691
0.982000,-0.030282933,0.126877204,1.023545742
1.002000,-0.030044742,0.132612288,1.020395994
1.022000,-0.030108918,0.138696134,1.017241478
1.042000,-0.030476457,0.143946156,1.017806888
1.062000,-0.030599631,0.148533568,1.020154953
1.082000,-0.030480744,0.152854443,1.022625804
1.102000,-0.030267539,0.156957418,1.024441481
1.122000,-0.030097233,0.160734236,1.025466681
1.142000,-0.029990150,0.164063066,1.025885940
1.162000,-0.029887199,0.166928500,1.025926113
1.182000,-0.029759336,0.169346735,1.025633097
1.202000,-0.029633546,0.171335429,1.024927616
1.222000,-0.029521067,0.172913998,1.023672342
1.242000,-0.029424226,0.174058631,1.021569133
1.262000,-0.029423950,0.175043404,1.018974543
1.282000,-0.029659919,0.177120224,1.019833446
1.302000,-0.029762881,0.179974556,1.022010446
1.322000,-0.029718688,0.183382064,1.023970127
1.342000,-0.029500231,0.187327594,1.025307894
1.362000,-0.029149465,0.191807523,1.025983453
1.382000,-0.028809136,0.196839392,1.025978088
1.402000,-0.028550867,0.202430278,1.025320053
1.422000,-0.028371403,0.208607554,1.023989201
1.442000,-0.028246308,0.215429440,1.021775603
1.462000,-0.028207559,0.222876415,1.018614769
1.482000,-0.028453751,0.229995146,1.017513752
1.502000,-0.028595639,0.236244932,1.018664837
1.522000,-0.028405519,0.242092267,1.020336986
1.542000,-0.027978601,0.247649536,1.021895051
1.562000,-0.027355334,0.252847046,1.023210526
1.582000,-0.026560022,0.257651836,1.024238706
1.602000,-0.025678141,0.262069494,1.024863362
1.622000,-0.024784794,0.266108036,1.024963260
1.642000,-0.023932133,0.269782424,1.024470568
1.662000,-0.023140157,0.273088902,1.023292661
1.682000,-0.022417270,0.275951743,1.021141410
1.702000,-0.021929961,0.278544813,1.019043446
1.722000,-0.021807091,0.282174706,1.020654202
1.742000,-0.021745218,0.286276013,1.023141623
1.762000,-0.021747269,0.290698588,1.025167704
1.782000,-0.021743653,0.295517445,1.026282907
1.802000,-0.021707786,0.300743431,1.026605010
1.822000,-0.021723162,0.306385458,1.026238680
1.842000,-0.021810252,0.312468469,1.025274515
1.862000,-0.021935830,0.319046319,1.023668170
1.882000,-0.022043750,0.326211929,1.021072626
1.902000,-0.022280108,0.333833754,1.018128872
1.922000,-0.022674557,0.340895683,1.017810822
1.942000,-0.022792809,0.347199559,1.019188881
1.962000,-0.022537157,0.353119254,1.020845652
1.982000,-0.022035021,0.358710080,1.022307158
2.002000,-0.021326438,0.363922417,1.023526430
2.022000,-0.020472838,0.368732512,1.024457932
2.042000,-0.019565389,0.373155236,1.024958730
2.062000,-0.018666474,0.377209365,1.024928093
2.082000,-0.017805045,0.380915701,1.024304271
2.102000,-0.017001111,0.384262145,1.022984862
2.122000,-0.016289458,0.387150854,1.020655513
2.142000,-0.015879011,0.389913023,1.018955469
2.162000,-0.015790746,0.393720686,1.020870924
2.182000,-0.015755501,0.397970527,1.023379564
2.202000,-0.015784569,0.402552813,1.025330424
2.222000,-0.015777981,0.407541037,1.026356697
2.242000,-0.015733873,0.412940860,1.026589751
2.262000,-0.015737005,0.418758452,1.026126862
2.282000,-0.015795812,0.425008088,1.025018096
2.302000,-0.015881602,0.431771666,1.023245215
