time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771030,0.000001194,1.032333374
0.042000,-0.003509254,0.000016111,1.026624322
0.062000,-0.003603441,-0.000019386,1.021434784
0.082000,-0.003499833,-0.000180835,1.021800399
0.102000,-0.002648063,-0.000501602,1.022988439
0.122000,-0.001223145,-0.001005611,1.023799419
0.142000,0.000508866,-0.001721727,1.024225116
0.162000,0.002334831,-0.002670464,1.024403214
0.182000,0.004039880,-0.003881240,1.024415731
0.202000,0.005493484,-0.005374296,1.024331570
0.222000,0.006616138,-0.007149389,1.024213791
0.242000,0.007353441,-0.009198299,1.024081469
0.262000,0.007706849,-0.011505024,1.023947835
0.282000,0.007692483,-0.014049150,1.023818731
0.302000,0.007298943,-0.016821289,1.023696661
0.322000,0.006552659,-0.019816136,1.023574114
0.342000,0.005499672,-0.023020616,1.023438215
0.362000,0.004191017,-0.026422357,1.023274899
0.382000,0.002687116,-0.030010385,1.023086667
0.402000,0.001028177,-0.033772487,1.022870779
0.422000,-0.000760397,-0.037693426,1.022622228
0.442000,-0.002658201,-0.041749407,1.022336721
0.462000,-0.004647445,-0.045905545,1.022010684
0.482000,-0.006710971,-0.050132710,1.021643519
0.502000,-0.008828163,-0.054399408,1.021235704
0.522000,-0.010982098,-0.058670465,1.020788074
0.542000,-0.013158585,-0.062911153,1.020306587
0.562000,-0.015303446,-0.067091636,1.019805670
0.582000,-0.017367087,-0.071173973,1.019320965
0.602000,-0.019321866,-0.075114429,1.018854976
0.622000,-0.021153711,-0.078866512,1.018360972
0.642000,-0.022846354,-0.082428209,1.017880678
0.662000,-0.024371568,-0.085767888,1.017437100
0.682000,-0.025690736,-0.088824883,1.017078996
0.702000,-0.026790671,-0.091609582,1.016888618
0.722000,-0.027675990,-0.094128378,1.016808987
0.742000,-0.028378084,-0.096387915,1.016676784
0.762000,-0.028948447,-0.098379917,1.016322374
0.782000,-0.029489694,-0.100220121,1.016043425
0.802000,-0.030086558,-0.102077797,1.017194629
0.822000,-0.030570034,-0.104167722,1.019861460
0.842000,-0.030864164,-0.106846131,1.022851706
0.862000,-0.031050116,-0.110029966,1.025175810
0.882000,-0.031097567,-0.113664508,1.026636004
0.902000,-0.031117460,-0.117750615,1.027212143
0.922000,-0.031177374,-0.122259699,1.026940227
0.942000,-0.031232707,-0.127172023,1.025856376
0.962000,-0.031252306,-0.132559180,1.023895264
0.982000,-0.031219954,-0.138550013,1.020631433
1.002000,-0.031502467,-0.144906342,1.017488122
1.022000,-0.032087985,-0.150403008,1.018050313
1.042000,-0.032421727,-0.155224875,1.020324707
1.062000,-0.032505419,-0.159776568,1.022685409
1.082000,-0.032490727,-0.164112344,1.024398923
1.102000,-0.032515664,-0.168136001,1.025328517
1.122000,-0.032612458,-0.171726674,1.025643468
1.142000,-0.032718413,-0.174847960,1.025595069
1.162000,-0.032787636,-0.177518740,1.025270343
1.182000,-0.032840084,-0.179753542,1.024593830
1.202000,-0.032891851,-0.181566805,1.023427248
1.222000,-0.032938238,-0.182945773,1.021510363
1.242000,-0.033046938,-0.184071735,1.018969417
1.262000,-0.033374328,-0.186225370,1.019577146
1.282000,-0.033578314,-0.189201757,1.021718502
1.302000,-0.033639137,-0.192745999,1.023740292
1.322000,-0.033529405,-0.196830913,1.025162697
1.342000,-0.033278689,-0.201449603,1.025910735
1.362000,-0.033027004,-0.206621423,1.025952816
1.382000,-0.032849003,-0.212357968,1.025320292
1.402000,-0.032741409,-0.218685910,1.024012089
1.422000,-0.032680079,-0.225661620,1.021846771
1.442000,-0.032675561,-0.233295903,1.018639684
1.462000,-0.032974616,-0.240714461,1.017211080
1.482000,-0.033240639,-0.247215509,1.018305779
1.502000,-0.033172727,-0.253279090,1.020050406
1.522000,-0.032848977,-0.259049326,1.021730542
1.542000,-0.032307584,-0.264454901,1.023170233
1.562000,-0.031579133,-0.269471198,1.024308920
1.582000,-0.030765010,-0.274102032,1.025017619
1.602000,-0.029948084,-0.278353751,1.025179267
1.622000,-0.029182430,-0.282242298,1.024730802
1.642000,-0.028489517,-0.285770506,1.023596287
1.662000,-0.027870344,-0.288877279,1.021551251
1.682000,-0.027437264,-0.291543305,1.019054890
1.702000,-0.027374633,-0.295187861,1.020266414
1.722000,-0.027344596,-0.299392253,1.022779346
1.742000,-0.027334958,-0.303922236,1.024918675
1.762000,-0.027309900,-0.308827192,1.026183367
1.782000,-0.027227949,-0.314120442,1.026627421
1.802000,-0.027167443,-0.319815874,1.026351571
1.822000,-0.027163427,-0.325934380,1.025450587
1.842000,-0.027177423,-0.332529038,1.023925543
1.862000,-0.027165322,-0.339687616,1.021508455
1.882000,-0.027215065,-0.347390026,1.018336177
1.902000,-0.027501229,-0.354669929,1.017639995
1.922000,-0.027610475,-0.361125678,1.019024372
1.942000,-0.027383141,-0.367166549,1.020803332
1.962000,-0.026927864,-0.372887105,1.022388577
1.982000,-0.026280109,-0.378210813,1.023666024
2.002000,-0.025489122,-0.383138329,1.024623036
2.022000,-0.024648128,-0.387681633,1.025128961
2.042000,-0.023819672,-0.391859233,1.025089145
2.062000,-0.023034606,-0.395693064,1.024464488
2.082000,-0.022301983,-0.399174482,1.023168206
2.102000,-0.021640366,-0.402228922,1.020935535
2.122000,-0.021222020,-0.405072212,1.019071221
2.142000,-0.021081671,-0.408912718,1.020775080
2.162000,-0.020943724,-0.413240016,1.023216248
2.182000,-0.020828515,-0.417912364,1.025169134
2.202000,-0.020654054,-0.422988772,1.026258588
2.222000,-0.020423362,-0.428474367,1.026552916
