time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771035,-0.000000459,1.032333374
0.042000,-0.003509311,-0.000002547,1.026624441
0.062000,-0.003602693,0.000003089,1.021460414
0.082000,-0.003484375,0.000029074,1.021801949
0.102000,-0.002604524,0.000063453,1.022988319
0.122000,-0.001175629,0.000110143,1.023801804
0.142000,0.000520109,0.000177185,1.024244666
0.162000,0.002265446,0.000264948,1.024453163
0.182000,0.003870051,0.000375780,1.024522543
0.202000,0.005184684,0.000508727,1.024508953
0.222000,0.006115189,0.000659149,1.024451971
0.242000,0.006611636,0.000820534,1.024379849
0.262000,0.006674618,0.000986595,1.024312854
0.282000,0.006328146,0.001150025,1.024258733
0.302000,0.005571336,0.001304976,1.024222612
0.322000,0.004443468,0.001443688,1.024203539
0.342000,0.003000155,0.001560784,1.024194002
0.362000,0.001307293,0.001653095,1.024189472
0.382000,-0.000576537,0.001718296,1.024192929
0.402000,-0.002617498,0.001754421,1.024198532
0.422000,-0.004790310,0.001760177,1.024200082
0.442000,-0.007073655,0.001734979,1.024192572
0.462000,-0.009449318,0.001678980,1.024172664
0.482000,-0.011903130,0.001592494,1.024137020
0.502000,-0.014422098,0.001475551,1.024083495
0.522000,-0.016996631,0.001326768,1.024011254
0.542000,-0.019620305,0.001149966,1.023926020
0.562000,-0.022241835,0.000954002,1.023845553
0.582000,-0.024821753,0.000740314,1.023781538
0.602000,-0.027354348,0.000502684,1.023734093
0.622000,-0.029867290,0.000227287,1.023692489
0.642000,-0.032381639,-0.000106620,1.023642063
0.662000,-0.034894984,-0.000528695,1.023572206
0.682000,-0.037395071,-0.001086769,1.023471951
0.702000,-0.039862707,-0.001852123,1.023303270
0.722000,-0.042272609,-0.002926902,1.022999406
0.742000,-0.044591561,-0.004431378,1.022493005
0.762000,-0.046799079,-0.006448319,1.021837711
0.782000,-0.048859619,-0.009014627,1.021068454
0.802000,-0.050739538,-0.012145675,1.020147085
0.822000,-0.052418359,-0.015801830,1.019102812
0.842000,-0.053877473,-0.019867424,1.018087029
0.862000,-0.055136550,-0.024110472,1.017334819
0.882000,-0.056152638,-0.028229892,1.016967535
0.902000,-0.056982737,-0.031792372,1.017335176
0.922000,-0.057705071,-0.034491859,1.018737435
0.942000,-0.058272857,-0.036400829,1.020828843
0.962000,-0.058559861,-0.037697013,1.023076296
0.982000,-0.058618546,-0.038454741,1.025047898
1.002000,-0.058595169,-0.038696609,1.026454091
1.022000,-0.058587112,-0.038425785,1.027195573
1.042000,-0.058649614,-0.037644532,1.027277470
1.062000,-0.058799565,-0.036338296,1.026746392
1.082000,-0.059075326,-0.034483433,1.025593638
1.102000,-0.059503332,-0.032007113,1.023479939
1.122000,-0.060235161,-0.029062748,1.020553946
1.142000,-0.061266575,-0.027033942,1.020727754
1.162000,-0.062210422,-0.025546271,1.022406459
1.182000,-0.063020930,-0.024331253,1.024029374
1.202000,-0.063797034,-0.023456236,1.025246620
1.222000,-0.064586923,-0.023049269,1.025977612
1.242000,-0.065345727,-0.023208695,1.026260495
1.262000,-0.066003151,-0.023941278,1.026257753
1.282000,-0.066533484,-0.025218079,1.026035190
1.302000,-0.066928156,-0.027016757,1.025550604
1.322000,-0.067161985,-0.029310931,1.024749875
1.342000,-0.067174122,-0.032075446,1.023563504
1.362000,-0.066927314,-0.035302874,1.021871090
1.382000,-0.066444367,-0.038962774,1.019604325
1.402000,-0.066043884,-0.042430859,1.018528104
1.422000,-0.065770097,-0.045251463,1.019680023
1.442000,-0.065318026,-0.047416303,1.021752596
1.462000,-0.064603582,-0.048963115,1.023870945
1.482000,-0.063664556,-0.049935747,1.025721312
1.502000,-0.062644295,-0.050417926,1.027067900
1.522000,-0.061687421,-0.050474085,1.027815819
1.542000,-0.060890235,-0.050132532,1.027984858
1.562000,-0.060293749,-0.049398661,1.027638674
1.582000,-0.059907898,-0.048248541,1.026826262
1.602000,-0.059768766,-0.046648894,1.025513411
1.622000,-0.059956890,-0.044518754,1.023352265
1.642000,-0.060546495,-0.042098962,1.020860672
1.662000,-0.061125994,-0.040468592,1.021677613
1.682000,-0.061682336,-0.039088774,1.023484826
1.702000,-0.062300865,-0.037823703,1.025214911
1.722000,-0.062988356,-0.036837623,1.026490450
1.742000,-0.063678265,-0.036289368,1.027186036
1.762000,-0.064255357,-0.036245693,1.027327061
1.782000,-0.064623505,-0.036666583,1.027150035
1.802000,-0.064754732,-0.037502684,1.026783824
1.822000,-0.064627677,-0.038716916,1.026211262
1.842000,-0.064209215,-0.040274754,1.025382757
1.862000,-0.063446231,-0.042152915,1.024214983
1.882000,-0.062292494,-0.044374108,1.022495985
1.902000,-0.060866840,-0.046887338,1.020434141
1.922000,-0.059705235,-0.049124792,1.020761609
1.942000,-0.058699001,-0.050883431,1.022499681
1.962000,-0.057738714,-0.052194331,1.024308562
1.982000,-0.056879919,-0.053083789,1.025712609
2.002000,-0.056128077,-0.053553909,1.026603580
2.022000,-0.055517640,-0.053647798,1.027029514
2.042000,-0.055105213,-0.053414296,1.027023077
2.062000,-0.054918159,-0.052871261,1.026618600
2.082000,-0.054972086,-0.052015297,1.025849700
2.102000,-0.055286292,-0.050815113,1.024701595
2.122000,-0.055945255,-0.049224921,1.022959113
2.142000,-0.057035558,-0.047334421,1.020616055
2.162000,-0.058028888,-0.045944318,1.021087646
2.182000,-0.058863897,-0.044735201,1.022876978
2.202000,-0.059642162,-0.043609884,1.024631500
2.222000,-0.060382932,-0.042756997,1.025953889
2.242000,-0.060995635,-0.042323280,1.026724577
