time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003771000,0.000000250,1.032333374
0.042000,-0.003508975,0.000004677,1.026624560
0.062000,-0.003604790,-0.000040696,1.021512866
0.082000,-0.003494807,-0.000069082,1.021881819
0.102000,-0.002633832,-0.000105771,1.023046970
0.122000,-0.001232574,-0.000168263,1.023840427
0.142000,0.000433776,-0.000266448,1.024267793
0.162000,0.002153432,-0.000397697,1.024466634
0.182000,0.003739811,-0.000561023,1.024531126
0.202000,0.005046299,-0.000753042,1.024515390
0.222000,0.005980298,-0.000967058,1.024457216
0.242000,0.006492585,-0.001198498,1.024384618
0.262000,0.006583650,-0.001444904,1.024317384
0.282000,0.006278918,-0.001701846,1.024262905
0.302000,0.005576194,-0.001965589,1.024225950
0.322000,0.004514587,-0.002229103,1.024205565
0.342000,0.003149624,-0.002487288,1.024194717
0.362000,0.001545740,-0.002736449,1.024188519
0.382000,-0.000238778,-0.002973046,1.024190307
0.402000,-0.002170673,-0.003193273,1.024194717
0.422000,-0.004225461,-0.003393491,1.024195671
0.442000,-0.006382568,-0.003570561,1.024188161
0.462000,-0.008625282,-0.003722206,1.024169922
0.482000,-0.010940100,-0.003845535,1.024136782
0.502000,-0.013312633,-0.003937222,1.024086118
0.522000,-0.015728457,-0.003996373,1.024029493
0.542000,-0.018182330,-0.004023741,1.023973107
0.562000,-0.020632263,-0.004020873,1.023921728
0.582000,-0.023041300,-0.003978740,1.023879290
0.602000,-0.025404250,-0.003881203,1.023844004
0.622000,-0.027748762,-0.003704044,1.023803115
0.642000,-0.030092930,-0.003414881,1.023741841
0.662000,-0.032433346,-0.002967141,1.023647308
0.682000,-0.034756768,-0.002294243,1.023489237
0.702000,-0.037036974,-0.001305071,1.023209214
0.722000,-0.039235078,0.000114262,1.022729635
0.742000,-0.041321997,0.002035222,1.022106290
0.762000,-0.043263938,0.004495922,1.021383762
0.782000,-0.045033541,0.007510762,1.020535588
0.802000,-0.046617389,0.011051682,1.019576669
0.822000,-0.048003588,0.015014802,1.018637776
0.842000,-0.049177602,0.019171335,1.017912507
0.862000,-0.050100956,0.023210960,1.017555475
0.882000,-0.050827269,0.026691506,1.017947912
0.902000,-0.051431071,0.029315127,1.019303918
0.922000,-0.051864624,0.031217068,1.021202564
0.942000,-0.052034821,0.032508928,1.023221970
0.962000,-0.051982433,0.033248603,1.025022507
0.982000,-0.051837336,0.033451047,1.026329160
1.002000,-0.051689457,0.033118658,1.027027965
1.022000,-0.051590092,0.032258585,1.027097702
1.042000,-0.051557600,0.030861203,1.026563168
1.062000,-0.051634829,0.028904388,1.025394917
1.082000,-0.051853728,0.026316257,1.023229957
1.102000,-0.052379116,0.023337306,1.020457268
1.122000,-0.053172886,0.021302925,1.020837426
1.142000,-0.053887036,0.019784745,1.022525430
1.162000,-0.054543793,0.018542213,1.024241209
1.182000,-0.055225495,0.017646719,1.025584698
1.202000,-0.055950388,0.017229814,1.026402235
1.222000,-0.056674007,0.017390246,1.026706457
1.242000,-0.057337590,0.018135695,1.026676416
1.262000,-0.057917044,0.019435380,1.026398182
1.282000,-0.058392584,0.021262405,1.025843501
1.302000,-0.058728836,0.023589561,1.024967313
1.322000,-0.058857754,0.026390499,1.023702383
1.342000,-0.058732688,0.029654583,1.021928549
1.362000,-0.058370486,0.033347238,1.019590616
1.382000,-0.058077287,0.036835693,1.018460870
1.402000,-0.057875879,0.039706364,1.019517422
1.422000,-0.057484940,0.041910116,1.021539807
1.442000,-0.056823470,0.043491654,1.023636937
1.462000,-0.055928338,0.044495549,1.025512815
1.482000,-0.054936592,0.045005165,1.026914597
1.502000,-0.053995881,0.045088012,1.027719259
1.522000,-0.053206284,0.044773698,1.027932525
1.542000,-0.052610498,0.044068504,1.027618289
1.562000,-0.052219257,0.042949099,1.026834369
1.582000,-0.052067205,0.041383870,1.025561213
1.602000,-0.052222434,0.039289098,1.023485065
1.622000,-0.052771002,0.036852792,1.020941854
1.642000,-0.053333048,0.035174973,1.021597147
1.662000,-0.053851761,0.033752471,1.023340344
1.682000,-0.054415230,0.032433175,1.025059581
1.702000,-0.055047590,0.031377930,1.026368022
1.722000,-0.055689409,0.030752437,1.027114153
1.742000,-0.056234334,0.030629342,1.027307510
1.762000,-0.056577284,0.030984025,1.027152896
1.782000,-0.056690417,0.031767651,1.026799560
1.802000,-0.056554578,0.032944515,1.026239753
1.822000,-0.056136414,0.034480713,1.025429964
1.842000,-0.055384960,0.036351275,1.024290681
1.862000,-0.054252416,0.038569778,1.022635221
1.882000,-0.052833907,0.041098561,1.020622015
1.902000,-0.051601842,0.043404177,1.020676613
1.922000,-0.050562456,0.045218471,1.022343278
1.942000,-0.049563657,0.046580262,1.024166107
1.962000,-0.048651922,0.047520567,1.025635839
1.982000,-0.047836773,0.048037093,1.026590109
2.002000,-0.047145575,0.048172474,1.027075410
2.022000,-0.046644237,0.047980864,1.027112246
2.042000,-0.046363559,0.047480416,1.026736379
2.062000,-0.046318457,0.046668582,1.025990605
2.082000,-0.046526447,0.045514807,1.024875760
2.102000,-0.047067832,0.043974113,1.023209095
2.122000,-0.048069183,0.042054381,1.020703197
2.142000,-0.049047880,0.040609516,1.020853043
2.162000,-0.049889304,0.039385337,1.022629261
2.182000,-0.050712984,0.038218122,1.024481773
2.202000,-0.051558904,0.037288986,1.025954723
2.222000,-0.052330323,0.036772404,1.026851654
2.242000,-0.052899219,0.036720395,1.027155876
2.262000,-0.053176302,0.037062187,1.027080774
2.282000,-0.053149357,0.037728339,1.026786685
