time_s,x_m,y_m,z_m,yaw_rad
0.000000,-0.003963500,0.000000000,0.050000001,0.000000000
0.002000,-0.003963500,-0.000003333,0.050000001,0.000000000
0.022000,-0.003963500,-0.000215184,0.050000001,0.000000000
0.042000,-0.003963500,-0.000736836,0.050000001,0.000000000
0.062000,-0.003963500,-0.001548245,0.050000001,0.000000000
0.082000,-0.003963500,-0.002630664,0.050000001,0.000000000
0.102000,-0.003963500,-0.003966557,0.050000001,0.000000000
0.122000,-0.003963500,-0.005539524,0.050000001,0.000000000
0.142000,-0.003963500,-0.007334227,0.050000001,0.000000000
0.162000,-0.003963500,-0.009336318,0.050000001,0.000000000
0.182000,-0.003963500,-0.011532379,0.050000001,0.000000000
0.202000,-0.003963500,-0.013909861,0.050000001,0.000000000
0.222000,-0.003963500,-0.016457027,0.050000001,0.000000000
0.242000,-0.003963500,-0.019162891,0.050000001,0.000000000
0.262000,-0.003963500,-0.022017192,0.050000001,0.000000000
0.282000,-0.003963500,-0.025010327,0.050000001,0.000000000
0.302000,-0.003963500,-0.028133307,0.050000001,0.000000000
0.322000,-0.003963500,-0.031377733,0.050000001,0.000000000
0.342000,-0.003963500,-0.034735747,0.050000001,0.000000000
0.362000,-0.003963500,-0.038199998,0.050000001,0.000000000
0.382000,-0.003963500,-0.041763615,0.050000001,0.000000000
0.402000,-0.003963500,-0.045420174,0.050000001,0.000000000
0.422000,-0.003963500,-0.049163651,0.050000001,0.000000000
0.442000,-0.003963500,-0.052988429,0.050000001,0.000000000
0.462000,-0.003963500,-0.056889247,0.050000001,0.000000000
0.482000,-0.003963500,-0.060861185,0.050000001,0.000000000
0.502000,-0.003963500,-0.064899638,0.050000001,0.000000000
0.522000,-0.003963500,-0.069000319,0.050000001,0.000000000
0.542000,-0.003963500,-0.073159158,0.050000001,0.000000000
0.562000,-0.003963500,-0.077372447,0.050000001,0.000000000
0.582000,-0.003963500,-0.081636623,0.050000001,0.000000000
0.602000,-0.003963500,-0.085948408,0.050000001,0.000000000
0.622000,-0.003963500,-0.090304717,0.050000001,0.000000000
0.642000,-0.003963500,-0.094702698,0.050000001,0.000000000
0.662000,-0.003963500,-0.099139623,0.050000001,0.000000000
0.682000,-0.003963500,-0.103612967,0.050000001,0.000000000
0.702000,-0.003963500,-0.108120389,0.050000001,0.000000000
0.722000,-0.003963500,-0.112659685,0.050000001,0.000000000
0.742000,-0.003963500,-0.117228784,0.050000001,0.000000000
0.762000,-0.003963500,-0.121825770,0.050000001,0.000000000
0.782000,-0.003963500,-0.126448825,0.050000001,0.000000000
0.802000,-0.003963500,-0.131096289,0.050000001,0.000000000
0.822000,-0.003963500,-0.135766566,0.050000001,0.000000000
0.842000,-0.003963500,-0.140458137,0.050000001,0.000000000
0.862000,-0.003963500,-0.145169675,0.050000001,0.000000000
0.882000,-0.003963500,-0.149899870,0.050000001,0.000000000
0.902000,-0.003963500,-0.154647544,0.050000001,0.000000000
0.922000,-0.003963500,-0.159411550,0.050000001,0.000000000
0.942000,-0.003963500,-0.164190784,0.050000001,0.000000000
0.962000,-0.003963500,-0.168984324,0.050000001,0.000000000
0.982000,-0.003963500,-0.173791215,0.050000001,0.000000000
1.002000,-0.003963500,-0.178610638,0.050000001,0.000000000
1.022000,-0.003963500,-0.183441713,0.050000001,0.000000000
1.042000,-0.003963500,-0.188283741,0.050000001,0.000000000
1.062000,-0.003963500,-0.193135962,0.050000001,0.000000000
1.082000,-0.003963500,-0.197997764,0.050000001,0.000000000
1.102000,-0.003963500,-0.202868506,0.050000001,0.000000000
1.122000,-0.003963500,-0.207747608,0.050000001,0.000000000
1.142000,-0.003963500,-0.212634519,0.050000001,0.000000000
1.162000,-0.003963500,-0.217528760,0.050000001,0.000000000
1.182000,-0.003963500,-0.222429842,0.050000001,0.000000000
1.202000,-0.003963500,-0.227337331,0.050000001,0.000000000
1.222000,-0.003963500,-0.232250795,0.050000001,0.000000000
1.242000,-0.003963500,-0.237169862,0.050000001,0.000000000
1.262000,-0.003963500,-0.242094174,0.050000001,0.000000000
1.282000,-0.003963500,-0.247023359,0.050000001,0.000000000
1.302000,-0.003963500,-0.251957178,0.050000001,0.000000000
1.322000,-0.003963500,-0.256895274,0.050000001,0.000000000
1.342000,-0.003963500,-0.261837363,0.050000001,0.000000000
1.362000,-0.003963500,-0.266783178,0.050000001,0.000000000
1.382000,-0.003963500,-0.271732509,0.050000001,0.000000000
1.402000,-0.003963500,-0.276685148,0.050000001,0.000000000
1.422000,-0.003963500,-0.281640828,0.050000001,0.000000000
1.442000,-0.003963500,-0.286599398,0.050000001,0.000000000
1.462000,-0.003963500,-0.291560620,0.050000001,0.000000000
1.482000,-0.003963500,-0.296524346,0.050000001,0.000000000
1.502000,-0.003963500,-0.301490426,0.050000001,0.000000000
1.522000,-0.003963500,-0.306458712,0.050000001,0.000000000
1.542000,-0.003963500,-0.311429054,0.050000001,0.000000000
1.562000,-0.003963500,-0.316401303,0.050000001,0.000000000
1.582000,-0.003963500,-0.321375340,0.050000001,0.000000000
1.602000,-0.003963500,-0.326351047,0.050000001,0.000000000
1.622000,-0.003963500,-0.331328332,0.050000001,0.000000000
1.642000,-0.003963500,-0.336307108,0.050000001,0.000000000
1.662000,-0.003963500,-0.341287255,0.050000001,0.000000000
1.682000,-0.003963500,-0.346268684,0.050000001,0.000000000
1.702000,-0.003963500,-0.351251334,0.050000001,0.000000000
1.722000,-0.003963500,-0.356235087,0.050000001,0.000000000
1.742000,-0.003963500,-0.361219883,0.050000001,0.000000000
1.762000,-0.003963500,-0.366205662,0.050000001,0.000000000
1.782000,-0.003963500,-0.371192366,0.050000001,0.000000000
1.802000,-0.003963500,-0.376179934,0.050000001,0.000000000
1.822000,-0.003963500,-0.381168306,0.050000001,0.000000000
1.842000,-0.003963500,-0.386157453,0.050000001,0.000000000
1.862000,-0.003963500,-0.391147286,0.050000001,0.000000000
1.882000,-0.003963500,-0.396137774,0.050000001,0.000000000
1.902000,-0.003963500,-0.401128858,0.050000001,0.000000000
1.922000,-0.003963500,-0.406120539,0.050000001,0.000000000
1.942000,-0.003963500,-0.411112756,0.050000001,0.000000000
1.962000,-0.003963500,-0.416105479,0.050000001,0.000000000
1.982000,-0.003963500,-0.421098679,0.050000001,0.000000000
2.002000,-0.003963500,-0.426092267,0.050000001,0.000000000
2.022000,-0.003963500,-0.431086332,0.050000001,0.000000000
2.042000,-0.003963500,-0.436080754,0.050000001,0.000000000
2.062000,-0.003963500,-0.441075534,0.050000001,0.000000000
2.082000,-0.003963500,-0.446070641,0.050000001,0.000000000
2.102000,-0.003963500,-0.451066077,0.050000001,0.000000000
2.122000,-0.003963500,-0.456061810,0.050000001,0.000000000
2.142000,-0.003963500,-0.461057842,0.050000001,0.000000000
2.162000,-0.003963500,-0.466054112,0.050000001,0.000000000
2.182000,-0.003963500,-0.471050620,0.050000001,0.000000000
2.202000,-0.003963500,-0.476047337,0.050000001,0.000000000
2.222000,-0.003963500,-0.481044292,0.050000001,0.000000000
2.242000,-0.003963500,-0.486041456,0.050000001,0.000000000
2.262000,-0.003963500,-0.491038740,0.050000001,0.000000000
2.282000,-0.003963500,-0.496036291,0.050000001,0.000000000
2.302000,-0.003963500,-0.501033902,0.050000001,0.000000000
2.322000,-0.003963500,-0.506031752,0.050000001,0.000000000
2.342000,-0.003963500,-0.511029601,0.050000001,0.000000000
2.362000,-0.003963500,-0.516027451,0.050000001,0.000000000
2.382000,-0.003963500,-0.521025896,0.050000001,0.000000000
2.402000,-0.003963500,-0.526024342,0.050000001,0.000000000
2.422000,-0.003963500,-0.531022787,0.050000001,0.000000000
2.442000,-0.003963500,-0.536021233,0.050000001,0.000000000
