time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749543,0.000004557,1.032246947
0.042000,-0.003287554,0.000027702,1.026530147
0.062000,-0.003195199,0.000004727,1.020947695
0.082000,-0.002949139,-0.000166627,1.020955443
0.102000,-0.001651219,-0.000506743,1.022308111
0.122000,0.000354942,-0.001054793,1.023269773
0.142000,0.002617275,-0.001856501,1.023741126
0.162000,0.004892793,-0.002933790,1.023920178
0.182000,0.007010133,-0.004310324,1.023894906
0.202000,0.008910106,-0.006004544,1.023746848
0.222000,0.010566122,-0.008014617,1.023552775
0.242000,0.011951601,-0.010318084,1.023352981
0.262000,0.013048264,-0.012869106,1.023168325
0.282000,0.013851674,-0.015561827,1.023061872
0.302000,0.014345431,-0.018380623,1.023003936
0.322000,0.014495646,-0.021312589,1.022938967
0.342000,0.014304847,-0.024350855,1.022846341
0.362000,0.013786042,-0.027501969,1.022714496
0.382000,0.012971153,-0.030772001,1.022528887
0.402000,0.011904800,-0.034166615,1.022289038
0.422000,0.010617572,-0.037698317,1.021998167
0.442000,0.009134142,-0.041384321,1.021673322
0.462000,0.007477800,-0.045239389,1.021335602
0.482000,0.005671861,-0.049251638,1.020964503
0.502000,0.003745919,-0.053396817,1.020556331
0.522000,0.001735391,-0.057632983,1.020111561
0.542000,-0.000324516,-0.061897743,1.019624591
0.562000,-0.002405192,-0.066128127,1.019108176
0.582000,-0.004488808,-0.070302591,1.018671274
0.602000,-0.006530017,-0.074342243,1.018317938
0.622000,-0.008461832,-0.078183793,1.018099666
0.642000,-0.010186858,-0.081761293,1.018136621
0.662000,-0.011639922,-0.085055999,1.018402457
0.682000,-0.012851290,-0.088075809,1.018653750
0.702000,-0.013877046,-0.090833731,1.018665791
0.722000,-0.014832634,-0.093323909,1.018390894
0.742000,-0.015717253,-0.095546164,1.017754793
0.762000,-0.016515011,-0.097287945,1.016761303
0.782000,-0.017473161,-0.099053398,1.017323732
0.802000,-0.018462917,-0.101511665,1.019851804
0.822000,-0.019420687,-0.104654685,1.022665501
0.842000,-0.020356948,-0.108266316,1.024991393
0.862000,-0.021196106,-0.112263925,1.026596785
0.882000,-0.021976080,-0.116635166,1.027339339
0.902000,-0.022742104,-0.121394031,1.027235031
0.922000,-0.023488401,-0.126554877,1.026387572
0.942000,-0.024183836,-0.132192418,1.024864197
0.962000,-0.024822328,-0.138381109,1.022566199
0.982000,-0.025456516,-0.145226881,1.019208670
1.002000,-0.026501352,-0.152056351,1.017180085
1.022000,-0.027789291,-0.157937780,1.017836809
1.042000,-0.028825369,-0.163079053,1.019740582
1.062000,-0.029572319,-0.167738646,1.021626115
1.082000,-0.030147783,-0.171894670,1.023066401
1.102000,-0.030527798,-0.175453112,1.024066567
1.122000,-0.030680450,-0.178385451,1.024680972
1.142000,-0.030629767,-0.180684298,1.024871707
1.162000,-0.030415274,-0.182372674,1.024590611
1.182000,-0.030078698,-0.183506534,1.023753524
1.202000,-0.029645052,-0.184132174,1.022186756
1.222000,-0.029122707,-0.184314236,1.019344807
1.242000,-0.028909983,-0.185047120,1.017566919
1.262000,-0.028990190,-0.187100023,1.019243956
1.282000,-0.028998984,-0.189913794,1.021912336
1.302000,-0.028887482,-0.193308398,1.024529934
1.322000,-0.028640004,-0.197249636,1.026617289
1.342000,-0.028342977,-0.201747447,1.027820230
1.362000,-0.028081883,-0.206843317,1.028049111
1.382000,-0.027861778,-0.212577730,1.027414203
1.402000,-0.027658002,-0.218987092,1.026041269
1.422000,-0.027467461,-0.226105854,1.023878932
1.442000,-0.027253898,-0.233986348,1.020367146
1.462000,-0.027433446,-0.241964713,1.017508864
1.482000,-0.027933447,-0.248904750,1.017815590
1.502000,-0.028140575,-0.255175054,1.019412041
1.522000,-0.028025208,-0.261068523,1.021242380
1.542000,-0.027675755,-0.266513944,1.022954464
1.562000,-0.027112545,-0.271463633,1.024387717
1.582000,-0.026401168,-0.275916010,1.025339246
1.602000,-0.025624102,-0.279881269,1.025670886
1.622000,-0.024835678,-0.283385843,1.025356531
1.642000,-0.024068005,-0.286465198,1.024370909
1.662000,-0.023343414,-0.289125979,1.022676826
1.682000,-0.022654496,-0.291288137,1.019898295
1.702000,-0.022296008,-0.293576002,1.017759085
1.722000,-0.022351563,-0.297055721,1.019513369
1.742000,-0.022480007,-0.301043659,1.022103190
1.762000,-0.022707622,-0.305410534,1.024380326
1.782000,-0.022914890,-0.310208201,1.025944710
1.802000,-0.023061022,-0.315450966,1.026706100
1.822000,-0.023201808,-0.321175814,1.026638031
1.842000,-0.023337945,-0.327430606,1.025858164
1.862000,-0.023436718,-0.334265023,1.024440646
1.882000,-0.023490164,-0.341715574,1.022252798
1.902000,-0.023497902,-0.349772573,1.018811107
1.922000,-0.023832375,-0.357679516,1.016643524
1.942000,-0.024272069,-0.364451051,1.017504692
1.962000,-0.024344182,-0.370530248,1.019429803
1.982000,-0.024068480,-0.376139969,1.021526933
2.002000,-0.023500113,-0.381243765,1.023486018
2.022000,-0.022705579,-0.385845989,1.025044680
2.042000,-0.021799063,-0.389951557,1.025967956
2.062000,-0.020864032,-0.393588245,1.026159763
2.082000,-0.019947112,-0.396800488,1.025650144
2.102000,-0.019083448,-0.399620533,1.024446011
2.122000,-0.018283673,-0.402053058,1.022472024
2.142000,-0.017555619,-0.404006273,1.019291282
2.162000,-0.017287971,-0.406485289,1.018013477
2.182000,-0.017341863,-0.410056382,1.020097613
2.202000,-0.017520588,-0.414096653,1.022614360
2.222000,-0.017856579,-0.418546110,1.024718404
