time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003749566,0.000002746,1.032246947
0.042000,-0.003288073,0.000008114,1.026530862
0.062000,-0.003197610,0.000017815,1.020968437
0.082000,-0.002949140,0.000039662,1.020976424
0.102000,-0.001645902,0.000069128,1.022329926
0.122000,0.000323053,0.000113808,1.023281097
0.142000,0.002502120,0.000180183,1.023763418
0.162000,0.004655522,0.000270187,1.023969769
0.182000,0.006655065,0.000381387,1.024008751
0.202000,0.008425735,0.000515824,1.023952127
0.222000,0.009910509,0.000670211,1.023853660
0.242000,0.011073585,0.000835052,1.023747683
0.262000,0.011901048,0.001001552,1.023654580
0.282000,0.012385133,0.001164540,1.023584008
0.302000,0.012509304,0.001319485,1.023530006
0.322000,0.012277972,0.001464808,1.023490906
0.342000,0.011700662,0.001598335,1.023463726
0.362000,0.010799615,0.001714964,1.023439288
0.382000,0.009618692,0.001810145,1.023423672
0.402000,0.008190717,0.001882586,1.023416519
0.422000,0.006536913,0.001931410,1.023412943
0.442000,0.004676381,0.001956147,1.023407936
0.462000,0.002631672,0.001956125,1.023397207
0.482000,0.000432754,0.001931288,1.023380518
0.502000,-0.001893563,0.001881763,1.023356080
0.522000,-0.004324338,0.001809546,1.023327589
0.542000,-0.006836425,0.001716140,1.023301363
0.562000,-0.009405573,0.001596731,1.023280501
0.582000,-0.012014010,0.001444966,1.023264647
0.602000,-0.014647353,0.001245101,1.023253202
0.622000,-0.017294228,0.000961512,1.023247004
0.642000,-0.019948302,0.000534367,1.023223519
0.662000,-0.022599040,-0.000138788,1.023120642
0.682000,-0.025220014,-0.001211403,1.022850633
0.702000,-0.027774809,-0.002803450,1.022431374
0.722000,-0.030155616,-0.005049063,1.021843076
0.742000,-0.032291561,-0.007956416,1.021158814
0.762000,-0.034197718,-0.011500060,1.020315051
0.782000,-0.035844937,-0.015628830,1.019151092
0.802000,-0.037199501,-0.020278715,1.017418265
0.822000,-0.038466696,-0.024941333,1.015956521
0.842000,-0.039522823,-0.029155040,1.015438676
0.862000,-0.040498704,-0.032381065,1.016432643
0.882000,-0.041401569,-0.034547996,1.018823624
0.902000,-0.042030863,-0.035931095,1.021842957
0.922000,-0.042376664,-0.036684718,1.024814248
0.942000,-0.042586129,-0.036875773,1.027121782
0.962000,-0.042806797,-0.036505532,1.028528929
0.982000,-0.043107528,-0.035586763,1.029031038
1.002000,-0.043530889,-0.034127787,1.028737783
1.022000,-0.044095382,-0.032121141,1.027794361
1.042000,-0.044820886,-0.029560952,1.026287913
1.062000,-0.045701202,-0.026391514,1.024041295
1.082000,-0.046843238,-0.022717135,1.020927072
1.102000,-0.048469450,-0.019771900,1.019917727
1.122000,-0.050212398,-0.017669611,1.021253943
1.142000,-0.051877357,-0.015965642,1.022949219
1.162000,-0.053516835,-0.014697695,1.024360895
1.182000,-0.055145595,-0.013990497,1.025360942
1.202000,-0.056640562,-0.013919628,1.025944114
1.222000,-0.057897698,-0.014479716,1.026167154
1.242000,-0.058884684,-0.015663218,1.026044607
1.262000,-0.059583373,-0.017456379,1.025598168
1.282000,-0.059970707,-0.019823246,1.024845123
1.302000,-0.060046647,-0.022727424,1.023767233
1.322000,-0.059816521,-0.026139827,1.022319078
1.342000,-0.059248801,-0.030034317,1.020362377
1.362000,-0.058351267,-0.034338780,1.017845392
1.382000,-0.057586838,-0.038316265,1.016851902
1.402000,-0.056950755,-0.041528452,1.018323779
1.422000,-0.056058764,-0.044032756,1.020899653
1.442000,-0.054863740,-0.045858014,1.023695827
1.462000,-0.053441066,-0.047032565,1.026190042
1.482000,-0.051959302,-0.047628652,1.027981639
1.502000,-0.050564531,-0.047696896,1.028933764
1.522000,-0.049341537,-0.047253378,1.029111981
1.542000,-0.048346218,-0.046317149,1.028666258
1.562000,-0.047606513,-0.044907283,1.027737260
1.582000,-0.047165915,-0.043041155,1.026393890
1.602000,-0.047080908,-0.040686291,1.024512053
1.622000,-0.047479011,-0.037803482,1.021667719
1.642000,-0.048236955,-0.035421126,1.020599127
1.662000,-0.049097262,-0.033676639,1.021962166
1.682000,-0.050159860,-0.032071989,1.023778200
1.702000,-0.051460747,-0.030679593,1.025438666
1.722000,-0.052890386,-0.029690584,1.026629806
1.742000,-0.054272968,-0.029222291,1.027214646
1.762000,-0.055413533,-0.029286040,1.027250528
1.782000,-0.056205478,-0.029822616,1.026945591
1.802000,-0.056597084,-0.030776689,1.026421547
1.822000,-0.056566007,-0.032100599,1.025725365
1.842000,-0.056116302,-0.033765532,1.024831772
1.862000,-0.055234730,-0.035748452,1.023679495
1.882000,-0.053901527,-0.038046297,1.022143960
1.902000,-0.052101791,-0.040670082,1.019975185
1.922000,-0.050360844,-0.043197025,1.018882632
1.942000,-0.049016435,-0.045194462,1.020311475
1.962000,-0.047770910,-0.046699192,1.022562623
1.982000,-0.046640757,-0.047763437,1.024756312
2.002000,-0.045659557,-0.048360627,1.026458859
2.022000,-0.044835418,-0.048492976,1.027547836
2.042000,-0.044235725,-0.048197530,1.027963161
2.062000,-0.043921359,-0.047508143,1.027753592
2.082000,-0.043918494,-0.046454638,1.027036071
2.102000,-0.044232637,-0.045050260,1.025904894
2.122000,-0.044907093,-0.043308385,1.024354458
2.142000,-0.046035081,-0.041184433,1.022067904
2.162000,-0.047543649,-0.039087292,1.020020485
2.182000,-0.048882522,-0.037680533,1.020952463
2.202000,-0.050122861,-0.036494706,1.022810817
2.222000,-0.051349632,-0.035548337,1.024566889
2.242000,-0.052481968,-0.034987640,1.025891542
