time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003744144,0.000003093,1.032240748
0.042000,-0.003301392,0.000010137,1.026622653
0.062000,-0.003162879,0.000002105,1.021414518
0.082000,-0.002786813,-0.000021294,1.020960331
0.102000,-0.001249649,-0.000069498,1.022885203
0.122000,0.001410846,-0.000143065,1.025168300
0.142000,0.004684311,-0.000233965,1.026039839
0.162000,0.008033123,-0.000346454,1.025131822
0.182000,0.011275921,-0.000483678,1.023637533
0.202000,0.014693169,-0.000644402,1.022892833
0.222000,0.018615652,-0.000827336,1.023089409
0.242000,0.023130434,-0.001020401,1.023309946
0.262000,0.028002433,-0.001208865,1.022715569
0.282000,0.032993227,-0.001383547,1.021289468
0.302000,0.038096987,-0.001493859,1.019923687
0.322000,0.043594006,-0.001583489,1.019133210
0.342000,0.049624417,-0.001648310,1.018450975
0.362000,0.056117278,-0.001677213,1.017694950
0.382000,0.062956519,-0.001664110,1.016826391
0.402000,0.070048772,-0.001605791,1.015875816
0.422000,0.077320039,-0.001495944,1.014868021
0.442000,0.084700331,-0.001332506,1.013814092
0.462000,0.092101909,-0.001119183,1.012684703
0.482000,0.099432282,-0.000861863,1.011512995
0.502000,0.106592149,-0.000644828,1.010555387
0.522000,0.113539323,-0.000556070,1.010196328
0.542000,0.120276734,-0.000597132,1.010757685
0.562000,0.126986802,-0.000521270,1.012003541
0.582000,0.134054929,0.000090749,1.012776732
0.602000,0.141599968,0.001312179,1.012410641
0.622000,0.149570227,0.003063324,1.010860085
0.642000,0.157874405,0.005370933,1.008125663
0.662000,0.166408494,0.008382764,1.004216075
0.682000,0.174839839,0.011555389,1.001424789
0.702000,0.182949185,0.013802724,1.003896475
0.722000,0.190836340,0.015612831,1.009675622
0.742000,0.198671684,0.017076442,1.015969276
0.762000,0.206445411,0.018100064,1.021020055
0.782000,0.214156359,0.018756354,1.024485111
0.802000,0.221825033,0.019066576,1.026426792
0.822000,0.229500413,0.019092120,1.027003765
0.842000,0.237204760,0.018936137,1.026514173
0.862000,0.245097041,0.018539425,1.025350571
0.882000,0.253326446,0.017882071,1.023680210
0.902000,0.261975676,0.016944008,1.021625638
0.922000,0.271096438,0.015687002,1.019251227
0.942000,0.280708015,0.014060614,1.016536713
0.962000,0.290801078,0.011994686,1.013347983
0.982000,0.301295966,0.009414638,1.009416342
1.002000,0.311862975,0.006752632,1.006064057
1.022000,0.322035134,0.004350029,1.005273581
1.042000,0.331629604,0.001863753,1.007481575
1.062000,0.340886116,-0.000828433,1.011293173
1.082000,0.350002706,-0.003446088,1.015012503
1.102000,0.359052002,-0.005790755,1.017746091
1.122000,0.368068546,-0.007844102,1.019602418
1.142000,0.377137095,-0.009625328,1.020830750
1.162000,0.386349738,-0.011136633,1.021575451
1.182000,0.395775676,-0.012384959,1.021907449
1.202000,0.405458897,-0.013380490,1.021854997
1.222000,0.415428787,-0.014125291,1.021448255
1.242000,0.425705761,-0.014594994,1.020714879
1.262000,0.436314255,-0.014760586,1.019673467
1.282000,0.447274327,-0.014588598,1.018322468
1.302000,0.458600074,-0.014043134,1.016638160
1.322000,0.470302075,-0.013075951,1.014539957
1.342000,0.482346326,-0.011607556,1.011782408
1.362000,0.494548857,-0.009639159,1.008203030
1.382000,0.506346285,-0.007774732,1.006262541
1.402000,0.517468572,-0.005985451,1.007730961
1.422000,0.528230488,-0.003904653,1.011372924
1.442000,0.538844466,-0.001773504,1.015371442
1.462000,0.549380481,0.000097478,1.018344641
1.482000,0.559853017,0.001650436,1.020211816
1.502000,0.570336401,0.002900740,1.021293640
1.522000,0.580913842,0.003831679,1.021798491
1.542000,0.591647387,0.004449476,1.021853328
1.562000,0.602576017,0.004762335,1.021509171
1.582000,0.613726854,0.004765988,1.020789981
1.602000,0.625117779,0.004431023,1.019694090
1.622000,0.636767805,0.003717690,1.018214822
1.642000,0.648693562,0.002578627,1.016278148
1.662000,0.660900176,0.000946732,1.013749242
1.682000,0.673335254,-0.001280519,1.010259748
1.702000,0.685662866,-0.003878310,1.006297469
1.722000,0.697266161,-0.006038571,1.005435228
1.742000,0.708240867,-0.008300336,1.007952213
1.762000,0.718911588,-0.010775561,1.012173414
1.782000,0.729450881,-0.013160016,1.016219735
1.802000,0.739897549,-0.015220474,1.019095540
1.822000,0.750282168,-0.016954850,1.020958900
1.842000,0.760696530,-0.018367652,1.022059321
1.862000,0.771207869,-0.019506933,1.022521973
1.882000,0.781854808,-0.020355780,1.022508383
1.902000,0.792701960,-0.020896036,1.022072196
1.922000,0.803789973,-0.021119405,1.021223187
1.942000,0.815141559,-0.021004116,1.019973516
1.962000,0.826785505,-0.020511214,1.018334031
1.982000,0.838738382,-0.019590860,1.016236305
2.002000,0.851003349,-0.018175842,1.013534546
2.022000,0.863528550,-0.016157784,1.009821177
2.042000,0.875916779,-0.013854647,1.005928278
2.062000,0.887548029,-0.012008483,1.005425334
2.082000,0.898623705,-0.010030689,1.008163214
2.102000,0.909455776,-0.007877043,1.012411475
2.122000,0.920172095,-0.005854690,1.016353011
2.142000,0.930796385,-0.004141479,1.019191742
2.162000,0.941358745,-0.002746705,1.021113515
2.182000,0.951934397,-0.001660053,1.022285700
2.202000,0.962566793,-0.000845220,1.022830129
2.222000,0.973307490,-0.000337738,1.022904515
2.242000,0.984216809,-0.000159751,1.022543788
2.262000,0.995327294,-0.000316809,1.021756411
2.282000,1.006657362,-0.000836141,1.020566463
2.302000,1.018237472,-0.001756876,1.018960238
2.322000,1.030082941,-0.003127886,1.016887188
