time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003742469,0.000001586,1.032241464
0.042000,-0.003278152,-0.000006544,1.026532412
0.062000,-0.003161488,0.000044913,1.020882249
0.082000,-0.002892233,0.000239434,1.020829082
0.102000,-0.001568412,0.000566051,1.022220731
0.122000,0.000488155,0.001094765,1.023224592
0.142000,0.002808666,0.001867363,1.023718596
0.162000,0.005143963,0.002906831,1.023902774
0.182000,0.007328562,0.004231883,1.023885608
0.202000,0.009296448,0.005858494,1.023751259
0.222000,0.011017689,0.007785738,1.023572803
0.242000,0.012461836,0.009995940,1.023387313
0.262000,0.013608258,0.012457051,1.023212194
0.282000,0.014450801,0.015098534,1.023097992
0.302000,0.014971863,0.017881319,1.023024440
0.322000,0.015146133,0.020782983,1.022955298
0.342000,0.014967574,0.023788873,1.022865653
0.362000,0.014455207,0.026895683,1.022742510
0.382000,0.013646346,0.030109745,1.022579432
0.402000,0.012582317,0.033437729,1.022378683
0.422000,0.011292609,0.036887296,1.022140741
0.442000,0.009803855,0.040465824,1.021869659
0.462000,0.008141816,0.044175994,1.021567464
0.482000,0.006329692,0.048011530,1.021232367
0.502000,0.004393293,0.051952824,1.020862460
0.522000,0.002364580,0.055965561,1.020456076
0.542000,0.000279525,0.059996393,1.020007253
0.562000,-0.001830480,0.063988432,1.019529581
0.582000,-0.003943580,0.067921080,1.019106507
0.602000,-0.006019025,0.071725011,1.018745542
0.622000,-0.008004772,0.075330444,1.018454552
0.642000,-0.009814722,0.078671813,1.018357873
0.662000,-0.011348777,0.081722237,1.018488288
0.682000,-0.012608563,0.084488377,1.018643498
0.702000,-0.013642056,0.086985797,1.018605709
0.722000,-0.014534147,0.089217260,1.018283486
0.742000,-0.015354651,0.091169961,1.017641187
0.762000,-0.016078580,0.092706442,1.016565681
0.782000,-0.016955158,0.094176404,1.016865015
0.802000,-0.017878577,0.096257530,1.019339561
0.822000,-0.018748650,0.099043600,1.022312999
0.842000,-0.019568611,0.102281131,1.024759054
0.862000,-0.020291459,0.105901875,1.026430368
0.882000,-0.020962602,0.109921917,1.027248502
0.902000,-0.021636851,0.114354014,1.027249694
0.922000,-0.022315141,0.119206861,1.026559711
0.942000,-0.022963433,0.124535762,1.025234103
0.962000,-0.023586672,0.130414680,1.023206949
0.982000,-0.024178199,0.137011081,1.020089507
1.002000,-0.025174882,0.143757105,1.017713189
1.022000,-0.026530396,0.149728775,1.017799258
1.042000,-0.027730038,0.154920578,1.019514203
1.062000,-0.028632633,0.159690350,1.021359086
1.082000,-0.029375391,0.164038271,1.022759438
1.102000,-0.030000610,0.167855740,1.023650050
1.122000,-0.030438712,0.171074703,1.024181128
1.142000,-0.030659022,0.173657075,1.024382949
1.162000,-0.030680573,0.175609633,1.024220347
1.182000,-0.030540593,0.176972255,1.023609281
1.202000,-0.030268239,0.177802190,1.022414088
1.222000,-0.029898372,0.178150207,1.020342231
1.242000,-0.029553410,0.178393260,1.017542124
1.262000,-0.029574195,0.179854393,1.018001795
1.282000,-0.029572485,0.182300717,1.020378470
1.302000,-0.029484620,0.185392171,1.023086429
1.322000,-0.029245336,0.189049095,1.025502682
1.342000,-0.028889656,0.193256199,1.027197242
1.362000,-0.028532585,0.198038429,1.027930021
1.382000,-0.028220965,0.203439862,1.027728677
1.402000,-0.027947046,0.209493339,1.026734233
1.422000,-0.027702853,0.216245994,1.024996161
1.442000,-0.027445067,0.223748222,1.022239447
1.462000,-0.027349295,0.231852084,1.018655896
1.482000,-0.027732477,0.239367604,1.017471313
1.502000,-0.028094688,0.245909706,1.018657804
1.522000,-0.028150219,0.252010792,1.020435929
1.542000,-0.027995791,0.257719129,1.022195578
1.562000,-0.027635943,0.262938321,1.023774505
1.582000,-0.027086046,0.267661005,1.024993420
1.602000,-0.026428966,0.271887392,1.025647640
1.622000,-0.025722859,0.275633663,1.025655627
1.642000,-0.025009820,0.278936923,1.025016189
1.662000,-0.024320427,0.281821549,1.023705721
1.682000,-0.023658490,0.284266621,1.021598458
1.702000,-0.023068592,0.286274314,1.018385530
1.722000,-0.022947116,0.289105535,1.018252492
1.742000,-0.022984281,0.292780012,1.020630836
1.762000,-0.023114016,0.296865731,1.023108006
1.782000,-0.023356233,0.301355124,1.025042176
1.802000,-0.023549179,0.306282490,1.026230693
1.822000,-0.023684053,0.311665356,1.026616573
1.842000,-0.023808004,0.317543119,1.026227713
1.862000,-0.023904053,0.323965669,1.025183201
1.882000,-0.023946714,0.330984592,1.023511410
1.902000,-0.023903746,0.338627636,1.020871162
1.922000,-0.023951657,0.346726328,1.017570257
1.942000,-0.024308017,0.354190081,1.016790390
1.962000,-0.024525605,0.360642046,1.018165827
1.982000,-0.024386168,0.366552055,1.020208478
2.002000,-0.023934525,0.371982425,1.022300124
2.022000,-0.023228781,0.376916558,1.024125457
2.042000,-0.022362262,0.381359726,1.025417328
2.062000,-0.021435432,0.385328561,1.026009440
2.082000,-0.020501234,0.388854980,1.025884986
2.102000,-0.019608367,0.391983539,1.025060177
2.122000,-0.018788783,0.394743830,1.023538947
2.142000,-0.018036675,0.397093862,1.021142840
2.162000,-0.017462846,0.399093300,1.018071890
2.182000,-0.017392615,0.402173698,1.018735409
2.202000,-0.017469073,0.405946195,1.021254182
2.222000,-0.017698184,0.410116017,1.023708463
2.242000,-0.018062117,0.414722741,1.025499940
2.262000,-0.018382568,0.419779897,1.026498079
2.282000,-0.018655498,0.425307095,1.026676297
2.302000,-0.018909374,0.431349844,1.026113510
2.322000,-0.019117078,0.437954009,1.024920344
