time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003742447,0.000004518,1.032241464
0.042000,-0.003277842,0.000027109,1.026531696
0.062000,-0.003168090,0.000004078,1.021018744
0.082000,-0.002890270,-0.000166586,1.021030068
0.102000,-0.001592366,-0.000507894,1.022356629
0.122000,0.000394443,-0.001057699,1.023298860
0.142000,0.002628067,-0.001860421,1.023761392
0.162000,0.004877524,-0.002938213,1.023938060
0.182000,0.006976004,-0.004314184,1.023915648
0.202000,0.008858273,-0.006006640,1.023772359
0.222000,0.010498755,-0.008013403,1.023583055
0.242000,0.011869268,-0.010311102,1.023387313
0.262000,0.012949019,-0.012862336,1.023203492
0.282000,0.013736464,-0.015581013,1.023092508
0.302000,0.014217634,-0.018422371,1.023027778
0.322000,0.014358039,-0.021376207,1.022957802
0.342000,0.014158736,-0.024431944,1.022861362
0.362000,0.013634966,-0.027591562,1.022727489
0.382000,0.012817628,-0.030864680,1.022542000
0.402000,0.011755241,-0.034259092,1.022306800
0.422000,0.010480322,-0.037784722,1.022023082
0.442000,0.009015762,-0.041457679,1.021709204
0.462000,0.007384660,-0.045287341,1.021377087
0.482000,0.005606091,-0.049263798,1.021010637
0.502000,0.003705760,-0.053364627,1.020607114
0.522000,0.001716887,-0.057551723,1.020166397
0.542000,-0.000325510,-0.061764203,1.019683003
0.562000,-0.002393264,-0.065939739,1.019172788
0.582000,-0.004467500,-0.070060790,1.018740177
0.602000,-0.006503941,-0.074050210,1.018386483
0.622000,-0.008435755,-0.077842638,1.018161058
0.642000,-0.010164357,-0.081370905,1.018179417
0.662000,-0.011625296,-0.084615789,1.018419385
0.682000,-0.012847914,-0.087584801,1.018645883
0.702000,-0.013884547,-0.090292759,1.018639445
0.722000,-0.014850112,-0.092737578,1.018346310
0.742000,-0.015750023,-0.094916977,1.017703176
0.762000,-0.016562920,-0.096633509,1.016695142
0.782000,-0.017525319,-0.098375313,1.017245889
0.802000,-0.018511908,-0.100755416,1.019711614
0.822000,-0.019470071,-0.103839740,1.022522569
0.842000,-0.020401234,-0.107390873,1.024866581
0.862000,-0.021240903,-0.111327223,1.026507139
0.882000,-0.022020433,-0.115643822,1.027295589
0.902000,-0.022781270,-0.120354526,1.027251601
0.922000,-0.023519557,-0.125466570,1.026473641
0.942000,-0.024204656,-0.131052434,1.025022268
0.962000,-0.024837812,-0.137187496,1.022815466
0.982000,-0.025441101,-0.143995643,1.019437790
1.002000,-0.026459396,-0.150850549,1.017191410
1.022000,-0.027774060,-0.156797782,1.017619371
1.042000,-0.028872369,-0.161955714,1.019494295
1.062000,-0.029661262,-0.166639045,1.021418452
1.082000,-0.030261775,-0.170834929,1.022905827
1.102000,-0.030674580,-0.174468055,1.023953915
1.122000,-0.030868851,-0.177468538,1.024616361
1.142000,-0.030853700,-0.179830700,1.024877310
1.162000,-0.030667009,-0.181571439,1.024685502
1.182000,-0.030352846,-0.182743371,1.023962379
1.202000,-0.029938031,-0.183391467,1.022562742
1.222000,-0.029443659,-0.183572382,1.020043254
1.242000,-0.029134402,-0.184008986,1.017501593
1.262000,-0.029200871,-0.185807005,1.018721461
1.282000,-0.029215282,-0.188462257,1.021304011
1.302000,-0.029125979,-0.191718906,1.023988128
1.322000,-0.028895866,-0.195526004,1.026240706
1.342000,-0.028591678,-0.199883744,1.027662635
1.362000,-0.028309077,-0.204833075,1.028106570
1.382000,-0.028062675,-0.210419849,1.027660251
1.402000,-0.027837135,-0.216672555,1.026457906
1.422000,-0.027625311,-0.223631814,1.024496555
1.442000,-0.027376734,-0.231365174,1.021312118
1.462000,-0.027425447,-0.239437208,1.018055558
1.482000,-0.027879050,-0.246601537,1.017757535
1.502000,-0.028138457,-0.252977937,1.019118786
1.522000,-0.028084014,-0.258962154,1.020888090
1.542000,-0.027806720,-0.264509559,1.022590399
1.562000,-0.027308725,-0.269558609,1.024066806
1.582000,-0.026636370,-0.274109572,1.025120378
1.602000,-0.025876004,-0.278169751,1.025584698
1.622000,-0.025086472,-0.281760931,1.025408149
1.642000,-0.024301140,-0.284919322,1.024572015
1.662000,-0.023558998,-0.287662983,1.023054123
1.682000,-0.022855826,-0.289940596,1.020602822
1.702000,-0.022359667,-0.292035818,1.017814636
1.722000,-0.022355147,-0.295328617,1.018969059
1.742000,-0.022465630,-0.299214482,1.021521211
1.762000,-0.022693073,-0.303482771,1.023899317
1.782000,-0.022949429,-0.308182240,1.025601983
1.802000,-0.023143370,-0.313321590,1.026533246
1.822000,-0.023316691,-0.318933964,1.026641011
1.842000,-0.023486719,-0.325063616,1.026014805
1.862000,-0.023632770,-0.331762046,1.024759650
1.882000,-0.023742972,-0.339076340,1.022826672
1.902000,-0.023766305,-0.347042114,1.019660950
1.922000,-0.024038050,-0.355130225,1.016903162
1.942000,-0.024519414,-0.362193078,1.017243743
1.962000,-0.024696732,-0.368454665,1.018957376
1.982000,-0.024512805,-0.374232799,1.021009445
2.002000,-0.024016000,-0.379503459,1.022993207
2.022000,-0.023267409,-0.384274840,1.024633646
2.042000,-0.022381142,-0.388548553,1.025680661
2.062000,-0.021450466,-0.392346859,1.026014090
2.082000,-0.020525254,-0.395710737,1.025648713
2.102000,-0.019656830,-0.398678809,1.024588823
2.122000,-0.018865652,-0.401261598,1.022794008
2.142000,-0.018153030,-0.403376430,1.019910812
2.162000,-0.017809834,-0.405635893,1.017799973
2.182000,-0.017906593,-0.409101874,1.019564271
2.202000,-0.018156849,-0.413063914,1.022163868
2.222000,-0.018585073,-0.417405486,1.024445176
