time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003742458,0.000003052,1.032241464
0.042000,-0.003278007,0.000009844,1.026532412
0.062000,-0.003168298,0.000001549,1.021022558
0.082000,-0.002888909,-0.000006154,1.021036148
0.102000,-0.001586541,-0.000018022,1.022370100
0.122000,0.000406965,-0.000037790,1.023330331
0.142000,0.002654444,-0.000069304,1.023832798
0.162000,0.004924755,-0.000112210,1.024056315
0.182000,0.007093706,-0.000160359,1.024110079
0.202000,0.009084497,-0.000207746,1.024067283
0.222000,0.010843375,-0.000251201,1.023980021
0.242000,0.012334554,-0.000289622,1.023881674
0.262000,0.013541578,-0.000324110,1.023791075
0.282000,0.014465281,-0.000356564,1.023719788
0.302000,0.015092258,-0.000388394,1.023664236
0.322000,0.015424416,-0.000420609,1.023622870
0.342000,0.015472074,-0.000453887,1.023589849
0.362000,0.015263161,-0.000488614,1.023564696
0.382000,0.014831007,-0.000524940,1.023554802
0.402000,0.014198951,-0.000562817,1.023557425
0.422000,0.013386264,-0.000602243,1.023569465
0.442000,0.012409387,-0.000643164,1.023588181
0.462000,0.011283346,-0.000685151,1.023611546
0.482000,0.010021808,-0.000727662,1.023635983
0.502000,0.008639296,-0.000770277,1.023657680
0.522000,0.007153690,-0.000812580,1.023674846
0.542000,0.005586014,-0.000854170,1.023687124
0.562000,0.003959656,-0.000894913,1.023694515
0.582000,0.002295875,-0.000934577,1.023697376
0.602000,0.000606899,-0.000972967,1.023697615
0.622000,-0.001093833,-0.001009877,1.023703933
0.642000,-0.002808000,-0.001045108,1.023714662
0.662000,-0.004546449,-0.001078796,1.023719668
0.682000,-0.006308428,-0.001111146,1.023716331
0.702000,-0.008088237,-0.001142325,1.023705363
0.722000,-0.009879520,-0.001172459,1.023687363
0.742000,-0.011675787,-0.001201649,1.023662925
0.762000,-0.013472629,-0.001229980,1.023632288
0.782000,-0.015266657,-0.001257573,1.023595691
0.802000,-0.017052533,-0.001284543,1.023552895
0.822000,-0.018824887,-0.001310897,1.023504376
0.842000,-0.020579532,-0.001336538,1.023450971
0.862000,-0.022312783,-0.001361411,1.023392797
0.882000,-0.024021233,-0.001385446,1.023330331
0.902000,-0.025701875,-0.001408524,1.023264408
0.922000,-0.027351886,-0.001430492,1.023195624
0.942000,-0.028968319,-0.001451205,1.023124814
0.962000,-0.030548075,-0.001470563,1.023052931
0.982000,-0.032086741,-0.001488495,1.022981167
1.002000,-0.033576299,-0.001504967,1.022911787
1.022000,-0.035011694,-0.001519985,1.022843957
1.042000,-0.036386989,-0.001534615,1.022778392
1.062000,-0.037694596,-0.001550793,1.022716641
1.082000,-0.038927238,-0.001568829,1.022659898
1.102000,-0.040079210,-0.001587309,1.022607684
1.122000,-0.041146353,-0.001605317,1.022559047
1.142000,-0.042125069,-0.001622709,1.022513866
1.162000,-0.043012690,-0.001639540,1.022472143
1.182000,-0.043808211,-0.001653399,1.022431493
1.202000,-0.044512548,-0.001660899,1.022392273
1.222000,-0.045127392,-0.001664751,1.022358060
1.242000,-0.045654874,-0.001664779,1.022328377
1.262000,-0.046097588,-0.001660775,1.022302628
1.282000,-0.046458144,-0.001653191,1.022281170
1.302000,-0.046739299,-0.001642173,1.022263885
1.322000,-0.046944242,-0.001628344,1.022250772
1.342000,-0.047076255,-0.001612058,1.022241354
1.362000,-0.047139715,-0.001594589,1.022235632
1.382000,-0.047139525,-0.001576116,1.022232294
1.402000,-0.047079988,-0.001557606,1.022231340
1.422000,-0.046964981,-0.001538939,1.022232056
1.442000,-0.046798225,-0.001520549,1.022234678
1.462000,-0.046583451,-0.001503165,1.022239566
1.482000,-0.046324488,-0.001487072,1.022247076
1.502000,-0.046025347,-0.001471958,1.022257328
1.522000,-0.045690171,-0.001457706,1.022269964
1.542000,-0.045322951,-0.001444819,1.022285223
1.562000,-0.044927001,-0.001434685,1.022303462
1.582000,-0.044506364,-0.001428456,1.022323966
1.602000,-0.044065312,-0.001426714,1.022346258
1.622000,-0.043607127,-0.001429410,1.022369981
1.642000,-0.043136049,-0.001435981,1.022394419
1.662000,-0.042656861,-0.001445483,1.022419095
1.682000,-0.042173438,-0.001456753,1.022443533
1.702000,-0.041688215,-0.001468593,1.022467494
1.722000,-0.041202836,-0.001479914,1.022490978
1.742000,-0.040718812,-0.001489851,1.022513866
1.762000,-0.040237881,-0.001497834,1.022536397
1.782000,-0.039761968,-0.001503616,1.022558331
1.802000,-0.039293110,-0.001507267,1.022579670
1.822000,-0.038833324,-0.001509138,1.022600532
1.842000,-0.038384505,-0.001509799,1.022620678
1.862000,-0.037948325,-0.001509960,1.022640228
1.882000,-0.037526235,-0.001510380,1.022659063
1.902000,-0.037119698,-0.001511781,1.022677302
1.922000,-0.036730349,-0.001514784,1.022695065
1.942000,-0.036359757,-0.001519847,1.022712231
1.962000,-0.036009248,-0.001527240,1.022728682
1.982000,-0.035679892,-0.001537034,1.022744536
2.002000,-0.035372484,-0.001549110,1.022759438
2.022000,-0.035087552,-0.001563195,1.022773504
2.042000,-0.034825407,-0.001578896,1.022786617
2.062000,-0.034586187,-0.001595752,1.022798777
2.082000,-0.034370005,-0.001613275,1.022809863
2.102000,-0.034176756,-0.001631003,1.022819877
2.122000,-0.034006160,-0.001648542,1.022828937
2.142000,-0.033858016,-0.001665602,1.022836804
2.162000,-0.033732031,-0.001682006,1.022843242
2.182000,-0.033627529,-0.001697672,1.022848487
2.202000,-0.033543300,-0.001712600,1.022852659
2.222000,-0.033478118,-0.001726853,1.022855878
