time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003742481,0.000002767,1.032241464
0.042000,-0.003278369,0.000008336,1.026532412
0.062000,-0.003170414,0.000017833,1.021038532
0.082000,-0.002889918,0.000039440,1.021049857
0.102000,-0.001586442,0.000069352,1.022378206
0.122000,0.000363461,0.000114934,1.023311138
0.142000,0.002514629,0.000182214,1.023782969
0.162000,0.004643420,0.000271865,1.023983479
0.182000,0.006625050,0.000381391,1.024021029
0.202000,0.008380854,0.000511692,1.023965836
0.222000,0.009854018,0.000658903,1.023869395
0.242000,0.011007245,0.000815119,1.023765445
0.262000,0.011824138,0.000971222,1.023674607
0.282000,0.012298204,0.001122350,1.023606777
0.302000,0.012413765,0.001263669,1.023555040
0.322000,0.012177387,0.001392933,1.023517251
0.342000,0.011598878,0.001509783,1.023490071
0.362000,0.010699740,0.001611156,1.023464799
0.382000,0.009524658,0.001693305,1.023447633
0.402000,0.008109046,0.001753790,1.023439765
0.422000,0.006473876,0.001791246,1.023435950
0.442000,0.004636158,0.001805032,1.023430586
0.462000,0.002616064,0.001794832,1.023419857
0.482000,0.000439477,0.001760524,1.023402572
0.502000,-0.001866004,0.001702493,1.023378134
0.522000,-0.004277283,0.001621903,1.023347259
0.542000,-0.006772230,0.001521020,1.023317456
0.562000,-0.009328024,0.001395953,1.023293257
0.582000,-0.011926882,0.001242398,1.023275495
0.602000,-0.014556504,0.001046917,1.023265123
0.622000,-0.017208237,0.000778833,1.023261547
0.642000,-0.019875456,0.000386014,1.023248434
0.662000,-0.022548072,-0.000220027,1.023177147
0.682000,-0.025203155,-0.001182624,1.022952914
0.702000,-0.027810808,-0.002629556,1.022578835
0.722000,-0.030281330,-0.004710303,1.022015333
0.742000,-0.032517891,-0.007454675,1.021347284
0.762000,-0.034515206,-0.010848524,1.020540714
0.782000,-0.036267567,-0.014843215,1.019462943
0.802000,-0.037726168,-0.019402878,1.017879844
0.822000,-0.039039142,-0.024183674,1.016180038
0.842000,-0.040187165,-0.028606229,1.015389562
0.862000,-0.041221693,-0.032169323,1.015938520
0.882000,-0.042224731,-0.034617834,1.018068910
0.902000,-0.042971712,-0.036224931,1.020992637
0.922000,-0.043409638,-0.037172567,1.024045229
0.942000,-0.043664161,-0.037546095,1.026563287
0.962000,-0.043892864,-0.037362318,1.028184891
0.982000,-0.044193603,-0.036620021,1.028896213
1.002000,-0.044605453,-0.035336215,1.028786778
1.022000,-0.045148756,-0.033505503,1.028002620
1.042000,-0.045851681,-0.031125251,1.026646614
1.062000,-0.046710692,-0.028154261,1.024642944
1.082000,-0.047778215,-0.024572836,1.021627665
1.102000,-0.049299061,-0.021431684,1.020016909
1.122000,-0.051022522,-0.019245543,1.021057248
1.142000,-0.052686952,-0.017507389,1.022713780
1.162000,-0.054308411,-0.016203025,1.024149537
1.182000,-0.055906501,-0.015436635,1.025213242
1.202000,-0.057375833,-0.015285843,1.025887966
1.222000,-0.058616515,-0.015762836,1.026200175
1.242000,-0.059590761,-0.016861865,1.026162386
1.262000,-0.060281496,-0.018572928,1.025790930
1.282000,-0.060665701,-0.020864267,1.025110483
1.302000,-0.060735937,-0.023697399,1.024111509
1.322000,-0.060506985,-0.027046328,1.022748351
1.342000,-0.059954423,-0.030883290,1.020911694
1.362000,-0.059033819,-0.035178550,1.018369436
1.382000,-0.058212280,-0.039283354,1.016968131
1.402000,-0.057589706,-0.042664237,1.018165588
1.422000,-0.056762017,-0.045332383,1.020605206
1.442000,-0.055651914,-0.047327753,1.023339152
1.462000,-0.054311819,-0.048669118,1.025856376
1.482000,-0.052893814,-0.049422231,1.027735114
1.502000,-0.051547728,-0.049643677,1.028795123
1.522000,-0.050363470,-0.049355384,1.029075503
1.542000,-0.049397655,-0.048573643,1.028721690
1.562000,-0.048676074,-0.047315598,1.027875304
1.582000,-0.048241142,-0.045602396,1.026615977
1.602000,-0.048142653,-0.043412063,1.024868846
1.622000,-0.048495591,-0.040678080,1.022186875
1.642000,-0.049282420,-0.038155068,1.020483613
1.662000,-0.050156996,-0.036380172,1.021675944
1.682000,-0.051190820,-0.034771793,1.023500562
1.702000,-0.052439511,-0.033350680,1.025204182
1.722000,-0.053812593,-0.032305054,1.026458144
1.742000,-0.055145901,-0.031760383,1.027125239
1.762000,-0.056241807,-0.031743277,1.027222633
1.782000,-0.056992993,-0.032194514,1.026967049
1.802000,-0.057348132,-0.033063658,1.026485085
1.822000,-0.057285298,-0.034305803,1.025828838
1.842000,-0.056809802,-0.035892185,1.024977326
1.862000,-0.055909429,-0.037798010,1.023872375
1.882000,-0.054570854,-0.040019538,1.022406340
1.902000,-0.052762534,-0.042574476,1.020299196
1.922000,-0.050927117,-0.045113970,1.018968225
1.942000,-0.049510341,-0.047139712,1.020222068
1.962000,-0.048224378,-0.048684739,1.022421002
1.982000,-0.047061812,-0.049804080,1.024616003
2.002000,-0.046066318,-0.050479338,1.026357412
2.022000,-0.045233667,-0.050699018,1.027493954
2.042000,-0.044614770,-0.050487012,1.027970672
2.062000,-0.044268344,-0.049873672,1.027819753
2.082000,-0.044223372,-0.048886914,1.027152896
2.102000,-0.044481598,-0.047537349,1.026072025
2.122000,-0.045081053,-0.045840602,1.024586201
2.142000,-0.046110764,-0.043763112,1.022436619
2.162000,-0.047566041,-0.041561045,1.020112991
2.182000,-0.048890557,-0.040027514,1.020648837
2.202000,-0.050100345,-0.038755331,1.022429943
2.222000,-0.051306985,-0.037697744,1.024234653
2.242000,-0.052451853,-0.037003085,1.025662065
