time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003742434,0.000003333,1.032241464
0.042000,-0.003277570,0.000011533,1.026532412
0.062000,-0.003167271,-0.000012003,1.021025419
0.082000,-0.002887060,-0.000060538,1.021039009
0.102000,-0.001584095,-0.000131912,1.022372007
0.122000,0.000365887,-0.000241723,1.023309231
0.142000,0.002515689,-0.000399034,1.023781300
0.162000,0.004642774,-0.000600840,1.023981452
0.182000,0.006624422,-0.000837439,1.024019003
0.202000,0.008382972,-0.001103524,1.023963928
0.222000,0.009862274,-0.001389451,1.023867488
0.242000,0.011025199,-0.001683755,1.023764014
0.262000,0.011854521,-0.001974552,1.023673773
0.282000,0.012342956,-0.002253800,1.023604393
0.302000,0.012479093,-0.002521377,1.023549914
0.322000,0.012264382,-0.002779064,1.023508668
0.342000,0.011711425,-0.003023418,1.023477674
0.362000,0.010842980,-0.003250434,1.023447990
0.382000,0.009704235,-0.003457156,1.023424387
0.402000,0.008333794,-0.003643481,1.023409963
0.422000,0.006755108,-0.003810502,1.023401737
0.442000,0.004986057,-0.003958289,1.023394346
0.462000,0.003044152,-0.004085719,1.023381948
0.482000,0.000949431,-0.004190841,1.023360491
0.502000,-0.001272583,-0.004271595,1.023329735
0.522000,-0.003595561,-0.004326831,1.023294449
0.542000,-0.005996183,-0.004355179,1.023264050
0.562000,-0.008452207,-0.004349034,1.023242712
0.582000,-0.010947550,-0.004296288,1.023229003
0.602000,-0.013474789,-0.004171855,1.023220658
0.622000,-0.016026797,-0.003926506,1.023209929
0.642000,-0.018597128,-0.003483565,1.023159504
0.662000,-0.021165414,-0.002721564,1.022992969
0.682000,-0.023700461,-0.001510660,1.022704959
0.702000,-0.026134076,0.000280362,1.022242665
0.722000,-0.028358046,0.002725983,1.021670580
0.742000,-0.030361606,0.005826653,1.021016479
0.762000,-0.032128055,0.009526229,1.020173311
0.782000,-0.033628643,0.013788996,1.018945217
0.802000,-0.034842402,0.018514469,1.017099738
0.822000,-0.035968024,0.023125704,1.015746117
0.842000,-0.036918681,0.027177917,1.015541673
0.862000,-0.037877370,0.030110780,1.017097592
0.882000,-0.038663886,0.032132156,1.019737959
0.902000,-0.039146654,0.033452604,1.022795916
0.922000,-0.039383460,0.034171287,1.025618792
0.942000,-0.039526761,0.034326576,1.027681589
0.962000,-0.039702665,0.033915088,1.028831363
0.982000,-0.039962269,0.032946277,1.029132724
1.002000,-0.040336207,0.031432535,1.028707266
1.022000,-0.040839903,0.029371927,1.027686119
1.042000,-0.041495644,0.026760431,1.026130080
1.062000,-0.042303231,0.023538053,1.023823261
1.082000,-0.043389287,0.019898776,1.020864487
1.102000,-0.044896789,0.017024800,1.020069599
1.122000,-0.046479803,0.014902255,1.021462321
1.142000,-0.047972001,0.013161469,1.023151278
1.162000,-0.049420983,0.011861823,1.024524212
1.182000,-0.050835472,0.011120310,1.025481462
1.202000,-0.052097380,0.011013606,1.026035786
1.222000,-0.053115986,0.011543784,1.026237011
1.242000,-0.053860638,0.012706987,1.026104331
1.262000,-0.054314565,0.014491385,1.025659919
1.282000,-0.054454897,0.016860288,1.024919391
1.302000,-0.054282796,0.019775636,1.023860812
1.322000,-0.053808864,0.023210742,1.022426724
1.342000,-0.052998841,0.027139496,1.020464182
1.362000,-0.051869828,0.031482257,1.017906189
1.382000,-0.050937496,0.035467230,1.017045021
1.402000,-0.050170034,0.038657099,1.018667102
1.422000,-0.049172040,0.041159265,1.021318436
1.442000,-0.047899008,0.043000605,1.024151564
1.462000,-0.046433825,0.044202950,1.026636124
1.482000,-0.044942591,0.044829536,1.028379560
1.502000,-0.043560784,0.044925772,1.029266834
1.522000,-0.042358570,0.044505686,1.029382944
1.542000,-0.041382473,0.043588027,1.028885365
1.562000,-0.040653691,0.042191982,1.027916670
1.582000,-0.040215708,0.040335711,1.026544333
1.602000,-0.040122081,0.037987620,1.024647117
1.622000,-0.040497165,0.035107426,1.021801472
1.642000,-0.041240059,0.032648124,1.020523667
1.662000,-0.042052548,0.030838104,1.021839499
1.682000,-0.043014888,0.029151915,1.023677588
1.702000,-0.044179831,0.027651021,1.025373101
1.722000,-0.045458306,0.026530499,1.026614070
1.742000,-0.046685796,0.025914969,1.027266741
1.762000,-0.047666702,0.025832862,1.027346134
1.782000,-0.048297785,0.026227864,1.027066231
1.802000,-0.048532322,0.027051676,1.026553035
1.822000,-0.048349932,0.028260030,1.025860071
1.842000,-0.047755592,0.029824222,1.024969101
1.862000,-0.046737537,0.031719156,1.023821235
1.882000,-0.045279644,0.033941522,1.022299767
1.902000,-0.043349024,0.036512699,1.020108581
1.922000,-0.041466776,0.039034732,1.018906355
1.942000,-0.040017694,0.041037962,1.020325899
1.962000,-0.038692396,0.042573571,1.022610068
1.982000,-0.037495960,0.043687332,1.024850249
2.002000,-0.036467835,0.044351622,1.026589394
2.022000,-0.035607368,0.044559382,1.027705550
2.042000,-0.034975108,0.044336908,1.028143644
2.062000,-0.034627192,0.043711569,1.027951717
2.082000,-0.034585275,0.042708721,1.027250886
2.102000,-0.034849055,0.041341681,1.026143789
2.122000,-0.035458811,0.039631046,1.024634957
2.142000,-0.036502734,0.037539657,1.022469640
2.162000,-0.037972290,0.035327598,1.020141602
2.182000,-0.039301530,0.033782590,1.020698071
2.202000,-0.040501926,0.032487448,1.022500753
2.222000,-0.041687895,0.031398326,1.024319410
2.242000,-0.042803615,0.030667407,1.025753856
2.262000,-0.043686595,0.030379403,1.026640773
2.282000,-0.044192635,0.030498087,1.027029037
