time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003758405,0.000003052,1.032252192
0.042000,-0.003321714,0.000009918,1.026614904
0.062000,-0.003221701,0.000000624,1.021260262
0.082000,-0.002919984,-0.000023120,1.020786524
0.102000,-0.001391569,-0.000073580,1.022830009
0.122000,0.001314865,-0.000149019,1.025217652
0.142000,0.004651161,-0.000242541,1.026059866
0.162000,0.008024345,-0.000359219,1.025070667
0.182000,0.011254965,-0.000501963,1.023594022
0.202000,0.014654422,-0.000669699,1.022961020
0.222000,0.018580163,-0.000858773,1.023210168
0.242000,0.023097508,-0.001052967,1.023333311
0.262000,0.027941383,-0.001238254,1.022577405
0.282000,0.032889079,-0.001409513,1.021096110
0.302000,0.037976712,-0.001523476,1.019813776
0.322000,0.043500051,-0.001619040,1.019054413
0.342000,0.049561054,-0.001683528,1.018368721
0.362000,0.056067284,-0.001706901,1.017594457
0.382000,0.062905788,-0.001685871,1.016714096
0.402000,0.069985583,-0.001619366,1.015761375
0.422000,0.077235468,-0.001501176,1.014757991
0.442000,0.084588379,-0.001332800,1.013709664
0.462000,0.091961659,-0.001118191,1.012593031
0.482000,0.099263899,-0.000860208,1.011439562
0.502000,0.106396943,-0.000639677,1.010512948
0.522000,0.113317847,-0.000545514,1.010192156
0.542000,0.120035917,-0.000579493,1.010795951
0.562000,0.126735300,-0.000498002,1.012081504
0.582000,0.133806273,0.000119855,1.012888432
0.602000,0.141356647,0.001348807,1.012542367
0.622000,0.149317682,0.003106645,1.010993838
0.642000,0.157597840,0.005433263,1.008277655
0.662000,0.166100144,0.008478815,1.004359484
0.682000,0.174462989,0.011686212,1.001483440
0.702000,0.182508290,0.013938158,1.003949881
0.722000,0.190407991,0.015797563,1.009754539
0.742000,0.198336244,0.017347453,1.016081691
0.762000,0.206251293,0.018480908,1.021156549
0.782000,0.214111894,0.019244792,1.024638295
0.802000,0.221917897,0.019658148,1.026596665
0.822000,0.229705125,0.019859109,1.027091265
0.842000,0.237467811,0.019875411,1.026585698
0.862000,0.245405957,0.019643901,1.025440097
0.882000,0.253681153,0.019142168,1.023803711
0.902000,0.262378693,0.018347213,1.021786809
0.922000,0.271543652,0.017222041,1.019455314
0.942000,0.281191051,0.015722532,1.016803026
0.962000,0.291304111,0.013790937,1.013722062
0.982000,0.301816344,0.011344625,1.009921551
1.002000,0.312436163,0.008733601,1.006413460
1.022000,0.322717458,0.006326750,1.005218625
1.042000,0.332412660,0.003888915,1.007133961
1.062000,0.341771960,0.001220417,1.010865331
1.082000,0.351007670,-0.001399983,1.014665484
1.102000,0.360181808,-0.003749972,1.017484903
1.122000,0.369306415,-0.005814729,1.019393802
1.142000,0.378460139,-0.007613207,1.020656943
1.162000,0.387738645,-0.009142414,1.021423936
1.182000,0.397230595,-0.010440535,1.021745443
1.202000,0.406982243,-0.011518378,1.021662474
1.222000,0.417019010,-0.012342218,1.021223545
1.242000,0.427366912,-0.012883579,1.020462394
1.262000,0.438051075,-0.013110979,1.019390106
1.282000,0.449089020,-0.012986253,1.017994881
1.302000,0.460497379,-0.012467245,1.016238809
1.322000,0.472286105,-0.011500615,1.014016271
1.342000,0.484416395,-0.009993383,1.011006355
1.362000,0.496625096,-0.008045972,1.007338285
1.382000,0.508282602,-0.006333469,1.006009340
1.402000,0.519342184,-0.004512100,1.007997990
1.422000,0.530122578,-0.002398109,1.011895776
1.442000,0.540805459,-0.000299748,1.015832305
1.462000,0.551421642,0.001517088,1.018636107
1.482000,0.561969042,0.003025729,1.020382881
1.502000,0.572518766,0.004232205,1.021377087
1.522000,0.583156943,0.005124186,1.021816134
1.542000,0.593950927,0.005705759,1.021818280
1.562000,0.604942977,0.005984517,1.021430373
1.582000,0.616153300,0.005956606,1.020669341
1.602000,0.627596378,0.005592776,1.019533992
1.622000,0.639291465,0.004849206,1.018007994
1.642000,0.651253879,0.003674944,1.016013265
1.662000,0.663484752,0.001999962,1.013397574
1.682000,0.675926805,-0.000289130,1.009728909
1.702000,0.688156426,-0.002864705,1.005884767
1.722000,0.699587882,-0.004993742,1.005423903
1.742000,0.710458636,-0.007279167,1.008212209
1.762000,0.721097171,-0.009758554,1.012502789
1.782000,0.731651783,-0.012110752,1.016444087
1.802000,0.742124379,-0.014145388,1.019185305
1.822000,0.752530754,-0.015867008,1.020966172
1.842000,0.762978852,-0.017349899,1.021939754
1.862000,0.773490191,-0.018575413,1.022343159
1.882000,0.784153938,-0.019497909,1.022308111
1.902000,0.795031607,-0.020101229,1.021866798
1.922000,0.806157172,-0.020381140,1.021026015
1.942000,0.817550719,-0.020316314,1.019791007
1.962000,0.829234600,-0.019863890,1.018157482
1.982000,0.841226816,-0.018974084,1.016051888
2.002000,0.853529751,-0.017579287,1.013311267
2.022000,0.866087377,-0.015568427,1.009487271
2.042000,0.878430128,-0.013347133,1.005743861
2.062000,0.889978886,-0.011569303,1.005547643
2.082000,0.901039541,-0.009625770,1.008462191
2.102000,0.911922097,-0.007529947,1.012719035
2.122000,0.922732651,-0.005598037,1.016544819
2.142000,0.933441997,-0.003993871,1.019242764
2.162000,0.944080412,-0.002691199,1.021067739
2.182000,0.954726875,-0.001608095,1.022103667
2.202000,0.965399146,-0.000794068,1.022580624
2.222000,0.976199090,-0.000301078,1.022608638
2.242000,0.987184286,-0.000143338,1.022209167
2.262000,0.998382211,-0.000329056,1.021389723
2.282000,1.009808540,-0.000887951,1.020170689
2.302000,1.021488309,-0.001861745,1.018523812
2.322000,1.033435583,-0.003305633,1.016381979
