time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003756628,0.000001597,1.032252908
0.042000,-0.003297306,-0.000007909,1.026529193
0.062000,-0.003215351,0.000048689,1.020741224
0.082000,-0.003010586,0.000240727,1.020673156
0.102000,-0.001680547,0.000556179,1.022121429
0.122000,0.000429793,0.001069153,1.023171902
0.142000,0.002820387,0.001828182,1.023683786
0.162000,0.005216956,0.002855489,1.023873210
0.182000,0.007446554,0.004171619,1.023850799
0.202000,0.009450573,0.005793787,1.023707271
0.222000,0.011200332,0.007723113,1.023519039
0.242000,0.012674455,0.009941575,1.023324966
0.262000,0.013854467,0.012401477,1.023145199
0.282000,0.014733010,0.015012555,1.023032427
0.302000,0.015295448,0.017758852,1.022968054
0.322000,0.015505005,0.020625914,1.022906303
0.342000,0.015360764,0.023605688,1.022825480
0.362000,0.014873954,0.026697455,1.022709012
0.382000,0.014076430,0.029903797,1.022549510
0.402000,0.013002379,0.033230711,1.022341967
0.422000,0.011681716,0.036688078,1.022085190
0.442000,0.010144633,0.040290285,1.021792054
0.462000,0.008421899,0.044049110,1.021482229
0.482000,0.006540644,0.047953933,1.021139503
0.502000,0.004534540,0.051982358,1.020761251
0.522000,0.002441522,0.056093864,1.020347953
0.542000,0.000298333,0.060231328,1.019894242
0.562000,-0.001862550,0.064335629,1.019407749
0.582000,-0.004021188,0.068383880,1.018991709
0.602000,-0.006134103,0.072301544,1.018652558
0.622000,-0.008140250,0.076013327,1.018411398
0.642000,-0.009951729,0.079468265,1.018404365
0.662000,-0.011480152,0.082629472,1.018613219
0.682000,-0.012729293,0.085505590,1.018814802
0.702000,-0.013749169,0.088111803,1.018788457
0.722000,-0.014646192,0.090440474,1.018463612
0.742000,-0.015448228,0.092490315,1.017788649
0.762000,-0.016136514,0.094075486,1.016701937
0.782000,-0.016995210,0.095633455,1.017031789
0.802000,-0.017911987,0.097901367,1.019543886
0.822000,-0.018773278,0.100871742,1.022445202
0.842000,-0.019584879,0.104301006,1.024804473
0.862000,-0.020301372,0.108123004,1.026416421
0.882000,-0.020978587,0.112332150,1.027172089
0.902000,-0.021673674,0.116937049,1.027090788
0.922000,-0.022380417,0.121951871,1.026280165
0.942000,-0.023068262,0.127444610,1.024805188
0.962000,-0.023721693,0.133489713,1.022559166
0.982000,-0.024389977,0.140224740,1.019320369
1.002000,-0.025492504,0.146970809,1.017317176
1.022000,-0.026863897,0.152812898,1.017947674
1.042000,-0.027979301,0.157957628,1.019807220
1.062000,-0.028811490,0.162657380,1.021636248
1.082000,-0.029498369,0.166886374,1.023001432
1.102000,-0.030037647,0.170562178,1.023931503
1.122000,-0.030375371,0.173611313,1.024486303
1.142000,-0.030502550,0.176030517,1.024652600
1.162000,-0.030450590,0.177837387,1.024381638
1.182000,-0.030252492,0.179082796,1.023590326
1.202000,-0.029933659,0.179817006,1.022122145
1.222000,-0.029501168,0.180100024,1.019479752
1.242000,-0.029311223,0.180757150,1.017500401
1.262000,-0.029411754,0.182721287,1.019034982
1.282000,-0.029401176,0.185477823,1.021633387
1.302000,-0.029252486,0.188830972,1.024201870
1.322000,-0.028947799,0.192739993,1.026290059
1.342000,-0.028578645,0.197207808,1.027538896
1.362000,-0.028250359,0.202268496,1.027833104
1.382000,-0.027978951,0.207959428,1.027259111
1.402000,-0.027744377,0.214320183,1.025926232
1.422000,-0.027535815,0.221381977,1.023781538
1.442000,-0.027317980,0.229222000,1.020323157
1.462000,-0.027523903,0.237133861,1.017591834
1.482000,-0.028051233,0.244013846,1.018026710
1.502000,-0.028289489,0.250271827,1.019616961
1.522000,-0.028245406,0.256157100,1.021394014
1.542000,-0.028005956,0.261594266,1.023049116
1.562000,-0.027581323,0.266531825,1.024428248
1.582000,-0.027024293,0.270969510,1.025333643
1.602000,-0.026404070,0.274919838,1.025627375
1.622000,-0.025767842,0.278412640,1.025280714
1.642000,-0.025141889,0.281485707,1.024270773
1.662000,-0.024544472,0.284143180,1.022553325
1.682000,-0.023960760,0.286299318,1.019718528
1.702000,-0.023743477,0.288759559,1.018021464
1.722000,-0.023856653,0.292301804,1.019900680
1.742000,-0.024016207,0.296310484,1.022392154
1.762000,-0.024265436,0.300713807,1.024515748
1.782000,-0.024476813,0.305568039,1.025933981
1.802000,-0.024626989,0.310881078,1.026578546
1.822000,-0.024779133,0.316684783,1.026424646
1.842000,-0.024932433,0.323024184,1.025581002
1.862000,-0.025055839,0.329944879,1.024101019
1.882000,-0.025124414,0.337470710,1.021787643
1.902000,-0.025181456,0.345582187,1.018293262
1.922000,-0.025602166,0.353440821,1.016507387
1.942000,-0.026049474,0.360172808,1.017618179
1.962000,-0.026082056,0.366272330,1.019652247
1.982000,-0.025764985,0.371904612,1.021775484
2.002000,-0.025161687,0.377035379,1.023720860
2.022000,-0.024353884,0.381668448,1.025223732
2.042000,-0.023460554,0.385809660,1.026063919
2.062000,-0.022555050,0.389489412,1.026171207
2.082000,-0.021685347,0.392754257,1.025578499
2.102000,-0.020876518,0.395642608,1.024289966
2.122000,-0.020132219,0.398152828,1.022214770
2.142000,-0.019468771,0.400197148,1.018921971
2.162000,-0.019320281,0.402908444,1.018136740
2.182000,-0.019423254,0.406623542,1.020386219
2.202000,-0.019628486,0.410789669,1.022878051
2.222000,-0.019979186,0.415373445,1.024880409
2.242000,-0.020312140,0.420423448,1.026123881
2.262000,-0.020598212,0.425949156,1.026554227
2.282000,-0.020883394,0.431990892,1.026194930
2.302000,-0.021150131,0.438590199,1.025166273
2.322000,-0.021358272,0.445783824,1.023504615
