time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003756598,0.000004651,1.032252908
0.042000,-0.003297003,0.000028397,1.026528716
0.062000,-0.003222428,0.000005626,1.020872235
0.082000,-0.003008675,-0.000166350,1.020875812
0.102000,-0.001708431,-0.000505155,1.022256255
0.122000,0.000323033,-0.001051330,1.023238659
0.142000,0.002618661,-0.001852172,1.023719430
0.162000,0.004922205,-0.002929385,1.023900509
0.182000,0.007059507,-0.004306595,1.023872375
0.202000,0.008973949,-0.006002800,1.023720503
0.222000,0.010641055,-0.008017731,1.023522019
0.242000,0.012040019,-0.010327445,1.023317814
0.262000,0.013148983,-0.012859647,1.023134470
0.282000,0.013964717,-0.015530441,1.023034334
0.302000,0.014465671,-0.018330524,1.022983432
0.322000,0.014623743,-0.021246532,1.022923589
0.342000,0.014441421,-0.024274889,1.022832990
0.362000,0.013929748,-0.027421199,1.022700429
0.382000,0.013119417,-0.030689556,1.022511363
0.402000,0.012050071,-0.034088582,1.022264957
0.422000,0.010751751,-0.037632696,1.021966577
0.442000,0.009251205,-0.041341428,1.021635771
0.462000,0.007572809,-0.045229658,1.021293044
0.482000,0.005743917,-0.049283385,1.020917535
0.502000,0.003799217,-0.053476706,1.020507336
0.522000,0.001773175,-0.057763066,1.020061016
0.542000,-0.000300228,-0.062080454,1.019573212
0.562000,-0.002392540,-0.066364437,1.019055724
0.582000,-0.004484707,-0.070590593,1.018625855
0.602000,-0.006529768,-0.074679859,1.018287182
0.622000,-0.008458866,-0.078565560,1.018092155
0.642000,-0.010171913,-0.082193173,1.018171906
0.662000,-0.011608666,-0.085536733,1.018476248
0.682000,-0.012801522,-0.088604853,1.018748760
0.702000,-0.013810614,-0.091408946,1.018769622
0.722000,-0.014751460,-0.093941554,1.018496037
0.742000,-0.015614609,-0.096202753,1.017845154
0.762000,-0.016392313,-0.097957075,1.016842842
0.782000,-0.017342793,-0.099773742,1.017415166
0.802000,-0.018334188,-0.102332912,1.019889474
0.822000,-0.019303486,-0.105594106,1.022634506
0.842000,-0.020248441,-0.109326988,1.024915695
0.862000,-0.021097710,-0.113445774,1.026495576
0.882000,-0.021899903,-0.117938198,1.027208090
0.902000,-0.022695603,-0.122809365,1.027059197
0.922000,-0.023474539,-0.128079519,1.026147485
0.942000,-0.024207527,-0.133827224,1.024537325
0.962000,-0.024871487,-0.140126526,1.022097588
0.982000,-0.025563888,-0.147047624,1.018697262
1.002000,-0.026681710,-0.153856009,1.016909003
1.022000,-0.027977360,-0.159671664,1.017831564
1.042000,-0.028964998,-0.164769068,1.019829273
1.062000,-0.029658357,-0.169369668,1.021764517
1.082000,-0.030167742,-0.173435241,1.023245573
1.102000,-0.030465586,-0.176918000,1.024315357
1.122000,-0.030547114,-0.179772556,1.024968028
1.142000,-0.030443711,-0.181996316,1.025159240
1.162000,-0.030194543,-0.183620378,1.024847507
1.182000,-0.029827589,-0.184698477,1.023946166
1.202000,-0.029380644,-0.185281187,1.022269607
1.222000,-0.028854279,-0.185443759,1.019251943
1.242000,-0.028690143,-0.186314568,1.017789841
1.262000,-0.028763067,-0.188466176,1.019571781
1.282000,-0.028753188,-0.191353217,1.022173762
1.302000,-0.028635211,-0.194827780,1.024653554
1.322000,-0.028388204,-0.198858887,1.026572227
1.342000,-0.028095806,-0.203459054,1.027612090
1.362000,-0.027838234,-0.208664834,1.027711749
1.382000,-0.027613675,-0.214512542,1.026973963
1.402000,-0.027398190,-0.221045882,1.025504947
1.422000,-0.027178330,-0.228284761,1.023196459
1.442000,-0.026946569,-0.236268431,1.019520760
1.462000,-0.027191032,-0.244130477,1.017100573
1.482000,-0.027660841,-0.250878453,1.017843723
1.502000,-0.027781518,-0.257021815,1.019596815
1.522000,-0.027602827,-0.262766898,1.021480799
1.542000,-0.027193734,-0.268027306,1.023221850
1.562000,-0.026575275,-0.272793442,1.024645925
1.582000,-0.025834417,-0.277063102,1.025527596
1.602000,-0.025049366,-0.280850649,1.025754571
1.622000,-0.024267424,-0.284191430,1.025317430
1.642000,-0.023517689,-0.287113935,1.024187922
1.662000,-0.022811197,-0.289613932,1.022303939
1.682000,-0.022146171,-0.291619003,1.019238234
1.702000,-0.021911580,-0.294142365,1.018155098
1.722000,-0.021922817,-0.297699749,1.020269156
1.742000,-0.021973981,-0.301724643,1.022776604
1.762000,-0.022110680,-0.306144118,1.024879694
1.782000,-0.022196049,-0.310999304,1.026275039
1.802000,-0.022228587,-0.316305399,1.026863217
1.822000,-0.022266462,-0.322099924,1.026637793
1.842000,-0.022295812,-0.328428984,1.025722265
1.862000,-0.022284530,-0.335337639,1.024169087
1.882000,-0.022208178,-0.342853993,1.021742463
1.902000,-0.022154182,-0.350920916,1.018258214
1.922000,-0.022467226,-0.358601809,1.016786098
1.942000,-0.022746315,-0.365189314,1.017992973
1.962000,-0.022633946,-0.371193051,1.019994974
1.982000,-0.022224363,-0.376739860,1.022035122
2.002000,-0.021566492,-0.381780088,1.023870111
2.022000,-0.020721329,-0.386321783,1.025268555
2.042000,-0.019798718,-0.390375167,1.026023149
2.062000,-0.018870151,-0.393971562,1.026066542
2.082000,-0.017980974,-0.397155464,1.025429487
2.102000,-0.017152252,-0.399962485,1.024107456
2.122000,-0.016385185,-0.402387589,1.021991968
2.142000,-0.015714912,-0.404379666,1.018720031
2.162000,-0.015547690,-0.407082647,1.018097997
2.182000,-0.015598643,-0.410770386,1.020363688
2.202000,-0.015736291,-0.414920330,1.022863507
2.222000,-0.016004192,-0.419490069,1.024878860
