time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003756613,0.000003007,1.032252908
0.042000,-0.003297140,0.000010645,1.026529193
0.062000,-0.003223943,0.000007347,1.020893574
0.082000,-0.003006969,-0.000010308,1.020898938
0.102000,-0.001699994,-0.000040659,1.022279263
0.122000,0.000339489,-0.000080610,1.023273468
0.142000,0.002649029,-0.000130362,1.023794532
0.162000,0.004972819,-0.000188384,1.024028063
0.182000,0.007180911,-0.000247977,1.024084210
0.202000,0.009200500,-0.000303425,1.024039268
0.222000,0.010977834,-0.000352735,1.023948550
0.242000,0.012485662,-0.000396065,1.023846626
0.262000,0.013713871,-0.000434622,1.023752570
0.282000,0.014660575,-0.000470431,1.023676991
0.302000,0.015306951,-0.000505086,1.023618698
0.322000,0.015652200,-0.000539794,1.023575902
0.342000,0.015705736,-0.000575490,1.023544431
0.362000,0.015495623,-0.000612737,1.023522615
0.382000,0.015054998,-0.000651663,1.023515463
0.402000,0.014403529,-0.000692239,1.023520708
0.422000,0.013558932,-0.000734504,1.023535252
0.442000,0.012539784,-0.000778176,1.023556828
0.462000,0.011364939,-0.000822681,1.023583293
0.482000,0.010051975,-0.000867439,1.023610830
0.502000,0.008618127,-0.000911874,1.023635387
0.522000,0.007083555,-0.000955479,1.023654938
0.542000,0.005470851,-0.000998034,1.023669958
0.562000,0.003809268,-0.001039263,1.023684025
0.582000,0.002120347,-0.001079026,1.023697019
0.602000,0.000407971,-0.001117184,1.023705959
0.622000,-0.001315673,-0.001153714,1.023714185
0.642000,-0.003042690,-0.001188639,1.023725152
0.662000,-0.004782268,-0.001222115,1.023730278
0.682000,-0.006535034,-0.001254294,1.023726344
0.702000,-0.008298246,-0.001285304,1.023714304
0.722000,-0.010070350,-0.001315303,1.023694634
0.742000,-0.011846866,-0.001344453,1.023667455
0.762000,-0.013622145,-0.001372900,1.023633480
0.782000,-0.015390815,-0.001400792,1.023592591
0.802000,-0.017148832,-0.001428209,1.023545265
0.822000,-0.018893683,-0.001455106,1.023491502
0.842000,-0.020624215,-0.001481435,1.023432374
0.862000,-0.022340124,-0.001506943,1.023368239
0.882000,-0.024039885,-0.001531342,1.023299336
0.902000,-0.025721394,-0.001554410,1.023226619
0.922000,-0.027382316,-0.001575931,1.023151159
0.942000,-0.029019790,-0.001595746,1.023073792
0.962000,-0.030630421,-0.001613794,1.022995830
0.982000,-0.032206662,-0.001630108,1.022920609
1.002000,-0.033741049,-0.001644719,1.022848368
1.022000,-0.035229027,-0.001658461,1.022778034
1.042000,-0.036662716,-0.001673591,1.022710919
1.062000,-0.038032282,-0.001690278,1.022648931
1.082000,-0.039329540,-0.001707412,1.022591710
1.102000,-0.040547781,-0.001724739,1.022537947
1.122000,-0.041680846,-0.001742026,1.022487283
1.142000,-0.042723350,-0.001757609,1.022437692
1.162000,-0.043671742,-0.001767078,1.022387505
1.182000,-0.044523783,-0.001771722,1.022342324
1.202000,-0.045277711,-0.001770985,1.022302151
1.222000,-0.045932986,-0.001765432,1.022265792
1.242000,-0.046490401,-0.001753471,1.022235036
1.262000,-0.046951625,-0.001735073,1.022209525
1.282000,-0.047319669,-0.001710567,1.022189021
1.302000,-0.047600426,-0.001680430,1.022174001
1.322000,-0.047800526,-0.001646545,1.022163510
1.342000,-0.047926407,-0.001610172,1.022156000
1.362000,-0.047983970,-0.001572507,1.022150874
1.382000,-0.047977682,-0.001535244,1.022148728
1.402000,-0.047911644,-0.001499511,1.022149444
1.422000,-0.047789812,-0.001466356,1.022152662
1.442000,-0.047615658,-0.001436653,1.022157788
1.462000,-0.047392484,-0.001410703,1.022164106
1.482000,-0.047122728,-0.001389433,1.022172213
1.502000,-0.046809159,-0.001374135,1.022182822
1.522000,-0.046455670,-0.001365048,1.022196770
1.542000,-0.046066489,-0.001361955,1.022214055
1.562000,-0.045645699,-0.001364445,1.022233486
1.582000,-0.045197137,-0.001371976,1.022254944
1.602000,-0.044724651,-0.001384291,1.022278428
1.622000,-0.044232968,-0.001400320,1.022303462
1.642000,-0.043726571,-0.001418221,1.022329330
1.662000,-0.043208797,-0.001435873,1.022355556
1.682000,-0.042682201,-0.001451394,1.022382021
1.702000,-0.042148959,-0.001463300,1.022408366
1.722000,-0.041611385,-0.001470549,1.022434831
1.742000,-0.041072346,-0.001472630,1.022461057
1.762000,-0.040534947,-0.001469676,1.022487164
1.782000,-0.040002264,-0.001462448,1.022513032
1.802000,-0.039477300,-0.001452194,1.022538543
1.822000,-0.038962930,-0.001440470,1.022563577
1.842000,-0.038461819,-0.001428957,1.022588134
1.862000,-0.037976321,-0.001419268,1.022612095
1.882000,-0.037508447,-0.001412792,1.022635341
1.902000,-0.037059877,-0.001410578,1.022657752
1.922000,-0.036631972,-0.001413273,1.022679329
1.942000,-0.036225796,-0.001421062,1.022700071
1.962000,-0.035842143,-0.001433644,1.022719741
1.982000,-0.035481572,-0.001450325,1.022738576
2.002000,-0.035144452,-0.001470138,1.022756338
2.022000,-0.034830958,-0.001491988,1.022773027
2.042000,-0.034541111,-0.001514761,1.022788644
2.062000,-0.034274779,-0.001537436,1.022803187
2.082000,-0.034031734,-0.001559164,1.022816539
2.102000,-0.033811681,-0.001579329,1.022828817
2.122000,-0.033614516,-0.001597561,1.022839785
2.142000,-0.033440225,-0.001613765,1.022849083
2.162000,-0.033288423,-0.001628102,1.022856951
2.182000,-0.033158429,-0.001640914,1.022863269
2.202000,-0.033049427,-0.001652661,1.022868395
2.222000,-0.032960624,-0.001663842,1.022872329
