time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003756637,0.000002725,1.032252908
0.042000,-0.003297531,0.000008046,1.026529312
0.062000,-0.003224906,0.000017715,1.020893693
0.082000,-0.003009183,0.000039556,1.020898938
0.102000,-0.001704713,0.000068803,1.022278786
0.122000,0.000287535,0.000113072,1.023248911
0.142000,0.002497115,0.000179676,1.023742318
0.162000,0.004675889,0.000271156,1.023954988
0.182000,0.006693043,0.000385659,1.023995519
0.202000,0.008474453,0.000525978,1.023938060
0.222000,0.009964575,0.000686606,1.023837805
0.242000,0.011132744,0.000859068,1.023730159
0.262000,0.011967910,0.001035687,1.023635387
0.282000,0.012460811,0.001210886,1.023562074
0.302000,0.012593208,0.001379542,1.023506403
0.322000,0.012366203,0.001539952,1.023466349
0.342000,0.011790301,0.001687611,1.023438573
0.362000,0.010889586,0.001815735,1.023414850
0.382000,0.009704988,0.001921891,1.023399949
0.402000,0.008266266,0.002004829,1.023392797
0.422000,0.006595009,0.002063733,1.023389697
0.442000,0.004712204,0.002097790,1.023385048
0.462000,0.002643385,0.002106225,1.023374557
0.482000,0.000420408,0.002089177,1.023358226
0.502000,-0.001929768,0.002046684,1.023333311
0.522000,-0.004383255,0.001981610,1.023306727
0.542000,-0.006915281,0.001894544,1.023284316
0.562000,-0.009500674,0.001779920,1.023267150
0.582000,-0.012121791,0.001628645,1.023254395
0.602000,-0.014764152,0.001422042,1.023242712
0.622000,-0.017412908,0.001118577,1.023232579
0.642000,-0.020059945,0.000649193,1.023194551
0.662000,-0.022691472,-0.000105155,1.023051143
0.682000,-0.025282394,-0.001293312,1.022753477
0.702000,-0.027775681,-0.003060744,1.022272468
0.722000,-0.030062452,-0.005491987,1.021657825
0.742000,-0.032113668,-0.008582380,1.020937800
0.762000,-0.033919625,-0.012281641,1.020006537
0.782000,-0.035452880,-0.016547715,1.018663049
0.802000,-0.036731228,-0.021236969,1.016818166
0.822000,-0.037917323,-0.025778173,1.015590072
0.842000,-0.038914714,-0.029721975,1.015430450
0.862000,-0.039905861,-0.032532100,1.017048478
0.882000,-0.040721942,-0.034385812,1.019763350
0.902000,-0.041233715,-0.035520598,1.022869110
0.922000,-0.041512385,-0.036055647,1.025680423
0.942000,-0.041723333,-0.036037236,1.027686357
0.962000,-0.041991848,-0.035464637,1.028767586
0.982000,-0.042371821,-0.034353193,1.028971076
1.002000,-0.042895302,-0.032705083,1.028432369
1.022000,-0.043584943,-0.030518113,1.027283549
1.042000,-0.044444978,-0.027772702,1.025546432
1.062000,-0.045478515,-0.024388988,1.022857189
1.082000,-0.046907127,-0.020881556,1.020131826
1.102000,-0.048730515,-0.018393774,1.020325065
1.122000,-0.050523408,-0.016456706,1.021934986
1.142000,-0.052220974,-0.014909432,1.023528457
1.162000,-0.053905230,-0.013843747,1.024784088
1.182000,-0.055536915,-0.013387805,1.025596499
1.202000,-0.056979794,-0.013575006,1.026019454
1.222000,-0.058167052,-0.014387396,1.026097178
1.242000,-0.059077073,-0.015816139,1.025837898
1.262000,-0.059687752,-0.017837459,1.025269270
1.282000,-0.059980750,-0.020409754,1.024395227
1.302000,-0.059956010,-0.023496827,1.023176432
1.322000,-0.059605725,-0.027070969,1.021540761
1.342000,-0.058876727,-0.031124320,1.019255996
1.362000,-0.058025289,-0.035366628,1.017124891
1.382000,-0.057384942,-0.039035901,1.017429948
1.402000,-0.056626152,-0.041921552,1.019546747
1.422000,-0.055566218,-0.044132579,1.022246361
1.442000,-0.054240212,-0.045676887,1.024923205
1.462000,-0.052766390,-0.046607722,1.027109861
1.482000,-0.051310886,-0.046993915,1.028508306
1.502000,-0.049989801,-0.046865512,1.029082060
1.522000,-0.048870493,-0.046236616,1.028953075
1.542000,-0.047992203,-0.045125104,1.028278708
1.562000,-0.047388446,-0.043559689,1.027171612
1.582000,-0.047097888,-0.041538101,1.025642753
1.602000,-0.047204755,-0.039007016,1.023430467
1.622000,-0.047829084,-0.036151771,1.020684838
1.642000,-0.048656359,-0.034175564,1.020971656
1.662000,-0.049617838,-0.032528840,1.022651076
1.682000,-0.050802696,-0.031016685,1.024456620
1.702000,-0.052193228,-0.029796887,1.025950313
1.722000,-0.053648636,-0.029039253,1.026897192
1.742000,-0.054980639,-0.028825128,1.027213931
1.762000,-0.056017958,-0.029126344,1.027068138
1.782000,-0.056680609,-0.029870851,1.026649117
1.802000,-0.056927402,-0.031006118,1.026039004
1.822000,-0.056748182,-0.032491900,1.025251031
1.842000,-0.056140296,-0.034301367,1.024247766
1.862000,-0.055095915,-0.036423467,1.022952080
1.882000,-0.053574011,-0.038871188,1.021142244
1.902000,-0.051717084,-0.041569777,1.019029617
1.922000,-0.050207593,-0.043914966,1.019345164
1.942000,-0.048906982,-0.045703970,1.021344423
1.962000,-0.047693525,-0.047025830,1.023636818
1.982000,-0.046629086,-0.047907066,1.025628686
2.002000,-0.045709927,-0.048317172,1.027065635
2.022000,-0.044971332,-0.048279218,1.027843356
2.042000,-0.044482503,-0.047832981,1.027943730
2.062000,-0.044286761,-0.047011420,1.027469397
2.082000,-0.044398472,-0.045832019,1.026542306
2.102000,-0.044832833,-0.044306755,1.025223494
2.122000,-0.045648292,-0.042431019,1.023419261
2.142000,-0.046944816,-0.040218655,1.020869970
2.162000,-0.048347335,-0.038486745,1.020129323
2.182000,-0.049591780,-0.037225410,1.021632791
2.202000,-0.050790887,-0.036130469,1.023488283
2.222000,-0.051960733,-0.035334978,1.025058866
2.242000,-0.052975181,-0.034965795,1.026137948
