time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003756589,0.000003341,1.032252908
0.042000,-0.003296715,0.000012364,1.026529193
0.062000,-0.003221678,-0.000010597,1.020878077
0.082000,-0.003006178,-0.000062165,1.020884037
0.102000,-0.001701108,-0.000139321,1.022269845
0.122000,0.000293232,-0.000255417,1.023244619
0.142000,0.002504427,-0.000421137,1.023738503
0.162000,0.004685186,-0.000634515,1.023951054
0.182000,0.006706128,-0.000884990,1.023992300
0.202000,0.008493793,-0.001168341,1.023935437
0.222000,0.009992824,-0.001473380,1.023835659
0.242000,0.011172848,-0.001788254,1.023728728
0.262000,0.012022600,-0.002102296,1.023634195
0.282000,0.012533393,-0.002407356,1.023559332
0.302000,0.012687013,-0.002703717,1.023501039
0.322000,0.012482883,-0.002988365,1.023456931
0.342000,0.011935242,-0.003255641,1.023424387
0.362000,0.011068697,-0.003500639,1.023395300
0.382000,0.009924881,-0.003723543,1.023373485
0.402000,0.008535926,-0.003925784,1.023360729
0.422000,0.006925417,-0.004107663,1.023352981
0.442000,0.005115704,-0.004268566,1.023344755
0.462000,0.003128544,-0.004407232,1.023330688
0.482000,0.000988276,-0.004521901,1.023307085
0.502000,-0.001275362,-0.004610786,1.023275018
0.522000,-0.003636048,-0.004673584,1.023243189
0.542000,-0.006069626,-0.004707035,1.023218513
0.562000,-0.008552620,-0.004701409,1.023202538
0.582000,-0.011068409,-0.004638376,1.023191214
0.602000,-0.013604769,-0.004485783,1.023178101
0.622000,-0.016149245,-0.004182048,1.023149133
0.642000,-0.018690830,-0.003629933,1.023050785
0.662000,-0.021204192,-0.002690911,1.022822380
0.682000,-0.023647765,-0.001248315,1.022479773
0.702000,-0.025919493,0.000831255,1.021977425
0.722000,-0.027974145,0.003571703,1.021412015
0.742000,-0.029795384,0.006932370,1.020722747
0.762000,-0.031357810,0.010855332,1.019734025
0.782000,-0.032630801,0.015306985,1.018180609
0.802000,-0.033760384,0.019965746,1.016376972
0.822000,-0.034726329,0.024266291,1.015574813
0.842000,-0.035617206,0.027672099,1.016292095
0.862000,-0.036457628,0.030032892,1.018586159
0.882000,-0.037021674,0.031610485,1.021554589
0.902000,-0.037302610,0.032549854,1.024541974
0.922000,-0.037443165,0.032917101,1.026942015
0.942000,-0.037591964,0.032723568,1.028462172
0.962000,-0.037826303,0.031976700,1.029088736
0.982000,-0.038186118,0.030692894,1.028923392
1.002000,-0.038687706,0.028874718,1.028108716
1.022000,-0.039354850,0.026523285,1.026750922
1.042000,-0.040185053,0.023602616,1.024767160
1.062000,-0.041225903,0.020088479,1.021791697
1.082000,-0.042726319,0.016962158,1.020059586
1.102000,-0.044442315,0.014763100,1.020992398
1.122000,-0.046046194,0.012994393,1.022662640
1.142000,-0.047566280,0.011641569,1.024096608
1.162000,-0.049072102,0.010813955,1.025141358
1.182000,-0.050486282,0.010617319,1.025748610
1.202000,-0.051677670,0.011068190,1.025977969
1.222000,-0.052594375,0.012155308,1.025877714
1.242000,-0.053217538,0.013870372,1.025467873
1.262000,-0.053523868,0.016182892,1.024772763
1.282000,-0.053498033,0.019049138,1.023780584
1.302000,-0.053147990,0.022437472,1.022430420
1.322000,-0.052452881,0.026322467,1.020593286
1.342000,-0.051388983,0.030657567,1.018091798
1.362000,-0.050441667,0.034746416,1.016872644
1.382000,-0.049671728,0.038062535,1.018231630
1.402000,-0.048656903,0.040653579,1.020778894
1.422000,-0.047340233,0.042555872,1.023601770
1.442000,-0.045798261,0.043798596,1.026169777
1.462000,-0.044205494,0.044452492,1.028046608
1.482000,-0.042711064,0.044571359,1.029059768
1.502000,-0.041399170,0.044175006,1.029264688
1.522000,-0.040324114,0.043283813,1.028821945
1.542000,-0.039512906,0.041918103,1.027883410
1.562000,-0.039003015,0.040097930,1.026520014
1.582000,-0.038847458,0.037789624,1.024624825
1.602000,-0.039168954,0.034950037,1.021776676
1.622000,-0.039863445,0.032583613,1.020607114
1.642000,-0.040669993,0.030850371,1.021930099
1.662000,-0.041661289,0.029252246,1.023743987
1.682000,-0.042881045,0.027864702,1.025411248
1.702000,-0.044227093,0.026884172,1.026608467
1.722000,-0.045528557,0.026429866,1.027198076
1.742000,-0.046592992,0.026512297,1.027236581
1.762000,-0.047322683,0.027071852,1.026929021
1.782000,-0.047667775,0.028054887,1.026389599
1.802000,-0.047601875,0.029411336,1.025668144
1.822000,-0.047123633,0.031112621,1.024742842
1.842000,-0.046217617,0.033137891,1.023553967
1.862000,-0.044856481,0.035488412,1.021963358
1.882000,-0.043040361,0.038170803,1.019771814
1.902000,-0.041335844,0.040703408,1.018913746
1.922000,-0.039986268,0.042697534,1.020508528
1.942000,-0.038706817,0.044202182,1.022824526
1.962000,-0.037527740,0.045264654,1.025033355
1.982000,-0.036484018,0.045856893,1.026715040
2.002000,-0.035599265,0.045992624,1.027747989
2.022000,-0.034944270,0.045710143,1.028079271
2.042000,-0.034572031,0.045040417,1.027784109
2.062000,-0.034501392,0.044008493,1.026996493
2.082000,-0.034741737,0.042626977,1.025808334
2.102000,-0.035340182,0.040909037,1.024205446
2.122000,-0.036395859,0.038804419,1.021849155
2.142000,-0.037786663,0.036830589,1.020073414
2.162000,-0.039025787,0.035489421,1.021153688
2.182000,-0.040196937,0.034333590,1.023013949
2.202000,-0.041377053,0.033423718,1.024739861
2.222000,-0.042474717,0.032915205,1.026021600
2.242000,-0.043316256,0.032874268,1.026712656
2.262000,-0.043790236,0.033242911,1.026943088
2.282000,-0.043863401,0.033965670,1.026835561
