time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003934929,0.000008854,1.031798005
0.042000,-0.003837392,0.000014731,1.026172876
0.062000,-0.004151957,0.000019426,1.021817088
0.082000,-0.004070594,0.000033959,1.019907951
0.102000,-0.003012912,0.000060702,1.020453691
0.122000,-0.000946236,0.000107469,1.022375345
0.142000,0.001740140,0.000161559,1.023956180
0.162000,0.004523562,0.000209446,1.024209499
0.182000,0.007232285,0.000249350,1.023306131
0.202000,0.010124991,0.000275514,1.022040606
0.222000,0.013535137,0.000283194,1.020997643
0.242000,0.017619174,0.000268311,1.020298362
0.262000,0.022381844,0.000229262,1.019737124
0.282000,0.027728291,0.000163184,1.019005060
0.302000,0.033581514,0.000073887,1.017890334
0.322000,0.039958365,-0.000034469,1.016368151
0.342000,0.046940908,-0.000170989,1.014572620
0.362000,0.054614216,-0.000342281,1.012607098
0.382000,0.063024983,-0.000572752,1.010904908
0.402000,0.072174050,-0.000856276,1.009567261
0.422000,0.081882812,-0.001207166,1.008366942
0.442000,0.091897897,-0.001641057,1.007087469
0.462000,0.101962641,-0.002131884,1.005545855
0.482000,0.111779012,-0.002667376,1.004279733
0.502000,0.121294044,-0.003227699,1.004106522
0.522000,0.130656838,-0.003814555,1.004935503
0.542000,0.140180632,-0.004353650,1.005707741
0.562000,0.150206119,-0.004783432,1.005103827
0.582000,0.160802647,-0.004991132,1.003049374
0.602000,0.171632841,-0.004701606,1.000518799
0.622000,0.182508856,-0.003439977,0.998986244
0.642000,0.193468347,-0.001478703,0.997975647
0.662000,0.204367280,0.001302973,0.997477531
0.682000,0.214907721,0.005057488,0.997470737
0.702000,0.224907145,0.008727673,0.999666333
0.722000,0.234501705,0.011694347,1.003689170
0.742000,0.244056255,0.013928611,1.008063436
0.762000,0.253643870,0.015811380,1.012117505
0.782000,0.263209790,0.017540321,1.015515447
0.802000,0.272709519,0.019182390,1.018131137
0.822000,0.282176793,0.020738294,1.019989252
0.842000,0.291632175,0.022189938,1.021155357
0.862000,0.301086783,0.023515757,1.021643043
0.882000,0.310552508,0.024681758,1.021473646
0.902000,0.320065588,0.025640937,1.020753860
0.922000,0.329689115,0.026366407,1.019548535
0.942000,0.339499205,0.026814483,1.017921209
0.962000,0.349556655,0.026926460,1.015862226
0.982000,0.359816998,0.026592009,1.013230801
1.002000,0.370090932,0.025499906,1.009855151
1.022000,0.380109102,0.024025539,1.007641673
1.042000,0.389850676,0.022366060,1.008051753
1.062000,0.399459034,0.020550506,1.009939432
1.082000,0.409029812,0.018992290,1.012517095
1.102000,0.418626130,0.017874636,1.014824033
1.122000,0.428300321,0.017142400,1.016543627
1.142000,0.438086063,0.016730627,1.017896414
1.162000,0.448025554,0.016645141,1.019062638
1.182000,0.458125234,0.016908474,1.020075679
1.202000,0.468368620,0.017540017,1.020881295
1.222000,0.478750110,0.018554343,1.021379352
1.242000,0.489258617,0.019957600,1.021478176
1.262000,0.499903619,0.021744715,1.021130562
1.282000,0.510741591,0.023896784,1.020288706
1.302000,0.521793008,0.026461115,1.018701434
1.322000,0.532974184,0.029657559,1.015572190
1.342000,0.543909848,0.033264861,1.011338592
1.362000,0.554292619,0.036577135,1.009170294
1.382000,0.564310074,0.039940018,1.008755565
1.402000,0.574140072,0.043306597,1.009311914
1.422000,0.583895087,0.046236616,1.010734797
1.442000,0.593671858,0.048583880,1.012400508
1.462000,0.603522897,0.050345447,1.013985634
1.482000,0.613465130,0.051606555,1.015420794
1.502000,0.623506010,0.052382462,1.016673684
1.522000,0.633614779,0.052648373,1.017831326
1.542000,0.643767357,0.052402522,1.018984437
1.562000,0.653974771,0.051654082,1.020119905
1.582000,0.664232492,0.050425638,1.021142602
1.602000,0.674538553,0.048761487,1.021936297
1.622000,0.684907913,0.046712216,1.022346973
1.642000,0.695372641,0.044323727,1.022196293
1.662000,0.705984354,0.041631918,1.021280169
1.682000,0.716736495,0.038597334,1.019195914
1.702000,0.727509260,0.034981180,1.015150070
1.722000,0.737857282,0.031339418,1.010755539
1.742000,0.747565091,0.027866067,1.008782387
1.762000,0.756861806,0.024194222,1.008669496
1.782000,0.766008198,0.020550901,1.009472609
1.802000,0.775205255,0.017380599,1.010919213
1.822000,0.784548640,0.014735153,1.012424231
1.842000,0.794063628,0.012510586,1.013839364
1.862000,0.803767920,0.010652957,1.015133142
1.882000,0.813651860,0.009159196,1.016299367
1.902000,0.823677123,0.008055329,1.017415643
1.922000,0.833809793,0.007343314,1.018548131
1.942000,0.844041586,0.007015685,1.019642711
1.962000,0.854361534,0.007049236,1.020573020
1.982000,0.864771008,0.007404490,1.021193385
2.002000,0.875279307,0.008046116,1.021367192
2.022000,0.885920823,0.008955222,1.020981431
2.042000,0.896745205,0.010118644,1.019867063
2.062000,0.907755077,0.011612170,1.017643452
2.082000,0.918808281,0.013680026,1.013569355
2.102000,0.929376662,0.015727276,1.009770513
2.122000,0.939365506,0.017787322,1.008356929
2.142000,0.949025869,0.020114684,1.008544445
2.162000,0.958575189,0.022402920,1.009501100
2.182000,0.968140423,0.024211064,1.010961294
2.202000,0.977769315,0.025502613,1.012382507
2.222000,0.987500787,0.026401823,1.013693094
2.242000,0.997352183,0.026937274,1.014935851
2.262000,1.007313728,0.027086446,1.016213536
2.282000,1.017369151,0.026841359,1.017582417
2.302000,1.027516365,0.026210727,1.019000769
2.322000,1.037743449,0.025205670,1.020330071
2.342000,1.048043609,0.023851022,1.021398187
2.362000,1.058420777,0.022176635,1.022050023
2.382000,1.068890333,0.020201907,1.022147179
