time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003914086,-0.000102043,1.032047391
0.042000,-0.003874547,-0.000276429,1.026125669
0.062000,-0.004287814,0.000335926,1.019481897
0.082000,-0.004876093,0.001298318,1.018445969
0.102000,-0.004568171,0.002279628,1.019799709
0.122000,-0.003589306,0.003333649,1.021452665
0.142000,-0.002349160,0.004590510,1.022583842
0.162000,-0.001058256,0.006176060,1.022971392
0.182000,0.000222848,0.007980624,1.023103118
0.202000,0.001561803,0.009929167,1.023153901
0.222000,0.002971160,0.012018306,1.023133278
0.242000,0.004443586,0.014242863,1.023058176
0.262000,0.005975697,0.016591592,1.022942185
0.282000,0.007564200,0.019052155,1.022798061
0.302000,0.009207631,0.021612545,1.022638083
0.322000,0.010900439,0.024253573,1.022455096
0.342000,0.012634430,0.026952095,1.022250056
0.362000,0.014399836,0.029685428,1.022027731
0.382000,0.016183730,0.032440931,1.021789074
0.402000,0.017972089,0.035205901,1.021539092
0.422000,0.019744908,0.037966762,1.021282434
0.442000,0.021480674,0.040708050,1.021022201
0.462000,0.023156511,0.043415278,1.020760179
0.482000,0.024755742,0.046074212,1.020498753
0.502000,0.026268305,0.048670478,1.020241976
0.522000,0.027683729,0.051190920,1.019996047
0.542000,0.028987329,0.053637955,1.019799471
0.562000,0.030165052,0.056023553,1.019698501
0.582000,0.031203661,0.058350574,1.019680619
0.602000,0.032101642,0.060618632,1.019721866
0.622000,0.032870118,0.062820829,1.019806504
0.642000,0.033521235,0.064947113,1.019917846
0.662000,0.034065224,0.066983566,1.020040274
0.682000,0.034509696,0.068914637,1.020157933
0.702000,0.034862414,0.070729107,1.020261765
0.722000,0.035130832,0.072422378,1.020349383
0.742000,0.035321224,0.073991373,1.020420194
0.762000,0.035438560,0.075432017,1.020473003
0.782000,0.035484482,0.076728888,1.020495415
0.802000,0.035467714,0.077870242,1.020490527
0.822000,0.035396326,0.078853168,1.020459056
0.842000,0.035265721,0.079680629,1.020412207
0.862000,0.035068184,0.080357924,1.020363688
0.882000,0.034795027,0.080891088,1.020322919
0.902000,0.034437031,0.081285745,1.020291448
0.922000,0.033986479,0.081546523,1.020267487
0.942000,0.033437673,0.081675917,1.020248175
0.962000,0.032786191,0.081674397,1.020229101
0.982000,0.032028608,0.081541404,1.020202160
1.002000,0.031162649,0.081277013,1.020156384
1.022000,0.030186165,0.080881156,1.020081639
1.042000,0.029094797,0.080353543,1.019970417
1.062000,0.027889203,0.079696119,1.019824266
1.082000,0.026570916,0.078982294,1.019803405
1.102000,0.025140027,0.078240022,1.019911766
1.122000,0.023607146,0.077439368,1.020032883
1.142000,0.021991236,0.076569684,1.020134091
1.162000,0.020311855,0.075623199,1.020205736
1.182000,0.018587170,0.074597947,1.020242095
1.202000,0.016836418,0.073498696,1.020248294
1.222000,0.015076121,0.072329029,1.020228744
1.242000,0.013320362,0.071090035,1.020185232
1.262000,0.011585082,0.069782294,1.020120382
1.282000,0.009887014,0.068406805,1.020039082
1.302000,0.008241113,0.066964619,1.019947529
1.322000,0.006660405,0.065456130,1.019850254
1.342000,0.005153589,0.063910283,1.019808292
1.362000,0.003725708,0.062397838,1.019898772
1.382000,0.002384423,0.060919963,1.020024180
1.402000,0.001127826,0.059484813,1.020150781
1.422000,-0.000042722,0.058103066,1.020272017
1.442000,-0.001121208,0.056784794,1.020388246
1.462000,-0.002101955,0.055539176,1.020500302
1.482000,-0.002981769,0.054374050,1.020608425
1.502000,-0.003759184,0.053295836,1.020711303
1.522000,-0.004434763,0.052309833,1.020807385
1.542000,-0.005008413,0.051420204,1.020895839
1.562000,-0.005479055,0.050630189,1.020975947
1.582000,-0.005845568,0.049942311,1.021047831
1.602000,-0.006107789,0.049358346,1.021111846
1.622000,-0.006266751,0.048879176,1.021167755
1.642000,-0.006324516,0.048504870,1.021215796
1.662000,-0.006284100,0.048234835,1.021255732
1.682000,-0.006149064,0.048067749,1.021287560
1.702000,-0.005923287,0.048001505,1.021311402
1.722000,-0.005610480,0.048033293,1.021327376
1.742000,-0.005214517,0.048160490,1.021334887
1.762000,-0.004740523,0.048378550,1.021334052
1.782000,-0.004194240,0.048679594,1.021325588
1.802000,-0.003582471,0.049055379,1.021309972
1.822000,-0.002911951,0.049498174,1.021286845
1.842000,-0.002189460,0.050000541,1.021256804
1.862000,-0.001422107,0.050556153,1.021219730
1.882000,-0.000618127,0.051158827,1.021176100
1.902000,0.000215158,0.051800914,1.021126628
1.922000,0.001070385,0.052474957,1.021071434
1.942000,0.001939914,0.053174011,1.021011114
1.962000,0.002815656,0.053892333,1.020945907
1.982000,0.003691716,0.054624669,1.020876884
2.002000,0.004564373,0.055366177,1.020805955
2.022000,0.005429663,0.056112014,1.020734072
2.042000,0.006283798,0.056857362,1.020662069
2.062000,0.007122946,0.057597578,1.020590186
2.082000,0.007941334,0.058328200,1.020518541
2.102000,0.008730902,0.059045088,1.020446539
2.122000,0.009484203,0.059744291,1.020374298
2.142000,0.010196057,0.060421944,1.020302176
2.162000,0.010865552,0.061073914,1.020230651
2.182000,0.011492782,0.061696421,1.020161271
2.202000,0.012076464,0.062285982,1.020095825
2.222000,0.012613263,0.062839486,1.020034909
2.242000,0.013099086,0.063354202,1.019978642
2.262000,0.013530439,0.063827403,1.019926906
2.282000,0.013905093,0.064256571,1.019879580
2.302000,0.014221951,0.064639449,1.019836545
2.322000,0.014480758,0.064974107,1.019797921
2.342000,0.014681851,0.065259077,1.019763947
2.362000,0.014826095,0.065493315,1.019734502
