time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003900801,-0.000054794,1.032040954
0.042000,-0.003847514,-0.000170765,1.026089191
0.062000,-0.004306825,0.000228465,1.019382596
0.082000,-0.004969219,0.000877652,1.018544197
0.102000,-0.004677644,0.001295376,1.020080686
0.122000,-0.003697836,0.001522070,1.021941066
0.142000,-0.002443759,0.001796868,1.023103476
0.162000,-0.001152549,0.002282805,1.023478031
0.182000,0.000166470,0.002867865,1.023645282
0.202000,0.001596527,0.003450501,1.023804784
0.222000,0.003121144,0.004025838,1.023921013
0.242000,0.004708262,0.004598273,1.023983598
0.262000,0.006346016,0.005164294,1.024003863
0.282000,0.008032067,0.005719866,1.023996711
0.302000,0.009765338,0.006263081,1.023972988
0.322000,0.011542074,0.006793726,1.023940086
0.342000,0.013353942,0.007312083,1.023902535
0.362000,0.015187848,0.007819997,1.023862004
0.382000,0.017027425,0.008324699,1.023819566
0.402000,0.018855296,0.008835045,1.023775697
0.422000,0.020654080,0.009352542,1.023730993
0.442000,0.022405948,0.009876611,1.023686409
0.462000,0.024091931,0.010406856,1.023642659
0.482000,0.025692414,0.010943131,1.023599029
0.502000,0.027189221,0.011484522,1.023555517
0.522000,0.028565323,0.012028686,1.023512363
0.542000,0.029802803,0.012573267,1.023473144
0.562000,0.030886935,0.013116051,1.023440003
0.582000,0.031806227,0.013650157,1.023407578
0.602000,0.032555487,0.014169645,1.023376465
0.622000,0.033134691,0.014669169,1.023347616
0.642000,0.033543762,0.015144553,1.023321271
0.662000,0.033783667,0.015593885,1.023298502
0.682000,0.033853676,0.016017003,1.023279667
0.702000,0.033754345,0.016413938,1.023264527
0.722000,0.033490121,0.016784655,1.023253918
0.742000,0.033065252,0.017129179,1.023248196
0.762000,0.032485217,0.017448800,1.023252845
0.782000,0.031759709,0.017743345,1.023269534
0.802000,0.030897830,0.018011000,1.023293138
0.822000,0.029909184,0.018250836,1.023321271
0.842000,0.028805327,0.018462522,1.023352385
0.862000,0.027600292,0.018645644,1.023385763
0.882000,0.026307298,0.018800169,1.023421288
0.902000,0.024940396,0.018924788,1.023460388
0.922000,0.023514289,0.019018689,1.023503542
0.942000,0.022043619,0.019081825,1.023549914
0.962000,0.020542983,0.019115152,1.023598552
0.982000,0.019026857,0.019120425,1.023648620
1.002000,0.017510984,0.019099828,1.023698807
1.022000,0.016010486,0.019055823,1.023748517
1.042000,0.014537537,0.018989826,1.023796678
1.062000,0.013103092,0.018903088,1.023842931
1.082000,0.011717328,0.018797345,1.023886800
1.102000,0.010389682,0.018675929,1.023928046
1.122000,0.009128926,0.018543102,1.023966789
1.142000,0.007943300,0.018402437,1.024002671
1.162000,0.006840336,0.018257018,1.024035573
1.182000,0.005826712,0.018109612,1.024065137
1.202000,0.004908143,0.017962433,1.024091244
1.222000,0.004089360,0.017816797,1.024113774
1.242000,0.003374127,0.017673291,1.024132729
1.262000,0.002765249,0.017532179,1.024148583
1.282000,0.002264456,0.017393587,1.024161935
1.302000,0.001872270,0.017257612,1.024173141
1.322000,0.001587989,0.017124334,1.024182320
1.342000,0.001409834,0.016993849,1.024189949
1.362000,0.001335239,0.016866338,1.024196386
1.382000,0.001360470,0.016741879,1.024201870
1.402000,0.001481070,0.016620062,1.024206877
1.422000,0.001691962,0.016500615,1.024211645
1.442000,0.001987361,0.016383765,1.024216175
1.462000,0.002360121,0.016270045,1.024220467
1.482000,0.002802711,0.016160866,1.024224639
1.502000,0.003308948,0.016057272,1.024228454
1.522000,0.003872921,0.015959974,1.024231434
1.542000,0.004488554,0.015869511,1.024233341
1.562000,0.005150203,0.015786370,1.024233699
1.582000,0.005850931,0.015710901,1.024232626
1.602000,0.006582393,0.015642889,1.024229527
1.622000,0.007336420,0.015581995,1.024224281
1.642000,0.008106170,0.015527602,1.024216771
1.662000,0.008885656,0.015478709,1.024207354
1.682000,0.009669495,0.015434274,1.024196267
1.702000,0.010452690,0.015393345,1.024183869
1.722000,0.011230474,0.015355051,1.024170280
1.742000,0.011998051,0.015318694,1.024155736
1.762000,0.012750475,0.015283845,1.024140835
1.782000,0.013482847,0.015250313,1.024125457
1.802000,0.014190320,0.015218124,1.024110198
1.822000,0.014868200,0.015187446,1.024094939
1.842000,0.015512060,0.015158538,1.024080038
1.862000,0.016117806,0.015131702,1.024065495
1.882000,0.016681731,0.015107244,1.024051547
1.902000,0.017200559,0.015085427,1.024038196
1.922000,0.017671477,0.015066421,1.024025679
1.942000,0.018092202,0.015050347,1.024013996
1.962000,0.018461064,0.015037235,1.024003267
1.982000,0.018777000,0.015027016,1.023993373
2.002000,0.019039502,0.015019540,1.023984551
2.022000,0.019248385,0.015014533,1.023976922
2.042000,0.019404000,0.015011701,1.023970127
2.062000,0.019507406,0.015010799,1.023964405
2.082000,0.019560108,0.015011658,1.023959875
2.102000,0.019564074,0.015014095,1.023956299
2.122000,0.019521723,0.015017886,1.023954034
2.142000,0.019435745,0.015022852,1.023952723
2.162000,0.019308871,0.015028758,1.023952484
2.182000,0.019144062,0.015035346,1.023953199
2.202000,0.018944530,0.015042371,1.023954749
2.222000,0.018713657,0.015049606,1.023957014
2.242000,0.018454941,0.015056848,1.023960114
2.262000,0.018171452,0.015063871,1.023963809
2.282000,0.017866042,0.015070526,1.023968101
2.302000,0.017542008,0.015076756,1.023973107
2.322000,0.017202856,0.015082530,1.023978472
2.342000,0.016852193,0.015087978,1.023984313
2.362000,0.016493386,0.015093004,1.023990393
2.382000,0.016129866,0.015097528,1.023996711
