time_s,x_m,y_m,z_m
0.000000,-0.003963500,0.000000000,1.034000039
0.002000,-0.003963500,0.000000000,1.034000039
0.022000,-0.003957119,0.000008076,1.031769753
0.042000,-0.003889625,0.000010808,1.025922894
0.062000,-0.004279003,0.000008673,1.020911932
0.082000,-0.004373600,0.000014988,1.018247843
0.102000,-0.003515884,0.000030225,1.018070340
0.122000,-0.001648169,0.000054420,1.019533992
0.142000,0.000916785,0.000082081,1.020995021
0.162000,0.003687077,0.000102930,1.021319985
0.182000,0.006452587,0.000113494,1.020445347
0.202000,0.009387325,0.000113791,1.018996000
0.222000,0.012773881,0.000100580,1.017551780
0.242000,0.016777726,0.000068936,1.016349912
0.262000,0.021459062,0.000016105,1.015308738
0.282000,0.026795091,-0.000060208,1.014231920
0.302000,0.032744318,-0.000159803,1.012902260
0.322000,0.039292123,-0.000285823,1.011209249
0.342000,0.046449717,-0.000442249,1.009311914
0.362000,0.054250751,-0.000662788,1.007883787
0.382000,0.062698886,-0.000914904,1.006865740
0.402000,0.071634658,-0.001184807,1.005925655
0.422000,0.080828972,-0.001477419,1.004860520
0.442000,0.090035409,-0.001789592,1.003563881
0.462000,0.098988488,-0.002141775,1.002545357
0.482000,0.107616194,-0.002516533,1.002430677
0.502000,0.116074033,-0.002824124,1.002969265
0.522000,0.124690980,-0.002842581,1.002988696
0.542000,0.133693740,-0.002477076,1.001931787
0.562000,0.142865852,-0.001236227,1.001422524
0.582000,0.152149335,0.000763577,1.001897454
0.602000,0.161468580,0.003352729,1.002717376
0.622000,0.170681626,0.006519019,1.003709435
0.642000,0.179557845,0.010409663,1.003853679
0.662000,0.187851936,0.014133323,1.004783034
0.682000,0.195677087,0.017263688,1.006443620
0.702000,0.203410372,0.019621331,1.008601785
0.722000,0.211210400,0.021390300,1.011015534
0.742000,0.219054848,0.022815440,1.013379216
0.762000,0.226921514,0.024018666,1.015452504
0.782000,0.234817430,0.025045292,1.017127275
0.802000,0.242732555,0.025886873,1.018433690
0.822000,0.250656396,0.026540231,1.019428253
0.842000,0.258603215,0.027004754,1.020073295
0.862000,0.266600847,0.027273977,1.020303369
0.882000,0.274668902,0.027342314,1.020086527
0.902000,0.282841206,0.027209397,1.019401431
0.922000,0.291172177,0.026864847,1.018224716
0.942000,0.299718767,0.026242007,1.016641974
0.962000,0.308512866,0.025262928,1.014552355
0.982000,0.317448765,0.023775443,1.011501670
1.002000,0.326237023,0.021788534,1.007763743
1.022000,0.334662199,0.019801607,1.006118178
1.042000,0.342796952,0.017541280,1.006451845
1.062000,0.350747883,0.015347707,1.008188725
1.082000,0.358610183,0.013597439,1.010369301
1.102000,0.366428912,0.012331416,1.012400389
1.122000,0.374287814,0.011442559,1.014388323
1.142000,0.382269084,0.010874223,1.016446471
1.162000,0.390418798,0.010631192,1.018496037
1.182000,0.398752719,0.010710615,1.020235896
1.202000,0.407249689,0.011151866,1.021507978
1.222000,0.415893495,0.011987008,1.022232890
1.242000,0.424688190,0.013228551,1.022387624
1.262000,0.433665663,0.014882663,1.021978259
1.282000,0.442862302,0.016939640,1.021005154
1.302000,0.452286988,0.019463830,1.019205332
1.322000,0.461863846,0.022666719,1.015753031
1.342000,0.471169561,0.026145298,1.011452794
1.362000,0.479910672,0.029320838,1.009153128
1.382000,0.488277972,0.032539330,1.008310199
1.402000,0.496461987,0.035681393,1.008230805
1.422000,0.504593670,0.038247675,1.008974910
1.442000,0.512790978,0.040142313,1.010096788
1.462000,0.521091342,0.041468415,1.011364698
1.482000,0.529502869,0.042305592,1.012673259
1.502000,0.538017809,0.042654417,1.013996482
1.522000,0.546602249,0.042503964,1.015379786
1.542000,0.555251122,0.041860845,1.016821027
1.562000,0.563963771,0.040736668,1.018242717
1.582000,0.572738111,0.039155461,1.019529104
1.602000,0.581586063,0.037150025,1.020559192
1.622000,0.590532780,0.034760449,1.021180749
1.642000,0.599629760,0.032022715,1.021223903
1.662000,0.608924985,0.028958300,1.020487547
1.682000,0.618426323,0.025501966,1.018532515
1.702000,0.628000677,0.021422366,1.014502168
1.722000,0.637082875,0.017413842,1.010434985
1.742000,0.645539045,0.013596728,1.008445144
1.762000,0.653646886,0.009687032,1.007838964
1.782000,0.661656678,0.005996616,1.008105397
1.802000,0.669756293,0.002867378,1.009080172
1.822000,0.678026676,0.000319503,1.010355949
1.842000,0.686510861,-0.001783586,1.011756539
1.862000,0.695217669,-0.003485474,1.013168335
1.882000,0.704107165,-0.004785056,1.014531732
1.902000,0.713136554,-0.005670062,1.015864730
1.922000,0.722268403,-0.006128239,1.017196059
1.942000,0.731493950,-0.006160602,1.018461704
1.962000,0.740809917,-0.005784374,1.019563675
1.982000,0.750216007,-0.005029562,1.020396590
2.002000,0.759721816,-0.003923975,1.020840049
2.022000,0.769359648,-0.002486628,1.020774603
2.042000,0.779173613,-0.000729479,1.020065188
2.062000,0.789174438,0.001391659,1.018388033
2.082000,0.799268663,0.004069383,1.015016794
2.102000,0.809051991,0.007042338,1.010613441
2.122000,0.818150043,0.009837236,1.008270383
2.142000,0.826802492,0.012840623,1.007588387
2.162000,0.835260153,0.015770923,1.007927895
2.182000,0.843688428,0.018165937,1.009086967
2.202000,0.852175236,0.019976746,1.010455847
2.222000,0.860755265,0.021359095,1.011862159
2.242000,0.869436085,0.022356970,1.013282537
2.262000,0.878199339,0.022951925,1.014772058
2.282000,0.887028575,0.023138037,1.016355753
2.302000,0.895919621,0.022916110,1.017971158
2.322000,0.904869795,0.022287326,1.019480228
2.342000,0.913878381,0.021264078,1.020738006
2.362000,0.922951400,0.019870158,1.021618724
